max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,reg_lambda,reg_alpha,gamma,rll,auc,best_iter
5,1.0,0.9583031006965126,0.4161660468308217,0.8,26.026032613827635,0.0057634173148486765,0.0011557585762524052,2.0301590732107426,0.7466751455071992,134
3,20.0,0.8487534371185531,0.6213958742378746,1.0,3.4211338449353943,0.44809676654593683,0.003040102699640505,2.0309369737944567,0.7435418434281673,228
3,1.0,0.799711144976046,0.7608990145740144,1.0,0.2778294337210486,5.162310133018718,0.002845829145639892,2.031492114948316,0.7455712374207708,161
3,50.0,0.613620111578815,0.9075340638670345,0.6,5.802909827055242,0.01717271541239216,0.0020527231985684284,2.033954356287171,0.7453234578084437,193
3,1.0,0.9605724314752708,0.5302889544511169,0.6,0.1256678144534736,0.006354418539711723,0.043770204125223644,2.034647734775284,0.7462297232876853,186
5,50.0,0.8789444354945191,0.6035923964454671,1.0,0.30162760264377236,9.6770615235377,0.2622042381297515,2.03716575438909,0.7466691856848942,105
8,1.0,0.7868292826953085,0.5662869355202226,0.6,48.73409715385363,0.05245595138827176,0.22738837102668089,2.0375589826215466,0.7495363072002327,96
5,20.0,0.8681442336409935,0.7074293880898963,1.0,4.438393533091865,8.387925359045115,0.08670742122760307,2.0390016586117694,0.7473824274192352,114
7,20.0,0.7413099420241792,0.7549571823694261,0.8,0.5080467704679636,1.6173750344120676,0.0,2.039981013881115,0.7476994899658569,53
7,3.0,0.6098344429860745,0.903474909023669,0.6,0.24077353451451647,0.9057065241327366,0.001647103245811074,2.065829480892414,0.736693411617586,39
