model,auc,ap,top1,top3,mrr,ndcg3,race_logloss,brier_norm,ece
binary,0.7619615666031381,0.25927941810615507,0.26038781163434904,0.5789473684210527,0.4681794423837776,0.44306085624753194,2.042748098972792,0.07298652535631729,0.006932841890112334
softmax,0.7636798226612929,0.2613299104518685,0.2596952908587258,0.592797783933518,0.47107867146301513,0.4503651762119168,2.0373927417832425,0.07287598696593042,0.006472235939086256
pl_top3,0.7643305873491939,0.2626450207204585,0.2756232686980609,0.5872576177285319,0.48065521855069493,0.4556497536035868,2.036801302371291,0.07283748695577516,0.0067566822585676325
blend_bin_sm,0.7640235572924112,0.26213024624029246,0.2631578947368421,0.5858725761772853,0.4707939732818488,0.44772715852790385,2.036694704824067,0.07284534789440868,0.00571885476010545
blend_all,0.7662794056009326,0.26472775120976355,0.2756232686980609,0.5879501385041551,0.47908166450534545,0.4543639256504799,2.0308796688760755,0.07269810772274904,0.006937861588467769
blend_bin_sm+isotonic,0.7628414104715184,0.2610197490164449,0.26523545706371193,0.5782548476454293,0.4714432960658669,0.44486640385091525,2.0369568948782284,0.07288724475230828,0.00586040696917943
