max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,reg_lambda,reg_alpha,gamma,rll,auc,best_iter
5,50.0,0.8789444354945191,0.6035923964454671,1.0,0.30162760264377236,9.6770615235377,0.2622042381297515,2.031143014971063,0.7692771011185915,158
3,50.0,0.613620111578815,0.9075340638670345,0.6,5.802909827055242,0.01717271541239216,0.0020527231985684284,2.032084894843643,0.7704675383751096,194
5,1.0,0.9583031006965126,0.4161660468308217,0.8,26.026032613827635,0.0057634173148486765,0.0011557585762524052,2.034400934408967,0.7681746829877393,153
3,20.0,0.8487534371185531,0.6213958742378746,1.0,3.4211338449353943,0.44809676654593683,0.003040102699640505,2.035392219458656,0.7686824598481184,252
3,1.0,0.799711144976046,0.7608990145740144,1.0,0.2778294337210486,5.162310133018718,0.002845829145639892,2.0384826640969336,0.7675309849299188,179
5,20.0,0.8681442336409935,0.7074293880898963,1.0,4.438393533091865,8.387925359045115,0.08670742122760307,2.03910327705377,0.767401470541455,123
8,1.0,0.7868292826953085,0.5662869355202226,0.6,48.73409715385363,0.05245595138827176,0.22738837102668089,2.0406798527046104,0.7654479152876817,101
3,1.0,0.9605724314752708,0.5302889544511169,0.6,0.1256678144534736,0.006354418539711723,0.043770204125223644,2.04274314372453,0.7656624316417694,254
7,20.0,0.7413099420241792,0.7549571823694261,0.8,0.5080467704679636,1.6173750344120676,0.0,2.0431254388253266,0.7661864862668187,66
7,3.0,0.6098344429860745,0.903474909023669,0.6,0.24077353451451647,0.9057065241327366,0.001647103245811074,2.054184663199662,0.7617546879031029,55
