model,auc,ap,top1,top3,mrr,ndcg3,race_logloss,brier_norm,ece
binary median-impute,0.7369433820943803,0.26358548788022024,0.2718939675461415,0.599405425492382,0.4826721097124937,0.4600256930035799,1.970298409461975,0.08420988917350769,0.00206479164214228
binary native-NaN,0.7372901664324352,0.2636178548014354,0.2718939675461415,0.6007679920723399,0.48280254067902784,0.4606258851542232,1.9700546264648438,0.08421771973371506,0.004408853615310843
rank:pairwise,0.7057768610807785,0.2216240768646524,0.25727734423386595,0.5868945868945868,0.471425212003973,0.4465754896436147,2.0210698876123607,0.08590899092377927,0.015585328842007314
rank:ndcg,0.6796807367133338,0.1972112743379978,0.2768487551096247,0.5939551591725505,0.48405367887860745,0.4588697328648457,2.2060492004618473,0.0901969374863155,0.012893709895602437
rank:map,0.6798123494620951,0.19795932359099422,0.27573392790784096,0.5940790288616375,0.4835578560397894,0.45855265461503597,2.206051390983048,0.09019691402890485,0.01302140987928895
race-softmax (cond. logit),0.7123079742874724,0.2313832903908769,0.27499070977331846,0.6032453858540815,0.4853780306191,0.4634940442980182,1.9637546604466838,0.08403834858713681,0.003947424282242752
