b,n,mean_p,obs
0,6567,0.01211251898273442,0.01142074
1,6566,0.024955712792042065,0.024520256
2,6567,0.035579595137450105,0.03685092
3,6566,0.046248693179208746,0.047212914
4,6567,0.05743159684934677,0.056037765
5,6566,0.06986541559636612,0.06899177
6,6566,0.08384281788821706,0.08437405
7,6567,0.1003296735642569,0.10461398
8,6566,0.1208721149758659,0.123667374
9,6567,0.14923535963697182,0.15212426
10,6566,0.19515601802129748,0.20012183
11,6567,0.33134489189953376,0.31947616
