max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,reg_lambda,reg_alpha,gamma,rll,auc,best_iter
3,20.0,0.8487534371185531,0.6213958742378746,1.0,3.4211338449353943,0.44809676654593683,0.003040102699640505,1.9497268168278516,0.7062842036892127,380
5,20.0,0.8681442336409935,0.7074293880898963,1.0,4.438393533091865,8.387925359045115,0.08670742122760307,1.9506227877270417,0.708852734900509,241
3,1.0,0.799711144976046,0.7608990145740144,1.0,0.2778294337210486,5.162310133018718,0.002845829145639892,1.9507970240106045,0.7034845127580707,412
5,1.0,0.9583031006965126,0.4161660468308217,0.8,26.026032613827635,0.0057634173148486765,0.0011557585762524052,1.9508919223002406,0.7076717584132781,203
3,50.0,0.613620111578815,0.9075340638670345,0.6,5.802909827055242,0.01717271541239216,0.0020527231985684284,1.9510904666555584,0.705471313281819,324
5,50.0,0.8789444354945191,0.6035923964454671,1.0,0.30162760264377236,9.6770615235377,0.2622042381297515,1.9511309980418554,0.7072054204378795,198
8,1.0,0.7868292826953085,0.5662869355202226,0.6,48.73409715385363,0.05245595138827176,0.22738837102668089,1.9520183456755873,0.7077121124090091,158
3,1.0,0.9605724314752708,0.5302889544511169,0.6,0.1256678144534736,0.006354418539711723,0.043770204125223644,1.9528384782551553,0.704489021919833,363
5,3.0,0.8908446975927673,0.6959073706048702,0.6,0.44836727846197993,0.018227662915699914,2.6549355364796097,1.9548139940783533,0.7074402573029888,190
7,20.0,0.7413099420241792,0.7549571823694261,0.8,0.5080467704679636,1.6173750344120676,0.0,1.9564913101654147,0.7082338790304652,87
8,5.0,0.7362744703426036,0.6616009021553986,1.0,0.8769178009608839,0.9683573855605155,0.0017220123658682732,1.9622038563788051,0.7058072209129831,72
7,3.0,0.6098344429860745,0.903474909023669,0.6,0.24077353451451647,0.9057065241327366,0.001647103245811074,1.9640334591411441,0.7053409843949852,72
