max_depth,min_child_weight,subsample,colsample_bytree,colsample_bylevel,reg_lambda,reg_alpha,gamma,rll,auc,best_iter
5,1.0,0.9583031006965126,0.4161660468308217,0.8,26.026032613827635,0.0057634173148486765,0.0011557585762524052,1.9502021186777914,0.735230388204863,259
5,20.0,0.8681442336409935,0.7074293880898963,1.0,4.438393533091865,8.387925359045115,0.08670742122760307,1.9525916859161232,0.7346892130568019,304
3,1.0,0.799711144976046,0.7608990145740144,1.0,0.2778294337210486,5.162310133018718,0.002845829145639892,1.9528448985886466,0.7349263436818018,463
3,20.0,0.8487534371185531,0.6213958742378746,1.0,3.4211338449353943,0.44809676654593683,0.003040102699640505,1.9534047079484207,0.7344341916530743,464
5,50.0,0.8789444354945191,0.6035923964454671,1.0,0.30162760264377236,9.6770615235377,0.2622042381297515,1.954001788560537,0.734168085342763,256
3,50.0,0.613620111578815,0.9075340638670345,0.6,5.802909827055242,0.01717271541239216,0.0020527231985684284,1.956020653937539,0.7335200837777086,333
5,3.0,0.8908446975927673,0.6959073706048702,0.6,0.44836727846197993,0.018227662915699914,2.6549355364796097,1.956148725565855,0.733409831116862,219
3,1.0,0.9605724314752708,0.5302889544511169,0.6,0.1256678144534736,0.006354418539711723,0.043770204125223644,1.9569406725300798,0.7332288873263354,406
8,1.0,0.7868292826953085,0.5662869355202226,0.6,48.73409715385363,0.05245595138827176,0.22738837102668089,1.957397381157142,0.7327894972592737,148
7,20.0,0.7413099420241792,0.7549571823694261,0.8,0.5080467704679636,1.6173750344120676,0.0,1.9577419122912902,0.7326700119749348,128
8,5.0,0.7362744703426036,0.6616009021553986,1.0,0.8769178009608839,0.9683573855605155,0.0017220123658682732,1.9617178711668064,0.731371457328295,100
7,3.0,0.6098344429860745,0.903474909023669,0.6,0.24077353451451647,0.9057065241327366,0.001647103245811074,1.9649619599834751,0.7298243375333516,87
