b,n,mean_p,obs
0,1366,0.009424989713434693,0.0043923864
1,1366,0.01842485773456446,0.01976574
2,1365,0.027621754510026738,0.021245422
3,1366,0.037528546161479034,0.034407027
4,1365,0.047770328224558394,0.043956045
5,1366,0.05847547709676821,0.058565155
6,1365,0.07043709530822109,0.06446887
7,1366,0.08422944809665996,0.0863836
8,1365,0.1017676166856708,0.115018316
9,1365,0.12669871496670945,0.12747253
10,1366,0.16688818234508712,0.15959005
11,1366,0.3073759580511796,0.32210836
