threshold,precision,recall,f1_score,accuracy,specificity,tp,fp,tn,fn,predicted_positive
0.1,0.15631005765534914,0.7270560190703218,0.25730254138985553,0.6303663272803611,0.6210290055248618,1220,6585,10791,458,7805
0.15000000000000002,0.181509754028838,0.5101311084624554,0.26775101657804196,0.7542773170987719,0.7778545119705341,856,3860,13516,822,4716
0.20000000000000004,0.21105010295126972,0.366507747318236,0.2678571428571429,0.8235541093733599,0.8676910681399632,615,2299,15077,1063,2914
0.25000000000000006,0.23088607594936708,0.27175208581644816,0.24965781549411448,0.8561456911934502,0.9125805709023941,456,1519,15857,1222,1975
0.30000000000000004,0.25257731958762886,0.20441001191895114,0.2259552042160738,0.8766663167838774,0.9415860957642725,343,1015,16361,1335,1358
0.3500000000000001,0.29330499468650373,0.16448152562574495,0.2107674684994273,0.8915188411882019,0.9617288213627992,276,665,16711,1402,941
0.40000000000000013,0.3076923076923077,0.12157330154946365,0.17428449380606578,0.8985514852524404,0.9735842541436464,204,459,16917,1474,663
0.45000000000000007,0.3237704918032787,0.09415971394517282,0.1458910433979686,0.9029075259787971,0.9810082872928176,158,330,17046,1520,488
0.5000000000000001,0.33827893175074186,0.06793802145411204,0.113151364764268,0.906213918337357,0.9871662062615101,114,223,17153,1564,337
0.5500000000000002,0.35944700460829493,0.04648390941597139,0.08232189973614774,0.9087330744200692,0.9920004604051565,78,139,17237,1600,217
0.6000000000000002,0.43617021276595747,0.02443384982121573,0.04627539503386005,0.9113047129211714,0.9969498158379374,41,53,17323,1637,94
0.6500000000000001,0.5428571428571428,0.01132300357568534,0.022183304144775245,0.912091949197019,0.9990791896869244,19,16,17360,1659,35
0.7000000000000002,0.5454545454545454,0.003575685339690107,0.007104795737122557,0.9119869843602393,0.9997122467771639,6,5,17371,1672,11
0.7500000000000002,0.6666666666666666,0.0011918951132300357,0.0023795359904818557,0.9119869843602393,0.9999424493554327,2,1,17375,1676,3
0.8000000000000002,0.0,0.0,0.0,0.9119345019418494,1.0,0,0,17376,1678,0
0.8500000000000002,0.0,0.0,0.0,0.9119345019418494,1.0,0,0,17376,1678,0
0.9000000000000002,0.0,0.0,0.0,0.9119345019418494,1.0,0,0,17376,1678,0
