============================================================
INFERENCE LOG FOR EVENT DATE: 2026-01-10
Execution Time: 2026-01-09 21:42:54
Input File: Inference_Inputs\Input_2026-01-10.csv
============================================================

### DATA QUALITY SUMMARY
Total Entries Processed: 474
Missing Values (NaNs) found in key features (before zero-fill):
 - wilson_score: 173
 - jt_wins: 474

### HORSE PREDICTION SUMMARY
Horse Name                | Runs Found | Win Prob   | Source    
Destroytheevidence        | 0          | 0.0122     | Fallback  
Joyeux Machin             | 0          | 0.0114     | Fallback  
Torn And Frayed           | 0          | 0.0123     | Fallback  
Val Dancer                | 0          | 0.0124     | Fallback  
Botox Has                 | 0          | 0.0109     | Fallback  
Lud'or                    | 0          | 0.0139     | Fallback  
Red Risk                  | 0          | 0.0116     | Fallback  
Long Draw                 | 0          | 0.0141     | Fallback  
Green Book                | 0          | 0.0260     | Fallback  
Doughmore Bay             | 0          | 0.0128     | Fallback  
Lord Snootie              | 0          | 0.0138     | Fallback  
Tranquil Sea              | 0          | 0.0141     | Fallback  
Felicie Du Maquis         | 0          | 0.0116     | Fallback  
Rubber Ball               | 0          | 0.0139     | Fallback  
Spike Jones               | 0          | 0.0117     | Fallback  
All Good To Go            | 0          | 0.0200     | Fallback  
Arizona Moon              | 0          | 0.0200     | Fallback  
Country Pursuits          | 0          | 0.0197     | Fallback  
Current Edition           | 0          | 0.0118     | Fallback  
Diamond Street            | 0          | 0.0208     | Fallback  
Loch Ness Pineau          | 0          | 0.0180     | Fallback  
McElhattan                | 0          | 0.0200     | Fallback  
Sassella Storm            | 0          | 0.0129     | Fallback  
Britway Belle             | 0          | 0.0178     | Fallback  
Scaredofnothing           | 0          | 0.0198     | Fallback  
Macho Man                 | 0          | 0.0133     | Fallback  
Proactif                  | 0          | 0.0100     | Fallback  
Quinta Do Lago            | 0          | 0.0100     | Fallback  
Berto Ramirez             | 7          | 0.0536     | Lookup    
Combs                     | 0          | 0.0090     | Fallback  
Far Eclipse               | 0          | 0.0094     | Fallback  
It's Bobsled Time         | 0          | 0.0281     | Lookup    
Munsif                    | 0          | 0.0130     | Fallback  
In My Teens               | 0          | 0.0100     | Fallback  
Alliteration              | 0          | 0.0345     | Fallback  
Annie's Belle             | 0          | 0.0178     | Fallback  
Bambino Fever             | 0          | 0.0231     | Fallback  
Castlerock Lady           | 0          | 0.0523     | Fallback  
Cornelienne               | 0          | 0.0175     | Fallback  
Family Getaway            | 0          | 0.0487     | Fallback  
Little Ivy                | 0          | 0.0245     | Fallback  
Miss Doyenne              | 0          | 0.0327     | Fallback  
Miss Georgina             | 0          | 0.0215     | Fallback  
Ode To Joy                | 0          | 0.0281     | Fallback  
Susie Lenglen             | 0          | 0.0383     | Fallback  
Talas Kera                | 0          | 0.0446     | Fallback  
Tellmemamema              | 0          | 0.0600     | Fallback  
Whispering Hopes          | 0          | 0.0364     | Fallback  
Minella Sixo              | 0          | 0.0320     | Fallback  
Noble Birth               | 7          | 0.0537     | Lookup    
Bal Kauto                 | 0          | 0.0295     | Fallback  
Find A Fortune            | 0          | 0.0203     | Fallback  
Verdant Place             | 0          | 0.0185     | Fallback  
Found A Diamond           | 0          | 0.0129     | Fallback  
Dippedinmoonlight         | 0          | 0.0125     | Fallback  
From The Ashes            | 0          | 0.0180     | Fallback  
Your Honor                | 0          | 0.0112     | Fallback  
Blood Destiny             | 0          | 0.0208     | Fallback  
Touch Me Not              | 0          | 0.0181     | Fallback  
Inthepocket               | 4          | 0.0778     | Lookup    
Tullyhill                 | 0          | 0.0129     | Fallback  
Path d'Oroux              | 0          | 0.0120     | Fallback  
The Other Mozzie          | 0          | 0.0109     | Fallback  
Drumgill                  | 0          | 0.0171     | Fallback  
Midnight It Is            | 9          | 0.0886     | Lookup    
The King Of Prs           | 0          | 0.0099     | Fallback  
Western Diego             | 0          | 0.0160     | Fallback  
St Faz                    | 0          | 0.0192     | Fallback  
More Coko                 | 0          | 0.0175     | Fallback  
Dr Eggman                 | 0          | 0.0131     | Fallback  
Jinxs Link                | 0          | 0.0186     | Fallback  
Koori Star                | 0          | 0.0129     | Fallback  
Park Of Kings             | 0          | 0.0154     | Fallback  
Port Joulain              | 0          | 0.0161     | Fallback  
Reliable Prince           | 0          | 0.0200     | Fallback  
Stuntman Steve            | 0          | 0.0250     | Fallback  
Karoline Banbou           | 0          | 0.0118     | Fallback  
Choccabloc                | 0          | 0.0262     | Fallback  
Jacovec Cavern            | 10         | 0.1367     | Lookup    
Miss Pronunciation        | 0          | 0.0217     | Fallback  
Castle Field Boy          | 0          | 0.0179     | Fallback  
Me Wee Bonnie Lass        | 0          | 0.0217     | Fallback  
Beggars Rock              | 0          | 0.0168     | Fallback  
Nelson County             | 0          | 0.0320     | Fallback  
Attaboyarchie             | 0          | 0.0318     | Fallback  
Clonsast                  | 0          | 0.0313     | Fallback  
Detroit Maverick          | 0          | 0.0309     | Fallback  
Doctor Elvis              | 0          | 0.0315     | Fallback  
Dorie Miller              | 0          | 0.0115     | Fallback  
Martymill                 | 0          | 0.0111     | Fallback  
Moments Away              | 0          | 0.0177     | Fallback  
Pinndar                   | 0          | 0.0236     | Fallback  
Silver Salute             | 0          | 0.0330     | Fallback  
The Wager                 | 0          | 0.0177     | Fallback  
Lake Isle                 | 0          | 0.0219     | Fallback  
Layenda                   | 0          | 0.0168     | Fallback  
Orinoco Walk              | 0          | 0.0140     | Fallback  
Francesi                  | 0          | 0.0253     | Fallback  
Reddeef                   | 0          | 0.0257     | Fallback  
Poetic Force              | 0          | 0.0332     | Fallback  
Super Hit                 | 0          | 0.0232     | Fallback  
Dandy Khan                | 0          | 0.0205     | Fallback  
Amber Honey               | 0          | 0.0221     | Fallback  
Three On Thursday         | 0          | 0.0219     | Fallback  
City Of York              | 0          | 0.0308     | Fallback  
Stacey Racey              | 0          | 0.0232     | Fallback  
Call Glory                | 0          | 0.0379     | Fallback  
Hannahs Story             | 0          | 0.0378     | Fallback  
Headshot                  | 0          | 0.0502     | Fallback  
Musaytir                  | 0          | 0.0445     | Fallback  
Porfin                    | 0          | 0.0479     | Fallback  
Spirit Charmer            | 0          | 0.0435     | Fallback  
Tilsworth Max             | 0          | 0.0517     | Fallback  
Voodoo Ray                | 0          | 0.0513     | Fallback  
Zaltalla                  | 0          | 0.0414     | Fallback  
Secret Road               | 0          | 0.0440     | Fallback  
Alyara                    | 0          | 0.0524     | Fallback  
Dr Ali                    | 0          | 0.0545     | Fallback  
Invincible Storm          | 0          | 0.0689     | Fallback  
Miraflores                | 0          | 0.0466     | Fallback  
Under Curfew              | 0          | 0.0520     | Fallback  
Valadero                  | 0          | 0.0390     | Fallback  
Vitalline                 | 0          | 0.0602     | Fallback  
Imperial Decision         | 0          | 0.0562     | Fallback  
Al Bowlly                 | 0          | 0.0365     | Fallback  
Genuine Warrior           | 0          | 0.0444     | Fallback  
Klammer Express           | 0          | 0.0342     | Fallback  
Siam Ruby                 | 0          | 0.0227     | Fallback  
Dark Rosa                 | 0          | 0.0221     | Fallback  
Woodstock City            | 0          | 0.0383     | Fallback  
Annexation                | 0          | 0.0307     | Fallback  
Meet Me In Meraki         | 0          | 0.0231     | Fallback  
Flightofthephoenix        | 0          | 0.0176     | Fallback  
Lenny's Spirit            | 0          | 0.0259     | Fallback  
Alta Rica                 | 0          | 0.0205     | Fallback  
Dream Pirate              | 0          | 0.0243     | Fallback  
King Of Charm             | 0          | 0.0206     | Fallback  
Johnjay                   | 0          | 0.0312     | Fallback  
Hint Of Humour            | 0          | 0.0220     | Fallback  
Faustus                   | 0          | 0.0384     | Fallback  
Diamond Dreamer           | 0          | 0.0287     | Fallback  
Level Up                  | 0          | 0.0249     | Fallback  
Mick's Spirit             | 0          | 0.0280     | Fallback  
Manhattan Chute           | 0          | 0.0255     | Fallback  
Gogo Yubari               | 0          | 0.0253     | Fallback  
Desdemona                 | 0          | 0.0267     | Fallback  
Baldomero                 | 0          | 0.0249     | Fallback  
Accrual                   | 0          | 0.0243     | Fallback  
Twilight Jet              | 0          | 0.0346     | Fallback  
The Thames Boatman        | 0          | 0.0259     | Fallback  
Star Chorus               | 0          | 0.0213     | Fallback  
Charlie's Choice          | 0          | 0.0308     | Fallback  
Wonder                    | 0          | 0.0242     | Fallback  
Naasma                    | 0          | 0.0332     | Fallback  
Tortured Soul             | 2          | 0.0641     | Lookup    
Damascus Steel            | 0          | 0.0372     | Fallback  
Raintown                  | 0          | 0.0308     | Fallback  
Blue Universe             | 0          | 0.0347     | Fallback  
Connie Moon               | 0          | 0.0198     | Fallback  
He's Our Cracker          | 0          | 0.0251     | Fallback  
Hackney Diamonds          | 1          | 0.0740     | Fallback  
Time Turner               | 0          | 0.0355     | Fallback  
Quintus Arrius            | 0          | 0.0339     | Fallback  
Star Cast                 | 0          | 0.0350     | Fallback  
Woodshaw                  | 0          | 0.0290     | Fallback  
Alpine Sierra             | 0          | 0.0376     | Fallback  
Sir Maxi                  | 0          | 0.0323     | Fallback  
Storm Asset               | 0          | 0.0396     | Fallback  
Busby                     | 0          | 0.0299     | Fallback  
Eligible                  | 0          | 0.0259     | Fallback  
Mao Shang Wong            | 0          | 0.0194     | Fallback  
Far Ahead                 | 0          | 0.0222     | Fallback  
Second Fiddle             | 0          | 0.0279     | Fallback  
Maui Breeze               | 0          | 0.0241     | Fallback  
Starliner                 | 0          | 0.0210     | Fallback  
The English Rogue         | 0          | 0.0228     | Fallback  
Just Typical              | 0          | 0.0200     | Fallback  
Sea Legend                | 0          | 0.0249     | Fallback  
Tasever                   | 0          | 0.0251     | Fallback  
Book Of Life              | 0          | 0.0249     | Fallback  
Annalee Lass              | 0          | 0.0386     | Fallback  
