============================================================
INFERENCE LOG FOR EVENT DATE: 2026-01-14
Execution Time: 2026-01-14 13:49:06
Input File: Inference_Inputs\Input_2026-01-14.csv
============================================================

### DATA QUALITY SUMMARY
Total Entries Processed: 432
Missing Values (NaNs) found in key features (before zero-fill):
 - No missing values found. Data is clean.

### HORSE PREDICTION SUMMARY
Horse Name                | Runs Found | Win Prob   | Source    
-----------------------------------------------------------------
Golan Loop                | 0          | 0.0072     | Fallback  
Mombasa                   | 0          | 0.0159     | Fallback  
Major Fortune             | 0          | 0.0083     | Fallback  
Tommys Charm              | 0          | 0.0080     | Fallback  
Gaelic Rambler            | 0          | 0.0181     | Fallback  
Maximum Offers            | 0          | 0.0087     | Fallback  
Clotilda                  | 0          | 0.0075     | Fallback  
Not A Light               | 0          | 0.0074     | Fallback  
Air Apparent              | 0          | 0.0115     | Fallback  
Corner Forward            | 0          | 0.0086     | Fallback  
Gaelic Pride              | 0          | 0.0095     | Fallback  
Hadrianus                 | 0          | 0.0106     | Fallback  
Richforadaay              | 0          | 0.0207     | Fallback  
Tobi Kanobee              | 0          | 0.0290     | Fallback  
Unknown Entity            | 0          | 0.0099     | Fallback  
What A Dragon             | 0          | 0.0154     | Fallback  
Deauville Lady            | 0          | 0.0278     | Fallback  
Cosmic Spirit             | 0          | 0.0267     | Fallback  
One Island                | 0          | 0.0086     | Fallback  
Shielas Well              | 0          | 0.0179     | Fallback  
Dragons And Demons        | 0          | 0.0072     | Fallback  
Eric Gorcombe             | 0          | 0.0217     | Fallback  
Liam Mera Kai             | 0          | 0.0078     | Fallback  
Montrachet Fin            | 0          | 0.0067     | Fallback  
Regal Icon                | 0          | 0.0182     | Fallback  
Sinchi Roca               | 0          | 0.0177     | Fallback  
Wolf Walker               | 0          | 0.0084     | Fallback  
Grey Aquila               | 0          | 0.0200     | Fallback  
Innamorato                | 0          | 0.0081     | Fallback  
Launceston                | 0          | 0.0135     | Fallback  
Athena's Dream            | 0          | 0.0095     | Fallback  
Ritaan                    | 0          | 0.0111     | Fallback  
Jackomy                   | 0          | 0.0091     | Fallback  
Mistress Emma             | 0          | 0.0071     | Fallback  
Ugo Bingo                 | 0          | 0.0083     | Fallback  
Run Away Joe              | 0          | 0.0072     | Fallback  
Morning Mayhem            | 6          | 0.0158     | Lookup    
Western Soldier           | 0          | 0.0076     | Fallback  
No Guarantee              | 0          | 0.0072     | Fallback  
St Lukes Chelsea          | 0          | 0.0073     | Fallback  
Postponed Legacy          | 0          | 0.0074     | Fallback  
Just Aidan                | 0          | 0.0087     | Fallback  
Mr Zee                    | 0          | 0.0114     | Fallback  
Freddie Fleetfoot         | 0          | 0.0116     | Fallback  
Talap                     | 0          | 0.0117     | Fallback  
King Of The Road          | 0          | 0.0077     | Fallback  
Meatloaf                  | 0          | 0.0065     | Fallback  
