============================================================
INFERENCE LOG FOR EVENT DATE: 2026-01-25
Execution Time: 2026-01-24 21:52:57
Input File: Inference_Inputs\Input_2026-01-25.csv
============================================================

### DATA QUALITY SUMMARY
Total Entries Processed: 288
Missing Values (NaNs) found in key features (before zero-fill):
 - No missing values found. Data is clean.

### HORSE PREDICTION SUMMARY
Horse Name                | Runs Found | Win Prob   | Source    
-----------------------------------------------------------------
Blue Moon Boy             | 0          | 0.0097     | Fallback  
Dreamed To Dream          | 0          | 0.0244     | Fallback  
Gain Line                 | 0          | 0.0112     | Fallback  
Kai Lung                  | 0          | 0.0193     | Fallback  
Lynches Knock             | 0          | 0.0189     | Fallback  
Mon Creuset               | 0          | 0.1149     | Fallback  
Moulin Labbe              | 0          | 0.0252     | Fallback  
Muhaajim                  | 0          | 0.0247     | Fallback  
Nile Star                 | 0          | 0.0100     | Fallback  
Saratoga                  | 0          | 0.0066     | Fallback  
Alberta Rose              | 0          | 0.0110     | Fallback  
Hunting Gold              | 0          | 0.0213     | Fallback  
Kashel Spring             | 0          | 0.0060     | Fallback  
Bacchanalian              | 5          | 0.0464     | Lookup    
Bring On The Night        | 0          | 0.0073     | Fallback  
Farren Glory              | 0          | 0.0205     | Fallback  
Glen Kiln                 | 0          | 0.0178     | Fallback  
Karbau                    | 0          | 0.0852     | Fallback  
Kel Histoire              | 0          | 0.0074     | Fallback  
Workahead                 | 0          | 0.0246     | Fallback  
Cola Blaze                | 0          | 0.0081     | Fallback  
Arcadian Emperor          | 0          | 0.0221     | Fallback  
Did I Ask You That        | 0          | 0.0710     | Fallback  
Embrace The Day           | 0          | 0.0119     | Fallback  
Genepi George             | 0          | 0.0150     | Fallback  
Kilgame                   | 0          | 0.0395     | Fallback  
Le Roi Du Livet           | 0          | 0.0501     | Fallback  
Newbrook Diamond          | 0          | 0.0365     | Fallback  
Patton                    | 0          | 0.0548     | Fallback  
Regno                     | 0          | 0.0225     | Fallback  
Sharu                     | 0          | 0.0336     | Fallback  
Shuttle Diplomacy         | 0          | 0.0189     | Fallback  
Thankyouforthedays        | 0          | 0.0363     | Fallback  
True Harmony              | 0          | 0.0569     | Fallback  
Rathbawn Soldier          | 0          | 0.0306     | Fallback  
The Fly Window            | 0          | 0.0324     | Fallback  
Walkingmayotomilan        | 0          | 0.0671     | Fallback  
Theflyingbee              | 0          | 0.0270     | Fallback  
Beyond Your Dreams        | 0          | 0.0261     | Fallback  
Granville Street          | 0          | 0.0497     | Fallback  
King Kali                 | 0          | 0.0190     | Fallback  
Matt Connor               | 0          | 0.0483     | Fallback  
Doctor Churchill          | 0          | 0.0508     | Fallback  
Club Manager              | 16         | 0.1889     | Lookup    
Rebel Gold                | 0          | 0.0279     | Fallback  
Rony Has                  | 0          | 0.0783     | Fallback  
Peaceinthevalley          | 0          | 0.0807     | Fallback  
Mystic Malina             | 0          | 0.0300     | Fallback  
Justatan                  | 0          | 0.0859     | Fallback  
Mon Sheriffe              | 5          | 0.3299     | Lookup    
Beechwood Road            | 0          | 0.0720     | Fallback  
Doctor Elvis              | 0          | 0.0708     | Fallback  
Largy Star                | 0          | 0.0433     | Fallback  
Love Sign d'Aunou         | 0          | 0.1530     | Fallback  
Touch The Clouds          | 0          | 0.0493     | Fallback  
Vienna Storm              | 0          | 0.1331     | Fallback  
Esprit De Rue             | 0          | 0.0305     | Fallback  
Eyecanboogie              | 0          | 0.0690     | Fallback  
Fly Away Home             | 0          | 0.0860     | Fallback  
Hazy Daisy                | 0          | 0.0413     | Fallback  
Flicker Of Hope           | 0          | 0.0313     | Fallback  
Argento Boy               | 0          | 0.1320     | Fallback  
Blaze The Way             | 0          | 0.0447     | Fallback  
Bossofthebrownies         | 0          | 0.0243     | Fallback  
Eagle Fang                | 0          | 0.0851     | Fallback  
Lonesome Boatman          | 0          | 0.0221     | Fallback  
The Enabler               | 0          | 0.0750     | Fallback  
The Great Nudie           | 0          | 0.0354     | Fallback  
Karl Des Tourelles        | 0          | 0.0334     | Fallback  
Raglan Road               | 0          | 0.0335     | Fallback  
Talk In The Park          | 0          | 0.0192     | Fallback  
Goraibhmaithagat          | 0          | 0.0181     | Fallback  
Bridie's Beau             | 0          | 0.0209     | Fallback  
Built By Ballymore        | 0          | 0.0418     | Fallback  
Jacovec Cavern            | 10         | 0.1082     | Lookup    
Prophet's Corner          | 0          | 0.0164     | Fallback  
Mickie Angel              | 0          | 0.0188     | Fallback  
Three In A Row            | 0          | 0.0176     | Fallback  
Rusheen                   | 0          | 0.0340     | Fallback  
Rehill Relic              | 0          | 0.0155     | Fallback  
Largy Train               | 0          | 0.0209     | Fallback  
Dixie Cowboy              | 0          | 0.0241     | Fallback  
The Jeweller's Pet        | 0          | 0.0262     | Fallback  
Huit Reflets              | 0          | 0.0223     | Fallback  
Cudgel                    | 0          | 0.0241     | Fallback  
La Zoubida                | 0          | 0.0166     | Fallback  
Laffer Curve              | 0          | 0.0155     | Fallback  
Rosa Diaz                 | 0          | 0.0180     | Fallback  
Rosie Baloo               | 0          | 0.0185     | Fallback  
Melosa                    | 0          | 0.0172     | Fallback  
My My My Delilah          | 0          | 0.0094     | Fallback  
Kazar Forez               | 0          | 0.0088     | Fallback  
Saviour                   | 0          | 0.0073     | Fallback  
Expelliarmus              | 0          | 0.0093     | Fallback  
The Coffey Boy            | 0          | 0.0102     | Fallback  
Delayed Charm             | 0          | 0.0087     | Fallback  
Macho Sun                 | 0          | 0.0112     | Fallback  
Fromheretoeternity        | 0          | 0.0081     | Fallback  
Chase A Fortune           | 0          | 0.0081     | Fallback  
Celestial Reign           | 0          | 0.0072     | Fallback  
Russian Virtue            | 0          | 0.0083     | Fallback  
Indian River              | 0          | 0.0083     | Fallback  
Ghasham                   | 0          | 0.0096     | Fallback  
Inca Prince               | 0          | 0.0084     | Fallback  
Tom Creen                 | 0          | 0.0159     | Fallback  
Slaney Opera              | 0          | 0.0179     | Fallback  
Similar Story             | 0          | 0.0182     | Fallback  
Scottish King             | 0          | 0.0144     | Fallback  
Nights In Venice          | 0          | 0.0151     | Fallback  
Carrhill                  | 0          | 0.0421     | Fallback  
Uncle Al                  | 0          | 0.0192     | Fallback  
Eveque                    | 0          | 0.0159     | Fallback  
Delgany Deadline          | 0          | 0.0238     | Fallback  
Aill Dubh                 | 0          | 0.0331     | Fallback  
