============================================================
INFERENCE LOG FOR EVENT DATE: 2026-01-12
Execution Time: 2026-01-11 23:08:52
Input File: Inference_Inputs\Input_2026-01-12.csv
============================================================

### DATA QUALITY SUMMARY
Total Entries Processed: 320
Missing Values (NaNs) found in key features (before zero-fill):
 - No missing values found. Data is clean.

### HORSE PREDICTION SUMMARY
Horse Name                | Runs Found | Win Prob   | Source    
-----------------------------------------------------------------
Berto Ramirez             | 7          | 0.0533     | Lookup    
Deep Water Bay            | 0          | 0.0191     | Fallback  
Direct Approach           | 0          | 0.0125     | Fallback  
Granlahan                 | 0          | 0.0104     | Fallback  
Kilmeaden                 | 0          | 0.0066     | Fallback  
Kizlyar                   | 0          | 0.0069     | Fallback  
Madness d'Elle            | 0          | 0.0840     | Fallback  
Mino Des Mottes           | 0          | 0.0150     | Fallback  
Nile Star                 | 0          | 0.0166     | Fallback  
Ray Gun                   | 0          | 0.0116     | Fallback  
Royal Belief              | 0          | 0.0062     | Fallback  
Starword                  | 0          | 0.0338     | Fallback  
Stone Rulya               | 0          | 0.0124     | Fallback  
Wolfpack                  | 0          | 0.0213     | Fallback  
Concert Party             | 0          | 0.0067     | Fallback  
Simple Things             | 0          | 0.0067     | Fallback  
Black Soul                | 0          | 0.0085     | Fallback  
Zuzukel                   | 0          | 0.0073     | Fallback  
Trebizond                 | 1          | 0.0156     | Lookup    
Mo Ghille Mar             | 0          | 0.0056     | Fallback  
Be Fierce                 | 0          | 0.0066     | Fallback  
Hereditary Rule           | 0          | 0.0072     | Fallback  
Metamorpheus              | 0          | 0.0070     | Fallback  
Walk On Annilog           | 0          | 0.0078     | Fallback  
Eco Pete                  | 0          | 0.0170     | Fallback  
Couldntmakeitup           | 0          | 0.0078     | Fallback  
Jumble Light              | 0          | 0.0082     | Fallback  
Where Are You Now         | 0          | 0.0126     | Fallback  
Kilt                      | 0          | 0.0080     | Fallback  
Bambino Fever             | 0          | 0.0683     | Fallback  
Carrigmoorna Beech        | 0          | 0.0195     | Fallback  
Doing It In Style         | 0          | 0.0141     | Fallback  
Forceonmyown              | 0          | 0.0380     | Fallback  
Ill Raise A Glass         | 0          | 0.0161     | Fallback  
Kaleo Ametsa              | 0          | 0.0199     | Fallback  
Lizzymac                  | 0          | 0.0304     | Fallback  
Nothing Da Now            | 0          | 0.0283     | Fallback  
Poetisa                   | 0          | 0.0512     | Fallback  
Susie Lenglen             | 0          | 0.0390     | Fallback  
Thecouncillorswife        | 0          | 0.0915     | Fallback  
Wings Of Africa           | 0          | 0.0434     | Fallback  
Paul Collins              | 0          | 0.0442     | Fallback  
Mojoe                     | 0          | 0.0281     | Fallback  
The Guinness Boys         | 0          | 0.0203     | Fallback  
Miss Mini Bee             | 0          | 0.0466     | Fallback  
Paradise Lost             | 0          | 0.0271     | Fallback  
Sarandon                  | 0          | 0.0164     | Fallback  
Danny The Champ           | 0          | 0.0308     | Fallback  
Hey Babbs                 | 0          | 0.0405     | Fallback  
Kasper Hauser             | 7          | 0.1190     | Lookup    
Kazbek                    | 0          | 0.0202     | Fallback  
Kinturk Nelson            | 0          | 0.0243     | Fallback  
Patsy's Pride             | 0          | 0.0195     | Fallback  
Sean Mc                   | 0          | 0.0313     | Fallback  
Dahoma                    | 0          | 0.0232     | Fallback  
Loi Des Jeux              | 0          | 0.0288     | Fallback  
Vallon Du Plessis         | 0          | 0.0276     | Fallback  
Sunrise Strider           | 0          | 0.0193     | Fallback  
Albus                     | 0          | 0.0488     | Fallback  
Bergamasquo               | 0          | 0.0310     | Fallback  
Double Power              | 0          | 0.0230     | Fallback  
Gerrymandering            | 0          | 0.0592     | Fallback  
Jesse James Howard        | 0          | 0.0363     | Fallback  
Lord Tobin                | 0          | 0.0818     | Fallback  
Lyreen Og                 | 0          | 0.0420     | Fallback  
Michael's Jet             | 0          | 0.0260     | Fallback  
Poet's Gale               | 0          | 0.0639     | Fallback  
Potters Pal               | 0          | 0.0246     | Fallback  
Royal Soldier             | 0          | 0.0570     | Fallback  
Shabby Hill               | 0          | 0.0728     | Fallback  
Sticktothescript          | 0          | 0.0602     | Fallback  
Wise Man                  | 0          | 0.0285     | Fallback  
Kimi De Mai               | 0          | 0.1300     | Fallback  
Peppers Corner            | 0          | 0.0646     | Fallback  
Folly Master              | 0          | 0.0153     | Fallback  
Money Heist               | 0          | 0.0329     | Fallback  
The Man's Room            | 0          | 0.0537     | Fallback  
Rockstown Girl            | 0          | 0.0287     | Fallback  
Cathryns Ruby             | 0          | 0.0713     | Fallback  
Cornmarket                | 0          | 0.0188     | Fallback  
Rocky's Howya             | 0          | 0.0207     | Fallback  
Westernersunrise          | 0          | 0.0395     | Fallback  
Siege Ofjadotville        | 0          | 0.0195     | Fallback  
Empire Walk               | 0          | 0.0119     | Fallback  
