============================================================
INFERENCE LOG FOR EVENT DATE: 2026-01-09
Execution Time: 2026-01-09 22:42:49
Input File: Inference_Inputs\Input_2026-01-09.csv
============================================================

### DATA QUALITY SUMMARY
Total Entries Processed: 568
Missing Values (NaNs) found in key features (before zero-fill):
 - wilson_score: 237
 - jt_wins: 568

### HORSE PREDICTION SUMMARY
Horse Name                | Runs Found | Win Prob   | Source    
-----------------------------------------------------------------
Brave Empire              | 0          | 0.0193     | Fallback  
Waistcoat                 | 0          | 0.0219     | Fallback  
I Need Your Love          | 0          | 0.0252     | Fallback  
Brian The Snail           | 0          | 0.0298     | Fallback  
Gustav Graves             | 0          | 0.0304     | Fallback  
Cargin Bhui               | 0          | 0.0212     | Fallback  
Amerjeet                  | 0          | 0.0204     | Fallback  
Some Nightmare            | 0          | 0.0311     | Fallback  
Zoulu Warrior             | 0          | 0.0207     | Fallback  
Addarella                 | 0          | 0.0209     | Fallback  
Toomuchforme              | 0          | 0.0207     | Fallback  
Cast No Shadow            | 0          | 0.0337     | Fallback  
Punchbowl Flyer           | 0          | 0.0298     | Fallback  
Invincible Melody         | 0          | 0.0198     | Fallback  
Haziym                    | 0          | 0.0309     | Fallback  
Court Of Session          | 0          | 0.0296     | Fallback  
Zoulu Chief               | 0          | 0.0201     | Fallback  
Badri                     | 0          | 0.0214     | Fallback  
Carbine Harvester         | 0          | 0.0260     | Fallback  
Coachello                 | 0          | 0.0226     | Fallback  
Kullazain                 | 0          | 0.0187     | Fallback  
The Caltonian             | 0          | 0.0225     | Fallback  
Dragon Leader             | 0          | 0.0266     | Fallback  
Betsen                    | 14         | 0.0540     | Lookup    
Purest Time               | 0          | 0.0229     | Fallback  
Justcallmepete            | 0          | 0.0225     | Fallback  
Eminency                  | 0          | 0.0286     | Fallback  
Dyrholaey                 | 0          | 0.0201     | Fallback  
Many A Star               | 0          | 0.0214     | Fallback  
Bystander                 | 0          | 0.0309     | Fallback  
Light Speed               | 0          | 0.0269     | Fallback  
Aiming High               | 0          | 0.0307     | Fallback  
Market House              | 0          | 0.0308     | Fallback  
Oman                      | 0          | 0.0358     | Fallback  
Bint Al Daar              | 0          | 0.0379     | Fallback  
Jodhpur Blue              | 0          | 0.0279     | Fallback  
Francesco Baracca         | 0          | 0.0241     | Fallback  
Nivelle's Magic           | 0          | 0.0367     | Fallback  
Gemmari                   | 0          | 0.0249     | Fallback  
Flaine                    | 0          | 0.0248     | Fallback  
The Sweet Escape          | 0          | 0.0228     | Fallback  
Bell Shot                 | 0          | 0.0230     | Fallback  
Dosman                    | 0          | 0.0207     | Fallback  
Bela Sonata               | 0          | 0.0184     | Fallback  
Best Rate                 | 0          | 0.0275     | Fallback  
Metaverse                 | 0          | 0.0235     | Fallback  
I Still Have Faith        | 0          | 0.0229     | Fallback  
Diamondonthehill          | 0          | 0.0233     | Fallback  
Tennessee Gold            | 0          | 0.0201     | Fallback  
Shiplake                  | 0          | 0.0190     | Fallback  
Little Empire             | 0          | 0.0219     | Fallback  
Follow Your Heart         | 0          | 0.0221     | Fallback  
Mythical Composer         | 0          | 0.0196     | Fallback  
Revolutionise             | 0          | 0.0413     | Fallback  
Ziggy's Condor            | 0          | 0.0217     | Fallback  
Brunel Nation             | 0          | 0.0226     | Fallback  
Al Rufaa                  | 0          | 0.0277     | Fallback  
Kit Gabriel               | 0          | 0.0275     | Fallback  
Star Of Mali              | 0          | 0.0234     | Fallback  
Bill Plumb                | 0          | 0.0321     | Fallback  
Vince Lombardi            | 0          | 0.0321     | Fallback  
The Caribbean             | 0          | 0.0352     | Fallback  
