============================================================
INFERENCE LOG FOR EVENT DATE: 2026-01-13
Execution Time: 2026-01-12 00:34:17
Input File: Inference_Inputs\Input_2026-01-13.csv
============================================================

### DATA QUALITY SUMMARY
Total Entries Processed: 295
Missing Values (NaNs) found in key features (before zero-fill):
 - No missing values found. Data is clean.

### HORSE PREDICTION SUMMARY
Horse Name                | Runs Found | Win Prob   | Source    
-----------------------------------------------------------------
Crab Road                 | 0          | 0.0185     | Fallback  
Jet Renegade              | 0          | 0.0384     | Fallback  
Kidam Roque               | 0          | 0.0159     | Fallback  
Kings Gesture             | 0          | 0.0925     | Lookup    
Soaring Sun               | 0          | 0.0311     | Fallback  
Battling Siki             | 0          | 0.0191     | Fallback  
Dancingondiamonds         | 0          | 0.0183     | Fallback  
Miners Cabin              | 0          | 0.0211     | Fallback  
Tyraxes                   | 0          | 0.0157     | Fallback  
Stonking                  | 0          | 0.1444     | Lookup    
Urban War                 | 0          | 0.0331     | Fallback  
Aratayvo                  | 0          | 0.0170     | Fallback  
Daonethatgotaway          | 25         | 0.1296     | Lookup    
Una Matata                | 0          | 0.0546     | Fallback  
Hurricane Helen           | 27         | 0.0899     | Lookup    
Lahore Da King            | 0          | 0.0250     | Fallback  
Moyassr                   | 0          | 0.0241     | Fallback  
Bint Majestic Roi         | 0          | 0.0391     | Fallback  
Comfort Line              | 0          | 0.0247     | Fallback  
Johnny's Oasis            | 11         | 0.1056     | Lookup    
March To The Band         | 1          | 0.0961     | Lookup    
Fleetfootsoldier          | 0          | 0.0294     | Fallback  
Magna Gee Gee             | 0          | 0.0441     | Fallback  
Battle Borne              | 0          | 0.0252     | Fallback  
Smaoineamh Sile           | 13         | 0.0627     | Lookup    
Bucky Larson              | 0          | 0.0291     | Fallback  
Arcabulle                 | 0          | 0.0238     | Fallback  
Divelment                 | 0          | 0.0294     | Fallback  
No More Hiding            | 0          | 0.0349     | Fallback  
Another Day Done          | 0          | 0.0539     | Fallback  
Dawn Flame                | 2          | 0.0542     | Lookup    
Guildhall Graduate        | 0          | 0.0207     | Fallback  
Apiary                    | 0          | 0.0222     | Fallback  
Iryna's Star              | 0          | 0.0234     | Fallback  
Stolen Treasure           | 0          | 0.0285     | Fallback  
Grey Sands                | 0          | 0.0313     | Fallback  
Sapphire Dream            | 0          | 0.0446     | Fallback  
Ballymagreehan            | 6          | 0.2630     | Lookup    
Greek Gift                | 0          | 0.0448     | Fallback  
Mount Ruapehu             | 0          | 0.0959     | Fallback  
Sovereign Banter          | 0          | 0.1032     | Fallback  
Platino Bianco            | 0          | 0.0318     | Fallback  
Star Allure               | 0          | 0.0218     | Fallback  
Winemaker                 | 0          | 0.0366     | Fallback  
Charanda                  | 0          | 0.0255     | Fallback  
Jackie Brown              | 0          | 0.0363     | Fallback  
Moonhall Lass             | 0          | 0.0268     | Fallback  
An Laochmor               | 0          | 0.0237     | Fallback  
Carmina Burana            | 0          | 0.0637     | Fallback  
Fort Star                 | 0          | 0.0667     | Fallback  
Spirit Of Eagles          | 0          | 0.0364     | Fallback  
