feature,importance
EMA_Form,0.20126252
wilson_score,0.1136645
performance_on_going,0.07243783
rating,0.062063046
distance,0.051343434
jt_wins,0.04866735
recent_win_rate,0.043075796
career_races,0.039801136
career_win_rate,0.039737333
track_win_rate,0.03805338
track_avg_distance,0.03576316
weight,0.03497941
jt_runs,0.03276114
is_young_horse,0.032163978
is_prime_age,0.03147231
is_veteran,0.031276252
career_wins,0.031109484
age,0.030555626
claims,0.029812345
days_since_last,0.0
