strategy,init_bankroll,final_bankroll,total_profit,total_staked,roi,bets_placed,wins,win_rate_on_bets,max_drawdown,seed
kelly_fractional,1000.0,3552599.002937834,3551599.002937828,7554986.0737289395,0.47010000657550566,6230,779,0.12504012841091494,206630.74646869535,2025
kelly_fractional,1000.0,3074932.4133137357,3073932.4133137306,7322573.8860814795,0.41978851441247533,6208,786,0.12661082474226804,213270.01748549799,2026
kelly_fractional,1000.0,3321021.930379744,3320021.9303797507,7630242.927667164,0.4351135293925431,6293,787,0.12505959002065786,281389.0526985475,2027
kelly_fractional,1000.0,2840922.5181382746,2839922.5181382652,7571428.513052178,0.375084109061137,6270,793,0.12647527910685805,334324.5761276246,2028
kelly_fractional,1000.0,2953598.4487217306,2952598.4487217274,7531803.319791643,0.39201746558663547,6154,796,0.12934676633084172,153494.70419345237,2029
kelly_fractional,1000.0,3429991.2922358518,3428991.2922358555,7662388.475728148,0.44750945519112467,6331,842,0.1329963670826094,312275.5044487524,2030
kelly_fractional,1000.0,2620771.6263730316,2619771.626373033,7625501.621254029,0.34355400555828697,6255,773,0.12358113509192646,395959.70097049815,2031
kelly_fractional,1000.0,2999460.338860293,2998460.3388603013,7895950.612235706,0.3797465924133104,6364,784,0.12319296040226273,291444.7434508102,2032
kelly_fractional,1000.0,1785473.507214081,1784473.5072140833,7361718.370853568,0.24239904561945083,6304,798,0.12658629441624367,381598.71996086184,2033
kelly_fractional,1000.0,2708547.9840477705,2707547.9840477677,7327516.414545977,0.3695041854390075,6225,749,0.12032128514056224,319238.6067309957,2034
kelly_fractional,1000.0,2309557.4672666322,2308557.467266629,7166997.992971485,0.32210940613218814,6222,764,0.12279009964641595,191992.79828341724,2035
kelly_fractional,1000.0,3276282.8366518747,3275282.836651873,7570066.225001578,0.4326623756387534,6298,808,0.12829469672912036,164985.15059191873,2036
kelly_fractional,1000.0,3729146.7380369273,3728146.7380369315,7750090.350842921,0.4810455838919927,6260,800,0.12779552715654952,113525.6330075222,2037
kelly_fractional,1000.0,3631358.281559824,3630358.2815598166,7744256.886929084,0.46878071512416,6248,795,0.12724071702944942,318270.4660952897,2038
kelly_fractional,1000.0,2899693.8690752434,2898693.8690752466,7589662.709288489,0.3819265730383151,6278,789,0.12567696718700222,297484.86249382,2039
kelly_fractional,1000.0,3626046.895608594,3625046.8956085844,7758829.84687913,0.4672156713253228,6318,802,0.12693890471668248,190893.35356546706,2040
kelly_fractional,1000.0,2531380.479913907,2530380.479913902,7383534.269101247,0.3427058624896055,6286,792,0.12599427298759147,228507.38579771225,2041
kelly_fractional,1000.0,3235950.6834935956,3234950.683493602,7835018.497862756,0.41288360510904154,6286,804,0.1279032771237671,289091.98616325017,2042
kelly_fractional,1000.0,3191010.9578354317,3190010.9578354387,7366951.966740608,0.4330163916145104,6256,804,0.1285166240409207,174087.61391623737,2043
kelly_fractional,1000.0,2689043.264244075,2688043.2642440666,7272343.727345852,0.3696254419515876,6218,769,0.12367320681891283,296941.006322409,2044
kelly_fractional,1000.0,3145948.1286434014,3144948.128643387,7358643.125739684,0.4273815260374187,6203,767,0.12364984684829922,111363.58575009159,2045
kelly_fractional,1000.0,2995486.081183708,2994486.081183711,7536920.355482439,0.39730897235838364,6333,794,0.12537501973788093,190525.90146365436,2046
kelly_fractional,1000.0,3478870.2156125787,3477870.215612583,7779803.056157279,0.44703833638308405,6308,793,0.12571337983513,284790.9792794124,2047
kelly_fractional,1000.0,2931047.852674493,2930047.8526744945,7353194.550125219,0.3984727770632151,6174,783,0.12682215743440234,219410.71367626917,2048
kelly_fractional,1000.0,3394020.1486303452,3393020.1486303355,7702457.706528138,0.44051136376310335,6304,821,0.13023477157360405,156821.01791422628,2049
kelly_fractional,1000.0,2849864.5654602568,2848864.56546026,7728228.659429396,0.3686309879022915,6271,804,0.1282092170307766,272777.3591277059,2050
kelly_fractional,1000.0,3028451.193118777,3027451.193118786,7465465.651584597,0.40552744254823386,6281,798,0.12704983282916732,380833.2086860188,2051
kelly_fractional,1000.0,2437796.0448625213,2436796.0448625186,7508833.471897577,0.3245239162624164,6297,787,0.1249801492774337,236150.29981671483,2052
kelly_fractional,1000.0,2314426.828080494,2313426.828080502,7096116.578349284,0.32601308089257136,6308,789,0.12507926442612555,211297.13226454868,2053
kelly_fractional,1000.0,3620713.5761073255,3619713.5761073236,7732910.000765174,0.46809203466083943,6279,822,0.1309125656951744,163165.73495397065,2054
kelly_fractional,1000.0,2153911.2297366434,2152911.229736641,7295966.525711357,0.29508238862523184,6320,780,0.12341772151898735,170429.18473361153,2055
kelly_fractional,1000.0,2507619.918664394,2506619.918664404,7566416.964450145,0.3312822873020931,6233,761,0.12209209048612225,421436.02702499856,2056
kelly_fractional,1000.0,3438282.716652859,3437282.716652861,7551130.958139455,0.45520104679786705,6250,813,0.13008,164626.40605390538,2057
kelly_fractional,1000.0,3527613.4219822832,3526613.42198228,7658952.093471979,0.46045638867334726,6283,795,0.12653191150724177,166612.43187259976,2058
kelly_fractional,1000.0,2565893.197550734,2564893.197550735,7195311.862820326,0.35646727292031244,6266,786,0.12543887647622087,248845.66359719634,2059
kelly_fractional,1000.0,3119287.329372607,3118287.3293726062,7720198.483133268,0.40391284449296166,6349,784,0.12348401323042998,306617.01957119163,2060
kelly_fractional,1000.0,3450088.2168080374,3449088.2168080397,7627402.011023378,0.45219698815183745,6358,783,0.1231519345706197,178067.22878249036,2061
kelly_fractional,1000.0,2944945.2127826447,2943945.212782651,7646941.705004587,0.3849833471145685,6345,804,0.12671394799054372,287173.41798698856,2062
kelly_fractional,1000.0,3089843.122343567,3088843.1223435653,7222127.730836377,0.4276915664555623,6207,785,0.12647011438698244,331217.46570269624,2063
kelly_fractional,1000.0,3516603.697039554,3515603.697039549,7715605.485817863,0.45564845215344635,6199,825,0.1330859816099371,270561.5053878422,2064
kelly_fractional,1000.0,1735200.752357543,1734200.7523575393,7285042.685793067,0.23804949773863268,6183,763,0.12340287886139414,214312.95953246905,2065
kelly_fractional,1000.0,2439889.8840026828,2438889.88400269,7520150.670376576,0.324313965358431,6231,778,0.12485957310223078,468898.06898632715,2066
kelly_fractional,1000.0,2984464.9903661176,2983464.9903661194,7267741.236551987,0.41050787215169976,6185,766,0.1238480194017785,279335.37335932255,2067
kelly_fractional,1000.0,2829727.5191499293,2828727.519149927,7624552.022385149,0.3710024550747351,6344,797,0.12563051702395964,264561.93383336393,2068
kelly_fractional,1000.0,3030004.325876611,3029004.32587661,7757778.628466793,0.3904473781659385,6405,789,0.12318501170960187,289911.41878749663,2069
kelly_fractional,1000.0,4027684.7710918062,4026684.771091802,7460384.309408408,0.539742271187516,6216,809,0.13014800514800515,190923.38714210503,2070
kelly_fractional,1000.0,2637255.2419236093,2636255.2419236097,7310667.434745203,0.3606039072977597,6273,780,0.12434241989478718,339891.12408341817,2071
kelly_fractional,1000.0,3602385.277490589,3601385.277490589,7502104.419997763,0.48005000675419324,6270,792,0.12631578947368421,126117.45505365077,2072
kelly_fractional,1000.0,2489962.4002638734,2488962.4002638785,7397830.900358969,0.3364448895612233,6211,793,0.1276767026243761,164306.2627223127,2073
kelly_fractional,1000.0,3071637.42676963,3070637.4267696394,7365560.991741757,0.4168911818410611,6232,790,0.1267650834403081,206130.15928874817,2074
kelly_fractional,1000.0,3441385.899924238,3440385.899924243,7672596.429076168,0.448399173829411,6285,801,0.12744630071599045,164674.39067755593,2075
kelly_fractional,1000.0,3231396.7035137266,3230396.7035137126,7943373.9925451465,0.40667815798997237,6355,830,0.13060582218725414,198913.80324627645,2076
kelly_fractional,1000.0,2959094.00932792,2958094.0093279276,7500013.702586445,0.3944118139821269,6258,767,0.12256311920741451,188503.4048271,2077
kelly_fractional,1000.0,2974402.273953344,2973402.2739533396,7609036.417766957,0.39077251187949386,6300,791,0.12555555555555556,195994.87794432114,2078
kelly_fractional,1000.0,2254346.1328599215,2253346.1328599136,7405661.049428817,0.30427346293869467,6295,754,0.11977760127084988,230302.98656566232,2079
kelly_fractional,1000.0,3236434.388756827,3235434.388756831,7818392.254747026,0.41382349252078016,6248,771,0.12339948783610756,375381.82861418277,2080
kelly_fractional,1000.0,3089259.6708258884,3088259.670825887,7501522.441863546,0.41168438737066476,6232,798,0.12804878048780488,172925.85341937048,2081
kelly_fractional,1000.0,3542818.6819281983,3541818.6819281983,7793469.034816208,0.4544598388863329,6278,816,0.12997769990442817,167859.95077240653,2082
kelly_fractional,1000.0,3226221.101107454,3225221.101107453,7629414.770910903,0.4227350587104576,6222,798,0.12825458052073288,235251.4456546749,2083
kelly_fractional,1000.0,2755786.601451146,2754786.601451149,7565205.162576774,0.3641390474217946,6240,790,0.1266025641025641,249144.29434203403,2084
kelly_fractional,1000.0,3232634.9028193983,3231634.9028193937,7662589.695294628,0.42174186943662745,6275,800,0.12749003984063745,350180.10081845056,2085
kelly_fractional,1000.0,3223268.853278749,3222268.8532787487,7731410.790996724,0.4167763090574751,6398,801,0.1251953735542357,185465.66548410896,2086
kelly_fractional,1000.0,2965556.767049091,2964556.767049091,7721243.369827779,0.3839481059013964,6320,800,0.12658227848101267,191017.3910084935,2087
kelly_fractional,1000.0,3046911.202868314,3045911.2028683103,7676476.3159469,0.39678507136677,6391,811,0.1268971991863558,391047.17214202904,2088
kelly_fractional,1000.0,2605283.73705805,2604283.7370580533,7347744.953116907,0.35443306125552415,6272,761,0.12133290816326531,348324.65029163496,2089
kelly_fractional,1000.0,3577153.0571931927,3576153.0571931917,7631330.094736468,0.4686146468306698,6340,802,0.12649842271293377,163574.43884099182,2090
kelly_fractional,1000.0,2704292.3034464233,2703292.3034464177,7508437.728280256,0.3600339246691181,6308,766,0.12143310082435003,363591.1423517023,2091
kelly_fractional,1000.0,2800340.612748129,2799340.612748124,7411784.113803716,0.3776878238445489,6342,797,0.12567013560391044,144563.20666999277,2092
kelly_fractional,1000.0,3422474.2084340486,3421474.208434058,7606104.509552461,0.4498326579837352,6274,794,0.12655403251514186,266605.8497319203,2093
kelly_fractional,1000.0,3098394.3173298654,3097394.317329867,7718992.910535217,0.40126922685761357,6259,764,0.12206422751238218,185736.28846029472,2094
kelly_fractional,1000.0,2559329.2807000354,2558329.280700041,7441516.838479139,0.34379137160198914,6248,782,0.12516005121638923,225648.15132701327,2095
kelly_fractional,1000.0,2753504.9041961366,2752504.904196143,7660193.223364092,0.3593257799034132,6324,806,0.12745098039215685,210195.24093013466,2096
kelly_fractional,1000.0,3181929.565737103,3180929.5657371087,7391701.306873319,0.43033794706764716,6181,772,0.12489888367578061,292017.58394654375,2097
kelly_fractional,1000.0,3032054.2076955796,3031054.2076955712,7184590.755443027,0.42188265287055526,6212,776,0.12491951062459755,213384.95114793372,2098
kelly_fractional,1000.0,3245932.452180579,3244932.4521805746,7361440.5567419985,0.44080128436392696,6283,812,0.12923762533821423,140346.7787080123,2099
kelly_fractional,1000.0,3258773.6863792627,3257773.6863792688,7539849.957522223,0.43207407371934653,6249,806,0.1289806369019043,214469.06518453406,2100
kelly_fractional,1000.0,3166026.760807747,3165026.7608077424,7421148.695141766,0.4264874470012598,6111,786,0.12862052037309768,299089.08663811255,2101
kelly_fractional,1000.0,2992871.4683815446,2991871.46838155,7618568.532451482,0.39270782373848834,6298,793,0.12591298825023817,302081.1024290612,2102
kelly_fractional,1000.0,2451785.381996265,2450785.3819962586,7529556.673701787,0.325488669280627,6373,753,0.11815471520477012,239256.66793473624,2103
kelly_fractional,1000.0,3211265.271428873,3210265.271428872,7657634.893812947,0.41922412284537536,6194,806,0.13012592831772682,259418.43378235027,2104
kelly_fractional,1000.0,3627569.2158365105,3626569.215836496,7547222.907962325,0.48051704051439414,6163,794,0.12883336037644005,147433.01884223567,2105
kelly_fractional,1000.0,3036324.6498586168,3035324.6498586205,7479441.442748194,0.4058223696371827,6313,807,0.127831458894345,222180.84149849508,2106
kelly_fractional,1000.0,3168243.5217564167,3167243.5217564153,7348091.975566525,0.4310293790943228,6302,792,0.12567438908283085,308342.20972285,2107
kelly_fractional,1000.0,3773755.3046577317,3772755.3046577307,7687324.684030445,0.49077610998989113,6293,798,0.12680756395995552,335948.64402894396,2108
kelly_fractional,1000.0,2557021.217673688,2556021.2176736877,7494570.250120001,0.34104973765944235,6196,774,0.12491930277598451,474447.5807786775,2109
kelly_fractional,1000.0,3261670.8683824902,3260670.868382494,7427253.191290706,0.43901436835437346,6153,801,0.13018039980497317,261230.29841801943,2110
kelly_fractional,1000.0,3524119.219129615,3523119.2191296155,7712377.671912219,0.4568136272631586,6300,816,0.1295238095238095,256416.8895874098,2111
kelly_fractional,1000.0,2470553.036219601,2469553.0362196025,7456410.310612775,0.3311986510056542,6229,767,0.12313372933055065,266833.89919450576,2112
kelly_fractional,1000.0,2731013.4504250335,2730013.450425025,7688109.593421476,0.35509554296169626,6348,790,0.12444864524259609,321673.67504000384,2113
kelly_fractional,1000.0,2975449.7011745623,2974449.7011745656,7426833.170111097,0.40050040616841687,6274,781,0.12448198916161939,329154.6008232001,2114
kelly_fractional,1000.0,3484309.546894116,3483309.5468941154,7679879.956755502,0.4535630200612797,6254,802,0.1282379277262552,273275.5869076848,2115
kelly_fractional,1000.0,2698734.0169493756,2697734.0169493775,7428952.451360273,0.36313787638463224,6212,741,0.11928525434642627,276423.3704620907,2116
kelly_fractional,1000.0,2583115.3821283914,2582115.382128394,7773526.836490014,0.3321678095980304,6459,794,0.12292924601331476,289616.3461975828,2117
kelly_fractional,1000.0,3329151.9502319843,3328151.950231979,8103943.217247749,0.4106830293613881,6267,820,0.13084410403701932,327642.346799213,2118
kelly_fractional,1000.0,3059900.6074709436,3058900.6074709417,7516505.90440404,0.40695778681936284,6292,797,0.12666878575969484,429367.11564099696,2119
kelly_fractional,1000.0,3177294.878157041,3176294.8781570327,7367108.691995417,0.4311453802233394,6162,765,0.12414800389483933,359894.3230231749,2120
kelly_fractional,1000.0,3237776.092274621,3236776.0922746137,7980515.767986121,0.4055848251386154,6285,807,0.12840095465393794,214500.48210052215,2121
kelly_fractional,1000.0,3374046.023658032,3373046.0236580307,7722526.614052763,0.4367801099603934,6271,802,0.12789028863020252,219996.6168880388,2122
kelly_fractional,1000.0,3411866.5994357616,3410866.5994357653,7436931.852803061,0.45863894774700303,6207,787,0.1267923312389238,348882.4670939534,2123
kelly_fractional,1000.0,3450644.4769626507,3449644.476962656,7471201.512046924,0.4617255298763236,6166,792,0.12844631852092117,341806.5791478539,2124
kelly_fractional,1000.0,2852821.9209128227,2851821.920912825,7716495.471074221,0.36957475470607903,6219,801,0.1287988422575977,349165.44414089527,2125
kelly_fractional,1000.0,3691485.9837282775,3690485.9837282808,7620506.080402517,0.48428358232257307,6206,802,0.1292297776345472,157411.56387797883,2126
kelly_fractional,1000.0,3608228.5539990445,3607228.553999042,7538140.836132249,0.47853026792875336,6234,774,0.12415784408084697,214629.42934923153,2127
kelly_fractional,1000.0,3328051.5429660375,3327051.5429660464,7809533.112993855,0.4260243851748765,6278,797,0.12695125836253585,319598.1177789308,2128
kelly_fractional,1000.0,3794168.0344899953,3793168.034489991,7793527.68287465,0.4867074563454784,6339,815,0.12856917494873008,195632.32032655366,2129
kelly_fractional,1000.0,2796371.777673441,2795371.7776734377,7389287.520721367,0.3783005830852478,6317,798,0.12632578755738483,163312.73582456633,2130
kelly_fractional,1000.0,3230712.73684929,3229712.736849291,7673323.710695622,0.4209014057816287,6292,778,0.12364907819453275,167973.95293097245,2131
kelly_fractional,1000.0,2614314.1146416515,2613314.1146416534,7297550.209176636,0.35810841169073737,6248,772,0.1235595390524968,357123.72521901294,2132
kelly_fractional,1000.0,3320103.591891366,3319103.591891368,7699623.606545284,0.43107348638053805,6249,798,0.12770043206913106,300408.42428937834,2133
kelly_fractional,1000.0,2393633.7733178977,2392633.773317898,7537163.297382693,0.31744486339426253,6351,786,0.12376003778932451,357963.1249306025,2134
kelly_fractional,1000.0,3321879.136230444,3320879.1362304343,7188248.514569204,0.4619872461976861,6220,794,0.12765273311897107,212573.96218811022,2135
kelly_fractional,1000.0,3863527.2821351625,3862527.2821351658,7238079.6449515065,0.5336397872920952,6190,786,0.12697899838449112,231112.71072217822,2136
kelly_fractional,1000.0,2894949.1399344765,2893949.139934489,7526456.485891437,0.3845035370043368,6302,806,0.12789590606156775,305831.0552837185,2137
kelly_fractional,1000.0,2997615.880257084,2996615.88025708,7839422.066544507,0.3822495912097179,6263,786,0.12549896215870987,584173.1600508103,2138
kelly_fractional,1000.0,3233665.5627577347,3232665.56275774,7528354.220451583,0.42939870629039434,6298,809,0.12845347729437917,168082.55409834255,2139
kelly_fractional,1000.0,2666934.9829921913,2665934.982992193,7599093.322782487,0.3508227718430011,6247,789,0.12630062429966385,384718.3042961997,2140
