feature,importance
wilson_score,0.13613169
EMA_Form,0.12982659
rating_clean,0.06479868
is_veteran,0.064633206
performance_on_going,0.061360456
jt_wins,0.05686433
career_win_rate,0.04910448
recent_win_rate,0.04781291
age,0.043437123
track_win_rate,0.042284958
distance,0.038235426
career_races,0.036597826
track_avg_distance,0.036294248
jt_runs,0.03601424
claims,0.033287484
weight,0.03236976
is_young_horse,0.031682026
is_prime_age,0.03047346
career_wins,0.02879116
days_since_last,0.0
