strategy,init_bankroll,final_bankroll,total_profit,total_staked,roi,bets_placed,wins,win_rate_on_bets,max_drawdown,seed
kelly_fractional,1000.0,442171.10244311666,441171.1024431146,1772480.880029556,0.24890034494237145,5912,738,0.12483085250338295,116720.1226704857,2025
kelly_fractional,1000.0,452222.63853140635,451222.6385314065,1535114.4233744624,0.293934205594614,5979,742,0.1241010202374979,160881.159678262,2026
kelly_fractional,1000.0,401183.75876587065,400183.7587658704,1651955.2026467542,0.24224855378929044,6010,743,0.12362728785357738,127135.28121366125,2027
kelly_fractional,1000.0,392856.6564732066,391856.6564732074,1638007.3394512585,0.23922765608881918,6015,749,0.12452202826267664,146493.61845622436,2028
kelly_fractional,1000.0,340062.1417330257,339062.14173302666,1744413.7000926696,0.19437025845131486,5880,757,0.12874149659863945,128045.73197511467,2029
kelly_fractional,1000.0,485072.7783706878,484072.77837068716,1614265.2822234281,0.2998718882834075,6049,792,0.13093073235245495,172139.56992147473,2030
kelly_fractional,1000.0,311016.06940017414,310016.06940017454,1529275.7253190319,0.2027208463898818,6017,742,0.12331726774139937,166080.78701209754,2031
kelly_fractional,1000.0,307987.90762991016,306987.90762990894,1775288.362408036,0.17292284122986337,6104,736,0.12057667103538663,192391.6793916831,2032
kelly_fractional,1000.0,183542.15838852336,182542.1583885236,1321310.0976146008,0.13815239792541675,6175,783,0.12680161943319837,126366.09627644003,2033
kelly_fractional,1000.0,286850.7878342891,285850.7878342885,1560596.9075447517,0.18316759853382666,6003,720,0.1199400299850075,177836.3029458225,2034
kelly_fractional,1000.0,307782.74811704643,306782.74811704666,1362929.96408263,0.2250906181547913,6029,728,0.12074970973627468,78177.32898498423,2035
kelly_fractional,1000.0,387714.6960805596,386714.696080561,1712618.0754609099,0.22580323168461602,6025,760,0.12614107883817427,87973.336165063,2036
kelly_fractional,1000.0,470144.04816611175,469144.048166112,1926759.582263354,0.2434886285163876,5898,743,0.12597490674805017,112260.34854246723,2037
kelly_fractional,1000.0,477475.7769194534,476475.7769194534,1713599.350915539,0.2780555306961821,5950,750,0.12605042016806722,191399.97240741193,2038
kelly_fractional,1000.0,418307.62299666414,417307.6229966645,1513241.1898745252,0.27577072695943916,6069,749,0.12341407151095732,117945.44506598389,2039
kelly_fractional,1000.0,483479.17245151184,482479.1724515123,1745054.8591675756,0.276483670365334,6029,747,0.12390114446840272,156949.97664983582,2040
kelly_fractional,1000.0,281588.41987389134,280588.41987389175,1466611.782090336,0.19131744562557243,6084,756,0.1242603550295858,109198.61007901005,2041
kelly_fractional,1000.0,319484.3535622973,318484.3535622977,1662234.49180799,0.19160013531898654,6066,775,0.12776129244971976,134839.7041763456,2042
kelly_fractional,1000.0,387270.7706947192,386270.7706947201,1688405.0191068344,0.22877850179517778,5995,761,0.12693911592994161,109953.78018166358,2043
kelly_fractional,1000.0,268213.6837016228,267213.68370162253,1461940.8307562422,0.1827800948437814,6008,739,0.12300266311584554,128220.53966284572,2044
kelly_fractional,1000.0,345529.4446833205,344529.44468331896,1559945.8171539556,0.22085987916676234,5947,731,0.12291911888347065,85058.04601786309,2045
kelly_fractional,1000.0,329026.3146269844,328026.3146269834,1646470.4764684804,0.1992300009718778,6071,749,0.12337341459397135,106150.17867807482,2046
kelly_fractional,1000.0,372746.1048275485,371746.10482754715,1901213.8851135625,0.19553092250078016,5966,737,0.12353335568219913,262436.8966515388,2047
kelly_fractional,1000.0,363243.2925637814,362243.2925637801,1581957.5748167909,0.22898420180815032,5945,746,0.12548359966358286,113170.17991562776,2048
kelly_fractional,1000.0,380827.84480892896,379827.8448089286,1709397.0894872188,0.22219988974175015,6019,768,0.12759594617046022,118922.21126940649,2049
kelly_fractional,1000.0,337516.04994788795,336516.0499478886,1665282.2983592795,0.20207747976390625,6064,766,0.1263192612137203,172004.88345995548,2050
kelly_fractional,1000.0,302674.9652267038,301674.9652267046,1650090.0548401773,0.18282333400035183,6034,755,0.12512429565793834,194932.55848566382,2051
kelly_fractional,1000.0,264111.54774187977,263111.54774188,1547884.1447542137,0.16998142182253512,6060,748,0.12343234323432344,117082.08648731612,2052
kelly_fractional,1000.0,287962.8333810009,286962.8333810002,1277961.368672119,0.2245473458084045,6131,760,0.1239602022508563,72585.28501838495,2053
kelly_fractional,1000.0,448685.0840483194,447685.0840483185,1853205.849660817,0.24157331692550832,5925,756,0.12759493670886077,102763.88649958646,2054
kelly_fractional,1000.0,247444.2119398517,246444.21193985222,1370112.3570953188,0.17987153437716719,6128,743,0.1212467362924282,109739.2214048311,2055
kelly_fractional,1000.0,287710.9600087205,286710.9600087207,1565257.1932580364,0.18317178879206447,6021,734,0.12190666002325196,149159.08828658488,2056
kelly_fractional,1000.0,375036.658879387,374036.65887938766,1628483.4360767528,0.22968404258412042,6022,774,0.12852872799734308,118661.34915179148,2057
kelly_fractional,1000.0,488651.5144140786,487651.5144140781,1888947.4418553654,0.25816044618747896,5938,736,0.12394745705624789,177905.70637153578,2058
kelly_fractional,1000.0,270153.2188761319,269153.2188761327,1402178.859063036,0.19195355652130303,6066,748,0.12331025387405209,155365.27578090073,2059
kelly_fractional,1000.0,328407.67872086103,327407.6787208615,1699177.129517349,0.19268602021136055,6108,738,0.12082514734774066,176628.78869949668,2060
kelly_fractional,1000.0,433209.3340644705,432209.3340644692,1805879.0060930995,0.23933460248786306,6031,728,0.12070966672193666,136320.5572419907,2061
kelly_fractional,1000.0,377642.14064755733,376642.1406475571,1605222.0008858899,0.23463554601151482,6115,769,0.12575633687653312,136267.25363057206,2062
kelly_fractional,1000.0,392450.53550774325,391450.5355077439,1483144.907838848,0.26393276438385427,5995,750,0.12510425354462051,135801.49759879647,2063
kelly_fractional,1000.0,447702.4252098926,446702.4252098922,1874313.756736019,0.23832852082769324,5844,752,0.12867898699520877,163700.27605288482,2064
kelly_fractional,1000.0,193027.85679359862,192027.85679359877,1239185.9018577891,0.1549629127524049,6049,734,0.12134237063977517,69861.25194830552,2065
