horse_name_odds,track_name,time,odds_live,win_probability,edge,ev,kelly_stake,action,jockey,trainer,rating
mon sheriffe,naas,2:25,8/1,0.32993227,0.21108566384765176,1.8997709746288658,5.0,STRONG BET,Simon Torrens,P J Rothwell,127
club manager,naas,2:25,11/2,0.18888554,0.03430180755672993,0.22296174911874456,4.053849983977174,STRONG BET,Michael Kenneally,Ross O'Sullivan,123
vienna storm,naas,2:55,15/2,0.13305664,0.017734922942005515,0.15074684500704683,2.009957933427291,STRONG BET,Miss J Townend,W P Mullins,-
jacovec cavern,naas,3:55,33/1,0.10818182,0.08358287905965256,2.8418178880281872,5.0,STRONG BET,Richard Condon,Paul Hennessy,134
fly away home,naas,2:55,18/1,0.08595811,0.04036172581816651,0.7668727905451636,4.260404391917575,STRONG BET,Mr A D Bustin,C Byrnes,-
eagle fang,naas,3:25,12/1,0.08514004,0.015333964842457998,0.19934154295195405,1.661179524599617,STRONG BET,Philip Byrnes,William Durkan,157
peaceinthevalley,naas,2:25,12/1,0.080706544,0.011343818442457992,0.14746963975195393,1.228913664599616,STRONG BET,J J Slevin,Henry De Bromhead,121
rony has,naas,2:25,12/1,0.07829163,0.00917039584245799,0.11921514595195393,0.993459549599616,STRONG BET,Philip Byrnes,C Byrnes,120
eyecanboogie,naas,2:55,50/1,0.06900076,0.058123846628280004,2.96431617804228,5.0,STRONG BET,Calum Hogan,E McNamara,-
walkingmayotomilan,naas,1:55,125/1,0.06714882,0.06812843582902697,8.584182914457399,5.0,STRONG BET,Danny Gilligan,Ross O'Sullivan,-
true harmony,naas,1:55,50/1,0.05689864,0.04723193862828001,2.4088288700422806,4.817657740084561,STRONG BET,J J Slevin,Seamus Neville,-
patton,naas,1:55,100/1,0.05484909,0.05509419666652502,5.564513863319028,5.0,STRONG BET,Cian Quirke,Andrew Slattery,66
doctor churchill,naas,2:25,22/1,0.050846774,0.017914841495969697,0.41204135440730294,1.8729152473059225,STRONG BET,Cian Cullinan,Eddie & Patrick Harty,123
le roi du livet,naas,1:55,33/1,0.050144453,0.031349248759652566,1.0658744578281873,3.2299225994793552,STRONG BET,Brian Hayes,Philip Fenton,65
granville street,naas,2:25,50/1,0.049681436,0.04073645502828001,2.0775592064422805,4.155118412884561,STRONG BET,E Walsh,Ciaran Murphy,111
hazy daisy,naas,2:55,200/1,0.041305065,0.04783043988742546,9.613918417372517,4.8069592086862585,STRONG BET,Ms N M Bradley,Eoin Griffin,88
thankyouforthedays,naas,1:55,250/1,0.036293216,0.044310836420515004,11.122019941549265,4.4488079766197055,STRONG BET,Donagh Meyler,J P Dempsey,89
rusheen,naas,3:55,33/1,0.03402776,0.016844225059652558,0.572703652028187,1.735465612206627,STRONG BET,Phillip Enright,Terence O'Brien,124
sharu,naas,1:55,66/1,0.03359179,0.030938243631206556,2.072862323290839,3.1407004898346047,STRONG BET,Mike O'Connor,Henry De Bromhead,-
the fly window,naas,1:55,100/1,0.032379847,0.034871877966525015,3.522059674619027,3.522059674619027,STRONG BET,Sean O'Keeffe,Peter Lawlor,-
rathbawn soldier,naas,1:55,250/1,0.030606428,0.03919272722051499,9.837374532349264,3.9349498129397054,STRONG BET,Simon Torrens,Patrick T Foley,100
esprit de rue,naas,2:55,125/1,0.030460892,0.03510930062902698,4.4237718792574,3.5390175034059195,STRONG BET,Ms S Peyroles,Peter McCreery,78
regno,naas,1:55,50/1,0.022460252,0.016237389428280014,0.8281068608422806,1.6562137216845612,STRONG BET,Ross Berry,C A Murphy,-
hunting gold,naas,12:55,66/1,0.021270603,0.019849175331206552,1.3298947471908389,2.0149920411982407,STRONG BET,Tiernan Power Roche,P J Rothwell,96
embrace the day,naas,1:55,50/1,0.0118546225,0.006692322878280012,0.34130846679228055,0.6826169335845611,STRONG BET,Keith Donoghue,Gavin Cromwell,89
gain line,naas,12:55,50/1,0.011176877,0.006082351928280012,0.3101999483422806,0.6203998966845612,STRONG BET,Aidan Kelly,Padraig Roche,-
alberta rose,naas,12:55,66/1,0.011034376,0.010636571031206557,0.7126502590908392,1.079773119834605,STRONG BET,Michael Kenneally,Daniel G Murphy,-
nile star,naas,12:55,200/1,0.010012346,0.01966699278742546,3.953065550272518,1.976532775136259,STRONG BET,Liam McKenna,Ross O'Sullivan,-
blue moon boy,naas,12:55,50/1,0.009670934,0.004727003228280013,0.24107716464228068,0.48215432928456137,STRONG BET,Sean O'Keeffe,Andrew Kinirons,77
cola blaze,naas,1:25,200/1,0.008075559,0.017923884487425462,3.6027007819725174,1.8013503909862587,STRONG BET,Paddy Cleary,Nigel Thomas Slevin,118
bring on the night,naas,1:25,125/1,0.007274304,0.014241371429026976,1.794412800057399,1.4355302400459191,STRONG BET,Danny Gilligan,J A Nash,136
kashel spring,naas,12:55,200/1,0.006002102,0.01605777318742546,3.227612410672517,1.6138062053362587,STRONG BET,Philip Donovan,Denis Gerard Hogan,82
melosa,sedgefield,2:10,100/1,0.017214026,0.02122263906652501,2.143486545719026,2.143486545719026,STRONG BET,Aaron Anderson,Mike Sowersby,-
eveque,sedgefield,3:40,40/1,0.01594297,0.005589434863095891,0.22916682938693156,0.5729170734673289,STRONG BET,Peter Kavanagh,Jane Walton,107
kates choice,sedgefield,4:10,-,0.009770082,3.383566309588665e-05,0.001387262186931304,0.00346815546732826,BET,NON-RUNNER,Nikki Evans,97
delayed charm,sedgefield,2:40,50/1,0.008678944,0.0038342122282800095,0.19554482364228054,0.391089647284561,STRONG BET,Ross Chapman,Maurice Barnes,95
