track_name,race_date,distance,going,time,horse_name,rating,jockey,trainer,weight,age,claims,is_new,label,win_probability,history_count,is_found_in_history,odds_live,odds_1,odds_2,odds_3,odds_4,trend,decimal_odds_1,decimal_odds_2,decimal_odds_3,decimal_odds_4,decimal_odds_live,threshold,precision,recall,f1,pred_plus,p_est,d,ev_per_unit,var_per_unit,sharpe_unit,kelly_full,kelly_clamped,suggested_stake_units,classification
Chelmsford (AW),15 Jan 2026Polytrack,6f,Standard,7:00,Ode To Joy,83,Jason Hart,Hugo Palmer,9- 9,5,0,True,0,0.032834064,0,False,250/1,500/1,300/1,250/1,300/1,drifting,501.0,301.0,251.0,301.0,251.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,251.0,38.233824471492625,8308.396959684756,0.4194586192619824,0.1529352978859705,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m5½f,Standard,7:30,Scathach,84,Jason Hart,Charlie Johnston,9- 8,4,0,True,0,0.030604541,0,False,66/1,80/1,100/1,80/1,66/1,stable,81.0,101.0,81.0,67.0,67.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,67.0,9.47277386290839,591.9968564312451,0.38932964119630065,0.1435268767107332,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m5½f,Standard,7:30,Tellmemamema,83,Hollie Doyle,Dr Richard Newland & Jamie Insole,9- 8,4,0,True,0,0.030363794,0,False,200/1,250/1,300/1,250/1,200/1,stable,251.0,301.0,251.0,201.0,201.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,201.0,30.41832158872517,5327.971707881205,0.41672954516183014,0.15209160794362586,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,6:00,Minella Sixo,77,Jack Mitchell,Charlie Johnston,9- 8,5,0,True,0,0.030008346,0,False,10/1,11/1,10/1,11/1,10/1,stable,12.0,11.0,12.0,11.0,11.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,11.0,0.7194106342088402,15.957144047266796,0.18009401091407598,0.07194106342088402,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m5½f,Standard,7:30,Noble Birth,84,Jack Mitchell,Roger Varian,9- 4,4,0,True,0,0.029436307,0,False,28/1,30/1,28/1,25/1,22/1,shortening,31.0,29.0,26.0,23.0,29.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,29.0,3.5329916720051244,110.9087449896808,0.3354746575399153,0.12617827400018303,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,5:30,Find A Fortune,72,Sean Levey,Richard Hannon,10- 2,4,0,True,0,0.02818722,0,False,16/1,18/1,16/1,18/1,16/1,stable,19.0,17.0,19.0,17.0,17.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,17.0,1.657270980140935,38.11251760049673,0.26844771193661204,0.10357943625880844,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,7f,Standard,6:30,Verdant Place,67,Grace McEntee,Phil McEntee,9- 2,4,0,True,0,0.027649378,0,False,13/2,7/1,13/2,7/1,15/2,drifting,8.0,7.5,8.0,8.5,7.5,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,7.5,0.17232543241511822,7.4180938236260925,0.06327078400650045,0.026511604986941266,0.026511604986941266,2.6511604986941264,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,6:00,Your Honor,78,Robert Havlin,Dean Ivory,9- 9,6,0,True,0,0.025280567,0,False,66/1,50/1,66/1,50/1,66/1,stable,51.0,67.0,51.0,67.0,67.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,67.0,9.47277386290839,591.9968564312451,0.38932964119630065,0.1435268767107332,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m,Standard,5:30,Inthepocket,46,J F Egan,Dean Ivory,8- 5,3,0,True,0,0.024559526,0,False,6/1,13/2,7/1,13/2,7/1,drifting,7.5,8.0,7.5,8.0,7.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,7.0,0.09417040358744377,6.461983953025396,0.037045161639493764,0.015695067264573963,0.015695067264573963,1.5695067264573963,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m2f,Standard,8:30,Tullyhill,85,Rob Hornby,Edward Smyth-Osbourne,9- 5,6,0,True,0,0.024543384,0,False,10/1,11/1,12/1,11/1,12/1,drifting,12.0,13.0,12.0,13.0,11.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,11.0,0.7194106342088402,15.957144047266796,0.18009401091407598,0.07194106342088402,0.05,5.0,STRONG_BET_SINGLE
Chelmsford (AW),15 Jan 2026Polytrack,1m5½f,Standard,7:30,Path d'Oroux,81,Hector Crouch,Ismail Mohammed,9- 9,4,0,True,0,0.024407944,0,False,14/1,12/1,14/1,12/1,14/1,stable,13.0,15.0,13.0,15.0,15.0,0.1,0.1563100576553491,0.7270560190703218,,,0.1563100576553491,15.0,1.3446508648302364,29.672375294504373,0.24685014057554763,0.09604649034501689,0.05,5.0,STRONG_BET_SINGLE
