horse_name_odds,track_name,time,odds_live,win_probability,edge,ev,kelly_stake,action,jockey,trainer,rating
chumlee,ayr,3:43,28/1,0.032071948,0.010013000344845258,0.2903770100005125,1.0370607500018305,STRONG BET,Harry Reed,Sandy Forster,121
run baby run,ayr,2:43,200/1,0.030180344,0.03781819098742546,7.601456388472517,3.800728194236259,STRONG BET,Ben Smith,R Mike Smith,-
jakana,ayr,1:43,40/1,0.028024102,0.016462453663095886,0.6749606001869313,1.6874015004673282,STRONG BET,Brian Hughes,Leonard Kerr,122
pure sirloin,ayr,3:13,50/1,0.02541413,0.018895879628280016,0.9636898610422808,1.9273797220845614,STRONG BET,Harry Reed,Sandy Forster,118
theme tune,ayr,3:13,33/1,0.025064439,0.008777236159652563,0.2984260294281871,0.9043213012975365,STRONG BET,Bruce Lynn,N W Alexander,120
grand voyage,ayr,3:13,40/1,0.017955385,0.00740060836309589,0.30342494288693156,0.7585623572173289,STRONG BET,Joshua Thompson,Stuart Coltherd,118
valtteri its james,ayr,2:43,33/1,0.017820934,0.002258081659652557,0.07677477642818697,0.23265083766117264,STRONG BET,Patrick Wadge,Lucinda Russell & Michael Scudamore,-
am i bovvered,ayr,1:13,125/1,0.01699133,0.022986694829026974,2.896323548457399,2.3170588387659192,STRONG BET,Patrick Wadge,Sandy Forster,-
changemyluck,ayr,1:13,66/1,0.0132243335,0.012607532781206557,0.8447046963408393,1.2798556005164232,STRONG BET,NON-RUNNER,Stuart Coltherd,77
belvedere bhoy,ayr,2:43,200/1,0.011473231,0.02098178928742546,4.217339646772517,2.1086698233862586,STRONG BET,Derek Fox,Lucinda Russell & Michael Scudamore,81
berwick law,ayr,1:13,66/1,0.0070092757,0.007013980761206554,0.469936711000839,0.7120253196982409,STRONG BET,Danny McMenamin,Iain Jardine,80
seven fires,chelmsford (aw),5:30,20/1,0.08077053,0.04070543514648729,0.8548141380762331,4.274070690381166,STRONG BET,George Bass,Jack Channon,53
alex the great,chelmsford (aw),7:30,20/1,0.07456086,0.035116732146487306,0.7374513750762333,3.687256875381166,STRONG BET,Nicola Currie,Tony Carroll,56
shibuya song,chelmsford (aw),7:30,12/1,0.072533,0.003987628842457985,0.05183917495195378,0.43199312459961486,STRONG BET,Mason Paetel,James Owen,36
amaysmont,chelmsford (aw),7:00,18/1,0.044886485,0.0033972633181664907,0.06454800304516328,0.35860001691757376,STRONG BET,Oliver Stammers,Kevin Frost,65
it's showtime,chelmsford (aw),5:00,20/1,0.03675222,0.0010889561464872966,0.022868079076233228,0.11434039538116615,BET,Ryan Kavanagh,Conrad Allen,61
you are everything,chelmsford (aw),7:00,33/1,0.03368567,0.016536344059652562,0.5622356980281871,1.7037445394793547,STRONG BET,Nicola Currie,Tony Carroll,68
snow boots,chelmsford (aw),5:00,33/1,0.029854247,0.013088063359652562,0.444994154228187,1.348467134024809,STRONG BET,Myla Coppins,Tony Carroll,62
anaba girl,chelmsford (aw),5:30,66/1,0.02800334,0.025908638631206557,1.7358787882908393,2.6301193761982415,STRONG BET,Finley Marsh,Jim & Suzi Best,33
sequential,chelmsford (aw),5:30,66/1,0.02800334,0.025908638631206557,1.7358787882908393,2.6301193761982415,STRONG BET,Hollie Doyle,Martin Dunne,16
lowestoft,chelmsford (aw),7:00,33/1,0.027083697,0.010594568359652563,0.36021532422818714,1.091561588570264,STRONG BET,Gina Mangan,Christine Dunnett,64
lady justice,chelmsford (aw),8:00,33/1,0.024098642,0.00790801885965256,0.268872641228187,0.8147655794793546,STRONG BET,Grace McEntee,Stuart Williams,81
media shooter,chelmsford (aw),6:30,28/1,0.021106485,0.0001440836448452637,0.0041784257005126335,0.014922948930402264,BET,Sean D Bowen,James Owen,92
alyara,lingfield (aw),2:50,22/1,0.058682613,0.0249670965959697,0.574243221707303,2.6101964623059226,STRONG BET,Jack Mitchell,Joe Ponting,53
