horse_name_odds,track_name,time,odds_live,win_probability,edge,ev,kelly_stake,action,jockey,trainer,rating
unionville,kempton (aw),3:08,16/1,0.14484623,0.0871690833537702,1.4818744170140934,5.0,STRONG BET,William Carson,Michael Attwater,74
conquest of power,kempton (aw),1:38,25/1,0.046718862,0.01921644310399645,0.4996275207039078,1.9985100828156313,STRONG BET,Paddy Bradley,Mark Usher,73
lion city,kempton (aw),2:38,100/1,0.044494003,0.045774618366525015,4.623236455019026,4.623236455019026,STRONG BET,Ben Ffrench Davis,Clare Ellam,57
peas and queues,kempton (aw),2:08,66/1,0.0312803,0.02885790263120655,1.933479476290839,2.9295143580164225,STRONG BET,Kieran O'Neill,J S Moore,48
glamerous,kempton (aw),2:08,50/1,0.03034695,0.02333541762828001,1.1901062990422804,2.3802125980845608,STRONG BET,William Carson,Michael Attwater,-
imperial jade,kempton (aw),2:38,66/1,0.030261064,0.027940590231206555,1.8720195454908395,2.836393250743696,STRONG BET,Callum Hutchinson,Charlie Longsdon,-
summer appeal,kempton (aw),2:38,66/1,0.029587273,0.027334178331206556,1.8313899481908393,2.774833254834605,STRONG BET,Lewis Edmunds,William Muir & Chris Grassick,-
miraflores,kempton (aw),1:38,33/1,0.02925614,0.012549767059652557,0.4266920800281868,1.2930063031157175,STRONG BET,Kieran O'Neill,Rachel Cook & John Bridger,62
king's cruiser,kempton (aw),2:38,40/1,0.027752971,0.01621843576309589,0.6649558662869315,1.6623896657173287,STRONG BET,Luke Morris,Marco Botti,67
imperial decision,kempton (aw),2:38,25/1,0.026978366,0.0014499967039964534,0.037699914303907844,0.15079965721563138,STRONG BET,Georgia Dobie,Keiran Burke,73
john galt,kempton (aw),2:38,25/1,0.026884457,0.0013654786039964534,0.03550244370390776,0.14200977481563104,STRONG BET,Daniel Muscutt,Jamie Osborne,72
al amirah,kempton (aw),2:08,66/1,0.024816934,0.023040873231206557,1.5437385064908393,2.3389977371073325,STRONG BET,Sean D Bowen,Ismail Mohammed,67
exposay,kempton (aw),4:08,33/1,0.016512318,0.0010803272596525623,0.03673112682818713,0.11130644493390039,STRONG BET,Alexandra Egan,David Loughnane,79
connies hill,lingfield,1:20,80/1,0.022982508,0.02396958395318924,1.9415363002083281,2.42692037526041,STRONG BET,Harry Reed,Nick Scholfield,61
mac's xpress,lingfield,2:50,66/1,0.020635506,0.019277588031206556,1.2915983980908394,1.956967269834605,STRONG BET,Charlie Maggs,Clare Ellam,77
somkiyr,lingfield,1:20,150/1,0.018536378,0.025691229409243524,3.8793756407957716,2.586250427197181,STRONG BET,Freddie Mitchell,Andy Irvine,53
