horse_name_odds,track_name,win_probability,odds_live,decimal_odds,implied_prob,raw_edge,edge,ev,roi_pct,kelly_stake,trend,action
Revolutionise,Wolverhampton (AW),0.041304547,100/1,101.0,0.009900990099009901,0.031403556900990094,0.05140355690099009,3.171759247,317.1759247,0.79293981175,shortening,BET
Kit Gabriel,Wolverhampton (AW),0.027474761,66/1,67.0,0.014925373134328358,0.012549387865671642,0.032549387865671645,0.840808987,84.08089869999999,0.3184882526515152,shortening,BET
Simply Blue,Wolverhampton (AW),0.023628708,66/1,67.0,0.014925373134328358,0.00870333486567164,0.028703334865671642,0.5831234359999999,58.31234359999999,0.2208800893939393,shortening,BET
Monsieur Kodi,Wolverhampton (AW),0.04287657,33/1,34.0,0.029411764705882353,0.01346480529411765,0.03346480529411765,0.4578033800000001,45.78033800000001,0.3468207424242425,shortening,BET
