track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Any Luck Colm (IRE),C. P. McNamara,0,Colin A. McBratney,PU,N/A,5,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Bessy Bradley (IRE),D. J. O'Keeffe,0,T. Gibney,PU,N/A,8,11-5t,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Raven (IRE),E. Walsh,5,T. Gibney,PU,N/A,4,11-4t,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Manfrominverlochy (IRE),Jack Foley,0,Colin A. McBratney,PU,N/A,4,11-11,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Steel Cable (IRE),B. J. Cooper,0,Noel Meade,PU,N/A,7,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Gill's Supreme (IRE),S. O'Callaghan,7,Ross O'Sullivan,PU,N/A,5,11-5,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Flashy Dude (IRE),K. C. Sexton,0,Colin A. McBratney,PU,N/A,6,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,El Poppochapo (IRE),D. E. Mullins,0,Stuart Crawford,16th,23 l,5,11-5,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Themanintheboots (IRE),Corey McGivern,7,Gordon Elliott,15th,Neck,4,11-11,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Nimbus Boy (IRE),S. F. O'Keeffe,0,Paul Nolan,14th,2 1/4 l,4,11-11,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Coolavin Boy (IRE),Richard Deegan,0,Louise G. Lyons,13th,5 1/2 l,5,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Kinbrace (IRE),Sam Ewing,0,Stuart Crawford,12th,28 l,5,11-12t,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Harvard Guy,J. P. Shinnick,7,Eddie & Patrick Harty,11th,8 1/2 l,4,11-11,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,The Flying Spur (FR),J. J. Slevin,0,Martin Brassil,10th,9 l,6,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Gold Haven (IRE),Keith Donoghue,0,Michael Mulvany,9th,1 l,4,11-4,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Captains Nephew (IRE),J. P. O'Sullivan,5,P. J. Rothwell,8th,7 l,5,11-12t1,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Summer Melody (IRE),P. Byrnes,5,Charles Byrnes,7th,5 l,5,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Buddy One (IRE),Jack G. Gilligan,7,Paul John Gilligan,6th,1 3/4 l,5,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Japers Jack (IRE),B. Hayes,0,Philip Fenton,5th,1 3/4 l,4,11-11,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,My Trump Card (IRE),Davy Russell,0,Gordon Elliott,4th,Neck,4,11-11,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Kudasheva (IRE),Rachael Blackmore,0,Henry de Bromhead,3rd,Head,4,11-4,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Firm Footings (IRE),J. W. Kennedy,0,Gordon Elliott,2nd,13 l,4,11-11,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Grangeclare West (IRE),P. Townend,0,W. P. Mullins,1st,N/A,6,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Any Luck Colm (IRE),C. P. McNamara,0,Colin A. McBratney,PU,N/A,5,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Bessy Bradley (IRE),D. J. O'Keeffe,0,T. Gibney,PU,N/A,8,11-5t,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Raven (IRE),E. Walsh,5,T. Gibney,PU,N/A,4,11-4t,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Manfrominverlochy (IRE),Jack Foley,0,Colin A. McBratney,PU,N/A,4,11-11,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Steel Cable (IRE),B. J. Cooper,0,Noel Meade,PU,N/A,7,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Gill's Supreme (IRE),S. O'Callaghan,7,Ross O'Sullivan,PU,N/A,5,11-5,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Flashy Dude (IRE),K. C. Sexton,0,Colin A. McBratney,PU,N/A,6,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,El Poppochapo (IRE),D. E. Mullins,0,Stuart Crawford,16th,23 l,5,11-5,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Themanintheboots (IRE),Corey McGivern,7,Gordon Elliott,15th,Neck,4,11-11,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Nimbus Boy (IRE),S. F. O'Keeffe,0,Paul Nolan,14th,2 1/4 l,4,11-11,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Coolavin Boy (IRE),Richard Deegan,0,Louise G. Lyons,13th,5 1/2 l,5,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Kinbrace (IRE),Sam Ewing,0,Stuart Crawford,12th,28 l,5,11-12t,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Harvard Guy,J. P. Shinnick,7,Eddie & Patrick Harty,11th,8 1/2 l,4,11-11,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,The Flying Spur (FR),J. J. Slevin,0,Martin Brassil,10th,9 l,6,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Gold Haven (IRE),Keith Donoghue,0,Michael Mulvany,9th,1 l,4,11-4,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Captains Nephew (IRE),J. P. O'Sullivan,5,P. J. Rothwell,8th,7 l,5,11-12t1,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Summer Melody (IRE),P. Byrnes,5,Charles Byrnes,7th,5 l,5,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Buddy One (IRE),Jack G. Gilligan,7,Paul John Gilligan,6th,1 3/4 l,5,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Japers Jack (IRE),B. Hayes,0,Philip Fenton,5th,1 3/4 l,4,11-11,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,My Trump Card (IRE),Davy Russell,0,Gordon Elliott,4th,Neck,4,11-11,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Kudasheva (IRE),Rachael Blackmore,0,Henry de Bromhead,3rd,Head,4,11-4,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Firm Footings (IRE),J. W. Kennedy,0,Gordon Elliott,2nd,13 l,4,11-11,-,True,33,1
Navan Racing Results | 27th November 2022 12:50,N/A,12:50,Soft (Yielding In Places),2m 4f,Grangeclare West (IRE),P. Townend,0,W. P. Mullins,1st,N/A,6,11-12,-,True,33,1
Navan Racing Results | 27th November 2022 13:20,N/A,13:20,Soft (Yielding In Places),2m 4f,Affordale Fury (IRE),B. J. Cooper,0,Noel Meade,F,N/A,4,10-13,-,True,33,2
Navan Racing Results | 27th November 2022 13:20,N/A,13:20,Soft (Yielding In Places),2m 4f,Kilbarry Chloe (IRE),M. P. O'Connor,0,Con O'Keeffe,3rd,87 l,5,10-13,-,True,33,2
Navan Racing Results | 27th November 2022 13:20,N/A,13:20,Soft (Yielding In Places),2m 4f,American Mike (IRE),J. W. Kennedy,0,Gordon Elliott,2nd,8 l,5,11-0,-,True,33,2
Navan Racing Results | 27th November 2022 13:20,N/A,13:20,Soft (Yielding In Places),2m 4f,Dawn Rising (IRE),M. P. Walsh,0,Joseph Patrick O'Brien,1st,N/A,5,11-0,-,True,33,2
Navan Racing Results | 27th November 2022 13:20,N/A,13:20,Soft (Yielding In Places),2m 4f,Affordale Fury (IRE),B. J. Cooper,0,Noel Meade,F,N/A,4,10-13,-,True,33,2
Navan Racing Results | 27th November 2022 13:20,N/A,13:20,Soft (Yielding In Places),2m 4f,Kilbarry Chloe (IRE),M. P. O'Connor,0,Con O'Keeffe,3rd,87 l,5,10-13,-,True,33,2
Navan Racing Results | 27th November 2022 13:20,N/A,13:20,Soft (Yielding In Places),2m 4f,American Mike (IRE),J. W. Kennedy,0,Gordon Elliott,2nd,8 l,5,11-0,-,True,33,2
Navan Racing Results | 27th November 2022 13:20,N/A,13:20,Soft (Yielding In Places),2m 4f,Dawn Rising (IRE),M. P. Walsh,0,Joseph Patrick O'Brien,1st,N/A,5,11-0,-,True,33,2
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Envol Pierji (FR),S. D. Torrens,0,Miss Elizabeth Doyle,23rd,3/4 l,8,11-1b1,114,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Groody Rover (IRE),B. Hayes,0,Philip Fenton,22nd,Short Head,8,12-0,127,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Park Hind (IRE),C. D. Maxwell,0,Andrew Lynch,21st,3 1/2 l,5,10-0,99,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Roi De Dubai (IRE),Thomas Reilly,7,John McConnell,20th,31 l,10,11-3,116,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Enjoy D'allen (FR),M. P. Walsh,0,Ciaran Murphy,19th,3/4 l,8,11-3p,116,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Yenillik (IRE),P. Byrnes,5,Harry Rogers,18th,4 3/4 l,6,10-3p,102,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Wingin a Prayer (IRE),L. A. McKenna,7,A. J. Martin,17th,1 1/2 l,7,11-8,121,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,The Road to Fame (IRE),Donagh Meyler,0,Eoin Doyle,16th,4 1/2 l,7,11-8t,121,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Shanwalla (IRE),Jack G. Gilligan,7,Paul John Gilligan,15th,1 l,8,11-12,125,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Peaceful Sunday (FR),J. J. Slevin,0,Stuart Crawford,14th,6 l,6,11-10,123,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Butty O Brien (IRE),Corey McGivern,7,Patrick Magee,13th,Neck,6,10-0,99,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Jukebox Jive (FR),C. M. Quirke,7,Shane Nolan,12th,1 l,8,11-10t,123,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Lessofdnegativity (IRE),Patrick O'Hanlon,5,Andrew McNamara,11th,2 3/4 l,9,10-5,104,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Politicise (IRE),D. J. O'Keeffe,0,Nigel Slevin,10th,5 l,6,10-8p,107,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Mercury Lane (IRE),Jordan Colin Gainford,0,Paul Nolan,9th,2 1/4 l,8,11-5tp,118,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Bay Ambition (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,8th,1/2 l,9,11-7,120,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Lady Rita (IRE),Rachael Blackmore,0,Louise G. Lyons,7th,Neck,6,11-3,116,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Portstorm,S. O'Callaghan,7,Colin A. McBratney,6th,Neck,7,11-7t1,120,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Rebellious Gale (IRE),Peter Carberry,0,A. J. Martin,5th,2 l,6,10-6t,105,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Jiving Jerry (IRE),C. A. Landers,0,James M. Barcoe,4th,7 l,7,11-4,117,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Bodhisattva (IRE),Davy Russell,0,Gordon Elliott,3rd,1/2 l,5,11-4p1,117,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Lord Erskine (IRE),M. J. M. O'Sullivan,5,Harry Rogers,2nd,1 1/2 l,9,11-5,118,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Jungle Prose (IRE),J. W. Kennedy,0,Gordon Elliott,1st,N/A,7,11-12p,125,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Envol Pierji (FR),S. D. Torrens,0,Miss Elizabeth Doyle,23rd,3/4 l,8,11-1b1,114,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Groody Rover (IRE),B. Hayes,0,Philip Fenton,22nd,Short Head,8,12-0,127,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Park Hind (IRE),C. D. Maxwell,0,Andrew Lynch,21st,3 1/2 l,5,10-0,99,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Roi De Dubai (IRE),Thomas Reilly,7,John McConnell,20th,31 l,10,11-3,116,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Enjoy D'allen (FR),M. P. Walsh,0,Ciaran Murphy,19th,3/4 l,8,11-3p,116,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Yenillik (IRE),P. Byrnes,5,Harry Rogers,18th,4 3/4 l,6,10-3p,102,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Wingin a Prayer (IRE),L. A. McKenna,7,A. J. Martin,17th,1 1/2 l,7,11-8,121,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,The Road to Fame (IRE),Donagh Meyler,0,Eoin Doyle,16th,4 1/2 l,7,11-8t,121,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Shanwalla (IRE),Jack G. Gilligan,7,Paul John Gilligan,15th,1 l,8,11-12,125,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Peaceful Sunday (FR),J. J. Slevin,0,Stuart Crawford,14th,6 l,6,11-10,123,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Butty O Brien (IRE),Corey McGivern,7,Patrick Magee,13th,Neck,6,10-0,99,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Jukebox Jive (FR),C. M. Quirke,7,Shane Nolan,12th,1 l,8,11-10t,123,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Lessofdnegativity (IRE),Patrick O'Hanlon,5,Andrew McNamara,11th,2 3/4 l,9,10-5,104,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Politicise (IRE),D. J. O'Keeffe,0,Nigel Slevin,10th,5 l,6,10-8p,107,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Mercury Lane (IRE),Jordan Colin Gainford,0,Paul Nolan,9th,2 1/4 l,8,11-5tp,118,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Bay Ambition (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,8th,1/2 l,9,11-7,120,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Lady Rita (IRE),Rachael Blackmore,0,Louise G. Lyons,7th,Neck,6,11-3,116,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Portstorm,S. O'Callaghan,7,Colin A. McBratney,6th,Neck,7,11-7t1,120,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Rebellious Gale (IRE),Peter Carberry,0,A. J. Martin,5th,2 l,6,10-6t,105,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Jiving Jerry (IRE),C. A. Landers,0,James M. Barcoe,4th,7 l,7,11-4,117,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Bodhisattva (IRE),Davy Russell,0,Gordon Elliott,3rd,1/2 l,5,11-4p1,117,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Lord Erskine (IRE),M. J. M. O'Sullivan,5,Harry Rogers,2nd,1 1/2 l,9,11-5,118,True,33,3
Navan Racing Results | 27th November 2022 13:50,N/A,13:50,Soft (Yielding In Places),2m 6f,Jungle Prose (IRE),J. W. Kennedy,0,Gordon Elliott,1st,N/A,7,11-12p,125,True,33,3
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Punitive (IRE),Sam Ewing,0,Gordon Elliott,UR,N/A,8,10-5b,129,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Fighter Allen (FR),P. Townend,0,W. P. Mullins,PU,N/A,7,11-6t,144,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,A Wave Of The Sea (IRE),S. D. Torrens,0,Joseph Patrick O'Brien,PU,N/A,6,11-9b,147,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Farclas (FR),K. E. Buckley,5,Gordon Elliott,PU,N/A,8,11-12tp,150,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Glenloe (IRE),Rachael Blackmore,0,Gordon Elliott,PU,N/A,11,10-0b,124,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Velvet Elvis (IRE),D. J. O'Keeffe,0,T. Gibney,PU,N/A,6,11-5,143,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Regina Dracones (IRE),Gavin Peter Brouder,5,T. Gibney,F,N/A,7,10-3,127,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Egality Mans (FR),D. E. Mullins,0,W. P. Mullins,11th,1 3/4 l,8,10-11,135,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Flash De Touzaine (FR),Richard Deegan,0,Miss Elizabeth Doyle,10th,12 l,7,10-7,131,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Glamorgan Duke (IRE),Phillip Enright,0,Paul John Gilligan,9th,17 l,9,10-1,125,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Defi Bleu (FR),Jordan Colin Gainford,0,Gordon Elliott,8th,Head,9,11-1tp,139,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,School Boy Hours (IRE),M. P. Walsh,0,Noel Meade,7th,3 1/4 l,9,11-2,140,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Rambranlt'jac (FR),B. Hayes,0,W. P. Mullins,6th,Head,6,10-6,130,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Frontal Assault (IRE),J. W. Kennedy,0,Gordon Elliott,5th,2 1/2 l,7,11-4b,142,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Coko Beach (FR),P. Hendriks,5,Gordon Elliott,4th,1/2 l,7,11-7b,145,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Death Duty (IRE),Davy Russell,0,Gordon Elliott,3rd,15 l,11,11-2,140,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Lifetime Ambition (IRE),C. Smithers,7,Mrs J. Harrington,2nd,3 1/2 l,7,11-12,150,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,The Big Dog (IRE),Keith Donoghue,0,Peter Fahey,1st,N/A,9,11-10,148,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Punitive (IRE),Sam Ewing,0,Gordon Elliott,UR,N/A,8,10-5b,129,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Fighter Allen (FR),P. Townend,0,W. P. Mullins,PU,N/A,7,11-6t,144,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,A Wave Of The Sea (IRE),S. D. Torrens,0,Joseph Patrick O'Brien,PU,N/A,6,11-9b,147,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Farclas (FR),K. E. Buckley,5,Gordon Elliott,PU,N/A,8,11-12tp,150,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Glenloe (IRE),Rachael Blackmore,0,Gordon Elliott,PU,N/A,11,10-0b,124,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Velvet Elvis (IRE),D. J. O'Keeffe,0,T. Gibney,PU,N/A,6,11-5,143,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Regina Dracones (IRE),Gavin Peter Brouder,5,T. Gibney,F,N/A,7,10-3,127,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Egality Mans (FR),D. E. Mullins,0,W. P. Mullins,11th,1 3/4 l,8,10-11,135,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Flash De Touzaine (FR),Richard Deegan,0,Miss Elizabeth Doyle,10th,12 l,7,10-7,131,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Glamorgan Duke (IRE),Phillip Enright,0,Paul John Gilligan,9th,17 l,9,10-1,125,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Defi Bleu (FR),Jordan Colin Gainford,0,Gordon Elliott,8th,Head,9,11-1tp,139,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,School Boy Hours (IRE),M. P. Walsh,0,Noel Meade,7th,3 1/4 l,9,11-2,140,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Rambranlt'jac (FR),B. Hayes,0,W. P. Mullins,6th,Head,6,10-6,130,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Frontal Assault (IRE),J. W. Kennedy,0,Gordon Elliott,5th,2 1/2 l,7,11-4b,142,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Coko Beach (FR),P. Hendriks,5,Gordon Elliott,4th,1/2 l,7,11-7b,145,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Death Duty (IRE),Davy Russell,0,Gordon Elliott,3rd,15 l,11,11-2,140,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,Lifetime Ambition (IRE),C. Smithers,7,Mrs J. Harrington,2nd,3 1/2 l,7,11-12,150,True,33,4
Navan Racing Results | 27th November 2022 14:20,N/A,14:20,Soft (Yielding In Places),3m,The Big Dog (IRE),Keith Donoghue,0,Peter Fahey,1st,N/A,9,11-10,148,True,33,4
Navan Racing Results | 27th November 2022 14:50,N/A,14:50,Soft (Yielding In Places),2m 1f,Just Jacob (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,F,N/A,4,11-4,-,True,33,5
Navan Racing Results | 27th November 2022 14:50,N/A,14:50,Soft (Yielding In Places),2m 1f,Priory Park (IRE),J. J. Slevin,0,E. J. O'Grady,14th,26 l,6,11-12,-,True,33,5
