track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Navan Racing Results | 7th December 2024 11:30,N/A,11:30,Yielding (Yielding To Soft In Places),2m,Thurman (IRE),Non Runner,7,Colm Murphy,NR,N/A,4,11-0,-,True,154,16
Navan Racing Results | 7th December 2024 11:30,N/A,11:30,Yielding (Yielding To Soft In Places),2m,Dance Monkey (FR),D J Gilligan,0,S R B Crawford,UR,N/A,4,11-7,-,True,154,16
Navan Racing Results | 7th December 2024 11:30,N/A,11:30,Yielding (Yielding To Soft In Places),2m,Kaid D'authie (FR),P Townend,0,W P Mullins,F,N/A,4,11-7,-,True,154,16
Navan Racing Results | 7th December 2024 11:30,N/A,11:30,Yielding (Yielding To Soft In Places),2m,Monnow Valley,C Stone-Walsh,5,P Cluskey,17th,14 l,4,11-7t,-,True,154,16
Navan Racing Results | 7th December 2024 11:30,N/A,11:30,Yielding (Yielding To Soft In Places),2m,Clondyke River (IRE),P T Enright,0,Paul Mulligan,16th,29 l,4,11-7,-,True,154,16
Navan Racing Results | 7th December 2024 11:30,N/A,11:30,Yielding (Yielding To Soft In Places),2m,Alright George (IRE),J P O'Sullivan,0,P J Rothwell,15th,14 l,4,11-7,-,True,154,16
Navan Racing Results | 7th December 2024 11:30,N/A,11:30,Yielding (Yielding To Soft In Places),2m,Diamond Steel (IRE),M P O'Connor,0,H De Bromhead,14th,10 l,4,11-0,-,True,154,16
Navan Racing Results | 7th December 2024 11:30,N/A,11:30,Yielding (Yielding To Soft In Places),2m,Dollymount (IRE),P K Donovan,5,C W J Farrell,13th,Neck,4,11-0,-,True,154,16
Navan Racing Results | 7th December 2024 11:30,N/A,11:30,Yielding (Yielding To Soft In Places),2m,Simpson's Paradox (IRE),Mr C P Tierney,7,J A Kinsella,12th,2 1/2 l,4,11-7t,-,True,154,16
Navan Racing Results | 7th December 2024 11:30,N/A,11:30,Yielding (Yielding To Soft In Places),2m,Knockraha Eagle (IRE),K M Donoghue,0,Ian Donoghue,11th,5 1/2 l,4,11-7t1,-,True,154,16
Navan Racing Results | 7th December 2024 11:30,N/A,11:30,Yielding (Yielding To Soft In Places),2m,Telnobody (IRE),B Hayes,0,R O'Sullivan,10th,4 1/2 l,4,11-0,-,True,154,16
Navan Racing Results | 7th December 2024 11:30,N/A,11:30,Yielding (Yielding To Soft In Places),2m,Teds Corner (IRE),Mr J Costello,7,A J Martin,9th,1 1/2 l,4,11-7,-,True,154,16
Navan Racing Results | 7th December 2024 11:30,N/A,11:30,Yielding (Yielding To Soft In Places),2m,Jarvis Brook (IRE),R Deegan,0,P Nolan,8th,1 l,4,11-7,-,True,154,16
Navan Racing Results | 7th December 2024 11:30,N/A,11:30,Yielding (Yielding To Soft In Places),2m,Queenie St Clair (IRE),K C Sexton,0,E Sheehy,7th,3 1/4 l,4,11-0,-,True,154,16
Navan Racing Results | 7th December 2024 11:30,N/A,11:30,Yielding (Yielding To Soft In Places),2m,Kilfera,D Meyler,0,Ms M Mullins,6th,7 l,4,11-0,-,True,154,16
Navan Racing Results | 7th December 2024 11:30,N/A,11:30,Yielding (Yielding To Soft In Places),2m,Duke Of Leggagh (IRE),S W Flanagan,0,M Mulvany,5th,1/2 l,4,11-7t,-,True,154,16
Navan Racing Results | 7th December 2024 11:30,N/A,11:30,Yielding (Yielding To Soft In Places),2m,Along The Way,S D Torrens,0,E & P Harty,4th,2 l,4,11-7,-,True,154,16
Navan Racing Results | 7th December 2024 11:30,N/A,11:30,Yielding (Yielding To Soft In Places),2m,Arch Hall (IRE),B W Harvey,0,Joseph Murray,3rd,2 1/4 l,4,11-7ht1,-,True,154,16
Navan Racing Results | 7th December 2024 11:30,N/A,11:30,Yielding (Yielding To Soft In Places),2m,Eastern Legend (IRE),M J M O'Sullivan,0,J S Bolger,2nd,3/4 l,4,11-7t,-,True,154,16
Navan Racing Results | 7th December 2024 11:30,N/A,11:30,Yielding (Yielding To Soft In Places),2m,Magic Boum (FR),Sam Ewing,0,G Elliott,1st,N/A,4,11-0,-,True,154,16
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Kirsca De Thaix (FR),Non Runner,0,W P Mullins,NR,N/A,4,11-0,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Party President (IRE),Non Runner,7,A Mullins,NR,N/A,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Kentucky Beach (FR),T Power Roche,7,P J Rothwell,NR,N/A,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Tubberfinn Lady (IRE),J Kearney,5,M Mulvany,PU,N/A,4,11-0,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Le Bugiste (FR),K M Donoghue,0,G P Cromwell,15th,3 l,4,11-7t,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Pleasureofpressure (IRE),J P O'Sullivan,0,P J Rothwell,14th,45 l,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Rio Doce (IRE),R J Condon,5,J A Kinsella,13th,8 1/2 l,4,11-7t,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Deadclassy (IRE),R A Doyle,0,D Cullen,12th,47 l,4,11-0,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Quinn The Eskimo (GER),S F O'Keeffe,0,P Nolan,11th,1 3/4 l,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Lucy Wang (IRE),P T Enright,0,J Halley,10th,11 l,4,11-0,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Kir (FR),B Hayes,0,H De Bromhead,9th,3/4 l,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Driveonwill (IRE),D Meyler,0,R O'Sullivan,8th,2 1/4 l,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Scalpnagoon (IRE),D J Gilligan,0,G Elliott,7th,5 1/2 l,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Putapoundinthejar (IRE),D King,0,A J Martin,6th,4 l,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Echoing Silence (IRE),M P O'Connor,0,H De Bromhead,5th,7 l,4,11-0,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Dont Tell Jack (IRE),R Deegan,0,J P O'Brien,4th,4 3/4 l,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Grimaud (FR),Sam Ewing,0,G Elliott,3rd,6 l,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Autoportrait (FR),G Brouder,5,M F Morris,2nd,2 l,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Goraibhmaithagat (IRE),S D Torrens,0,Colm Murphy,1st,N/A,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Kirsca De Thaix (FR),Non Runner,0,W P Mullins,NR,N/A,4,11-0,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Party President (IRE),Non Runner,7,A Mullins,NR,N/A,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Kentucky Beach (FR),T Power Roche,7,P J Rothwell,NR,N/A,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Tubberfinn Lady (IRE),J Kearney,5,M Mulvany,PU,N/A,4,11-0,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Le Bugiste (FR),K M Donoghue,0,G P Cromwell,15th,3 l,4,11-7t,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Pleasureofpressure (IRE),J P O'Sullivan,0,P J Rothwell,14th,45 l,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Rio Doce (IRE),R J Condon,5,J A Kinsella,13th,8 1/2 l,4,11-7t,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Deadclassy (IRE),R A Doyle,0,D Cullen,12th,47 l,4,11-0,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Quinn The Eskimo (GER),S F O'Keeffe,0,P Nolan,11th,1 3/4 l,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Lucy Wang (IRE),P T Enright,0,J Halley,10th,11 l,4,11-0,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Kir (FR),B Hayes,0,H De Bromhead,9th,3/4 l,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Driveonwill (IRE),D Meyler,0,R O'Sullivan,8th,2 1/4 l,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Scalpnagoon (IRE),D J Gilligan,0,G Elliott,7th,5 1/2 l,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Putapoundinthejar (IRE),D King,0,A J Martin,6th,4 l,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Echoing Silence (IRE),M P O'Connor,0,H De Bromhead,5th,7 l,4,11-0,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Dont Tell Jack (IRE),R Deegan,0,J P O'Brien,4th,4 3/4 l,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Grimaud (FR),Sam Ewing,0,G Elliott,3rd,6 l,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Autoportrait (FR),G Brouder,5,M F Morris,2nd,2 l,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:00,N/A,12:00,Yielding (Yielding To Soft In Places),2m,Goraibhmaithagat (IRE),S D Torrens,0,Colm Murphy,1st,N/A,4,11-7,-,True,154,17
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Millbrook Queen (IRE),C Owens,7,A J Martin,NR,N/A,5,11-5,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Fisherman's Friend (IRE),C Stone-Walsh,5,Ian Donoghue,NR,N/A,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Drumlee Lake (IRE),Mr N McParlan,0,S McParlan,25th,54 l,9,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Parish Rivals (IRE),P M O'Brien,7,G P Cromwell,24th,7 1/2 l,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Turf Range (IRE),J Coen,3,D Broad,23rd,3 1/4 l,8,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Mileview (IRE),S Fitzgerald,0,C A McBratney,22nd,16 l,6,11-12h1,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,The Noelie (IRE),P K Donovan,5,Paul Mulligan,21st,11 l,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Lehaunstown,S W Flanagan,0,B Connell,20th,4 l,6,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Areana (IRE),B W Harvey,0,Conor Maxwell,19th,1 1/2 l,5,11-5t,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Next Stop Paris (IRE),K M Donoghue,0,G P Cromwell,18th,10 l,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Pen To Paper,B Hayes,0,H De Bromhead,17th,2 l,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Ivasecret (IRE),C P Millar,5,C Collins,16th,3 1/2 l,6,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Trade Master (IRE),R Deegan,0,E Cawley,15th,1 1/4 l,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Hills Of Glory (IRE),K C Sexton,0,G P Cromwell,14th,Neck,7,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Theophilos (IRE),J Kearney,5,G Keane,13th,3 3/4 l,5,11-12t,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Timmy Tuesday (IRE),D J Gilligan,0,G Elliott,12th,1 l,6,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Presenting Max (IRE),D King,0,A J Martin,11th,3 l,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Meetmeinstlouis (IRE),G Brouder,5,M F Morris,10th,1 1/4 l,5,11-5,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Scarlet Purse (IRE),A Harvey,5,J C McConnell,9th,6 l,5,11-5,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Attaboyarchie (IRE),Miss E J Sweeney,0,K Thornton,8th,Head,7,11-12t1,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,His Nibs (IRE),K E Buckley,0,G P Cromwell,7th,2 1/2 l,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Mr Rango (IRE),P T Enright,0,John M Harney,6th,5 1/2 l,6,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Come Walk With Me (IRE),E Walsh,0,E Cawley,5th,5 1/2 l,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Joueur Masque (FR),S D Torrens,0,W P Mullins,4th,9 1/2 l,5,11-12h1,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Workahead (IRE),M P O'Connor,0,H De Bromhead,3rd,5 l,6,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,The Enabler (IRE),Sam Ewing,0,G Elliott,2nd,4 1/4 l,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Jasmin De Vaux (FR),P Townend,0,W P Mullins,1st,N/A,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Millbrook Queen (IRE),C Owens,7,A J Martin,NR,N/A,5,11-5,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Fisherman's Friend (IRE),C Stone-Walsh,5,Ian Donoghue,NR,N/A,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Drumlee Lake (IRE),Mr N McParlan,0,S McParlan,25th,54 l,9,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Parish Rivals (IRE),P M O'Brien,7,G P Cromwell,24th,7 1/2 l,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Turf Range (IRE),J Coen,3,D Broad,23rd,3 1/4 l,8,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Mileview (IRE),S Fitzgerald,0,C A McBratney,22nd,16 l,6,11-12h1,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,The Noelie (IRE),P K Donovan,5,Paul Mulligan,21st,11 l,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Lehaunstown,S W Flanagan,0,B Connell,20th,4 l,6,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Areana (IRE),B W Harvey,0,Conor Maxwell,19th,1 1/2 l,5,11-5t,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Next Stop Paris (IRE),K M Donoghue,0,G P Cromwell,18th,10 l,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Pen To Paper,B Hayes,0,H De Bromhead,17th,2 l,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Ivasecret (IRE),C P Millar,5,C Collins,16th,3 1/2 l,6,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Trade Master (IRE),R Deegan,0,E Cawley,15th,1 1/4 l,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Hills Of Glory (IRE),K C Sexton,0,G P Cromwell,14th,Neck,7,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Theophilos (IRE),J Kearney,5,G Keane,13th,3 3/4 l,5,11-12t,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Timmy Tuesday (IRE),D J Gilligan,0,G Elliott,12th,1 l,6,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Presenting Max (IRE),D King,0,A J Martin,11th,3 l,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Meetmeinstlouis (IRE),G Brouder,5,M F Morris,10th,1 1/4 l,5,11-5,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Scarlet Purse (IRE),A Harvey,5,J C McConnell,9th,6 l,5,11-5,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Attaboyarchie (IRE),Miss E J Sweeney,0,K Thornton,8th,Head,7,11-12t1,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,His Nibs (IRE),K E Buckley,0,G P Cromwell,7th,2 1/2 l,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Mr Rango (IRE),P T Enright,0,John M Harney,6th,5 1/2 l,6,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Come Walk With Me (IRE),E Walsh,0,E Cawley,5th,5 1/2 l,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Joueur Masque (FR),S D Torrens,0,W P Mullins,4th,9 1/2 l,5,11-12h1,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Workahead (IRE),M P O'Connor,0,H De Bromhead,3rd,5 l,6,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,The Enabler (IRE),Sam Ewing,0,G Elliott,2nd,4 1/4 l,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 12:32,N/A,12:32,Soft,2m,Jasmin De Vaux (FR),P Townend,0,W P Mullins,1st,N/A,5,11-12,-,True,154,18
Navan Racing Results | 7th December 2024 13:07,N/A,13:07,Soft,2m 4f,Rockstown Girl (IRE),S W Flanagan,0,A McCann,NR,N/A,6,10-10t,-,True,154,19
Navan Racing Results | 7th December 2024 13:07,N/A,13:07,Soft,2m 4f,Will The Wise (IRE),K M Donoghue,0,G P Cromwell,6th,32 l,5,11-3,-,True,154,19
Navan Racing Results | 7th December 2024 13:07,N/A,13:07,Soft,2m 4f,Patter Merchant (IRE),D J Gilligan,0,G Elliott,5th,7 l,5,11-3,-,True,154,19
Navan Racing Results | 7th December 2024 13:07,N/A,13:07,Soft,2m 4f,My Great Mate (IRE),P Townend,0,W P Mullins,4th,10 l,5,11-3,-,True,154,19
Navan Racing Results | 7th December 2024 13:07,N/A,13:07,Soft,2m 4f,Mozzies Sister (IRE),S Fitzgerald,0,D Queally,3rd,5 l,5,10-10t,-,True,154,19
Navan Racing Results | 7th December 2024 13:07,N/A,13:07,Soft,2m 4f,Fleur In The Park (IRE),C M Quirke,0,A Slattery,2nd,Neck,5,11-3,-,True,154,19
Navan Racing Results | 7th December 2024 13:07,N/A,13:07,Soft,2m 4f,The Yellow Clay (IRE),Sam Ewing,0,G Elliott,1st,N/A,5,11-6,-,True,154,19
Navan Racing Results | 7th December 2024 13:07,N/A,13:07,Soft,2m 4f,Rockstown Girl (IRE),S W Flanagan,0,A McCann,NR,N/A,6,10-10t,-,True,154,19
Navan Racing Results | 7th December 2024 13:07,N/A,13:07,Soft,2m 4f,Will The Wise (IRE),K M Donoghue,0,G P Cromwell,6th,32 l,5,11-3,-,True,154,19
Navan Racing Results | 7th December 2024 13:07,N/A,13:07,Soft,2m 4f,Patter Merchant (IRE),D J Gilligan,0,G Elliott,5th,7 l,5,11-3,-,True,154,19
Navan Racing Results | 7th December 2024 13:07,N/A,13:07,Soft,2m 4f,My Great Mate (IRE),P Townend,0,W P Mullins,4th,10 l,5,11-3,-,True,154,19
Navan Racing Results | 7th December 2024 13:07,N/A,13:07,Soft,2m 4f,Mozzies Sister (IRE),S Fitzgerald,0,D Queally,3rd,5 l,5,10-10t,-,True,154,19
Navan Racing Results | 7th December 2024 13:07,N/A,13:07,Soft,2m 4f,Fleur In The Park (IRE),C M Quirke,0,A Slattery,2nd,Neck,5,11-3,-,True,154,19
Navan Racing Results | 7th December 2024 13:07,N/A,13:07,Soft,2m 4f,The Yellow Clay (IRE),Sam Ewing,0,G Elliott,1st,N/A,5,11-6,-,True,154,19
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,Minella Sixo (IRE),D J Gilligan,0,G Elliott,NR,N/A,5,11-4,133,True,154,20
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,Jody Ted (IRE),M M McDonagh,0,E Griffin,PU,N/A,8,10-10t1,125,True,154,20
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,Slanagaibhgoleir (IRE),C Stone-Walsh,5,G Elliott,PU,N/A,6,10-7,122,True,154,20
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,Four Clean Aces (IRE),B Hayes,0,W P Mullins,PU,N/A,6,10-11,126,True,154,20
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,Good Time Jonny (IRE),Mr J H Williamson,7,A J Martin,17th,6 l,9,11-7t,136,True,154,20
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,Digby (IRE),P M O'Brien,7,D A McLoughlin,16th,12 l,9,10-8,123,True,154,20
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,Sarah Beara (IRE),P T Enright,0,S Curling,15th,7 l,6,10-1,116,True,154,20
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,Space Tourist (IRE),S Cleary-Farrell,7,W P Mullins,14th,9 l,7,11-0,129,True,154,20
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,Lucky Lyreen (IRE),K C Sexton,0,G Elliott,13th,7 1/2 l,6,11-4,133,True,154,20
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,Beaufort Scale (IRE),J Coen,3,G Elliott,12th,2 3/4 l,5,10-7t,122,True,154,20
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,Prends Garde A Toi (FR),Sam Ewing,0,G Elliott,11th,Neck,5,10-12,127,True,154,20
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,My Trump Card (IRE),C P Millar,5,G Elliott,10th,1 3/4 l,6,10-13,128,True,154,20
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,Intense Raffles (FR),Bryony Frost,0,T Gibney,9th,4 3/4 l,6,11-12,141,True,154,20
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,Open To Question (USA),D Meyler,0,N Meade,8th,3 1/2 l,4,10-12,128,True,154,20
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,Paggane,P Townend,0,W P Mullins,7th,4 3/4 l,5,10-8,123,True,154,20
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,Iceberg Theory (IRE),S W Flanagan,0,P Nolan,6th,Neck,5,10-6p,121,True,154,20
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,Fortunedefortunata (IRE),D J Gilligan,0,G Elliott,5th,3/4 l,7,10-11,126,True,154,20
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,Gaoth Chuil (IRE),G Brouder,5,T M Walsh,4th,9 l,6,11-4,133,True,154,20
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,Oscars Brother (IRE),D King,0,Connor King,3rd,Short Head,6,11-1,130,True,154,20
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,Backmersackme (IRE),Conor Clarke,7,E Mullins,2nd,Short Head,5,10-8t1,123,True,154,20
Navan Racing Results | 7th December 2024 13:42,N/A,13:42,Soft (Soft To Heavy In Places),3m 1f 50y,Flicker Of Hope (FR),A P Kelly,5,M Fahey,1st,N/A,5,10-5,120,True,154,20
