track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 1st December 2023 17:00,N/A,17:00,Standard,7f,Cool Dan (IRE),J. J. G. Ryan,5,G. M. Lyons,2nd,3 1/4 l,2,8-8b,-,True,93,22
Dundalk Racing Results | 1st December 2023 17:00,N/A,17:00,Standard,7f,Pomeriggio (IRE),N. M. Crosse,0,Mrs J. Harrington,1st,N/A,2,8-11,-,True,93,22
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Pocket Paralysis (IRE),C. D. Maxwell,0,Dermot Anthony McLoughlin,14th,3/4 l,2,9-2,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Excilla (IRE),C. T. Keane,0,Mrs J. Harrington,13th,Short Head,2,9-2p,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Sophia Klimt (IRE),J. J. G. Ryan,5,Patrick Martin,12th,2 1/2 l,2,9-2t,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Mary Bagot (IRE),N. G. McCullagh,0,M. Halford & T. Collins,11th,3/4 l,2,9-2,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Blame Thechampagne (IRE),Siobhan Rutledge,3,Mrs J. Harrington,10th,1 l,2,9-2p,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Limoncello Lady (IRE),N. M. Crosse,0,Mrs J. Harrington,9th,1/2 l,2,9-2,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Katie Bairdie (IRE),J. M. Sheridan,0,J. A. Stack,8th,2 l,2,9-2,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Back Down Under (IRE),L. F. Roche,0,Padraig Roche,7th,Nose,2,9-2,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Valkyrja,D. E. Sheehy,3,Diego Dias,6th,3/4 l,2,9-2,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Beautiful Dawn (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,5th,1 1/4 l,2,9-2,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Manhattan Dreamer (USA),J. Kearney,5,Adrian Murray,4th,1 l,2,9-2,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Abiding Star (IRE),C. D. Hayes,0,John Patrick Hayes,3rd,1 l,2,9-2,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Clarita (IRE),R. Whearty,5,Gavin Patrick Cromwell,2nd,Nose,2,9-2p1,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Anvika (IRE),R. C. Colgan,0,Ms Sheila Lavery,1st,N/A,2,9-2h,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Pocket Paralysis (IRE),C. D. Maxwell,0,Dermot Anthony McLoughlin,14th,3/4 l,2,9-2,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Excilla (IRE),C. T. Keane,0,Mrs J. Harrington,13th,Short Head,2,9-2p,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Sophia Klimt (IRE),J. J. G. Ryan,5,Patrick Martin,12th,2 1/2 l,2,9-2t,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Mary Bagot (IRE),N. G. McCullagh,0,M. Halford & T. Collins,11th,3/4 l,2,9-2,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Blame Thechampagne (IRE),Siobhan Rutledge,3,Mrs J. Harrington,10th,1 l,2,9-2p,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Limoncello Lady (IRE),N. M. Crosse,0,Mrs J. Harrington,9th,1/2 l,2,9-2,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Katie Bairdie (IRE),J. M. Sheridan,0,J. A. Stack,8th,2 l,2,9-2,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Back Down Under (IRE),L. F. Roche,0,Padraig Roche,7th,Nose,2,9-2,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Valkyrja,D. E. Sheehy,3,Diego Dias,6th,3/4 l,2,9-2,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Beautiful Dawn (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,5th,1 1/4 l,2,9-2,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Manhattan Dreamer (USA),J. Kearney,5,Adrian Murray,4th,1 l,2,9-2,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Abiding Star (IRE),C. D. Hayes,0,John Patrick Hayes,3rd,1 l,2,9-2,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Clarita (IRE),R. Whearty,5,Gavin Patrick Cromwell,2nd,Nose,2,9-2p1,-,True,93,23
Dundalk Racing Results | 1st December 2023 17:30,N/A,17:30,Standard,6f,Anvika (IRE),R. C. Colgan,0,Ms Sheila Lavery,1st,N/A,2,9-2h,-,True,93,23
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,If But Maybe (IRE),J. J. G. Ryan,5,T. G. McCourt,14th,3 3/4 l,3,9-3ht1,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Spirit Of Paradise (IRE),Siobhan Rutledge,3,G. A. Kingston,13th,Neck,3,9-3,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Sarah Purser (IRE),C. T. Keane,0,Jack W. Davison,12th,Head,3,9-3p1,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Minella Butterfly,S. D. Bowen,5,John J. Nallen,11th,1 1/2 l,3,9-3,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Boskill Marie (IRE),R. Whearty,5,Paul W. Flynn,10th,2 1/2 l,3,9-3,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Cold Cold Heart (IRE),L. F. Roche,0,Luke Comer,9th,Nose,4,9-4,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Fahari (IRE),Adam Caffrey,5,Adrian McGuinness,8th,Neck,3,9-3,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Sea Wave (IRE),J. M. Sheridan,0,R. P. Cody,7th,1 l,3,9-3,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Sailor's Warning (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,6th,3/4 l,4,9-4h1,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Nituna (IRE),R. C. Colgan,0,Ms Sheila Lavery,5th,1 1/4 l,3,9-3,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Local Girl (IRE),D. W. O'Connor,0,K. J. Condon,4th,1 l,3,9-3,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Concluding Call (IRE),N. M. Crosse,0,W. McCreery,3rd,1 1/2 l,3,9-3,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Swan Band,C. D. Hayes,0,Edward Lynam,2nd,4 l,3,9-3,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Finsceal Go Deo (IRE),R. P. Cleary,0,J. S. Bolger,1st,N/A,3,9-3t1,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,If But Maybe (IRE),J. J. G. Ryan,5,T. G. McCourt,14th,3 3/4 l,3,9-3ht1,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Spirit Of Paradise (IRE),Siobhan Rutledge,3,G. A. Kingston,13th,Neck,3,9-3,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Sarah Purser (IRE),C. T. Keane,0,Jack W. Davison,12th,Head,3,9-3p1,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Minella Butterfly,S. D. Bowen,5,John J. Nallen,11th,1 1/2 l,3,9-3,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Boskill Marie (IRE),R. Whearty,5,Paul W. Flynn,10th,2 1/2 l,3,9-3,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Cold Cold Heart (IRE),L. F. Roche,0,Luke Comer,9th,Nose,4,9-4,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Fahari (IRE),Adam Caffrey,5,Adrian McGuinness,8th,Neck,3,9-3,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Sea Wave (IRE),J. M. Sheridan,0,R. P. Cody,7th,1 l,3,9-3,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Sailor's Warning (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,6th,3/4 l,4,9-4h1,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Nituna (IRE),R. C. Colgan,0,Ms Sheila Lavery,5th,1 1/4 l,3,9-3,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Local Girl (IRE),D. W. O'Connor,0,K. J. Condon,4th,1 l,3,9-3,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Concluding Call (IRE),N. M. Crosse,0,W. McCreery,3rd,1 1/2 l,3,9-3,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Swan Band,C. D. Hayes,0,Edward Lynam,2nd,4 l,3,9-3,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:00,N/A,18:00,Standard,1m,Finsceal Go Deo (IRE),R. P. Cleary,0,J. S. Bolger,1st,N/A,3,9-3t1,-,True,93,24
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Najat,T. Kiely-Marshall,7,Donal Kinsella,11th,7 l,4,8-13,57,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Eastern Wind,R. Whearty,5,T. G. McCourt,10th,2 3/4 l,4,9-13v,71,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Sam's Xpress (IRE),C. T. Keane,0,Kieran Patrick Cotter,9th,3 1/4 l,3,9-9,67,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Pulse Of Shanghai (IRE),J. M. Sheridan,0,James McAuley,8th,Short Head,7,8-10tb,54,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Marks Bear (IRE),Declan McDonogh,0,W. J. Burke,7th,1 1/2 l,5,10-2,74,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Sense Of Security,C. D. Maxwell,0,John Larkin,6th,1/2 l,4,8-10,54,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Hezahunk (IRE),Adam Caffrey,5,Adrian McGuinness,5th,2 1/4 l,4,9-0,58,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Half Nutz (IRE),J. A. Powell,3,Adrian McGuinness,4th,1/2 l,6,10-0,72,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Bold Optimist (IRE),Oisin McSweeney,5,Michael McCullagh,3rd,1 1/2 l,3,10-2p,74,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Distillate,S. D. Bowen,5,Adrian McGuinness,2nd,3/4 l,3,9-12,70,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Inishmot Prince (IRE),J. J. G. Ryan,5,T. G. McCourt,1st,N/A,5,9-10v,68,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Najat,T. Kiely-Marshall,7,Donal Kinsella,11th,7 l,4,8-13,57,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Eastern Wind,R. Whearty,5,T. G. McCourt,10th,2 3/4 l,4,9-13v,71,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Sam's Xpress (IRE),C. T. Keane,0,Kieran Patrick Cotter,9th,3 1/4 l,3,9-9,67,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Pulse Of Shanghai (IRE),J. M. Sheridan,0,James McAuley,8th,Short Head,7,8-10tb,54,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Marks Bear (IRE),Declan McDonogh,0,W. J. Burke,7th,1 1/2 l,5,10-2,74,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Sense Of Security,C. D. Maxwell,0,John Larkin,6th,1/2 l,4,8-10,54,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Hezahunk (IRE),Adam Caffrey,5,Adrian McGuinness,5th,2 1/4 l,4,9-0,58,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Half Nutz (IRE),J. A. Powell,3,Adrian McGuinness,4th,1/2 l,6,10-0,72,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Bold Optimist (IRE),Oisin McSweeney,5,Michael McCullagh,3rd,1 1/2 l,3,10-2p,74,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Distillate,S. D. Bowen,5,Adrian McGuinness,2nd,3/4 l,3,9-12,70,True,93,25
Dundalk Racing Results | 1st December 2023 18:30,N/A,18:30,Standard,6f,Inishmot Prince (IRE),J. J. G. Ryan,5,T. G. McCourt,1st,N/A,5,9-10v,68,True,93,25
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,Peregrine Run (IRE),N. M. Crosse,0,Peter Fahey,11th,32 l,13,8-13b,78,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,Bold Approach (IRE),R. P. Cleary,0,J. S. Bolger,10th,3/4 l,7,8-9p,74,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,Dreal Deal (IRE),D. W. O'Connor,0,John McConnell,9th,2 l,8,9-6t,85,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,Cozone,Declan McDonogh,0,Matthew J. Smith,8th,5 l,6,8-13b,78,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,No Thanks,S. D. Bowen,5,Matthew J. Smith,7th,1 3/4 l,7,8-7,72,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,S'all Good Man (IRE),C. D. Hayes,0,W. T. Farrell,6th,Neck,7,8-12p,77,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,War Correspondent (IRE),Seamie Heffernan,0,R. P. Cody,5th,Short Head,4,8-13t,78,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,Autocrat (IRE),J. A. Powell,3,James McAuley,4th,Nose,3,8-7p,77,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,Celtic Revival (IRE),J. J. G. Ryan,5,Edward Lynam,3rd,1 3/4 l,4,8-11,76,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,New Year Honours,L. F. Roche,0,Gordon Elliott,2nd,3 1/4 l,4,8-7t,72,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,A Piece Of Heaven (FR),L. T. McAteer,0,Barry Fitzgerald,1st,N/A,5,9-6,85,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,Peregrine Run (IRE),N. M. Crosse,0,Peter Fahey,11th,32 l,13,8-13b,78,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,Bold Approach (IRE),R. P. Cleary,0,J. S. Bolger,10th,3/4 l,7,8-9p,74,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,Dreal Deal (IRE),D. W. O'Connor,0,John McConnell,9th,2 l,8,9-6t,85,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,Cozone,Declan McDonogh,0,Matthew J. Smith,8th,5 l,6,8-13b,78,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,No Thanks,S. D. Bowen,5,Matthew J. Smith,7th,1 3/4 l,7,8-7,72,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,S'all Good Man (IRE),C. D. Hayes,0,W. T. Farrell,6th,Neck,7,8-12p,77,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,War Correspondent (IRE),Seamie Heffernan,0,R. P. Cody,5th,Short Head,4,8-13t,78,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,Autocrat (IRE),J. A. Powell,3,James McAuley,4th,Nose,3,8-7p,77,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,Celtic Revival (IRE),J. J. G. Ryan,5,Edward Lynam,3rd,1 3/4 l,4,8-11,76,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,New Year Honours,L. F. Roche,0,Gordon Elliott,2nd,3 1/4 l,4,8-7t,72,True,93,26
Dundalk Racing Results | 1st December 2023 19:00,N/A,19:00,Standard,2m,A Piece Of Heaven (FR),L. T. McAteer,0,Barry Fitzgerald,1st,N/A,5,9-6,85,True,93,26
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Coco Hill (IRE),Cillian McConnell,7,John McConnell,14th,Neck,3,9-8,52,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Realtin Fantasy (IRE),S. D. Bowen,2,W. P. Browne,13th,Neck,7,9-12,56,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Adams Barbour (IRE),D. E. Sheehy,0,L. Smyth,12th,1/2 l,6,9-11tb,55,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Florence Thompson (IRE),T. Kiely-Marshall,7,J. G. Murray,11th,1 1/4 l,6,9-3tp,47,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Maggie Thunder (IRE),J. Kearney,2,G. Hassett,10th,2 l,7,9-3,47,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Silver Nemo (IRE),C. M. Hogan,7,L. Smyth,9th,1/2 l,5,9-3tv,47,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Red Cymbal,Wesley Joyce,2,James McAuley,8th,Head,8,9-3tb,47,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Bonny Power (IRE),J. J. G. Ryan,2,Edward Lynam,7th,3/4 l,3,10-1,59,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,No Speed Limit (FR),Adam Caffrey,0,P. J. McKenna,6th,1 1/4 l,8,10-0v,58,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Below Deck (IRE),J. A. Powell,0,Luke Comer,5th,1/2 l,3,9-6,50,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,My Girl Sioux (IRE),Amy Jo Hayes,7,A. Slattery,4th,3/4 l,3,9-3b1,47,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Samrogue (IRE),Oisin McSweeney,0,Ross O'Sullivan,3rd,1/2 l,5,10-2,60,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Havana Notion,R. Whearty,2,J. J. Feane,2nd,Neck,3,9-10,54,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Senado Square,C. Horgan,7,A. Slattery,1st,N/A,3,9-3,47,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Coco Hill (IRE),Cillian McConnell,7,John McConnell,14th,Neck,3,9-8,52,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Realtin Fantasy (IRE),S. D. Bowen,2,W. P. Browne,13th,Neck,7,9-12,56,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Adams Barbour (IRE),D. E. Sheehy,0,L. Smyth,12th,1/2 l,6,9-11tb,55,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Florence Thompson (IRE),T. Kiely-Marshall,7,J. G. Murray,11th,1 1/4 l,6,9-3tp,47,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Maggie Thunder (IRE),J. Kearney,2,G. Hassett,10th,2 l,7,9-3,47,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Silver Nemo (IRE),C. M. Hogan,7,L. Smyth,9th,1/2 l,5,9-3tv,47,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Red Cymbal,Wesley Joyce,2,James McAuley,8th,Head,8,9-3tb,47,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Bonny Power (IRE),J. J. G. Ryan,2,Edward Lynam,7th,3/4 l,3,10-1,59,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,No Speed Limit (FR),Adam Caffrey,0,P. J. McKenna,6th,1 1/4 l,8,10-0v,58,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Below Deck (IRE),J. A. Powell,0,Luke Comer,5th,1/2 l,3,9-6,50,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,My Girl Sioux (IRE),Amy Jo Hayes,7,A. Slattery,4th,3/4 l,3,9-3b1,47,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Samrogue (IRE),Oisin McSweeney,0,Ross O'Sullivan,3rd,1/2 l,5,10-2,60,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Havana Notion,R. Whearty,2,J. J. Feane,2nd,Neck,3,9-10,54,True,93,27
Dundalk Racing Results | 1st December 2023 19:30,N/A,19:30,Standard,5f,Senado Square,C. Horgan,7,A. Slattery,1st,N/A,3,9-3,47,True,93,27
Dundalk Racing Results | 1st December 2023 20:00,N/A,20:00,Standard,1m 2f 150y,Drish Melody (IRE),C. Horgan,7,Donal Commins,14th,6 l,4,9-0p,47,True,93,28
Dundalk Racing Results | 1st December 2023 20:00,N/A,20:00,Standard,1m 2f 150y,Bronze River,Siobhan Rutledge,3,John McConnell,13th,Head,6,9-0h,47,True,93,28
Dundalk Racing Results | 1st December 2023 20:00,N/A,20:00,Standard,1m 2f 150y,Static Charge,J. A. Powell,3,Desmond McDonogh,12th,Neck,3,8-12t,47,True,93,28
Dundalk Racing Results | 1st December 2023 20:00,N/A,20:00,Standard,1m 2f 150y,Slieve Bearnagh (IRE),C. T. Keane,0,M. Halford & T. Collins,11th,Neck,6,9-5tp,52,True,93,28
Dundalk Racing Results | 1st December 2023 20:00,N/A,20:00,Standard,1m 2f 150y,Jalo (IRE),J. Kearney,5,G. A. Kingston,10th,1 3/4 l,3,10-0p1,63,True,93,28
Dundalk Racing Results | 1st December 2023 20:00,N/A,20:00,Standard,1m 2f 150y,Muhalhel (IRE),L. T. McAteer,0,Anthony McCann,9th,3/4 l,5,9-3tb,50,True,93,28
Dundalk Racing Results | 1st December 2023 20:00,N/A,20:00,Standard,1m 2f 150y,Nevada Brave (IRE),C. D. Hayes,0,Luke Comer,8th,Nose,5,9-0,47,True,93,28
Dundalk Racing Results | 1st December 2023 20:00,N/A,20:00,Standard,1m 2f 150y,Shining Aitch,J. J. G. Ryan,5,T. G. McCourt,7th,1/2 l,6,9-11t,58,True,93,28
Dundalk Racing Results | 1st December 2023 20:00,N/A,20:00,Standard,1m 2f 150y,Curzon Queen (IRE),Declan McDonogh,0,Kieran Patrick Cotter,6th,3/4 l,3,9-0,49,True,93,28
Dundalk Racing Results | 1st December 2023 20:00,N/A,20:00,Standard,1m 2f 150y,Areana (IRE),J. M. Sheridan,0,Miss Shauna Larkin,5th,Head,4,10-0t,61,True,93,28
Dundalk Racing Results | 1st December 2023 20:00,N/A,20:00,Standard,1m 2f 150y,Comfort Line (IRE),Adam Caffrey,5,Adrian McGuinness,4th,2 l,6,9-13v,60,True,93,28
Dundalk Racing Results | 1st December 2023 20:00,N/A,20:00,Standard,1m 2f 150y,Pinball Wizard (IRE),S. D. Bowen,5,John J. Nallen,3rd,Nose,5,9-13,60,True,93,28
Dundalk Racing Results | 1st December 2023 20:00,N/A,20:00,Standard,1m 2f 150y,Not Just Any Eagle (IRE),Seamie Heffernan,0,Patrick J. Flynn,2nd,Short Head,4,9-11p1,58,True,93,28
Dundalk Racing Results | 1st December 2023 20:00,N/A,20:00,Standard,1m 2f 150y,Hasten Slowly (IRE),Cillian McConnell,7,John McConnell,1st,N/A,3,10-0,63,True,93,28
Dundalk Racing Results | 1st December 2023 20:00,N/A,20:00,Standard,1m 2f 150y,Drish Melody (IRE),C. Horgan,7,Donal Commins,14th,6 l,4,9-0p,47,True,93,28
Dundalk Racing Results | 1st December 2023 20:00,N/A,20:00,Standard,1m 2f 150y,Bronze River,Siobhan Rutledge,3,John McConnell,13th,Head,6,9-0h,47,True,93,28
Dundalk Racing Results | 1st December 2023 20:00,N/A,20:00,Standard,1m 2f 150y,Static Charge,J. A. Powell,3,Desmond McDonogh,12th,Neck,3,8-12t,47,True,93,28
Dundalk Racing Results | 1st December 2023 20:00,N/A,20:00,Standard,1m 2f 150y,Slieve Bearnagh (IRE),C. T. Keane,0,M. Halford & T. Collins,11th,Neck,6,9-5tp,52,True,93,28
Dundalk Racing Results | 1st December 2023 20:00,N/A,20:00,Standard,1m 2f 150y,Jalo (IRE),J. Kearney,5,G. A. Kingston,10th,1 3/4 l,3,10-0p1,63,True,93,28
