track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Latest Model (IRE),Mr A. P. Ryan,2,John Joseph Hanlon,11th,3 1/4 l,5,12-0,91,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Atlantic Wonder (IRE),Ms K. L. Derwin,4,A. J. Martin,10th,1 l,5,11-10,87,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Saga Aravis (FR),Mr R. James,0,Paul Nolan,9th,2 l,6,12-2tb,93,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Pepperocco (IRE),Mr L. P. Shanahan,4,Ross O'Sullivan,8th,Neck,5,11-10t,87,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Come on Sally (IRE),Mr E. Staples,4,Paul Pierce,7th,12 l,8,11-6,83,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Beeverstown Bullet (IRE),Mr D. Kiely,0,Mark Cahill,6th,1 3/4 l,8,12-1b1,92,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Captain Cal (IRE),Mr R. W. Barron,0,Patrick Magee,5th,Short Head,6,11-5tp,82,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Only One Plan (IRE),Mr B. Lawless,2,P. J. Rothwell,4th,Head,5,11-8,85,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,O Mio Babbino (IRE),Mr A. Burke-Ott,2,Patrick Cronin,3rd,10 l,6,11-3,80,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Mastermind (IRE),Mr Pat Taaffe,0,Charles O'Brien,2nd,3 1/2 l,8,12-4,95,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Carbon King (IRE),Mr M. C. O'Donovan,0,Declan Queally,1st,N/A,5,11-6,83,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Copia Verborum (IRE),Miss A. McGuinness,4,J. J. Lambe,PU,N/A,6,12-4,95,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Gallaside (FR),Mr D. McGill,4,Colin A. McBratney,PU,N/A,5,12-1t,92,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,I Can't Remember (IRE),Mr B. Barry,2,Colin A. McBratney,PU,N/A,5,11-3,80,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Pidoyne (IRE),Mr R. A. Berry,2,Henry de Bromhead,PU,N/A,4,11-13p,90,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Flashthelights (IRE),Mr C. Abernethy,2,S. McConville,21st,17 l,6,11-11t,88,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,War Thunder,Mr H. C. Swan,0,D. J. Ryan,20th,3 l,4,11-9p1,86,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Flemenora (IRE),Mr E. Mahon,0,Mrs Yvonne Dunleavy,19th,1 l,5,11-4t,81,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Dixon Line,Mr J. C. Canavan,0,Adrian Sexton,18th,7 1/2 l,4,11-7p,84,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Go Gill Go (IRE),Mr P. Lake,4,James Grace,17th,4 1/4 l,7,12-0t,91,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Maxios Show (IRE),Mr O. McGill,0,Gary McGill,16th,1 1/4 l,4,12-0,91,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Johnny Clarke (IRE),Mr D. M. Fitzgerald,4,W. J. Burke,15th,3/4 l,5,11-11p1,88,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Brehon Star (IRE),Mr J. Dunne,0,Shane Crawley,14th,2 l,4,11-10,87,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Ceanndana (IRE),Mr T. P. Harney,0,Ross O'Sullivan,13th,4 1/2 l,5,11-12p,89,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Fourgenerations (IRE),Mr S. Cavanagh,0,Adrian Murray,12th,11 l,6,11-6t,83,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Latest Model (IRE),Mr A. P. Ryan,2,John Joseph Hanlon,11th,3 1/4 l,5,12-0,91,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Atlantic Wonder (IRE),Ms K. L. Derwin,4,A. J. Martin,10th,1 l,5,11-10,87,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Saga Aravis (FR),Mr R. James,0,Paul Nolan,9th,2 l,6,12-2tb,93,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Pepperocco (IRE),Mr L. P. Shanahan,4,Ross O'Sullivan,8th,Neck,5,11-10t,87,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Come on Sally (IRE),Mr E. Staples,4,Paul Pierce,7th,12 l,8,11-6,83,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Beeverstown Bullet (IRE),Mr D. Kiely,0,Mark Cahill,6th,1 3/4 l,8,12-1b1,92,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Captain Cal (IRE),Mr R. W. Barron,0,Patrick Magee,5th,Short Head,6,11-5tp,82,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Only One Plan (IRE),Mr B. Lawless,2,P. J. Rothwell,4th,Head,5,11-8,85,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,O Mio Babbino (IRE),Mr A. Burke-Ott,2,Patrick Cronin,3rd,10 l,6,11-3,80,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Mastermind (IRE),Mr Pat Taaffe,0,Charles O'Brien,2nd,3 1/2 l,8,12-4,95,True,35,28
Naas Racing Results | 20th December 2022 15:06,N/A,15:06,Soft (Yielding To Soft In Places) ap Hurdle (Turf),1m 7f 201y,Carbon King (IRE),Mr M. C. O'Donovan,0,Declan Queally,1st,N/A,5,11-6,83,True,35,28
Naas Racing Results | 20th December 2022 15:40,N/A,15:40,Soft (Yielding To Soft In Places),1m 7f 201y,Schutzengel (IRE),Mr A. P. Ryan,7,E. J. O'Grady,10th,78 l,4,12-0,-,True,35,29
Naas Racing Results | 20th December 2022 15:40,N/A,15:40,Soft (Yielding To Soft In Places),1m 7f 201y,Mo Chruinne (IRE),Mr J. W. Hendrick,7,Alan Donoghue,9th,6 1/2 l,5,12-0,-,True,35,29
Naas Racing Results | 20th December 2022 15:40,N/A,15:40,Soft (Yielding To Soft In Places),1m 7f 201y,Heure Exacte (FR),Mr H. C. Swan,7,I. Madden,8th,2 3/4 l,5,11-7,-,True,35,29
Naas Racing Results | 20th December 2022 15:40,N/A,15:40,Soft (Yielding To Soft In Places),1m 7f 201y,Connors Cross (IRE),Mr R. W. Barron,7,James Andrew Fahey,7th,36 l,5,12-0,-,True,35,29
Naas Racing Results | 20th December 2022 15:40,N/A,15:40,Soft (Yielding To Soft In Places),1m 7f 201y,Ostend (IRE),Mr B. Lawless,7,Peter Croke,6th,22 l,4,12-0,-,True,35,29
Naas Racing Results | 20th December 2022 15:40,N/A,15:40,Soft (Yielding To Soft In Places),1m 7f 201y,No Fussing (IRE),Mr D. Doyle,7,Timothy Doyle,5th,3 1/4 l,6,11-7,-,True,35,29
Naas Racing Results | 20th December 2022 15:40,N/A,15:40,Soft (Yielding To Soft In Places),1m 7f 201y,Bective Bridge (IRE),Mr J. L. Gleeson,7,Cian Michael Collins,4th,16 l,5,12-0,-,True,35,29
Naas Racing Results | 20th December 2022 15:40,N/A,15:40,Soft (Yielding To Soft In Places),1m 7f 201y,Givehimthehonour (IRE),Mr B. O'Neill,0,Paul Nolan,3rd,26 l,4,12-0,-,True,35,29
Naas Racing Results | 20th December 2022 15:40,N/A,15:40,Soft (Yielding To Soft In Places),1m 7f 201y,Firefox (IRE),Mr J. J. Codd,0,Gordon Elliott,2nd,3/4 l,4,12-0,-,True,35,29
Naas Racing Results | 20th December 2022 15:40,N/A,15:40,Soft (Yielding To Soft In Places),1m 7f 201y,Loughglynn (IRE),Mr P. W. Mullins,0,W. P. Mullins,1st,N/A,4,12-0,-,True,35,29
Naas Racing Results | 20th December 2022 15:40,N/A,15:40,Soft (Yielding To Soft In Places),1m 7f 201y,Schutzengel (IRE),Mr A. P. Ryan,7,E. J. O'Grady,10th,78 l,4,12-0,-,True,35,29
Naas Racing Results | 20th December 2022 15:40,N/A,15:40,Soft (Yielding To Soft In Places),1m 7f 201y,Mo Chruinne (IRE),Mr J. W. Hendrick,7,Alan Donoghue,9th,6 1/2 l,5,12-0,-,True,35,29
Naas Racing Results | 20th December 2022 15:40,N/A,15:40,Soft (Yielding To Soft In Places),1m 7f 201y,Heure Exacte (FR),Mr H. C. Swan,7,I. Madden,8th,2 3/4 l,5,11-7,-,True,35,29
Naas Racing Results | 20th December 2022 15:40,N/A,15:40,Soft (Yielding To Soft In Places),1m 7f 201y,Connors Cross (IRE),Mr R. W. Barron,7,James Andrew Fahey,7th,36 l,5,12-0,-,True,35,29
Naas Racing Results | 20th December 2022 15:40,N/A,15:40,Soft (Yielding To Soft In Places),1m 7f 201y,Ostend (IRE),Mr B. Lawless,7,Peter Croke,6th,22 l,4,12-0,-,True,35,29
Naas Racing Results | 20th December 2022 15:40,N/A,15:40,Soft (Yielding To Soft In Places),1m 7f 201y,No Fussing (IRE),Mr D. Doyle,7,Timothy Doyle,5th,3 1/4 l,6,11-7,-,True,35,29
Naas Racing Results | 20th December 2022 15:40,N/A,15:40,Soft (Yielding To Soft In Places),1m 7f 201y,Bective Bridge (IRE),Mr J. L. Gleeson,7,Cian Michael Collins,4th,16 l,5,12-0,-,True,35,29
Naas Racing Results | 20th December 2022 15:40,N/A,15:40,Soft (Yielding To Soft In Places),1m 7f 201y,Givehimthehonour (IRE),Mr B. O'Neill,0,Paul Nolan,3rd,26 l,4,12-0,-,True,35,29
Naas Racing Results | 20th December 2022 15:40,N/A,15:40,Soft (Yielding To Soft In Places),1m 7f 201y,Firefox (IRE),Mr J. J. Codd,0,Gordon Elliott,2nd,3/4 l,4,12-0,-,True,35,29
Naas Racing Results | 20th December 2022 15:40,N/A,15:40,Soft (Yielding To Soft In Places),1m 7f 201y,Loughglynn (IRE),Mr P. W. Mullins,0,W. P. Mullins,1st,N/A,4,12-0,-,True,35,29
N/A,N/A,11:35,Soft,2m,Harvey's Quay (IRE),L. P. Dempsey,0,E. J. O'Grady,5th,48 l,6,11-12,-,True,35,30
N/A,N/A,11:35,Soft,2m,Percy Warner (IRE),Rachael Blackmore,0,Henry de Bromhead,4th,6 1/2 l,6,11-12,-,True,35,30
N/A,N/A,11:35,Soft,2m,Highland Charge (IRE),B. J. Cooper,0,Noel Meade,3rd,6 l,7,11-12,-,True,35,30
N/A,N/A,11:35,Soft,2m,Colonel Mustard (FR),K. E. Buckley,5,Mrs Lorna Fowler,2nd,19 l,7,11-12,-,True,35,30
N/A,N/A,11:35,Soft,2m,El Fabiolo (FR),P. Townend,0,W. P. Mullins,1st,N/A,5,11-12,-,True,35,30
N/A,N/A,11:35,Soft,2m,Harvey's Quay (IRE),L. P. Dempsey,0,E. J. O'Grady,5th,48 l,6,11-12,-,True,35,30
N/A,N/A,11:35,Soft,2m,Percy Warner (IRE),Rachael Blackmore,0,Henry de Bromhead,4th,6 1/2 l,6,11-12,-,True,35,30
N/A,N/A,11:35,Soft,2m,Highland Charge (IRE),B. J. Cooper,0,Noel Meade,3rd,6 l,7,11-12,-,True,35,30
N/A,N/A,11:35,Soft,2m,Colonel Mustard (FR),K. E. Buckley,5,Mrs Lorna Fowler,2nd,19 l,7,11-12,-,True,35,30
N/A,N/A,11:35,Soft,2m,El Fabiolo (FR),P. Townend,0,W. P. Mullins,1st,N/A,5,11-12,-,True,35,30
N/A,N/A,12:05,Soft,2m,Priory Park (IRE),M. P. Walsh,0,E. J. O'Grady,7th,45 l,6,10-8,109,True,35,31
N/A,N/A,12:05,Soft,2m,Bythesametoken (IRE),Keith Donoghue,0,Ross O'Sullivan,6th,2 l,8,11-8t,123,True,35,31
N/A,N/A,12:05,Soft,2m,Flindt (IRE),E. Walsh,0,Ciaran Murphy,5th,12 l,7,11-1,116,True,35,31
N/A,N/A,12:05,Soft,2m,Kitty Galore (IRE),S. Fitzgerald,0,John Patrick Ryan,4th,1/2 l,8,11-6,121,True,35,31
N/A,N/A,12:05,Soft,2m,Clonbury Bridge (IRE),L. P. Dempsey,0,J. P. Dempsey,3rd,9 l,6,11-1t,116,True,35,31
N/A,N/A,12:05,Soft,2m,Gallyhill (IRE),J. W. Kennedy,0,Gordon Elliott,2nd,6 l,7,11-12t,127,True,35,31
N/A,N/A,12:05,Soft,2m,Big Debates (FR),Phillip Enright,0,Robert Tyner,1st,N/A,9,11-5,120,True,35,31
N/A,N/A,12:05,Soft,2m,Priory Park (IRE),M. P. Walsh,0,E. J. O'Grady,7th,45 l,6,10-8,109,True,35,31
N/A,N/A,12:05,Soft,2m,Bythesametoken (IRE),Keith Donoghue,0,Ross O'Sullivan,6th,2 l,8,11-8t,123,True,35,31
N/A,N/A,12:05,Soft,2m,Flindt (IRE),E. Walsh,0,Ciaran Murphy,5th,12 l,7,11-1,116,True,35,31
N/A,N/A,12:05,Soft,2m,Kitty Galore (IRE),S. Fitzgerald,0,John Patrick Ryan,4th,1/2 l,8,11-6,121,True,35,31
N/A,N/A,12:05,Soft,2m,Clonbury Bridge (IRE),L. P. Dempsey,0,J. P. Dempsey,3rd,9 l,6,11-1t,116,True,35,31
N/A,N/A,12:05,Soft,2m,Gallyhill (IRE),J. W. Kennedy,0,Gordon Elliott,2nd,6 l,7,11-12t,127,True,35,31
N/A,N/A,12:05,Soft,2m,Big Debates (FR),Phillip Enright,0,Robert Tyner,1st,N/A,9,11-5,120,True,35,31
N/A,N/A,12:37,Soft,2m 5f,Carrig Sam (IRE),Donagh Meyler,0,A. L. T. Moore,PU,N/A,6,11-3,-,True,35,32
N/A,N/A,12:37,Soft,2m 5f,Dunboyne (IRE),J. W. Kennedy,0,Gordon Elliott,PU,N/A,7,11-7p,-,True,35,32
N/A,N/A,12:37,Soft,2m 5f,Hallowed Star (IRE),D. E. Mullins,0,John Joseph Hanlon,PU,N/A,7,11-7,-,True,35,32
N/A,N/A,12:37,Soft,2m 5f,Francin (FR),Mr R. A. Berry,7,J. A. Berry,5th,20 l,9,11-3,-,True,35,32
N/A,N/A,12:37,Soft,2m 5f,Macs Charm (IRE),B. Hayes,0,Colm A. Murphy,4th,31 l,7,11-3,-,True,35,32
N/A,N/A,12:37,Soft,2m 5f,Marvel De Cerisy (FR),Rachael Blackmore,0,Henry de Bromhead,3rd,36 l,5,11-7t,-,True,35,32
N/A,N/A,12:37,Soft,2m 5f,The Goffer (IRE),Jordan Colin Gainford,0,Gordon Elliott,2nd,11 l,5,11-7,-,True,35,32
N/A,N/A,12:37,Soft,2m 5f,Ha D'Or (FR),P. Townend,0,W. P. Mullins,1st,N/A,5,11-3h,-,True,35,32
N/A,N/A,12:37,Soft,2m 5f,Carrig Sam (IRE),Donagh Meyler,0,A. L. T. Moore,PU,N/A,6,11-3,-,True,35,32
N/A,N/A,12:37,Soft,2m 5f,Dunboyne (IRE),J. W. Kennedy,0,Gordon Elliott,PU,N/A,7,11-7p,-,True,35,32
N/A,N/A,12:37,Soft,2m 5f,Hallowed Star (IRE),D. E. Mullins,0,John Joseph Hanlon,PU,N/A,7,11-7,-,True,35,32
N/A,N/A,12:37,Soft,2m 5f,Francin (FR),Mr R. A. Berry,7,J. A. Berry,5th,20 l,9,11-3,-,True,35,32
N/A,N/A,12:37,Soft,2m 5f,Macs Charm (IRE),B. Hayes,0,Colm A. Murphy,4th,31 l,7,11-3,-,True,35,32
N/A,N/A,12:37,Soft,2m 5f,Marvel De Cerisy (FR),Rachael Blackmore,0,Henry de Bromhead,3rd,36 l,5,11-7t,-,True,35,32
N/A,N/A,12:37,Soft,2m 5f,The Goffer (IRE),Jordan Colin Gainford,0,Gordon Elliott,2nd,11 l,5,11-7,-,True,35,32
N/A,N/A,12:37,Soft,2m 5f,Ha D'Or (FR),P. Townend,0,W. P. Mullins,1st,N/A,5,11-3h,-,True,35,32
N/A,N/A,13:07,Soft,2m,Wendell's Lass,Sam Ewing,0,T. Gibney,14th,43 l,3,10-7t1,-,True,35,33
N/A,N/A,13:07,Soft,2m,Pralognan (FR),Peter Carberry,0,A. J. Martin,13th,24 l,3,11-0,-,True,35,33
N/A,N/A,13:07,Soft,2m,Melnik (IRE),Gavin Peter Brouder,5,Colin A. McBratney,12th,1 1/2 l,3,11-0h1,-,True,35,33
N/A,N/A,13:07,Soft,2m,Joven De Corazon (IRE),Donagh Meyler,0,Paul Stafford,11th,Nose,3,10-7,-,True,35,33
N/A,N/A,13:07,Soft,2m,Brown Eagle (IRE),D. E. Mullins,0,M. C. Grassick,10th,36 l,3,11-0,-,True,35,33
N/A,N/A,13:07,Soft,2m,Portarlington (IRE),M. P. O'Connor,0,David Kenneth Budds,9th,1 l,3,11-0t,-,True,35,33
N/A,N/A,13:07,Soft,2m,Eighty Eight (IRE),Jordan Colin Gainford,0,Ross O'Sullivan,8th,3 1/2 l,3,11-0,-,True,35,33
N/A,N/A,13:07,Soft,2m,Bayou Belle (IRE),P. T. Smithers,7,Jarlath P. Fahey,7th,5 1/2 l,3,10-7,-,True,35,33
N/A,N/A,13:07,Soft,2m,By Your Side,Denis O'Regan,0,Gordon Elliott,6th,9 l,3,11-0,-,True,35,33
N/A,N/A,13:07,Soft,2m,Luminous Light,J. J. Slevin,0,Anthony McCann,5th,3 1/4 l,3,11-0,-,True,35,33
N/A,N/A,13:07,Soft,2m,The Lovely Man (IRE),R. J. Condon,5,Colm A. Murphy,4th,12 l,3,11-0,-,True,35,33
N/A,N/A,13:07,Soft,2m,Jackpot De Choisel (FR),S. D. Torrens,0,John McConnell,3rd,1 1/4 l,3,11-0t,-,True,35,33
N/A,N/A,13:07,Soft,2m,Komedy Kicks (IRE),S. F. O'Keeffe,0,Mrs J. Harrington,2nd,3/4 l,3,10-7,-,True,35,33
N/A,N/A,13:07,Soft,2m,Jazzy Matty (FR),J. W. Kennedy,0,Gordon Elliott,1st,N/A,3,11-0,-,True,35,33
N/A,N/A,13:07,Soft,2m,Wendell's Lass,Sam Ewing,0,T. Gibney,14th,43 l,3,10-7t1,-,True,35,33
N/A,N/A,13:07,Soft,2m,Pralognan (FR),Peter Carberry,0,A. J. Martin,13th,24 l,3,11-0,-,True,35,33
N/A,N/A,13:07,Soft,2m,Melnik (IRE),Gavin Peter Brouder,5,Colin A. McBratney,12th,1 1/2 l,3,11-0h1,-,True,35,33
N/A,N/A,13:07,Soft,2m,Joven De Corazon (IRE),Donagh Meyler,0,Paul Stafford,11th,Nose,3,10-7,-,True,35,33
N/A,N/A,13:07,Soft,2m,Brown Eagle (IRE),D. E. Mullins,0,M. C. Grassick,10th,36 l,3,11-0,-,True,35,33
N/A,N/A,13:07,Soft,2m,Portarlington (IRE),M. P. O'Connor,0,David Kenneth Budds,9th,1 l,3,11-0t,-,True,35,33
N/A,N/A,13:07,Soft,2m,Eighty Eight (IRE),Jordan Colin Gainford,0,Ross O'Sullivan,8th,3 1/2 l,3,11-0,-,True,35,33
N/A,N/A,13:07,Soft,2m,Bayou Belle (IRE),P. T. Smithers,7,Jarlath P. Fahey,7th,5 1/2 l,3,10-7,-,True,35,33
N/A,N/A,13:07,Soft,2m,By Your Side,Denis O'Regan,0,Gordon Elliott,6th,9 l,3,11-0,-,True,35,33
N/A,N/A,13:07,Soft,2m,Luminous Light,J. J. Slevin,0,Anthony McCann,5th,3 1/4 l,3,11-0,-,True,35,33
N/A,N/A,13:07,Soft,2m,The Lovely Man (IRE),R. J. Condon,5,Colm A. Murphy,4th,12 l,3,11-0,-,True,35,33
N/A,N/A,13:07,Soft,2m,Jackpot De Choisel (FR),S. D. Torrens,0,John McConnell,3rd,1 1/4 l,3,11-0t,-,True,35,33
N/A,N/A,13:07,Soft,2m,Komedy Kicks (IRE),S. F. O'Keeffe,0,Mrs J. Harrington,2nd,3/4 l,3,10-7,-,True,35,33
N/A,N/A,13:07,Soft,2m,Jazzy Matty (FR),J. W. Kennedy,0,Gordon Elliott,1st,N/A,3,11-0,-,True,35,33
N/A,N/A,13:37,Soft,2m,Bella Union (IRE),B. Hayes,0,John McConnell,16th,24 l,6,10-12,93,True,35,34
N/A,N/A,13:37,Soft,2m,Attitash (IRE),P. Byrnes,5,Jennifer Monaghan,15th,3 3/4 l,7,11-7,102,True,35,34
N/A,N/A,13:37,Soft,2m,Sirjack Thomas (IRE),Sam Ewing,0,Adrian McGuinness,14th,3 l,7,11-2,97,True,35,34
N/A,N/A,13:37,Soft,2m,Gaelic Des Chastys (FR),J. J. Slevin,0,Alan Donoghue,13th,1 l,6,10-7,88,True,35,34
N/A,N/A,13:37,Soft,2m,Young Fitzy (IRE),R. P. Geoghegan,7,Norman Lee,12th,3 l,7,11-9h,104,True,35,34
N/A,N/A,13:37,Soft,2m,Future Proof (IRE),J. P. O'Sullivan,5,P. J. Rothwell,11th,Neck,7,11-4p,99,True,35,34
N/A,N/A,13:37,Soft,2m,Navy Waves (IRE),E. Dwan,7,Mrs Julie Cashin,10th,3 l,4,11-7,102,True,35,34
N/A,N/A,13:37,Soft,2m,Elzoom (IRE),S. F. O'Keeffe,0,Shane Crawley,9th,8 l,4,10-11,92,True,35,34
N/A,N/A,13:37,Soft,2m,Broadford Publican (IRE),Keith Donoghue,0,J. P. Dempsey,8th,Nose,4,11-3,98,True,35,34
N/A,N/A,13:37,Soft,2m,Peace Party (IRE),E. Walsh,0,Desmond McDonogh,7th,Neck,10,11-3ht,98,True,35,34
N/A,N/A,13:37,Soft,2m,The King Of Prs (IRE),L. P. Dempsey,0,Gavin Patrick Cromwell,6th,1 1/4 l,4,11-3,98,True,35,34
N/A,N/A,13:37,Soft,2m,Ballybawn Belter (IRE),M. P. Walsh,0,Miss Elizabeth Doyle,5th,Neck,4,11-9,104,True,35,34
N/A,N/A,13:37,Soft,2m,Look Dont Touch (IRE),Patrick O'Hanlon,5,Dermot Anthony McLoughlin,4th,1 1/4 l,7,12-0t,109,True,35,34
N/A,N/A,13:37,Soft,2m,Sixhandsinmypocket,C. G. O'Dwyer,0,Conor O'Dwyer,3rd,Head,5,11-4,99,True,35,34
N/A,N/A,13:37,Soft,2m,Steppenwolf (FR),K. E. Buckley,5,Gavin Patrick Cromwell,2nd,1 l,4,11-8p1,103,True,35,34
N/A,N/A,13:37,Soft,2m,Mary's Pride (IRE),L. A. McKenna,7,Edward Cawley,1st,N/A,5,11-5t,100,True,35,34
N/A,N/A,13:37,Soft,2m,Bella Union (IRE),B. Hayes,0,John McConnell,16th,24 l,6,10-12,93,True,35,34
N/A,N/A,13:37,Soft,2m,Attitash (IRE),P. Byrnes,5,Jennifer Monaghan,15th,3 3/4 l,7,11-7,102,True,35,34
N/A,N/A,13:37,Soft,2m,Sirjack Thomas (IRE),Sam Ewing,0,Adrian McGuinness,14th,3 l,7,11-2,97,True,35,34
N/A,N/A,13:37,Soft,2m,Gaelic Des Chastys (FR),J. J. Slevin,0,Alan Donoghue,13th,1 l,6,10-7,88,True,35,34
N/A,N/A,13:37,Soft,2m,Young Fitzy (IRE),R. P. Geoghegan,7,Norman Lee,12th,3 l,7,11-9h,104,True,35,34
N/A,N/A,13:37,Soft,2m,Future Proof (IRE),J. P. O'Sullivan,5,P. J. Rothwell,11th,Neck,7,11-4p,99,True,35,34
N/A,N/A,13:37,Soft,2m,Navy Waves (IRE),E. Dwan,7,Mrs Julie Cashin,10th,3 l,4,11-7,102,True,35,34
N/A,N/A,13:37,Soft,2m,Elzoom (IRE),S. F. O'Keeffe,0,Shane Crawley,9th,8 l,4,10-11,92,True,35,34
N/A,N/A,13:37,Soft,2m,Broadford Publican (IRE),Keith Donoghue,0,J. P. Dempsey,8th,Nose,4,11-3,98,True,35,34
N/A,N/A,13:37,Soft,2m,Peace Party (IRE),E. Walsh,0,Desmond McDonogh,7th,Neck,10,11-3ht,98,True,35,34
N/A,N/A,13:37,Soft,2m,The King Of Prs (IRE),L. P. Dempsey,0,Gavin Patrick Cromwell,6th,1 1/4 l,4,11-3,98,True,35,34
N/A,N/A,13:37,Soft,2m,Ballybawn Belter (IRE),M. P. Walsh,0,Miss Elizabeth Doyle,5th,Neck,4,11-9,104,True,35,34
N/A,N/A,13:37,Soft,2m,Look Dont Touch (IRE),Patrick O'Hanlon,5,Dermot Anthony McLoughlin,4th,1 1/4 l,7,12-0t,109,True,35,34
N/A,N/A,13:37,Soft,2m,Sixhandsinmypocket,C. G. O'Dwyer,0,Conor O'Dwyer,3rd,Head,5,11-4,99,True,35,34
