track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,13:57,Yielding,2m 2f 165y,Mrss Bates (IRE),Thomas Reilly,7,John McConnell,7th,1 1/2 l,4,11-4t,-,True,24,47
N/A,N/A,13:57,Yielding,2m 2f 165y,Celebrating Katie (IRE),Sam Ewing,0,Noel C. Kelly,6th,2 l,5,11-5,-,True,24,47
N/A,N/A,13:57,Yielding,2m 2f 165y,Bingo Queen (IRE),K. E. Buckley,5,Patrick Martin,5th,3 1/4 l,5,11-5,-,True,24,47
N/A,N/A,13:57,Yielding,2m 2f 165y,General Maximus,J. W. Kennedy,0,Gordon Elliott,4th,30 l,5,11-12,-,True,24,47
N/A,N/A,13:57,Yielding,2m 2f 165y,Will You Win (IRE),R. J. Condon,5,Oliver McKiernan,3rd,15 l,7,11-5tb1,-,True,24,47
N/A,N/A,13:57,Yielding,2m 2f 165y,Duleek Street (IRE),S. D. Torrens,0,John McConnell,2nd,3/4 l,4,11-11t,-,True,24,47
N/A,N/A,13:57,Yielding,2m 2f 165y,Rodney Bay (IRE),J. J. Slevin,0,Joseph Anthony Murray,1st,N/A,5,11-12,-,True,24,47
N/A,N/A,13:57,Yielding,2m 2f 165y,Glenview (IRE),E. Walsh,0,Desmond McDonogh,PU,N/A,5,11-5,-,True,24,47
N/A,N/A,13:57,Yielding,2m 2f 165y,Carraig Gorm (IRE),A. M. King,7,Christian Delcros,13th,99 l,5,11-12,-,True,24,47
N/A,N/A,13:57,Yielding,2m 2f 165y,Captain Frankie (IRE),J. P. O'Sullivan,5,P. J. Rothwell,12th,50 l,4,11-4,-,True,24,47
N/A,N/A,13:57,Yielding,2m 2f 165y,Iguis (FR),D. J. O'Keeffe,0,Paul Traynor,11th,29 l,4,11-11t,-,True,24,47
N/A,N/A,13:57,Yielding,2m 2f 165y,Chancer Dancer (IRE),L. P. Dempsey,0,Noel C. Kelly,10th,16 l,5,11-5,-,True,24,47
N/A,N/A,13:57,Yielding,2m 2f 165y,Size Five (IRE),K. C. Sexton,0,Noel C. Kelly,9th,4 3/4 l,4,11-11,-,True,24,47
N/A,N/A,13:57,Yielding,2m 2f 165y,Beasley Street (IRE),S. F. O'Keeffe,0,W. P. Mullins,8th,1 1/4 l,6,11-12t,-,True,24,47
N/A,N/A,13:57,Yielding,2m 2f 165y,Mrss Bates (IRE),Thomas Reilly,7,John McConnell,7th,1 1/2 l,4,11-4t,-,True,24,47
N/A,N/A,13:57,Yielding,2m 2f 165y,Celebrating Katie (IRE),Sam Ewing,0,Noel C. Kelly,6th,2 l,5,11-5,-,True,24,47
N/A,N/A,13:57,Yielding,2m 2f 165y,Bingo Queen (IRE),K. E. Buckley,5,Patrick Martin,5th,3 1/4 l,5,11-5,-,True,24,47
N/A,N/A,13:57,Yielding,2m 2f 165y,General Maximus,J. W. Kennedy,0,Gordon Elliott,4th,30 l,5,11-12,-,True,24,47
N/A,N/A,13:57,Yielding,2m 2f 165y,Will You Win (IRE),R. J. Condon,5,Oliver McKiernan,3rd,15 l,7,11-5tb1,-,True,24,47
N/A,N/A,13:57,Yielding,2m 2f 165y,Duleek Street (IRE),S. D. Torrens,0,John McConnell,2nd,3/4 l,4,11-11t,-,True,24,47
N/A,N/A,13:57,Yielding,2m 2f 165y,Rodney Bay (IRE),J. J. Slevin,0,Joseph Anthony Murray,1st,N/A,5,11-12,-,True,24,47
N/A,N/A,14:32,Yielding,2m 2f 165y,Backing Band (IRE),K. C. Sexton,0,Peter Fahey,7th,5 1/2 l,6,11-2,-,True,24,48
N/A,N/A,14:32,Yielding,2m 2f 165y,Mr Sundancer,D. E. Mullins,0,John Joseph Hanlon,6th,7 l,4,11-3,-,True,24,48
N/A,N/A,14:32,Yielding,2m 2f 165y,Black Hawk Eagle (IRE),B. J. Cooper,0,Noel Meade,5th,6 1/2 l,4,11-13,-,True,24,48
N/A,N/A,14:32,Yielding,2m 2f 165y,Betty Dutton (IRE),D. J. O'Keeffe,0,E. J. O'Grady,4th,13 l,4,10-13,-,True,24,48
N/A,N/A,14:32,Yielding,2m 2f 165y,Nonbinding (IRE),Davy Russell,0,Gordon Elliott,3rd,5 l,5,12-0,-,True,24,48
N/A,N/A,14:32,Yielding,2m 2f 165y,Prince Zaltar (FR),Jack Foley,0,P. J. Rothwell,2nd,4 1/2 l,5,10-12,-,True,24,48
N/A,N/A,14:32,Yielding,2m 2f 165y,No Trouble (IRE),K. E. Buckley,5,John McConnell,1st,N/A,6,11-5t,-,True,24,48
N/A,N/A,14:32,Yielding,2m 2f 165y,Backing Band (IRE),K. C. Sexton,0,Peter Fahey,7th,5 1/2 l,6,11-2,-,True,24,48
N/A,N/A,14:32,Yielding,2m 2f 165y,Mr Sundancer,D. E. Mullins,0,John Joseph Hanlon,6th,7 l,4,11-3,-,True,24,48
N/A,N/A,14:32,Yielding,2m 2f 165y,Black Hawk Eagle (IRE),B. J. Cooper,0,Noel Meade,5th,6 1/2 l,4,11-13,-,True,24,48
N/A,N/A,14:32,Yielding,2m 2f 165y,Betty Dutton (IRE),D. J. O'Keeffe,0,E. J. O'Grady,4th,13 l,4,10-13,-,True,24,48
N/A,N/A,14:32,Yielding,2m 2f 165y,Nonbinding (IRE),Davy Russell,0,Gordon Elliott,3rd,5 l,5,12-0,-,True,24,48
N/A,N/A,14:32,Yielding,2m 2f 165y,Prince Zaltar (FR),Jack Foley,0,P. J. Rothwell,2nd,4 1/2 l,5,10-12,-,True,24,48
N/A,N/A,14:32,Yielding,2m 2f 165y,No Trouble (IRE),K. E. Buckley,5,John McConnell,1st,N/A,6,11-5t,-,True,24,48
N/A,N/A,15:07,Yielding,2m 1f 165y,Dixon Line,Kieran Callaghan,7,Adrian Sexton,PU,N/A,4,11-3,91,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Blackjack Boy (IRE),C. A. Landers,0,James M. Barcoe,13th,36 l,6,11-12,99,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Ask The Leader (IRE),D. J. O'Keeffe,0,David Christie,12th,10 l,6,11-11t,98,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Calahill (IRE),Corey McGivern,7,Cian Michael Collins,11th,2 3/4 l,7,10-9tb,82,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Daisy Dufresne (IRE),J. W. Kennedy,0,Gordon Elliott,10th,18 l,6,12-0,101,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Karayaz (IRE),A. M. King,7,J. J. Cullen,9th,1 1/4 l,7,11-6,93,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Innellan Shore (FR),Davy Russell,0,Gordon Elliott,8th,2 l,4,11-11,99,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Darkest Hour (IRE),Mr O. McGill,7,Mark McNiff,7th,5 1/2 l,5,11-4t,91,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Well Joey (IRE),Donagh Meyler,0,Paul Stafford,6th,4 1/2 l,11,11-2t,89,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Gamigin (IRE),S. D. Torrens,0,Noel C. Kelly,5th,Neck,4,11-12,100,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Ballinlough Gale (IRE),Patrick O'Hanlon,5,Patrick Martin,4th,4 l,5,12-0ht,101,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Trishknowsbest (IRE),Keith Donoghue,0,Patrick Griffin,3rd,16 l,5,11-8ht,95,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Single Edition (IRE),Sean Flanagan,0,Nigel Slevin,2nd,1 1/4 l,4,12-0h1,102,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Willyouwalkwithme (IRE),S. O'Callaghan,7,Harry Smyth,1st,N/A,7,11-13,100,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Dixon Line,Kieran Callaghan,7,Adrian Sexton,PU,N/A,4,11-3,91,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Blackjack Boy (IRE),C. A. Landers,0,James M. Barcoe,13th,36 l,6,11-12,99,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Ask The Leader (IRE),D. J. O'Keeffe,0,David Christie,12th,10 l,6,11-11t,98,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Calahill (IRE),Corey McGivern,7,Cian Michael Collins,11th,2 3/4 l,7,10-9tb,82,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Daisy Dufresne (IRE),J. W. Kennedy,0,Gordon Elliott,10th,18 l,6,12-0,101,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Karayaz (IRE),A. M. King,7,J. J. Cullen,9th,1 1/4 l,7,11-6,93,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Innellan Shore (FR),Davy Russell,0,Gordon Elliott,8th,2 l,4,11-11,99,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Darkest Hour (IRE),Mr O. McGill,7,Mark McNiff,7th,5 1/2 l,5,11-4t,91,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Well Joey (IRE),Donagh Meyler,0,Paul Stafford,6th,4 1/2 l,11,11-2t,89,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Gamigin (IRE),S. D. Torrens,0,Noel C. Kelly,5th,Neck,4,11-12,100,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Ballinlough Gale (IRE),Patrick O'Hanlon,5,Patrick Martin,4th,4 l,5,12-0ht,101,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Trishknowsbest (IRE),Keith Donoghue,0,Patrick Griffin,3rd,16 l,5,11-8ht,95,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Single Edition (IRE),Sean Flanagan,0,Nigel Slevin,2nd,1 1/4 l,4,12-0h1,102,True,24,49
N/A,N/A,15:07,Yielding,2m 1f 165y,Willyouwalkwithme (IRE),S. O'Callaghan,7,Harry Smyth,1st,N/A,7,11-13,100,True,24,49
N/A,N/A,15:42,Yielding,2m 5f 110y,Hollow Spark (IRE),C. A. Landers,0,James M. Barcoe,8th,41 l,5,10-11,-,True,24,50
N/A,N/A,15:42,Yielding,2m 5f 110y,Oscar West (IRE),Sean Flanagan,0,Nigel Slevin,7th,9 l,6,11-4t1,-,True,24,50
N/A,N/A,15:42,Yielding,2m 5f 110y,Grivei (FR),D. E. Mullins,0,W. P. Mullins,6th,25 l,5,11-4,-,True,24,50
N/A,N/A,15:42,Yielding,2m 5f 110y,Hot As Pepper (IRE),K. E. Buckley,5,John McConnell,5th,1 3/4 l,6,11-5t,-,True,24,50
N/A,N/A,15:42,Yielding,2m 5f 110y,Kilbree Warrior (IRE),R. J. Condon,5,Oliver McKiernan,4th,13 l,7,10-11tb,-,True,24,50
N/A,N/A,15:42,Yielding,2m 5f 110y,Ashlia Dancer (IRE),S. O'Callaghan,7,P. G. Fahey,3rd,3 1/2 l,6,10-11,-,True,24,50
N/A,N/A,15:42,Yielding,2m 5f 110y,Sam's Choice (IRE),J. W. Kennedy,0,Gordon Elliott,2nd,1/2 l,6,11-12,-,True,24,50
N/A,N/A,15:42,Yielding,2m 5f 110y,Inclusion (IRE),Kieran Callaghan,7,W. P. Mullins,1st,N/A,5,10-11,-,True,24,50
N/A,N/A,15:42,Yielding,2m 5f 110y,Hollow Spark (IRE),C. A. Landers,0,James M. Barcoe,8th,41 l,5,10-11,-,True,24,50
N/A,N/A,15:42,Yielding,2m 5f 110y,Oscar West (IRE),Sean Flanagan,0,Nigel Slevin,7th,9 l,6,11-4t1,-,True,24,50
N/A,N/A,15:42,Yielding,2m 5f 110y,Grivei (FR),D. E. Mullins,0,W. P. Mullins,6th,25 l,5,11-4,-,True,24,50
N/A,N/A,15:42,Yielding,2m 5f 110y,Hot As Pepper (IRE),K. E. Buckley,5,John McConnell,5th,1 3/4 l,6,11-5t,-,True,24,50
N/A,N/A,15:42,Yielding,2m 5f 110y,Kilbree Warrior (IRE),R. J. Condon,5,Oliver McKiernan,4th,13 l,7,10-11tb,-,True,24,50
N/A,N/A,15:42,Yielding,2m 5f 110y,Ashlia Dancer (IRE),S. O'Callaghan,7,P. G. Fahey,3rd,3 1/2 l,6,10-11,-,True,24,50
N/A,N/A,15:42,Yielding,2m 5f 110y,Sam's Choice (IRE),J. W. Kennedy,0,Gordon Elliott,2nd,1/2 l,6,11-12,-,True,24,50
N/A,N/A,15:42,Yielding,2m 5f 110y,Inclusion (IRE),Kieran Callaghan,7,W. P. Mullins,1st,N/A,5,10-11,-,True,24,50
