track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,14:33,Soft (Yielding To Soft In Places),3m,Dylrow (IRE),Miss A. L. Fitzgibbon,7,David Christie,8th,13 l,12,12-0tp1,-,True,36,1
N/A,N/A,14:33,Soft (Yielding To Soft In Places),3m,The Storyteller (IRE),Mr J. J. Codd,0,Gordon Elliott,7th,2 1/2 l,11,12-0,-,True,36,1
N/A,N/A,14:33,Soft (Yielding To Soft In Places),3m,Down The Highway (IRE),Mr T. J. Love,7,Ciaran Murphy,6th,3 1/2 l,9,12-0b,-,True,36,1
N/A,N/A,14:33,Soft (Yielding To Soft In Places),3m,Samurai Cracker (IRE),Mr N. McParlan,0,Mrs Caroline McCaldin,5th,6 l,9,12-0t,-,True,36,1
N/A,N/A,14:33,Soft (Yielding To Soft In Places),3m,Snow Falcon (IRE),Mr Pat Taaffe,7,Noel Meade,4th,7 1/2 l,12,12-0,-,True,36,1
N/A,N/A,14:33,Soft (Yielding To Soft In Places),3m,Coastal Tiep (FR),Mr S. Connor,7,Stuart Crawford,3rd,7 l,10,12-0t,-,True,36,1
N/A,N/A,14:33,Soft (Yielding To Soft In Places),3m,Dorking Cock (IRE),Mr B. G. Crawford,7,Stuart Crawford,2nd,Neck,8,12-0t,-,True,36,1
N/A,N/A,14:33,Soft (Yielding To Soft In Places),3m,Vaucelet (FR),Mr B. O'Neill,0,David Christie,1st,N/A,7,12-0,-,True,36,1
N/A,N/A,14:33,Soft (Yielding To Soft In Places),3m,Dylrow (IRE),Miss A. L. Fitzgibbon,7,David Christie,8th,13 l,12,12-0tp1,-,True,36,1
N/A,N/A,14:33,Soft (Yielding To Soft In Places),3m,The Storyteller (IRE),Mr J. J. Codd,0,Gordon Elliott,7th,2 1/2 l,11,12-0,-,True,36,1
N/A,N/A,14:33,Soft (Yielding To Soft In Places),3m,Down The Highway (IRE),Mr T. J. Love,7,Ciaran Murphy,6th,3 1/2 l,9,12-0b,-,True,36,1
N/A,N/A,14:33,Soft (Yielding To Soft In Places),3m,Samurai Cracker (IRE),Mr N. McParlan,0,Mrs Caroline McCaldin,5th,6 l,9,12-0t,-,True,36,1
N/A,N/A,14:33,Soft (Yielding To Soft In Places),3m,Snow Falcon (IRE),Mr Pat Taaffe,7,Noel Meade,4th,7 1/2 l,12,12-0,-,True,36,1
N/A,N/A,14:33,Soft (Yielding To Soft In Places),3m,Coastal Tiep (FR),Mr S. Connor,7,Stuart Crawford,3rd,7 l,10,12-0t,-,True,36,1
N/A,N/A,14:33,Soft (Yielding To Soft In Places),3m,Dorking Cock (IRE),Mr B. G. Crawford,7,Stuart Crawford,2nd,Neck,8,12-0t,-,True,36,1
N/A,N/A,14:33,Soft (Yielding To Soft In Places),3m,Vaucelet (FR),Mr B. O'Neill,0,David Christie,1st,N/A,7,12-0,-,True,36,1
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Always Handy (IRE),Mr B. T. Stone,7,Brian Jordan,NR,N/A,4,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Johnny M (IRE),Mr L. D. Andrews,7,John McConnell,11th,99 l,4,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Tiz All Hush Hush (IRE),Mr B. O'Neill,0,R. K. Watson,10th,51 l,4,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Kalsman (IRE),Mr J. Kelly Smith,7,Liam Lennon,9th,3 1/2 l,4,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Ounce Of Gold (IRE),Mr D. G. Lavery,0,Patrick Eugene Turley,8th,2 1/2 l,5,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,The Bridge House (IRE),Shane Fenelon,7,John Joseph Hanlon,7th,47 l,4,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Make No Plans (IRE),C. Smithers,7,Liam G. O'Brien,6th,3 1/2 l,4,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Boldog (FR),Mr B. G. Crawford,7,Stuart Crawford,5th,47 l,4,12-0h1,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Attaboyarchie (IRE),Miss E. J. Sweeney,7,Dermot Anthony McLoughlin,4th,8 l,5,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Faulty,Mr Pat Taaffe,7,Noel Meade,3rd,3 l,5,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Littlefoot (IRE),L. A. McKenna,7,Mark Molloy,2nd,Nose,4,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Lucky Lyreen (IRE),Mr J. J. Codd,0,Gordon Elliott,1st,N/A,4,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Always Handy (IRE),Mr B. T. Stone,7,Brian Jordan,NR,N/A,4,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Johnny M (IRE),Mr L. D. Andrews,7,John McConnell,11th,99 l,4,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Tiz All Hush Hush (IRE),Mr B. O'Neill,0,R. K. Watson,10th,51 l,4,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Kalsman (IRE),Mr J. Kelly Smith,7,Liam Lennon,9th,3 1/2 l,4,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Ounce Of Gold (IRE),Mr D. G. Lavery,0,Patrick Eugene Turley,8th,2 1/2 l,5,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,The Bridge House (IRE),Shane Fenelon,7,John Joseph Hanlon,7th,47 l,4,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Make No Plans (IRE),C. Smithers,7,Liam G. O'Brien,6th,3 1/2 l,4,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Boldog (FR),Mr B. G. Crawford,7,Stuart Crawford,5th,47 l,4,12-0h1,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Attaboyarchie (IRE),Miss E. J. Sweeney,7,Dermot Anthony McLoughlin,4th,8 l,5,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Faulty,Mr Pat Taaffe,7,Noel Meade,3rd,3 l,5,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Littlefoot (IRE),L. A. McKenna,7,Mark Molloy,2nd,Nose,4,12-0,-,True,36,2
N/A,N/A,15:08,Soft (Yielding To Soft In Places)  Flat (Turf),2m 1f,Lucky Lyreen (IRE),Mr J. J. Codd,0,Gordon Elliott,1st,N/A,4,12-0,-,True,36,2
N/A,N/A,12:00,Soft,2m,Importateur (FR),I. J. Power,0,A. McIntyre,27th,19 l,4,11-7,-,True,36,3
N/A,N/A,12:00,Soft,2m,On My Bike (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,26th,23 l,4,11-7,-,True,36,3
N/A,N/A,12:00,Soft,2m,Natural Ability (IRE),Peter Carberry,0,A. J. Martin,25th,4 1/4 l,4,11-7,-,True,36,3
N/A,N/A,12:00,Soft,2m,Jump The Shark (IRE),L. P. Dempsey,0,Gavin Patrick Cromwell,24th,4 1/2 l,4,11-7,-,True,36,3
