track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Get Down To It (IRE),D J O'Keeffe,0,T Gibney,NR,N/A,5,10-13h1,94,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Whotookthebiscuit (IRE),Rachael Blackmore,0,H De Bromhead,NR,N/A,6,11-8t,103,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Mayos Vendangeur (IRE),S D Torrens,0,P J Rothwell,S,N/A,5,10-8,89,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Rossies Tara,P T Enright,0,M M McNiff,10th,3 3/4 l,8,10-0t,81,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Yolande Court (IRE),D King,0,G A Kingston,9th,21 l,7,10-4,85,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Magic Olinger (IRE),R A Doyle,0,G Keane,8th,3 1/4 l,6,11-3,98,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Inatosha (IRE),J Coen,5,A McCann,7th,21 l,5,10-2,83,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Doctor Nightingale (IRE),D J Gilligan,3,G Elliott,6th,2 3/4 l,4,11-12,113,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Mullins Cross (IRE),J C Gainford,0,J J Hanlon,5th,1/2 l,8,10-4b,85,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Grace Faraday (IRE),J P O'Sullivan,0,A McCann,4th,4 1/4 l,6,10-10,91,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Hidden Land (USA),Mr J C Barry,3,A Kinirons,3rd,6 l,7,12-0h,109,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Not May (IRE),J P Shinnick,7,H P Finegan,2nd,1/2 l,10,10-2tp1,83,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Redwood Queen (IRE),P Byrnes,3,C Byrnes,1st,N/A,7,11-2,97,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Get Down To It (IRE),D J O'Keeffe,0,T Gibney,NR,N/A,5,10-13h1,94,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Whotookthebiscuit (IRE),Rachael Blackmore,0,H De Bromhead,NR,N/A,6,11-8t,103,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Mayos Vendangeur (IRE),S D Torrens,0,P J Rothwell,S,N/A,5,10-8,89,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Rossies Tara,P T Enright,0,M M McNiff,10th,3 3/4 l,8,10-0t,81,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Yolande Court (IRE),D King,0,G A Kingston,9th,21 l,7,10-4,85,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Magic Olinger (IRE),R A Doyle,0,G Keane,8th,3 1/4 l,6,11-3,98,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Inatosha (IRE),J Coen,5,A McCann,7th,21 l,5,10-2,83,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Doctor Nightingale (IRE),D J Gilligan,3,G Elliott,6th,2 3/4 l,4,11-12,113,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Mullins Cross (IRE),J C Gainford,0,J J Hanlon,5th,1/2 l,8,10-4b,85,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Grace Faraday (IRE),J P O'Sullivan,0,A McCann,4th,4 1/4 l,6,10-10,91,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Hidden Land (USA),Mr J C Barry,3,A Kinirons,3rd,6 l,7,12-0h,109,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Not May (IRE),J P Shinnick,7,H P Finegan,2nd,1/2 l,10,10-2tp1,83,True,113,1
Downpatrick Racing Results | 10th May 2024 18:45,N/A,18:45,Good (Good To Firm In Places),2m 1f 160y,Redwood Queen (IRE),P Byrnes,3,C Byrnes,1st,N/A,7,11-2,97,True,113,1
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,Coastguard Lady (IRE),J P O'Sullivan,0,P J Rothwell,NR,N/A,6,11-4tp,85,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,Kate Ill Know (IRE),S Fitzgerald,0,D Budds,NR,N/A,11,10-13t,80,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,Junot (IRE),D J O'Keeffe,0,M Winters,NR,N/A,5,11-11tp,92,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,Katzoff (IRE),T P Harney,7,J Morrison,PU,N/A,7,10-12,79,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,Seasett,Shane Fenelon,7,J J Hanlon,PU,N/A,6,12-0p,95,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,Ivar The Boneless (IRE),D Meyler,0,R K Watson,7th,13 l,6,11-11ht,92,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,Flashthelights (IRE),S D Torrens,0,N C Kelly,6th,9 1/2 l,8,11-0tp,81,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,Ciankyle (IRE),S W Flanagan,0,P Cluskey,5th,1 3/4 l,13,11-0,81,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,Always Giving (IRE),Mr J W Hendrick,7,Tom Dreaper,4th,16 l,6,11-2,83,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,Erigmoor,D J Gilligan,3,G Elliott,3rd,3/4 l,6,11-12,93,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,One And Only (IRE),P T Enright,0,O McKiernan,2nd,1/2 l,6,11-7t,88,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,O'Faolains Glory (IRE),K M Donoghue,0,Ian Donoghue,1st,N/A,7,11-11p,92,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,Coastguard Lady (IRE),J P O'Sullivan,0,P J Rothwell,NR,N/A,6,11-4tp,85,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,Kate Ill Know (IRE),S Fitzgerald,0,D Budds,NR,N/A,11,10-13t,80,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,Junot (IRE),D J O'Keeffe,0,M Winters,NR,N/A,5,11-11tp,92,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,Katzoff (IRE),T P Harney,7,J Morrison,PU,N/A,7,10-12,79,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,Seasett,Shane Fenelon,7,J J Hanlon,PU,N/A,6,12-0p,95,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,Ivar The Boneless (IRE),D Meyler,0,R K Watson,7th,13 l,6,11-11ht,92,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,Flashthelights (IRE),S D Torrens,0,N C Kelly,6th,9 1/2 l,8,11-0tp,81,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,Ciankyle (IRE),S W Flanagan,0,P Cluskey,5th,1 3/4 l,13,11-0,81,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,Always Giving (IRE),Mr J W Hendrick,7,Tom Dreaper,4th,16 l,6,11-2,83,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,Erigmoor,D J Gilligan,3,G Elliott,3rd,3/4 l,6,11-12,93,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,One And Only (IRE),P T Enright,0,O McKiernan,2nd,1/2 l,6,11-7t,88,True,113,2
Downpatrick Racing Results | 10th May 2024 19:20,N/A,19:20,Good (Good To Firm In Places),2m 3f 100y,O'Faolains Glory (IRE),K M Donoghue,0,Ian Donoghue,1st,N/A,7,11-11p,92,True,113,2
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Amaulino (FR),D Meyler,0,R K Watson,NR,N/A,11,11-12tp,100,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Nuttorridge (IRE),P T Enright,0,M M McNiff,NR,N/A,9,11-2tb,90,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Agirlcalledchloe (IRE),Non Runner,0,P J Rothwell,NR,N/A,7,10-2p,76,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Ardaghs Choice (IRE),C P Millar,7,E Sheehy,PU,N/A,9,11-10b,98,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Ocean Legacy (IRE),J J Slevin,0,D A McLoughlin,F,N/A,7,11-0,88,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Fox Fearless,J I Duggan,7,O McKiernan,10th,6 1/2 l,8,11-7,95,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Faith Loving (FR),R Deegan,0,Caroline Mccaldin,9th,3 1/4 l,9,11-7p1,95,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Keep Me Posted (IRE),Miss L Costello,7,T Costello,8th,2 l,7,11-1t,89,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Townhill Penny (IRE),J C Gainford,0,G Elliott,7th,22 l,8,11-7p,95,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Gladiatorial (IRE),Mr O McGill,7,N C Kelly,6th,1 1/2 l,9,12-0t,102,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Tangental (IRE),B Hayes,0,Colm Murphy,5th,11 l,8,10-11,85,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Ocodango Boy (IRE),G Brouder,5,P McCreery,4th,Nose,7,10-6p,80,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Lady Kate (IRE),L Quinlan,5,R Hackett,3rd,3 3/4 l,7,11-11,99,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Welsh Saint (FR),S W Flanagan,0,C A McBratney,2nd,1 1/4 l,10,11-13,101,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Jump The Shark (IRE),K M Donoghue,0,G P Cromwell,1st,N/A,6,11-8,96,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Amaulino (FR),D Meyler,0,R K Watson,NR,N/A,11,11-12tp,100,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Nuttorridge (IRE),P T Enright,0,M M McNiff,NR,N/A,9,11-2tb,90,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Agirlcalledchloe (IRE),Non Runner,0,P J Rothwell,NR,N/A,7,10-2p,76,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Ardaghs Choice (IRE),C P Millar,7,E Sheehy,PU,N/A,9,11-10b,98,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Ocean Legacy (IRE),J J Slevin,0,D A McLoughlin,F,N/A,7,11-0,88,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Fox Fearless,J I Duggan,7,O McKiernan,10th,6 1/2 l,8,11-7,95,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Faith Loving (FR),R Deegan,0,Caroline Mccaldin,9th,3 1/4 l,9,11-7p1,95,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Keep Me Posted (IRE),Miss L Costello,7,T Costello,8th,2 l,7,11-1t,89,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Townhill Penny (IRE),J C Gainford,0,G Elliott,7th,22 l,8,11-7p,95,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Gladiatorial (IRE),Mr O McGill,7,N C Kelly,6th,1 1/2 l,9,12-0t,102,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Tangental (IRE),B Hayes,0,Colm Murphy,5th,11 l,8,10-11,85,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Ocodango Boy (IRE),G Brouder,5,P McCreery,4th,Nose,7,10-6p,80,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Lady Kate (IRE),L Quinlan,5,R Hackett,3rd,3 3/4 l,7,11-11,99,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Welsh Saint (FR),S W Flanagan,0,C A McBratney,2nd,1 1/4 l,10,11-13,101,True,113,3
Downpatrick Racing Results | 10th May 2024 19:55,N/A,19:55,Good (Good To Firm In Places),2m 7f 150y,Jump The Shark (IRE),K M Donoghue,0,G P Cromwell,1st,N/A,6,11-8,96,True,113,3
Downpatrick Racing Results | 10th May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),2m 1f 160y,Ocean Brew (IRE),Mr H C Swan,3,G Elliott,NR,N/A,5,11-11,-,True,113,4
Downpatrick Racing Results | 10th May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),2m 1f 160y,Wild Mandate (IRE),Mr J C Barry,3,M M McNiff,NR,N/A,5,11-11,-,True,113,4
Downpatrick Racing Results | 10th May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),2m 1f 160y,Molly Molone (IRE),Miss A B O'Connor,3,A McCann,8th,41 l,5,11-11,-,True,113,4
Downpatrick Racing Results | 10th May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),2m 1f 160y,Road To Mallow (IRE),Mr S Connor,7,S R B Crawford,7th,18 l,5,11-11,-,True,113,4
Downpatrick Racing Results | 10th May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),2m 1f 160y,Dontcall (IRE),Miss P Elvin,7,P J Rothwell,6th,1 3/4 l,6,11-11,-,True,113,4
Downpatrick Racing Results | 10th May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),2m 1f 160y,Mrs Wemyss (IRE),Miss C Butler,7,E Sheehy,5th,8 1/2 l,6,11-11,-,True,113,4
Downpatrick Racing Results | 10th May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),2m 1f 160y,Vroomvroomboo (IRE),Miss H Heffernan,7,James Andrew Fahey,4th,6 l,6,11-11,-,True,113,4
Downpatrick Racing Results | 10th May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),2m 1f 160y,Katie's Casper (IRE),Mr D McGill,7,D A McLoughlin,3rd,6 1/2 l,5,11-11t1,-,True,113,4
Downpatrick Racing Results | 10th May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),2m 1f 160y,Ellen Kelly (IRE),Miss J Townend,0,W P Mullins,2nd,2 1/2 l,5,11-11,-,True,113,4
Downpatrick Racing Results | 10th May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),2m 1f 160y,Sansrisk (FR),Mr F Maguire,0,J P Dempsey,1st,N/A,5,11-11p1,-,True,113,4
Downpatrick Racing Results | 10th May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),2m 1f 160y,Ocean Brew (IRE),Mr H C Swan,3,G Elliott,NR,N/A,5,11-11,-,True,113,4
Downpatrick Racing Results | 10th May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),2m 1f 160y,Wild Mandate (IRE),Mr J C Barry,3,M M McNiff,NR,N/A,5,11-11,-,True,113,4
Downpatrick Racing Results | 10th May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),2m 1f 160y,Molly Molone (IRE),Miss A B O'Connor,3,A McCann,8th,41 l,5,11-11,-,True,113,4
Downpatrick Racing Results | 10th May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),2m 1f 160y,Road To Mallow (IRE),Mr S Connor,7,S R B Crawford,7th,18 l,5,11-11,-,True,113,4
Downpatrick Racing Results | 10th May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),2m 1f 160y,Dontcall (IRE),Miss P Elvin,7,P J Rothwell,6th,1 3/4 l,6,11-11,-,True,113,4
Downpatrick Racing Results | 10th May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),2m 1f 160y,Mrs Wemyss (IRE),Miss C Butler,7,E Sheehy,5th,8 1/2 l,6,11-11,-,True,113,4
Downpatrick Racing Results | 10th May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),2m 1f 160y,Vroomvroomboo (IRE),Miss H Heffernan,7,James Andrew Fahey,4th,6 l,6,11-11,-,True,113,4
Downpatrick Racing Results | 10th May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),2m 1f 160y,Katie's Casper (IRE),Mr D McGill,7,D A McLoughlin,3rd,6 1/2 l,5,11-11t1,-,True,113,4
Downpatrick Racing Results | 10th May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),2m 1f 160y,Ellen Kelly (IRE),Miss J Townend,0,W P Mullins,2nd,2 1/2 l,5,11-11,-,True,113,4
Downpatrick Racing Results | 10th May 2024 20:30,N/A,20:30,Good (Good To Firm In Places),2m 1f 160y,Sansrisk (FR),Mr F Maguire,0,J P Dempsey,1st,N/A,5,11-11p1,-,True,113,4
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Celtic Chieftain (IRE),W M Lordan,0,A P O'Brien,NR,N/A,2,9-7,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,El Fontenaro (IRE),L F Roche,0,J P Fahey,NR,N/A,2,9-2,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Your Cheaten Heart (IRE),R C Colgan,0,L Comer,10th,1/2 l,2,9-2,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Clever And Classy (IRE),A J Slattery,0,J S Bolger,9th,4 l,2,9-2,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Eclairage (IRE),S Foley,0,Daniel Murphy,8th,1 1/2 l,2,9-2,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Keithal (IRE),R P Whelan,0,K P Cotter,7th,Head,2,9-2,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Withoutfurtherado (IRE),J J G Ryan,5,Miss Jennifer Anne Lynch,6th,3/4 l,2,9-7,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Weegeebear (IRE),G F Carroll,0,G M Lyons,5th,2 1/4 l,2,9-7,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Flamengo's Queen (IRE),J Cleary,7,A Murray,4th,Neck,2,9-2,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Hugo's Girl (IRE),O McSweeney,3,Thomas Dowling,3rd,2 1/4 l,2,9-2,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Tommy McJohn (IRE),C T Keane,0,M O'Callaghan,2nd,3 1/4 l,2,9-7,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Make Haste,G M Ryan,0,D Dias,1st,N/A,2,9-2t1,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Celtic Chieftain (IRE),W M Lordan,0,A P O'Brien,NR,N/A,2,9-7,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,El Fontenaro (IRE),L F Roche,0,J P Fahey,NR,N/A,2,9-2,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Your Cheaten Heart (IRE),R C Colgan,0,L Comer,10th,1/2 l,2,9-2,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Clever And Classy (IRE),A J Slattery,0,J S Bolger,9th,4 l,2,9-2,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Eclairage (IRE),S Foley,0,Daniel Murphy,8th,1 1/2 l,2,9-2,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Keithal (IRE),R P Whelan,0,K P Cotter,7th,Head,2,9-2,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Withoutfurtherado (IRE),J J G Ryan,5,Miss Jennifer Anne Lynch,6th,3/4 l,2,9-7,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Weegeebear (IRE),G F Carroll,0,G M Lyons,5th,2 1/4 l,2,9-7,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Flamengo's Queen (IRE),J Cleary,7,A Murray,4th,Neck,2,9-2,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Hugo's Girl (IRE),O McSweeney,3,Thomas Dowling,3rd,2 1/4 l,2,9-2,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Tommy McJohn (IRE),C T Keane,0,M O'Callaghan,2nd,3 1/4 l,2,9-7,-,True,113,5
Naas Racing Results | 11th May 2024 13:25,N/A,13:25,Good,5f,Make Haste,G M Ryan,0,D Dias,1st,N/A,2,9-2t1,-,True,113,5
Naas Racing Results | 11th May 2024 14:00,N/A,14:00,Good,5f,Imperial Khan (IRE),A C Persse,7,Liam G O'brien,13th,3 3/4 l,5,8-7p,51,True,113,6
Naas Racing Results | 11th May 2024 14:00,N/A,14:00,Good,5f,Shoebox King (IRE),N M Crosse,0,Kevin Coleman,12th,Neck,5,8-12,57,True,113,6
Naas Racing Results | 11th May 2024 14:00,N/A,14:00,Good,5f,Inishmot Prince (IRE),J J G Ryan,5,T G McCourt,11th,1 l,6,10-2v,75,True,113,6
Naas Racing Results | 11th May 2024 14:00,N/A,14:00,Good,5f,Below Deck (IRE),M W Hassett,7,L Comer,10th,Nose,4,8-7p,51,True,113,6
Naas Racing Results | 11th May 2024 14:00,N/A,14:00,Good,5f,Senado Square,C Horgan,7,A Slattery,9th,Head,4,9-8,67,True,113,6
Naas Racing Results | 11th May 2024 14:00,N/A,14:00,Good,5f,Rumbled Again (IRE),J M Sheridan,0,D Hogan,8th,1 1/4 l,4,9-11b,70,True,113,6
Naas Racing Results | 11th May 2024 14:00,N/A,14:00,Good,5f,Jazzy Dancer (IRE),L T McAteer,0,W J Martin,7th,2 l,6,9-5v,64,True,113,6
Naas Racing Results | 11th May 2024 14:00,N/A,14:00,Good,5f,American In Paris (IRE),K G Kennedy,7,D Hogan,6th,Neck,4,8-7b,51,True,113,6
Naas Racing Results | 11th May 2024 14:00,N/A,14:00,Good,5f,Bold Optimist (IRE),O McSweeney,3,Daniel McLoughlin,5th,1/2 l,4,9-13p,72,True,113,6
Naas Racing Results | 11th May 2024 14:00,N/A,14:00,Good,5f,So Majestic (IRE),C D Hayes,0,Miss McGivern,4th,1 1/2 l,4,9-12ht,71,True,113,6
Naas Racing Results | 11th May 2024 14:00,N/A,14:00,Good,5f,Keke,W J Lee,0,E Lynam,3rd,Head,4,9-8t,67,True,113,6
Naas Racing Results | 11th May 2024 14:00,N/A,14:00,Good,5f,Reinforce (IRE),R P Whelan,0,Miss K Brown,2nd,3/4 l,4,8-8,53,True,113,6
Naas Racing Results | 11th May 2024 14:00,N/A,14:00,Good,5f,Mehman,S Foley,0,Gerard O'Leary,1st,N/A,5,10-2t,75,True,113,6
Naas Racing Results | 11th May 2024 14:00,N/A,14:00,Good,5f,Imperial Khan (IRE),A C Persse,7,Liam G O'brien,13th,3 3/4 l,5,8-7p,51,True,113,6
Naas Racing Results | 11th May 2024 14:00,N/A,14:00,Good,5f,Shoebox King (IRE),N M Crosse,0,Kevin Coleman,12th,Neck,5,8-12,57,True,113,6
