track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Pink Oxalis (IRE),G F Carroll,0,J G Murphy,NR,N/A,3,9-3,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Turn And Burn (IRE),N M Crosse,0,Daniel Murphy,9th,7 1/2 l,3,9-8,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Your Day To Shine (IRE),W Joyce,5,M Mulvany,8th,Neck,3,9-8,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Blame Thechampagne (IRE),R P Whelan,0,A McGuinness,7th,2 l,3,9-3p,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Crystal Luna (IRE),G M Ryan,0,Daniel Murphy,6th,1/2 l,3,9-3b,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Jalaybee,C D Hayes,0,D K Weld,5th,1 3/4 l,3,9-8v1,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Limoncello Lady (IRE),S Foley,0,Mrs J Harrington,4th,2 l,3,9-3b1,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Ace In The Pack (IRE),G P Halpin,0,K Prendergast,3rd,3 3/4 l,3,9-8,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Emerald Harmony (IRE),B M Coen,0,J P Murtagh,2nd,3 3/4 l,3,9-3p1,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Yefimenko (IRE),C T Keane,0,G M Lyons,1st,N/A,3,9-3,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Pink Oxalis (IRE),G F Carroll,0,J G Murphy,NR,N/A,3,9-3,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Turn And Burn (IRE),N M Crosse,0,Daniel Murphy,9th,7 1/2 l,3,9-8,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Your Day To Shine (IRE),W Joyce,5,M Mulvany,8th,Neck,3,9-8,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Blame Thechampagne (IRE),R P Whelan,0,A McGuinness,7th,2 l,3,9-3p,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Crystal Luna (IRE),G M Ryan,0,Daniel Murphy,6th,1/2 l,3,9-3b,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Jalaybee,C D Hayes,0,D K Weld,5th,1 3/4 l,3,9-8v1,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Limoncello Lady (IRE),S Foley,0,Mrs J Harrington,4th,2 l,3,9-3b1,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Ace In The Pack (IRE),G P Halpin,0,K Prendergast,3rd,3 3/4 l,3,9-8,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Emerald Harmony (IRE),B M Coen,0,J P Murtagh,2nd,3 3/4 l,3,9-3p1,-,True,126,1
Bellewstown Racing Results | 5th July 2024 17:50,N/A,17:50,Good,5f 3y,Yefimenko (IRE),C T Keane,0,G M Lyons,1st,N/A,3,9-3,-,True,126,1
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Short Change (IRE),L T McAteer,0,Thomas Dowling,NR,N/A,5,9-9,54,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Coffeemeanscoffee (IRE),K J Leonard,0,Tom McGuinness,NR,N/A,9,9-3,48,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Shoebox King (IRE),C T Keane,0,Kevin Coleman,NR,N/A,5,9-9b,54,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Quiet Affair,M W Hassett,5,J Barcoe,13th,7 1/2 l,3,9-4t,54,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Pearl Of Cotai (IRE),K G Kennedy,7,P J F Murphy,12th,1/2 l,4,9-2t1,47,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Veracidad (IRE),J A Heffernan,0,A McCann,11th,1/2 l,3,9-2p,52,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Marble Angel (IRE),B M Coen,0,A Oliver,10th,2 l,4,9-10p1,55,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Coco Hill (IRE),Siobhan Rutledge,3,J C McConnell,9th,1 l,4,9-2tp,47,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Rhasidat (IRE),J M Sheridan,0,P J McKenna,8th,1 l,3,9-5,55,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Spirit Of Eagles (IRE),G F Carroll,0,Thomas Dowling,7th,3/4 l,4,9-8t,53,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Elliott (IRE),G M Ryan,0,M G Quinn,6th,Short Head,3,9-10,60,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Art Of Unity,S Foley,0,M Kelly,5th,1 1/2 l,9,9-8v,53,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Sam's Xpress (IRE),Katelyn Bailey,10,K P Cotter,4th,2 l,4,10-0,59,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Hero Of The Hour,J J G Ryan,5,T G McCourt,3rd,3 l,7,9-7,52,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Comein Comein (IRE),K W De Oliveira,10,D Dias,2nd,1/2 l,3,10-1,65,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Eruption (IRE),C D Hayes,0,M J Smith,1st,N/A,5,10-2b,61,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Short Change (IRE),L T McAteer,0,Thomas Dowling,NR,N/A,5,9-9,54,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Coffeemeanscoffee (IRE),K J Leonard,0,Tom McGuinness,NR,N/A,9,9-3,48,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Shoebox King (IRE),C T Keane,0,Kevin Coleman,NR,N/A,5,9-9b,54,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Quiet Affair,M W Hassett,5,J Barcoe,13th,7 1/2 l,3,9-4t,54,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Pearl Of Cotai (IRE),K G Kennedy,7,P J F Murphy,12th,1/2 l,4,9-2t1,47,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Veracidad (IRE),J A Heffernan,0,A McCann,11th,1/2 l,3,9-2p,52,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Marble Angel (IRE),B M Coen,0,A Oliver,10th,2 l,4,9-10p1,55,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Coco Hill (IRE),Siobhan Rutledge,3,J C McConnell,9th,1 l,4,9-2tp,47,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Rhasidat (IRE),J M Sheridan,0,P J McKenna,8th,1 l,3,9-5,55,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Spirit Of Eagles (IRE),G F Carroll,0,Thomas Dowling,7th,3/4 l,4,9-8t,53,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Elliott (IRE),G M Ryan,0,M G Quinn,6th,Short Head,3,9-10,60,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Art Of Unity,S Foley,0,M Kelly,5th,1 1/2 l,9,9-8v,53,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Sam's Xpress (IRE),Katelyn Bailey,10,K P Cotter,4th,2 l,4,10-0,59,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Hero Of The Hour,J J G Ryan,5,T G McCourt,3rd,3 l,7,9-7,52,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Comein Comein (IRE),K W De Oliveira,10,D Dias,2nd,1/2 l,3,10-1,65,True,126,2
Bellewstown Racing Results | 5th July 2024 18:25,N/A,18:25,Good,5f 3y,Eruption (IRE),C D Hayes,0,M J Smith,1st,N/A,5,10-2b,61,True,126,2
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,The Mighty Penny (IRE),D W O'Connor,0,J C McConnell,NR,N/A,3,9-3,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Riviera Queen (IRE),K G Kennedy,7,Mrs J Harrington,NR,N/A,3,9-3,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Kisiyra (IRE),B M Coen,0,J P Murtagh,NR,N/A,3,9-3p,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Sissi (IRE),D P McDonogh,0,J P O'Brien,NR,N/A,3,9-3t,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Mighty Special,R M Mulligan,7,Paul Mulligan,12th,4 l,3,9-3,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Starlight Legacy (IRE),R Whearty,5,N Meade,11th,3 1/2 l,3,9-3p1,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Edella (IRE),S P Bird,7,L McAteer,10th,2 l,3,9-3,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Boyne Princess (IRE),J J G Ryan,5,T G McCourt,9th,29 l,4,10-1h,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Saga Des Aigles (IRE),R P Cleary,0,C W J Farrell,8th,3/4 l,4,10-1,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Path To The Moon (IRE),J A Heffernan,0,L Comer,7th,5 1/2 l,5,10-1,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Liltia,N M Crosse,0,W McCreery,6th,Neck,3,9-3,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Sanctity Of Space (IRE),M P Sheehy,0,J P O'Brien,5th,7 l,3,9-3,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Melinda (IRE),M W Hassett,5,J P O'Brien,4th,6 l,3,9-3,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Market Timing (IRE),C T Keane,0,G M Lyons,3rd,4 1/2 l,3,9-3,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Andromeda (IRE),W M Lordan,0,A P O'Brien,2nd,1/2 l,3,9-3,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Comic Book,S Foley,0,Mrs J Harrington,1st,N/A,3,9-3,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,The Mighty Penny (IRE),D W O'Connor,0,J C McConnell,NR,N/A,3,9-3,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Riviera Queen (IRE),K G Kennedy,7,Mrs J Harrington,NR,N/A,3,9-3,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Kisiyra (IRE),B M Coen,0,J P Murtagh,NR,N/A,3,9-3p,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Sissi (IRE),D P McDonogh,0,J P O'Brien,NR,N/A,3,9-3t,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Mighty Special,R M Mulligan,7,Paul Mulligan,12th,4 l,3,9-3,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Starlight Legacy (IRE),R Whearty,5,N Meade,11th,3 1/2 l,3,9-3p1,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Edella (IRE),S P Bird,7,L McAteer,10th,2 l,3,9-3,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Boyne Princess (IRE),J J G Ryan,5,T G McCourt,9th,29 l,4,10-1h,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Saga Des Aigles (IRE),R P Cleary,0,C W J Farrell,8th,3/4 l,4,10-1,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Path To The Moon (IRE),J A Heffernan,0,L Comer,7th,5 1/2 l,5,10-1,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Liltia,N M Crosse,0,W McCreery,6th,Neck,3,9-3,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Sanctity Of Space (IRE),M P Sheehy,0,J P O'Brien,5th,7 l,3,9-3,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Melinda (IRE),M W Hassett,5,J P O'Brien,4th,6 l,3,9-3,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Market Timing (IRE),C T Keane,0,G M Lyons,3rd,4 1/2 l,3,9-3,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Andromeda (IRE),W M Lordan,0,A P O'Brien,2nd,1/2 l,3,9-3,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:00,N/A,19:00,Good,1m 4f 37y,Comic Book,S Foley,0,Mrs J Harrington,1st,N/A,3,9-3,-,True,126,3
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Veil Dance,K J Leonard,0,J C McConnell,NR,N/A,3,8-8,55,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Metamorpheus (IRE),M P Sheehy,0,P Nolan,NR,N/A,5,10-2,65,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Intend (IRE),S T McCullagh,3,P Martin,NR,N/A,6,9-10t,59,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Selective Power (IRE),C J MacRedmond,5,Thomas Coyle,NR,N/A,5,8-12,47,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Not Far To Fall (IRE),D E Sheehy,0,E Griffin,10th,8 1/2 l,3,8-12p1,59,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Sovereign City (IRE),R P Cleary,0,D J Bunyan,9th,5 1/2 l,3,8-8,55,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Party Moon (GER),C D Maxwell,0,D A McLoughlin,8th,2 l,8,9-3tp1,52,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Glyde Ranger (IRE),L T McAteer,0,T G McCourt,7th,11 l,4,10-0,63,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Navajo River (IRE),N M Crosse,0,L Comer,6th,3/4 l,4,10-0,63,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Lord Park (IRE),Siobhan Rutledge,3,J C McConnell,5th,1/2 l,7,9-5t,54,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Dr Patrick (IRE),S P Davis,0,L Comer,4th,Neck,7,8-12,47,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Bigz Belief (IRE),R C Colgan,0,M J Smith,3rd,1 l,7,9-0tb,49,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,No Trouble (IRE),D W O'Connor,0,J C McConnell,2nd,2 3/4 l,8,9-3t,52,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Macinamillion (IRE),M W Hassett,5,G P Cromwell,1st,N/A,4,9-4,53,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Veil Dance,K J Leonard,0,J C McConnell,NR,N/A,3,8-8,55,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Metamorpheus (IRE),M P Sheehy,0,P Nolan,NR,N/A,5,10-2,65,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Intend (IRE),S T McCullagh,3,P Martin,NR,N/A,6,9-10t,59,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Selective Power (IRE),C J MacRedmond,5,Thomas Coyle,NR,N/A,5,8-12,47,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Not Far To Fall (IRE),D E Sheehy,0,E Griffin,10th,8 1/2 l,3,8-12p1,59,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Sovereign City (IRE),R P Cleary,0,D J Bunyan,9th,5 1/2 l,3,8-8,55,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Party Moon (GER),C D Maxwell,0,D A McLoughlin,8th,2 l,8,9-3tp1,52,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Glyde Ranger (IRE),L T McAteer,0,T G McCourt,7th,11 l,4,10-0,63,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Navajo River (IRE),N M Crosse,0,L Comer,6th,3/4 l,4,10-0,63,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Lord Park (IRE),Siobhan Rutledge,3,J C McConnell,5th,1/2 l,7,9-5t,54,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Dr Patrick (IRE),S P Davis,0,L Comer,4th,Neck,7,8-12,47,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Bigz Belief (IRE),R C Colgan,0,M J Smith,3rd,1 l,7,9-0tb,49,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,No Trouble (IRE),D W O'Connor,0,J C McConnell,2nd,2 3/4 l,8,9-3t,52,True,126,4
Bellewstown Racing Results | 5th July 2024 19:35,N/A,19:35,Good,1m 4f 37y,Macinamillion (IRE),M W Hassett,5,G P Cromwell,1st,N/A,4,9-4,53,True,126,4
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Dubai Clover (IRE),C D Maxwell,0,Ian Donoghue,NR,N/A,5,9-10t1,53,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Arcland (IRE),M W Hassett,5,H Rogers,NR,N/A,8,9-4p,47,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Applejack Poet (IRE),N M Crosse,0,Liz Doyle,NR,N/A,7,9-4,47,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Ballycommon Chapel (IRE),M P Sheehy,0,R Donohoe,NR,N/A,6,9-4p,47,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Mater Matuta (IRE),R P Cleary,0,E D Delany,NR,N/A,8,9-4tp,47,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Miss Heartbreak (IRE),R C Colgan,0,L Comer,9th,75 l,4,9-6,49,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Construct,D W O'Connor,0,J C McConnell,8th,2 3/4 l,9,9-6,49,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Dazzling Spirit (IRE),L T McAteer,0,Mrs D Foster,7th,2 l,6,9-12b,55,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Mephisto (IRE),G P Halpin,0,G Keane,6th,2 1/2 l,7,10-0p,57,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Charlie Darling (FR),S P Bird,7,G P Cromwell,5th,1/2 l,4,9-9,52,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Kartayaz (IRE),Siobhan Rutledge,3,J C McConnell,4th,7 l,7,9-5,48,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,T Or Coffey (IRE),R M Mulligan,7,Paul Mulligan,3rd,1/2 l,3,9-0tp,55,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Enquire Within (IRE),D E Sheehy,0,F G Hand,2nd,2 1/4 l,8,9-10tp,53,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Building Bridges,K J Leonard,0,Gary McGill,1st,N/A,8,9-13p,56,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Dubai Clover (IRE),C D Maxwell,0,Ian Donoghue,NR,N/A,5,9-10t1,53,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Arcland (IRE),M W Hassett,5,H Rogers,NR,N/A,8,9-4p,47,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Applejack Poet (IRE),N M Crosse,0,Liz Doyle,NR,N/A,7,9-4,47,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Ballycommon Chapel (IRE),M P Sheehy,0,R Donohoe,NR,N/A,6,9-4p,47,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Mater Matuta (IRE),R P Cleary,0,E D Delany,NR,N/A,8,9-4tp,47,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Miss Heartbreak (IRE),R C Colgan,0,L Comer,9th,75 l,4,9-6,49,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Construct,D W O'Connor,0,J C McConnell,8th,2 3/4 l,9,9-6,49,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Dazzling Spirit (IRE),L T McAteer,0,Mrs D Foster,7th,2 l,6,9-12b,55,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Mephisto (IRE),G P Halpin,0,G Keane,6th,2 1/2 l,7,10-0p,57,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Charlie Darling (FR),S P Bird,7,G P Cromwell,5th,1/2 l,4,9-9,52,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Kartayaz (IRE),Siobhan Rutledge,3,J C McConnell,4th,7 l,7,9-5,48,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,T Or Coffey (IRE),R M Mulligan,7,Paul Mulligan,3rd,1/2 l,3,9-0tp,55,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Enquire Within (IRE),D E Sheehy,0,F G Hand,2nd,2 1/4 l,8,9-10tp,53,True,126,5
Bellewstown Racing Results | 5th July 2024 20:10,N/A,20:10,Good,1m 4f 37y,Building Bridges,K J Leonard,0,Gary McGill,1st,N/A,8,9-13p,56,True,126,5
Cork Racing Results | 5th July 2024 16:30,N/A,16:30,Good,2m 190y,Hey Driver (IRE),D Robinson,0,Thomas Corish,UR,N/A,4,11-7,-,True,126,6
Cork Racing Results | 5th July 2024 16:30,N/A,16:30,Good,2m 190y,Hey Whatever (IRE),Sam Ewing,0,G Elliott,F,N/A,4,11-0,-,True,126,6
Cork Racing Results | 5th July 2024 16:30,N/A,16:30,Good,2m 190y,Rampere West (IRE),D Butler,7,M Fahey,14th,8 l,4,11-7,-,True,126,6
Cork Racing Results | 5th July 2024 16:30,N/A,16:30,Good,2m 190y,Star Of Mayo,C M Hogan,7,E McNamara,13th,7 l,4,11-7t1,-,True,126,6
Cork Racing Results | 5th July 2024 16:30,N/A,16:30,Good,2m 190y,Nakassama (IRE),J S McGarvey,0,N C Kelly,12th,1/2 l,4,11-7,-,True,126,6
Cork Racing Results | 5th July 2024 16:30,N/A,16:30,Good,2m 190y,Evolving,K C Sexton,0,A Kinirons,11th,3 3/4 l,4,11-0,-,True,126,6
Cork Racing Results | 5th July 2024 16:30,N/A,16:30,Good,2m 190y,Rhythm And Tyne (IRE),P Byrnes,3,C Byrnes,10th,1/2 l,4,11-7,-,True,126,6
Cork Racing Results | 5th July 2024 16:30,N/A,16:30,Good,2m 190y,Navy Beach (IRE),D King,0,Mrs C O'Leary,9th,5 l,4,11-7,-,True,126,6
Cork Racing Results | 5th July 2024 16:30,N/A,16:30,Good,2m 190y,Tyson (GER),S W Flanagan,0,P Nolan,8th,1 3/4 l,4,11-7,-,True,126,6
