track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Beckistine (IRE),L A McKenna,5,M A Molloy,NR,N/A,6,11-12,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,The Sugarhill Lady (IRE),C P McNamara,0,E McNamara,PU,N/A,5,11-5t,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Captain Porridge (IRE),J C Gainford,0,E D Delany,13th,1 1/4 l,5,11-12h,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Mack The Chemist (IRE),Rachael Blackmore,0,H De Bromhead,12th,10 l,5,11-12,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Heather View (IRE),C M Quirke,3,D H Kelly,11th,2 l,5,11-5t,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,O' Bon Pardon (FR),S F O'Keeffe,0,P Nolan,10th,1/2 l,5,11-12,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,The Mail Train (IRE),R P Treacy,0,D H Kelly,9th,2 3/4 l,6,11-12b1,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Cyrus Field (IRE),D J Gilligan,0,C Collins,8th,11 l,5,11-12p1,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Dollymount (IRE),P K Donovan,5,C W J Farrell,7th,3 l,5,11-5,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Roxboro River (IRE),P Hanlon,7,J J Hanlon,6th,6 l,6,11-12,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Midnight Eagle (IRE),Cian Cullinan,7,Aengus King,5th,Neck,5,11-5,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Washington Parks (IRE),H Morgan,0,Bernard Crowley,4th,1 1/2 l,6,11-12,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Set My Love Free (IRE),D E Mullins,0,J P Ryan,3rd,1 1/4 l,8,11-5,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Stretchemout (IRE),J W Kennedy,0,G Elliott,2nd,Neck,5,11-5tp1,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Are You Busy (IRE),A P Kelly,5,R Sweeney,1st,N/A,6,11-5,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Beckistine (IRE),L A McKenna,5,M A Molloy,NR,N/A,6,11-12,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,The Sugarhill Lady (IRE),C P McNamara,0,E McNamara,PU,N/A,5,11-5t,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Captain Porridge (IRE),J C Gainford,0,E D Delany,13th,1 1/4 l,5,11-12h,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Mack The Chemist (IRE),Rachael Blackmore,0,H De Bromhead,12th,10 l,5,11-12,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Heather View (IRE),C M Quirke,3,D H Kelly,11th,2 l,5,11-5t,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,O' Bon Pardon (FR),S F O'Keeffe,0,P Nolan,10th,1/2 l,5,11-12,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,The Mail Train (IRE),R P Treacy,0,D H Kelly,9th,2 3/4 l,6,11-12b1,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Cyrus Field (IRE),D J Gilligan,0,C Collins,8th,11 l,5,11-12p1,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Dollymount (IRE),P K Donovan,5,C W J Farrell,7th,3 l,5,11-5,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Roxboro River (IRE),P Hanlon,7,J J Hanlon,6th,6 l,6,11-12,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Midnight Eagle (IRE),Cian Cullinan,7,Aengus King,5th,Neck,5,11-5,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Washington Parks (IRE),H Morgan,0,Bernard Crowley,4th,1 1/2 l,6,11-12,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Set My Love Free (IRE),D E Mullins,0,J P Ryan,3rd,1 1/4 l,8,11-5,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Stretchemout (IRE),J W Kennedy,0,G Elliott,2nd,Neck,5,11-5tp1,-,True,164,1
Thurles Racing Results | 6th March 2025 16:30,N/A,16:30,Good To Yielding (Yielding In Places),2m 4f,Are You Busy (IRE),A P Kelly,5,R Sweeney,1st,N/A,6,11-5,-,True,164,1
Thurles Racing Results | 6th March 2025 17:00,N/A,17:00,Good (Good To Yielding In Places),2m 6f 42y,Carrig Sam (IRE),H E Sexton,7,P Croke,NR,N/A,9,11-0p,117,True,164,2
Thurles Racing Results | 6th March 2025 17:00,N/A,17:00,Good (Good To Yielding In Places),2m 6f 42y,Arion Soldier (IRE),R A Doyle,0,Eamon Courtney,NR,N/A,7,11-6,123,True,164,2
Thurles Racing Results | 6th March 2025 17:00,N/A,17:00,Good (Good To Yielding In Places),2m 6f 42y,Donkey Years (IRE),C P McNamara,0,E McNamara,NR,N/A,11,11-5t,122,True,164,2
Thurles Racing Results | 6th March 2025 17:00,N/A,17:00,Good (Good To Yielding In Places),2m 6f 42y,Sequoiaspirit (IRE),L Quinlan,3,R Hackett,7th,1/2 l,8,11-3,120,True,164,2
Thurles Racing Results | 6th March 2025 17:00,N/A,17:00,Good (Good To Yielding In Places),2m 6f 42y,Lady Of The Locke (IRE),P T Enright,0,C Byrnes,6th,4 3/4 l,5,10-1,104,True,164,2
Thurles Racing Results | 6th March 2025 17:00,N/A,17:00,Good (Good To Yielding In Places),2m 6f 42y,Betty Dutton (IRE),M M McDonagh,0,E J O'Grady,5th,6 1/2 l,7,10-1t,104,True,164,2
Thurles Racing Results | 6th March 2025 17:00,N/A,17:00,Good (Good To Yielding In Places),2m 6f 42y,Crossing The Bar (IRE),D J Gilligan,0,C Collins,4th,2 l,8,10-11tp,114,True,164,2
Thurles Racing Results | 6th March 2025 17:00,N/A,17:00,Good (Good To Yielding In Places),2m 6f 42y,Ad Caelum (IRE),S F O'Keeffe,0,J P Ryan,3rd,1 1/2 l,6,10-6,109,True,164,2
Thurles Racing Results | 6th March 2025 17:00,N/A,17:00,Good (Good To Yielding In Places),2m 6f 42y,Machismo (IRE),F Brickley,7,G Elliott,2nd,3 l,6,11-3p,120,True,164,2
Thurles Racing Results | 6th March 2025 17:00,N/A,17:00,Good (Good To Yielding In Places),2m 6f 42y,Rushmount (IRE),B Hayes,0,Jonathan Sweeney,1st,N/A,8,11-12,129,True,164,2
Thurles Racing Results | 6th March 2025 17:00,N/A,17:00,Good (Good To Yielding In Places),2m 6f 42y,Carrig Sam (IRE),H E Sexton,7,P Croke,NR,N/A,9,11-0p,117,True,164,2
Thurles Racing Results | 6th March 2025 17:00,N/A,17:00,Good (Good To Yielding In Places),2m 6f 42y,Arion Soldier (IRE),R A Doyle,0,Eamon Courtney,NR,N/A,7,11-6,123,True,164,2
Thurles Racing Results | 6th March 2025 17:00,N/A,17:00,Good (Good To Yielding In Places),2m 6f 42y,Donkey Years (IRE),C P McNamara,0,E McNamara,NR,N/A,11,11-5t,122,True,164,2
Thurles Racing Results | 6th March 2025 17:00,N/A,17:00,Good (Good To Yielding In Places),2m 6f 42y,Sequoiaspirit (IRE),L Quinlan,3,R Hackett,7th,1/2 l,8,11-3,120,True,164,2
Thurles Racing Results | 6th March 2025 17:00,N/A,17:00,Good (Good To Yielding In Places),2m 6f 42y,Lady Of The Locke (IRE),P T Enright,0,C Byrnes,6th,4 3/4 l,5,10-1,104,True,164,2
Thurles Racing Results | 6th March 2025 17:00,N/A,17:00,Good (Good To Yielding In Places),2m 6f 42y,Betty Dutton (IRE),M M McDonagh,0,E J O'Grady,5th,6 1/2 l,7,10-1t,104,True,164,2
Thurles Racing Results | 6th March 2025 17:00,N/A,17:00,Good (Good To Yielding In Places),2m 6f 42y,Crossing The Bar (IRE),D J Gilligan,0,C Collins,4th,2 l,8,10-11tp,114,True,164,2
Thurles Racing Results | 6th March 2025 17:00,N/A,17:00,Good (Good To Yielding In Places),2m 6f 42y,Ad Caelum (IRE),S F O'Keeffe,0,J P Ryan,3rd,1 1/2 l,6,10-6,109,True,164,2
Thurles Racing Results | 6th March 2025 17:00,N/A,17:00,Good (Good To Yielding In Places),2m 6f 42y,Machismo (IRE),F Brickley,7,G Elliott,2nd,3 l,6,11-3p,120,True,164,2
Thurles Racing Results | 6th March 2025 17:00,N/A,17:00,Good (Good To Yielding In Places),2m 6f 42y,Rushmount (IRE),B Hayes,0,Jonathan Sweeney,1st,N/A,8,11-12,129,True,164,2
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Irish Boyo,Miss A B O'Connor,0,J J Hanlon,18th,11 l,5,12-0t1,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Shake The Bag (IRE),Ms S North,7,S Curling,17th,27 l,6,11-7,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Georgie Green (IRE),Mr Alan O'Sullivan,7,D W O'Sullivan,16th,3 1/2 l,5,12-0,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Lion Of The Desert (IRE),Mr G Abbas,7,P J Flynn,15th,3 1/4 l,5,12-0h1,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Thequeenof Spikle (IRE),Mr J Hurley,7,J J Mangan,14th,2 3/4 l,6,11-7,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Wildfield Sky (IRE),Mr F Maguire,0,P J F Murphy,13th,5 l,5,11-7,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Evelyn (IRE),Mr P A King,5,Mrs J Cashin,12th,3 1/4 l,5,11-7t1,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Harpers Creek (IRE),Mr D O'Connor,0,S Curling,11th,4 3/4 l,5,12-0,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Carrig Padraig (IRE),Mr D M Fitzgerald,7,M P Fitzgerald,10th,5 l,6,12-0h1,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Alaskan View (IRE),Mr B T Stone,7,W J Martin,9th,1 1/4 l,5,11-7,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Sunset Boulevard (IRE),Mr P W Mullins,0,W P Mullins,8th,1 3/4 l,5,12-0,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Jamada (IRE),Mr R W Barron,5,J Queally,7th,2 3/4 l,5,12-0,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Tadhg's Rock (IRE),Mr D Allen,7,T O'Brien,6th,1 1/2 l,5,12-0,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Sunny South West (IRE),Mr A P Ryan,7,Edward F Power,5th,1 1/4 l,5,12-0h1,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Mossy Way (IRE),Mr D Doyle,7,P M J Doyle,4th,Short Head,5,12-0,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Frankie John (IRE),Mr B O'Neill,0,D Hogan,3rd,4 3/4 l,5,12-0,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Riskaway (FR),Mr H C Swan,0,G Elliott,2nd,1 1/2 l,5,12-0,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Le Labo (IRE),Mr J L Gleeson,3,J P O'Brien,1st,N/A,5,12-0,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Irish Boyo,Miss A B O'Connor,0,J J Hanlon,18th,11 l,5,12-0t1,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Shake The Bag (IRE),Ms S North,7,S Curling,17th,27 l,6,11-7,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Georgie Green (IRE),Mr Alan O'Sullivan,7,D W O'Sullivan,16th,3 1/2 l,5,12-0,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Lion Of The Desert (IRE),Mr G Abbas,7,P J Flynn,15th,3 1/4 l,5,12-0h1,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Thequeenof Spikle (IRE),Mr J Hurley,7,J J Mangan,14th,2 3/4 l,6,11-7,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Wildfield Sky (IRE),Mr F Maguire,0,P J F Murphy,13th,5 l,5,11-7,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Evelyn (IRE),Mr P A King,5,Mrs J Cashin,12th,3 1/4 l,5,11-7t1,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Harpers Creek (IRE),Mr D O'Connor,0,S Curling,11th,4 3/4 l,5,12-0,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Carrig Padraig (IRE),Mr D M Fitzgerald,7,M P Fitzgerald,10th,5 l,6,12-0h1,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Alaskan View (IRE),Mr B T Stone,7,W J Martin,9th,1 1/4 l,5,11-7,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Sunset Boulevard (IRE),Mr P W Mullins,0,W P Mullins,8th,1 3/4 l,5,12-0,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Jamada (IRE),Mr R W Barron,5,J Queally,7th,2 3/4 l,5,12-0,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Tadhg's Rock (IRE),Mr D Allen,7,T O'Brien,6th,1 1/2 l,5,12-0,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Sunny South West (IRE),Mr A P Ryan,7,Edward F Power,5th,1 1/4 l,5,12-0h1,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Mossy Way (IRE),Mr D Doyle,7,P M J Doyle,4th,Short Head,5,12-0,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Frankie John (IRE),Mr B O'Neill,0,D Hogan,3rd,4 3/4 l,5,12-0,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Riskaway (FR),Mr H C Swan,0,G Elliott,2nd,1 1/2 l,5,12-0,-,True,164,3
Thurles Racing Results | 6th March 2025 17:35,N/A,17:35,Good (Good To Yielding In Places),1m 7f 136y,Le Labo (IRE),Mr J L Gleeson,3,J P O'Brien,1st,N/A,5,12-0,-,True,164,3
Dundalk Racing Results | 7th March 2025 16:55,N/A,16:55,Standard,7f,Timandi (IRE),Nicola Burns,7,J M Barrett,8th,1 1/4 l,3,9-12,-,True,164,4
Dundalk Racing Results | 7th March 2025 16:55,N/A,16:55,Standard,7f,Elegante Lady (IRE),J Cleary,5,A Murray,7th,1 l,3,8-11,-,True,164,4
Dundalk Racing Results | 7th March 2025 16:55,N/A,16:55,Standard,7f,Letters Of Love (IRE),D McMonagle,0,J P O'Brien,6th,Neck,3,9-7,-,True,164,4
Dundalk Racing Results | 7th March 2025 16:55,N/A,16:55,Standard,7f,Far Above Dream (IRE),J M Sheridan,0,D Hogan,5th,Head,3,9-8,-,True,164,4
Dundalk Racing Results | 7th March 2025 16:55,N/A,16:55,Standard,7f,Captain Ciano (IRE),C D Hayes,0,J Davison,4th,2 1/2 l,3,8-11p,-,True,164,4
Dundalk Racing Results | 7th March 2025 16:55,N/A,16:55,Standard,7f,Shamanka (IRE),W M Lordan,0,N Lupini,3rd,1/2 l,3,9-12,-,True,164,4
Dundalk Racing Results | 7th March 2025 16:55,N/A,16:55,Standard,7f,Merchants Arch (IRE),S Foley,0,R O'Sullivan,2nd,2 3/4 l,3,9-7v1,-,True,164,4
Dundalk Racing Results | 7th March 2025 16:55,N/A,16:55,Standard,7f,Weegeebear (IRE),K G Kennedy,5,C W J Farrell,1st,N/A,3,8-11b,-,True,164,4
Dundalk Racing Results | 7th March 2025 16:55,N/A,16:55,Standard,7f,Timandi (IRE),Nicola Burns,7,J M Barrett,8th,1 1/4 l,3,9-12,-,True,164,4
Dundalk Racing Results | 7th March 2025 16:55,N/A,16:55,Standard,7f,Elegante Lady (IRE),J Cleary,5,A Murray,7th,1 l,3,8-11,-,True,164,4
Dundalk Racing Results | 7th March 2025 16:55,N/A,16:55,Standard,7f,Letters Of Love (IRE),D McMonagle,0,J P O'Brien,6th,Neck,3,9-7,-,True,164,4
Dundalk Racing Results | 7th March 2025 16:55,N/A,16:55,Standard,7f,Far Above Dream (IRE),J M Sheridan,0,D Hogan,5th,Head,3,9-8,-,True,164,4
Dundalk Racing Results | 7th March 2025 16:55,N/A,16:55,Standard,7f,Captain Ciano (IRE),C D Hayes,0,J Davison,4th,2 1/2 l,3,8-11p,-,True,164,4
Dundalk Racing Results | 7th March 2025 16:55,N/A,16:55,Standard,7f,Shamanka (IRE),W M Lordan,0,N Lupini,3rd,1/2 l,3,9-12,-,True,164,4
Dundalk Racing Results | 7th March 2025 16:55,N/A,16:55,Standard,7f,Merchants Arch (IRE),S Foley,0,R O'Sullivan,2nd,2 3/4 l,3,9-7v1,-,True,164,4
Dundalk Racing Results | 7th March 2025 16:55,N/A,16:55,Standard,7f,Weegeebear (IRE),K G Kennedy,5,C W J Farrell,1st,N/A,3,8-11b,-,True,164,4
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Nikki Swango (IRE),D W O'Connor,0,J C McConnell,14th,12 l,4,9-10,58,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Bucky Larson (IRE),J Cleary,5,R Donohoe,13th,2 1/4 l,10,9-7,55,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Royal Tribute (IRE),C D Hayes,0,J C McConnell,12th,3/4 l,7,8-13v,47,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Knockmore Prince (IRE),J J G Ryan,3,J C McConnell,11th,Neck,5,8-13p,47,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Roderick,J M Sheridan,0,P Sweeney,10th,1/2 l,9,9-1tb,49,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Suityourselfboss (IRE),S Coen,7,M J Browne,9th,3/4 l,6,9-5p,53,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Circles (IRE),J A Heffernan,0,A McCann,8th,1 1/4 l,6,9-9tb,57,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Notforalongtime,R C Colgan,0,Laura Hourigan,7th,Neck,8,9-10b,58,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Finsceal Annie (IRE),S T McCullagh,3,Ciaran Murphy,6th,3/4 l,4,10-2tp,64,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Still She Blooms,C T Keane,0,C Timmons,5th,1 l,4,9-9h1,57,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Jackandthefox (IRE),R P Cleary,0,Miss Jennifer Anne Lynch,4th,1/2 l,6,8-13,47,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Superior Force,D J O'Connor,10,D Hogan,3rd,1/2 l,6,9-12p,60,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Pink Oxalis (IRE),J Kearney,5,Stephen Thorne,2nd,1/2 l,4,10-0b,62,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Amemri,L T McAteer,0,D Marnane,1st,N/A,5,9-11,59,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Nikki Swango (IRE),D W O'Connor,0,J C McConnell,14th,12 l,4,9-10,58,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Bucky Larson (IRE),J Cleary,5,R Donohoe,13th,2 1/4 l,10,9-7,55,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Royal Tribute (IRE),C D Hayes,0,J C McConnell,12th,3/4 l,7,8-13v,47,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Knockmore Prince (IRE),J J G Ryan,3,J C McConnell,11th,Neck,5,8-13p,47,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Roderick,J M Sheridan,0,P Sweeney,10th,1/2 l,9,9-1tb,49,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Suityourselfboss (IRE),S Coen,7,M J Browne,9th,3/4 l,6,9-5p,53,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Circles (IRE),J A Heffernan,0,A McCann,8th,1 1/4 l,6,9-9tb,57,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Notforalongtime,R C Colgan,0,Laura Hourigan,7th,Neck,8,9-10b,58,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Finsceal Annie (IRE),S T McCullagh,3,Ciaran Murphy,6th,3/4 l,4,10-2tp,64,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Still She Blooms,C T Keane,0,C Timmons,5th,1 l,4,9-9h1,57,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Jackandthefox (IRE),R P Cleary,0,Miss Jennifer Anne Lynch,4th,1/2 l,6,8-13,47,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Superior Force,D J O'Connor,10,D Hogan,3rd,1/2 l,6,9-12p,60,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Pink Oxalis (IRE),J Kearney,5,Stephen Thorne,2nd,1/2 l,4,10-0b,62,True,164,5
Dundalk Racing Results | 7th March 2025 17:30,N/A,17:30,Standard,7f,Amemri,L T McAteer,0,D Marnane,1st,N/A,5,9-11,59,True,164,5
Dundalk Racing Results | 7th March 2025 18:00,N/A,18:00,Standard,6f,Gimmieminnie (IRE),R M Mulligan,7,M Rice,13th,2 1/2 l,4,8-7t,47,True,164,6
Dundalk Racing Results | 7th March 2025 18:00,N/A,18:00,Standard,6f,James Henry (IRE),J E Harnett,10,M Fahey,12th,1 1/4 l,6,10-2,70,True,164,6
Dundalk Racing Results | 7th March 2025 18:00,N/A,18:00,Standard,6f,Dream Today (IRE),J Kearney,5,Stephen Thorne,11th,1 3/4 l,10,10-1tp,69,True,164,6
Dundalk Racing Results | 7th March 2025 18:00,N/A,18:00,Standard,6f,Hero Of The Hour,J J G Ryan,3,T G McCourt,10th,3/4 l,8,9-13,67,True,164,6
Dundalk Racing Results | 7th March 2025 18:00,N/A,18:00,Standard,6f,Macadam's Rock (IRE),D McMonagle,0,Miss H McLoughlin,9th,Neck,7,9-7,61,True,164,6
Dundalk Racing Results | 7th March 2025 18:00,N/A,18:00,Standard,6f,Happy For Evva (IRE),S Foley,0,Alan McIntyre,8th,Neck,3,9-2,70,True,164,6
Dundalk Racing Results | 7th March 2025 18:00,N/A,18:00,Standard,6f,Moonhall Lass (IRE),N G McCullagh,0,Alan McIntyre,7th,Head,3,9-2,70,True,164,6
Dundalk Racing Results | 7th March 2025 18:00,N/A,18:00,Standard,6f,Hasiyna (IRE),R Kinkaid,10,J C McConnell,6th,Neck,5,9-1,55,True,164,6
Dundalk Racing Results | 7th March 2025 18:00,N/A,18:00,Standard,6f,Devil's Angel,C T Keane,0,Kevin Coleman,5th,1 1/2 l,9,9-10p,64,True,164,6
Dundalk Racing Results | 7th March 2025 18:00,N/A,18:00,Standard,6f,Winemaker (FR),G M Ryan,0,D Dias,4th,1 1/4 l,5,9-3,57,True,164,6
