track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Doctor Glide (FR),K M Donoghue,0,Tom Dreaper,NR,N/A,6,11-4t1,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Sharetheknowledge (IRE),J C Gainford,0,Paul Tobin,NR,N/A,5,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Storm Ryder (IRE),C D Smithers,7,Ms H P Markham,F,N/A,6,11-4h,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Thebeautifulgame,J B Foley,0,C Collins,15th,27 l,5,11-5,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Matagorda (IRE),R A Doyle,0,W J Burke,14th,21 l,6,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Arthur's Victory (IRE),G Brouder,5,J Nash,13th,1 3/4 l,6,11-5,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Manhattan Brook (IRE),E Walsh,0,A Murray,12th,7 l,6,10-11,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Mywayorthehighway (IRE),P J O'Hanlon,3,P J Rothwell,11th,2 3/4 l,5,11-4t1,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Kilbrin Rocco (IRE),A P Heskin,0,M Winters,10th,4 l,5,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Our Chezney (IRE),L A McKenna,5,Ms H P Markham,9th,Neck,8,11-4h,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Hollow Rodger (IRE),S W Flanagan,0,D M O'Brien,8th,2 l,6,10-11,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,The Striker Dylan (IRE),R Deegan,0,L P Cusack,7th,3 l,6,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Chance Another One (IRE),S D Torrens,0,S M Duffy,6th,16 l,5,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Ballycallan King (IRE),S Cleary-Farrell,7,Barry J Fitzgerald,5th,13 l,7,11-4b1,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Touch Me Not (IRE),J W Kennedy,0,G Elliott,4th,1/2 l,5,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Brave Fortune (IRE),J J Doyle,0,P M J Doyle,3rd,3/4 l,5,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Answering (IRE),Mr D Doyle,7,T Doyle,2nd,2 l,9,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Chosen Witness (IRE),S F O'Keeffe,0,W P Mullins,1st,N/A,7,11-12t,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Doctor Glide (FR),K M Donoghue,0,Tom Dreaper,NR,N/A,6,11-4t1,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Sharetheknowledge (IRE),J C Gainford,0,Paul Tobin,NR,N/A,5,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Storm Ryder (IRE),C D Smithers,7,Ms H P Markham,F,N/A,6,11-4h,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Thebeautifulgame,J B Foley,0,C Collins,15th,27 l,5,11-5,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Matagorda (IRE),R A Doyle,0,W J Burke,14th,21 l,6,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Arthur's Victory (IRE),G Brouder,5,J Nash,13th,1 3/4 l,6,11-5,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Manhattan Brook (IRE),E Walsh,0,A Murray,12th,7 l,6,10-11,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Mywayorthehighway (IRE),P J O'Hanlon,3,P J Rothwell,11th,2 3/4 l,5,11-4t1,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Kilbrin Rocco (IRE),A P Heskin,0,M Winters,10th,4 l,5,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Our Chezney (IRE),L A McKenna,5,Ms H P Markham,9th,Neck,8,11-4h,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Hollow Rodger (IRE),S W Flanagan,0,D M O'Brien,8th,2 l,6,10-11,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,The Striker Dylan (IRE),R Deegan,0,L P Cusack,7th,3 l,6,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Chance Another One (IRE),S D Torrens,0,S M Duffy,6th,16 l,5,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Ballycallan King (IRE),S Cleary-Farrell,7,Barry J Fitzgerald,5th,13 l,7,11-4b1,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Touch Me Not (IRE),J W Kennedy,0,G Elliott,4th,1/2 l,5,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Brave Fortune (IRE),J J Doyle,0,P M J Doyle,3rd,3/4 l,5,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Answering (IRE),Mr D Doyle,7,T Doyle,2nd,2 l,9,11-4,-,True,104,1
Thurles Racing Results | 5th March 2024 15:40,N/A,15:40,Heavy (Soft In Places),2m 52y,Chosen Witness (IRE),S F O'Keeffe,0,W P Mullins,1st,N/A,7,11-12t,-,True,104,1
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Depeche Mo (IRE),Niall Moore,7,Eric Larkin,NR,N/A,6,11-4,85,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Morepowertoya (FR),L Quinlan,5,Paul Power,NR,N/A,6,11-10,91,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Eikonix,Shane Fenelon,7,J J Hanlon,NR,N/A,6,11-8,89,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Champagne Rebel (IRE),Non Runner,0,S Aherne,NR,N/A,9,10-13,80,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Toon Town (IRE),D E Mullins,0,Brendan Walsh,NR,N/A,7,11-6,87,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,He Picked Us,K M Donoghue,0,G P Cromwell,PU,N/A,5,11-12t1,93,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Glencourt Valley (IRE),J B Foley,0,L P Cusack,12th,23 l,7,11-4,85,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Max Time (IRE),D King,0,I Madden,11th,32 l,7,10-13,80,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Getaway Erin (IRE),R P Treacy,0,J J Hanlon,10th,34 l,5,11-8t1,89,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,On The Banks (IRE),P T Enright,0,R Tyner,9th,9 1/2 l,6,11-0,81,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Jonny Mansie (IRE),S Fitzgerald,0,D Queally,8th,3 3/4 l,5,11-6t,87,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Thelonglad (IRE),P K Donovan,5,M J McDonagh,7th,1 1/4 l,6,11-2,83,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Smallcraftwarning (IRE),Miss T Quail,7,Miss E McCutcheon,6th,1 1/2 l,7,12-0t,95,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Mullins Cross (IRE),J S McGarvey,0,J J Hanlon,5th,1/2 l,8,11-6,87,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Navy Waves (IRE),Mr E Dwan,7,Mrs J Cashin,4th,3/4 l,6,11-3p,84,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Dontdooddson (FR),J G Gilligan,7,Darren Collins,3rd,9 1/2 l,11,11-9,90,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Jay Pee M (IRE),Sam Ewing,0,D W O'Sullivan,2nd,4 l,5,11-12,93,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Pana To Milan (IRE),L A McKenna,5,M Winters,1st,N/A,6,11-4t,85,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Depeche Mo (IRE),Niall Moore,7,Eric Larkin,NR,N/A,6,11-4,85,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Morepowertoya (FR),L Quinlan,5,Paul Power,NR,N/A,6,11-10,91,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Eikonix,Shane Fenelon,7,J J Hanlon,NR,N/A,6,11-8,89,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Champagne Rebel (IRE),Non Runner,0,S Aherne,NR,N/A,9,10-13,80,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Toon Town (IRE),D E Mullins,0,Brendan Walsh,NR,N/A,7,11-6,87,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,He Picked Us,K M Donoghue,0,G P Cromwell,PU,N/A,5,11-12t1,93,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Glencourt Valley (IRE),J B Foley,0,L P Cusack,12th,23 l,7,11-4,85,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Max Time (IRE),D King,0,I Madden,11th,32 l,7,10-13,80,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Getaway Erin (IRE),R P Treacy,0,J J Hanlon,10th,34 l,5,11-8t1,89,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,On The Banks (IRE),P T Enright,0,R Tyner,9th,9 1/2 l,6,11-0,81,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Jonny Mansie (IRE),S Fitzgerald,0,D Queally,8th,3 3/4 l,5,11-6t,87,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Thelonglad (IRE),P K Donovan,5,M J McDonagh,7th,1 1/4 l,6,11-2,83,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Smallcraftwarning (IRE),Miss T Quail,7,Miss E McCutcheon,6th,1 1/2 l,7,12-0t,95,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Mullins Cross (IRE),J S McGarvey,0,J J Hanlon,5th,1/2 l,8,11-6,87,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Navy Waves (IRE),Mr E Dwan,7,Mrs J Cashin,4th,3/4 l,6,11-3p,84,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Dontdooddson (FR),J G Gilligan,7,Darren Collins,3rd,9 1/2 l,11,11-9,90,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Jay Pee M (IRE),Sam Ewing,0,D W O'Sullivan,2nd,4 l,5,11-12,93,True,104,2
Thurles Racing Results | 5th March 2024 16:10,N/A,16:10,Heavy (Soft In Places),2m 52y,Pana To Milan (IRE),L A McKenna,5,M Winters,1st,N/A,6,11-4t,85,True,104,2
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Lispopple (IRE),B Hayes,0,P Fenton,NR,N/A,6,11-12,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Tellmeyourtroubles (IRE),S O'Callaghan,5,G Kelleher,PU,N/A,5,11-12,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Bee Bright (IRE),Mr D Doyle,7,T Doyle,F,N/A,7,11-5,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Rodney (IRE),Shane Fenelon,7,J J Hanlon,F,N/A,5,11-12,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Venturi Effect (IRE),A McCurtin,0,T Doyle,10th,46 l,6,11-5,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Leis Fein (IRE),G B Noonan,5,V T O'Brien,9th,2 1/2 l,9,11-12,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,West Clare (IRE),P T Enright,0,B McMahon,8th,42 l,7,11-12,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Balally Park (IRE),D Meyler,0,T Cooper,7th,7 l,5,11-12p1,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Tell Us This (IRE),K M Donoghue,0,G P Cromwell,6th,22 l,5,11-12,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Sainte Baol (FR),J W Kennedy,0,G Elliott,5th,1 1/4 l,6,11-5,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Malton Groove (IRE),C D Maxwell,0,D A McLoughlin,4th,1/2 l,7,11-12h1,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Jeronimo De L'ouch (FR),D J Gilligan,5,M Kennedy,3rd,1 1/2 l,5,11-12,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Gentle Anna (IRE),P K Donovan,5,J Grace,2nd,Head,7,11-5,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,John The Diva (FR),Niall Moore,7,M A Cahill,1st,N/A,7,11-12,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Lispopple (IRE),B Hayes,0,P Fenton,NR,N/A,6,11-12,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Tellmeyourtroubles (IRE),S O'Callaghan,5,G Kelleher,PU,N/A,5,11-12,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Bee Bright (IRE),Mr D Doyle,7,T Doyle,F,N/A,7,11-5,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Rodney (IRE),Shane Fenelon,7,J J Hanlon,F,N/A,5,11-12,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Venturi Effect (IRE),A McCurtin,0,T Doyle,10th,46 l,6,11-5,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Leis Fein (IRE),G B Noonan,5,V T O'Brien,9th,2 1/2 l,9,11-12,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,West Clare (IRE),P T Enright,0,B McMahon,8th,42 l,7,11-12,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Balally Park (IRE),D Meyler,0,T Cooper,7th,7 l,5,11-12p1,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Tell Us This (IRE),K M Donoghue,0,G P Cromwell,6th,22 l,5,11-12,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Sainte Baol (FR),J W Kennedy,0,G Elliott,5th,1 1/4 l,6,11-5,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Malton Groove (IRE),C D Maxwell,0,D A McLoughlin,4th,1/2 l,7,11-12h1,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Jeronimo De L'ouch (FR),D J Gilligan,5,M Kennedy,3rd,1 1/2 l,5,11-12,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,Gentle Anna (IRE),P K Donovan,5,J Grace,2nd,Head,7,11-5,-,True,104,3
Thurles Racing Results | 5th March 2024 16:40,N/A,16:40,Heavy (Soft In Places),2m 4f 140y,John The Diva (FR),Niall Moore,7,M A Cahill,1st,N/A,7,11-12,-,True,104,3
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,Zoffanien (IRE),D King,0,D Hogan,NR,N/A,7,11-5,123,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,West Is Awake (IRE),P Byrnes,5,E Cawley,NR,N/A,8,11-0h,118,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,Shannon Royale (IRE),J W Kennedy,0,G Elliott,NR,N/A,6,12-0b,132,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,Almuhit (IRE),Conor Clarke,7,E Mullins,NR,N/A,5,10-10tp,114,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,Power Hour (IRE),Niall Moore,7,M A Gunn,F,N/A,8,10-5,109,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,Ballycairn (IRE),C M Quirke,5,Caroline Mccaldin,6th,2 1/2 l,9,10-0,104,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,Insouciant Dallier (FR),S W Flanagan,0,Liz Doyle,5th,13 l,6,10-7t,111,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,Ishan (FR),P T Enright,0,S Curling,4th,35 l,6,10-7,111,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,Linden Arden (IRE),B Hayes,0,W P Mullins,3rd,6 l,6,11-3,121,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,Native Speaker (IRE),Rachael Blackmore,0,H De Bromhead,2nd,2 l,6,10-10,114,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,Rowdy Romeo (IRE),J J Slevin,0,Caroline Mccaldin,1st,N/A,7,10-7,111,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,Zoffanien (IRE),D King,0,D Hogan,NR,N/A,7,11-5,123,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,West Is Awake (IRE),P Byrnes,5,E Cawley,NR,N/A,8,11-0h,118,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,Shannon Royale (IRE),J W Kennedy,0,G Elliott,NR,N/A,6,12-0b,132,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,Almuhit (IRE),Conor Clarke,7,E Mullins,NR,N/A,5,10-10tp,114,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,Power Hour (IRE),Niall Moore,7,M A Gunn,F,N/A,8,10-5,109,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,Ballycairn (IRE),C M Quirke,5,Caroline Mccaldin,6th,2 1/2 l,9,10-0,104,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,Insouciant Dallier (FR),S W Flanagan,0,Liz Doyle,5th,13 l,6,10-7t,111,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,Ishan (FR),P T Enright,0,S Curling,4th,35 l,6,10-7,111,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,Linden Arden (IRE),B Hayes,0,W P Mullins,3rd,6 l,6,11-3,121,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,Native Speaker (IRE),Rachael Blackmore,0,H De Bromhead,2nd,2 l,6,10-10,114,True,104,4
Thurles Racing Results | 5th March 2024 17:10,N/A,17:10,Heavy (Soft In Places),2m 7f 159y,Rowdy Romeo (IRE),J J Slevin,0,Caroline Mccaldin,1st,N/A,7,10-7,111,True,104,4
Thurles Racing Results | 5th March 2024 17:40,N/A,17:40,Heavy (Soft In Places),2m 52y,Nelson Eddie (IRE),Mr B O'Neill,0,R P Rath,NR,N/A,5,12-0,-,True,104,5
Thurles Racing Results | 5th March 2024 17:40,N/A,17:40,Heavy (Soft In Places),2m 52y,Net Boy (FR),Mr F Maguire,0,B Connell,NR,N/A,5,12-0,-,True,104,5
Thurles Racing Results | 5th March 2024 17:40,N/A,17:40,Heavy (Soft In Places),2m 52y,Lynchy Boy (IRE),Mr E P O'Brien,5,P Fenton,NR,N/A,5,12-0,-,True,104,5
Thurles Racing Results | 5th March 2024 17:40,N/A,17:40,Heavy (Soft In Places),2m 52y,Dairy Force (IRE),Non Runner,7,A Mullins,NR,N/A,5,12-0,-,True,104,5
Thurles Racing Results | 5th March 2024 17:40,N/A,17:40,Heavy (Soft In Places),2m 52y,Brooklyn Bridge (FR),Mr A Harvey,7,Sarah Connell,7th,66 l,7,12-0,-,True,104,5
Thurles Racing Results | 5th March 2024 17:40,N/A,17:40,Heavy (Soft In Places),2m 52y,Barton Snow (IRE),Miss M M McElligott,7,William P Murphy,6th,26 l,7,12-0h,-,True,104,5
Thurles Racing Results | 5th March 2024 17:40,N/A,17:40,Heavy (Soft In Places),2m 52y,Dream Shaper (IRE),Miss A B O'Connor,3,I Madden,5th,7 l,5,12-0,-,True,104,5
Thurles Racing Results | 5th March 2024 17:40,N/A,17:40,Heavy (Soft In Places),2m 52y,Red Hugh (IRE),Mr P W Mullins,0,E Mullins,4th,9 1/2 l,6,12-0,-,True,104,5
Thurles Racing Results | 5th March 2024 17:40,N/A,17:40,Heavy (Soft In Places),2m 52y,Machismo (IRE),Mr H C Swan,5,G Elliott,3rd,11 l,5,12-0,-,True,104,5
Thurles Racing Results | 5th March 2024 17:40,N/A,17:40,Heavy (Soft In Places),2m 52y,Eastbank Warrior (IRE),Mr R W Barron,5,Jonathan Sweeney,2nd,2 1/2 l,6,12-0,-,True,104,5
Thurles Racing Results | 5th March 2024 17:40,N/A,17:40,Heavy (Soft In Places),2m 52y,Blaze The Way (IRE),Mr T Hamilton,0,Ms M Mullins,1st,N/A,6,12-0,-,True,104,5
Thurles Racing Results | 5th March 2024 17:40,N/A,17:40,Heavy (Soft In Places),2m 52y,Nelson Eddie (IRE),Mr B O'Neill,0,R P Rath,NR,N/A,5,12-0,-,True,104,5
Thurles Racing Results | 5th March 2024 17:40,N/A,17:40,Heavy (Soft In Places),2m 52y,Net Boy (FR),Mr F Maguire,0,B Connell,NR,N/A,5,12-0,-,True,104,5
Thurles Racing Results | 5th March 2024 17:40,N/A,17:40,Heavy (Soft In Places),2m 52y,Lynchy Boy (IRE),Mr E P O'Brien,5,P Fenton,NR,N/A,5,12-0,-,True,104,5
Thurles Racing Results | 5th March 2024 17:40,N/A,17:40,Heavy (Soft In Places),2m 52y,Dairy Force (IRE),Non Runner,7,A Mullins,NR,N/A,5,12-0,-,True,104,5
Thurles Racing Results | 5th March 2024 17:40,N/A,17:40,Heavy (Soft In Places),2m 52y,Brooklyn Bridge (FR),Mr A Harvey,7,Sarah Connell,7th,66 l,7,12-0,-,True,104,5
Thurles Racing Results | 5th March 2024 17:40,N/A,17:40,Heavy (Soft In Places),2m 52y,Barton Snow (IRE),Miss M M McElligott,7,William P Murphy,6th,26 l,7,12-0h,-,True,104,5
