track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Kilbeggan Racing Results | 9th August 2025 17:27,2025-08-09,17:27,Good To Yielding,2m,Faithful Follower (IRE),N T Prendergast,7,P Hennessy,1st,N/A,6,11-4,-,True,11,21
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Snugsborough Jc (IRE),D P Maxwell,5,J P Broderick,PU,N/A,7,10-5t1,77,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Redcliff Glen (GER),P Byrnes,0,C Byrnes,13th,1 1/2 l,5,11-10,96,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Kick On Nellie (IRE),D King,0,J P Ryan,12th,4 1/2 l,4,10-0,75,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Destivelle (IRE),P T Enright,0,S K Ryder,11th,4 1/2 l,6,10-4tb,76,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Highland King (IRE),K E Buckley,0,E Buckley,10th,3/4 l,6,10-13,85,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Arthur's Victory (IRE),D E Mullins,0,J Nash,9th,Head,7,10-12tb,84,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Slea Head (IRE),S F O'Keeffe,0,Peter Maher,8th,12 l,7,10-1,73,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Sharetheknowledge (IRE),D J O'Keeffe,0,Paul Tobin,7th,1 l,6,11-13t,99,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Blue Reed (FR),E Staples,7,C Collins,6th,1 1/2 l,6,11-11t,97,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Charity Barnum (IRE),J J Slevin,0,Dermot Day,5th,3 1/4 l,7,11-11,97,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Half Past Tipsy (IRE),K M Donoghue,0,G P Cromwell,4th,5 l,6,12-0h,100,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Splendid Choice (IRE),C M Hogan,7,P J Rothwell,3rd,Neck,6,11-7p,93,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Surviving Murmansk (IRE),H E Sexton,7,J Barcoe,2nd,Head,7,10-0,72,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,I'm Flattered (IRE),A P Kelly,3,P Roche,1st,N/A,5,11-8t,94,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Snugsborough Jc (IRE),D P Maxwell,5,J P Broderick,PU,N/A,7,10-5t1,77,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Redcliff Glen (GER),P Byrnes,0,C Byrnes,13th,1 1/2 l,5,11-10,96,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Kick On Nellie (IRE),D King,0,J P Ryan,12th,4 1/2 l,4,10-0,75,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Destivelle (IRE),P T Enright,0,S K Ryder,11th,4 1/2 l,6,10-4tb,76,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Highland King (IRE),K E Buckley,0,E Buckley,10th,3/4 l,6,10-13,85,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Arthur's Victory (IRE),D E Mullins,0,J Nash,9th,Head,7,10-12tb,84,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Slea Head (IRE),S F O'Keeffe,0,Peter Maher,8th,12 l,7,10-1,73,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Sharetheknowledge (IRE),D J O'Keeffe,0,Paul Tobin,7th,1 l,6,11-13t,99,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Blue Reed (FR),E Staples,7,C Collins,6th,1 1/2 l,6,11-11t,97,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Charity Barnum (IRE),J J Slevin,0,Dermot Day,5th,3 1/4 l,7,11-11,97,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Half Past Tipsy (IRE),K M Donoghue,0,G P Cromwell,4th,5 l,6,12-0h,100,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Splendid Choice (IRE),C M Hogan,7,P J Rothwell,3rd,Neck,6,11-7p,93,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,Surviving Murmansk (IRE),H E Sexton,7,J Barcoe,2nd,Head,7,10-0,72,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:00,2025-08-09,18:00,Good To Yielding,2m,I'm Flattered (IRE),A P Kelly,3,P Roche,1st,N/A,5,11-8t,94,True,11,22
Kilbeggan Racing Results | 9th August 2025 18:30,2025-08-09,18:30,Good To Yielding,2m 3f,Austrian Fire (IRE),S D Torrens,0,P J Rothwell,10th,15 l,4,11-1,-,True,11,23
Kilbeggan Racing Results | 9th August 2025 18:30,2025-08-09,18:30,Good To Yielding,2m 3f,Chanceitlucky (IRE),Eoin G Kelly,7,A Murray,9th,Neck,6,11-4,-,True,11,23
Kilbeggan Racing Results | 9th August 2025 18:30,2025-08-09,18:30,Good To Yielding,2m 3f,Wizzleout,Sam Ewing,0,G Elliott,8th,12 l,4,11-1,-,True,11,23
Kilbeggan Racing Results | 9th August 2025 18:30,2025-08-09,18:30,Good To Yielding,2m 3f,Mr Eastwood (IRE),L Quinlan,0,R Hackett,7th,17 l,8,11-4,-,True,11,23
Kilbeggan Racing Results | 9th August 2025 18:30,2025-08-09,18:30,Good To Yielding,2m 3f,Annilogs Force (IRE),O R Brown,5,R Dunne,6th,2 l,5,11-4b,93,True,11,23
Kilbeggan Racing Results | 9th August 2025 18:30,2025-08-09,18:30,Good To Yielding,2m 3f,Moon Mariner (IRE),B Hayes,0,W P Mullins,5th,7 l,5,10-11p1,-,True,11,23
Kilbeggan Racing Results | 9th August 2025 18:30,2025-08-09,18:30,Good To Yielding,2m 3f,Twentyfourcarrot,J P O'Sullivan,0,D Queally,4th,4 1/4 l,5,11-5,-,True,11,23
Kilbeggan Racing Results | 9th August 2025 18:30,2025-08-09,18:30,Good To Yielding,2m 3f,Jetovango (IRE),D J O'Keeffe,0,D W O'Sullivan,3rd,27 l,6,11-4,-,True,11,23
Kilbeggan Racing Results | 9th August 2025 18:30,2025-08-09,18:30,Good To Yielding,2m 3f,Eclipse Chaser (IRE),P Townend,0,W P Mullins,2nd,1 3/4 l,5,11-4t,-,True,11,23
Kilbeggan Racing Results | 9th August 2025 18:30,2025-08-09,18:30,Good To Yielding,2m 3f,Killian's Garden (IRE),E Walsh,0,Ciaran Murphy,1st,N/A,5,11-4,104,True,11,23
Kilbeggan Racing Results | 9th August 2025 18:30,2025-08-09,18:30,Good To Yielding,2m 3f,Austrian Fire (IRE),S D Torrens,0,P J Rothwell,10th,15 l,4,11-1,-,True,11,23
Kilbeggan Racing Results | 9th August 2025 18:30,2025-08-09,18:30,Good To Yielding,2m 3f,Chanceitlucky (IRE),Eoin G Kelly,7,A Murray,9th,Neck,6,11-4,-,True,11,23
Kilbeggan Racing Results | 9th August 2025 18:30,2025-08-09,18:30,Good To Yielding,2m 3f,Wizzleout,Sam Ewing,0,G Elliott,8th,12 l,4,11-1,-,True,11,23
Kilbeggan Racing Results | 9th August 2025 18:30,2025-08-09,18:30,Good To Yielding,2m 3f,Mr Eastwood (IRE),L Quinlan,0,R Hackett,7th,17 l,8,11-4,-,True,11,23
Kilbeggan Racing Results | 9th August 2025 18:30,2025-08-09,18:30,Good To Yielding,2m 3f,Annilogs Force (IRE),O R Brown,5,R Dunne,6th,2 l,5,11-4b,93,True,11,23
Kilbeggan Racing Results | 9th August 2025 18:30,2025-08-09,18:30,Good To Yielding,2m 3f,Moon Mariner (IRE),B Hayes,0,W P Mullins,5th,7 l,5,10-11p1,-,True,11,23
Kilbeggan Racing Results | 9th August 2025 18:30,2025-08-09,18:30,Good To Yielding,2m 3f,Twentyfourcarrot,J P O'Sullivan,0,D Queally,4th,4 1/4 l,5,11-5,-,True,11,23
Kilbeggan Racing Results | 9th August 2025 18:30,2025-08-09,18:30,Good To Yielding,2m 3f,Jetovango (IRE),D J O'Keeffe,0,D W O'Sullivan,3rd,27 l,6,11-4,-,True,11,23
Kilbeggan Racing Results | 9th August 2025 18:30,2025-08-09,18:30,Good To Yielding,2m 3f,Eclipse Chaser (IRE),P Townend,0,W P Mullins,2nd,1 3/4 l,5,11-4t,-,True,11,23
Kilbeggan Racing Results | 9th August 2025 18:30,2025-08-09,18:30,Good To Yielding,2m 3f,Killian's Garden (IRE),E Walsh,0,Ciaran Murphy,1st,N/A,5,11-4,104,True,11,23
Kilbeggan Racing Results | 9th August 2025 19:00,2025-08-09,19:00,Good To Yielding,3m 1f,The Friday Man,J C Gainford,0,G Elliott,4th,7 l,8,11-0tp,122,True,11,24
Kilbeggan Racing Results | 9th August 2025 19:00,2025-08-09,19:00,Good To Yielding,3m 1f,Brazil (IRE),M P Walsh,0,P Roche,3rd,6 l,7,11-0t,138,True,11,24
Kilbeggan Racing Results | 9th August 2025 19:00,2025-08-09,19:00,Good To Yielding,3m 1f,Jabbar (IRE),J W Kennedy,0,Gerard O'Leary,2nd,11 l,6,11-1,130,True,11,24
Kilbeggan Racing Results | 9th August 2025 19:00,2025-08-09,19:00,Good To Yielding,3m 1f,Reverend Hubert (IRE),P Byrnes,0,C Byrnes,1st,N/A,7,11-0,136,True,11,24
Kilbeggan Racing Results | 9th August 2025 19:00,2025-08-09,19:00,Good To Yielding,3m 1f,The Friday Man,J C Gainford,0,G Elliott,4th,7 l,8,11-0tp,122,True,11,24
Kilbeggan Racing Results | 9th August 2025 19:00,2025-08-09,19:00,Good To Yielding,3m 1f,Brazil (IRE),M P Walsh,0,P Roche,3rd,6 l,7,11-0t,138,True,11,24
Kilbeggan Racing Results | 9th August 2025 19:00,2025-08-09,19:00,Good To Yielding,3m 1f,Jabbar (IRE),J W Kennedy,0,Gerard O'Leary,2nd,11 l,6,11-1,130,True,11,24
Kilbeggan Racing Results | 9th August 2025 19:00,2025-08-09,19:00,Good To Yielding,3m 1f,Reverend Hubert (IRE),P Byrnes,0,C Byrnes,1st,N/A,7,11-0,136,True,11,24
Kilbeggan Racing Results | 9th August 2025 19:30,2025-08-09,19:30,Good To Yielding,3m 1f 100y,Solly Attwell (IRE),J C Gainford,0,C Collins,PU,N/A,7,11-4p,102,True,11,25
Kilbeggan Racing Results | 9th August 2025 19:30,2025-08-09,19:30,Good To Yielding,3m 1f 100y,The Little Yank (IRE),D King,0,J P Ryan,7th,1 l,10,11-1,99,True,11,25
Kilbeggan Racing Results | 9th August 2025 19:30,2025-08-09,19:30,Good To Yielding,3m 1f 100y,Riggs (IRE),L A McKenna,5,P Cluskey,6th,4 1/2 l,10,11-12p,110,True,11,25
Kilbeggan Racing Results | 9th August 2025 19:30,2025-08-09,19:30,Good To Yielding,3m 1f 100y,Hand Over Fist (FR),P M O'Brien,5,H De Bromhead,5th,1/2 l,8,11-12b1,110,True,11,25
Kilbeggan Racing Results | 9th August 2025 19:30,2025-08-09,19:30,Good To Yielding,3m 1f 100y,Dawn Escape (IRE),D J O'Keeffe,0,L Casey,4th,2 1/4 l,6,10-4,88,True,11,25
Kilbeggan Racing Results | 9th August 2025 19:30,2025-08-09,19:30,Good To Yielding,3m 1f 100y,Bestaline (FR),Mr K P Healy,7,A Murray,3rd,5 1/2 l,6,11-1,99,True,11,25
Kilbeggan Racing Results | 9th August 2025 19:30,2025-08-09,19:30,Good To Yielding,3m 1f 100y,Pride Of Place (IRE),C G O'Dwyer,5,E Bolger,2nd,Head,6,11-11b,109,True,11,25
Kilbeggan Racing Results | 9th August 2025 19:30,2025-08-09,19:30,Good To Yielding,3m 1f 100y,Hardy Diamond (IRE),J W Kennedy,0,G Elliott,1st,N/A,6,11-9p1,107,True,11,25
Kilbeggan Racing Results | 9th August 2025 19:30,2025-08-09,19:30,Good To Yielding,3m 1f 100y,Solly Attwell (IRE),J C Gainford,0,C Collins,PU,N/A,7,11-4p,102,True,11,25
Kilbeggan Racing Results | 9th August 2025 19:30,2025-08-09,19:30,Good To Yielding,3m 1f 100y,The Little Yank (IRE),D King,0,J P Ryan,7th,1 l,10,11-1,99,True,11,25
Kilbeggan Racing Results | 9th August 2025 19:30,2025-08-09,19:30,Good To Yielding,3m 1f 100y,Riggs (IRE),L A McKenna,5,P Cluskey,6th,4 1/2 l,10,11-12p,110,True,11,25
Kilbeggan Racing Results | 9th August 2025 19:30,2025-08-09,19:30,Good To Yielding,3m 1f 100y,Hand Over Fist (FR),P M O'Brien,5,H De Bromhead,5th,1/2 l,8,11-12b1,110,True,11,25
Kilbeggan Racing Results | 9th August 2025 19:30,2025-08-09,19:30,Good To Yielding,3m 1f 100y,Dawn Escape (IRE),D J O'Keeffe,0,L Casey,4th,2 1/4 l,6,10-4,88,True,11,25
Kilbeggan Racing Results | 9th August 2025 19:30,2025-08-09,19:30,Good To Yielding,3m 1f 100y,Bestaline (FR),Mr K P Healy,7,A Murray,3rd,5 1/2 l,6,11-1,99,True,11,25
Kilbeggan Racing Results | 9th August 2025 19:30,2025-08-09,19:30,Good To Yielding,3m 1f 100y,Pride Of Place (IRE),C G O'Dwyer,5,E Bolger,2nd,Head,6,11-11b,109,True,11,25
Kilbeggan Racing Results | 9th August 2025 19:30,2025-08-09,19:30,Good To Yielding,3m 1f 100y,Hardy Diamond (IRE),J W Kennedy,0,G Elliott,1st,N/A,6,11-9p1,107,True,11,25
Kilbeggan Racing Results | 9th August 2025 20:00,2025-08-09,20:00,Good To Yielding,2m 4f 38y,Tullybeg (IRE),Mr J H Williamson,7,G Elliott,UR,N/A,10,12-0t,132,True,11,26
Kilbeggan Racing Results | 9th August 2025 20:00,2025-08-09,20:00,Good To Yielding,2m 4f 38y,Foxy Girl (FR),D J O'Keeffe,0,H De Bromhead,F,N/A,7,11-5h,123,True,11,26
Kilbeggan Racing Results | 9th August 2025 20:00,2025-08-09,20:00,Good To Yielding,2m 4f 38y,Big Stage (IRE),J W Kennedy,0,G Elliott,F,N/A,7,10-12t,116,True,11,26
Kilbeggan Racing Results | 9th August 2025 20:00,2025-08-09,20:00,Good To Yielding,2m 4f 38y,Slane Hill (IRE),S W Flanagan,0,B Connell,5th,15 l,8,11-2b,120,True,11,26
Kilbeggan Racing Results | 9th August 2025 20:00,2025-08-09,20:00,Good To Yielding,2m 4f 38y,That's About Right (IRE),S D Torrens,0,P J Rothwell,4th,16 l,7,10-13p,117,True,11,26
Kilbeggan Racing Results | 9th August 2025 20:00,2025-08-09,20:00,Good To Yielding,2m 4f 38y,A Wave Of The Sea (IRE),M P Walsh,0,J P Broderick,3rd,2 l,9,11-2,120,True,11,26
Kilbeggan Racing Results | 9th August 2025 20:00,2025-08-09,20:00,Good To Yielding,2m 4f 38y,Clonshire River (IRE),K E Buckley,0,E & P Harty,2nd,14 l,8,10-11t,115,True,11,26
Kilbeggan Racing Results | 9th August 2025 20:00,2025-08-09,20:00,Good To Yielding,2m 4f 38y,My Gaffer (IRE),D E Mullins,0,J P Ryan,1st,N/A,7,10-13,117,True,11,26
Kilbeggan Racing Results | 9th August 2025 20:00,2025-08-09,20:00,Good To Yielding,2m 4f 38y,Tullybeg (IRE),Mr J H Williamson,7,G Elliott,UR,N/A,10,12-0t,132,True,11,26
Kilbeggan Racing Results | 9th August 2025 20:00,2025-08-09,20:00,Good To Yielding,2m 4f 38y,Foxy Girl (FR),D J O'Keeffe,0,H De Bromhead,F,N/A,7,11-5h,123,True,11,26
Kilbeggan Racing Results | 9th August 2025 20:00,2025-08-09,20:00,Good To Yielding,2m 4f 38y,Big Stage (IRE),J W Kennedy,0,G Elliott,F,N/A,7,10-12t,116,True,11,26
Kilbeggan Racing Results | 9th August 2025 20:00,2025-08-09,20:00,Good To Yielding,2m 4f 38y,Slane Hill (IRE),S W Flanagan,0,B Connell,5th,15 l,8,11-2b,120,True,11,26
Kilbeggan Racing Results | 9th August 2025 20:00,2025-08-09,20:00,Good To Yielding,2m 4f 38y,That's About Right (IRE),S D Torrens,0,P J Rothwell,4th,16 l,7,10-13p,117,True,11,26
Kilbeggan Racing Results | 9th August 2025 20:00,2025-08-09,20:00,Good To Yielding,2m 4f 38y,A Wave Of The Sea (IRE),M P Walsh,0,J P Broderick,3rd,2 l,9,11-2,120,True,11,26
Kilbeggan Racing Results | 9th August 2025 20:00,2025-08-09,20:00,Good To Yielding,2m 4f 38y,Clonshire River (IRE),K E Buckley,0,E & P Harty,2nd,14 l,8,10-11t,115,True,11,26
Kilbeggan Racing Results | 9th August 2025 20:00,2025-08-09,20:00,Good To Yielding,2m 4f 38y,My Gaffer (IRE),D E Mullins,0,J P Ryan,1st,N/A,7,10-13,117,True,11,26
Kilbeggan Racing Results | 9th August 2025 20:30,2025-08-09,20:30,Good To Yielding,2m,Another Belter (IRE),Mr P R O'Neill,7,P Hennessy,PU,N/A,6,12-0h,-,True,11,27
Kilbeggan Racing Results | 9th August 2025 20:30,2025-08-09,20:30,Good To Yielding,2m,Call Tadgh (IRE),Miss L Costello,7,A Slattery,8th,9 1/2 l,4,11-11,-,True,11,27
Kilbeggan Racing Results | 9th August 2025 20:30,2025-08-09,20:30,Good To Yielding,2m,Ardgillan (IRE),Mr T A Halford,7,M M Lynch,7th,64 l,5,12-0,-,True,11,27
Kilbeggan Racing Results | 9th August 2025 20:30,2025-08-09,20:30,Good To Yielding,2m,Kashchei,Mr R W Barron,5,D Queally,6th,8 l,5,12-0,-,True,11,27
Kilbeggan Racing Results | 9th August 2025 20:30,2025-08-09,20:30,Good To Yielding,2m,Not So Serious (IRE),Mr A P Ryan,5,A Slattery,5th,1 1/4 l,4,11-11,-,True,11,27
Kilbeggan Racing Results | 9th August 2025 20:30,2025-08-09,20:30,Good To Yielding,2m,Blue Waters (IRE),Mr H C Swan,0,G Elliott,4th,3/4 l,4,11-4,-,True,11,27
Kilbeggan Racing Results | 9th August 2025 20:30,2025-08-09,20:30,Good To Yielding,2m,Moja Dama (FR),Mr P W Mullins,0,W P Mullins,3rd,5 1/2 l,4,11-4h1,-,True,11,27
Kilbeggan Racing Results | 9th August 2025 20:30,2025-08-09,20:30,Good To Yielding,2m,Ozark's Walk (IRE),Mr B Barry,7,R Dunne,2nd,1/2 l,5,12-0,-,True,11,27
Kilbeggan Racing Results | 9th August 2025 20:30,2025-08-09,20:30,Good To Yielding,2m,Appy Getaway (IRE),Mr J L Gleeson,0,Peter Fahey,1st,N/A,5,12-0,-,True,11,27
Kilbeggan Racing Results | 9th August 2025 20:30,2025-08-09,20:30,Good To Yielding,2m,Another Belter (IRE),Mr P R O'Neill,7,P Hennessy,PU,N/A,6,12-0h,-,True,11,27
Kilbeggan Racing Results | 9th August 2025 20:30,2025-08-09,20:30,Good To Yielding,2m,Call Tadgh (IRE),Miss L Costello,7,A Slattery,8th,9 1/2 l,4,11-11,-,True,11,27
Kilbeggan Racing Results | 9th August 2025 20:30,2025-08-09,20:30,Good To Yielding,2m,Ardgillan (IRE),Mr T A Halford,7,M M Lynch,7th,64 l,5,12-0,-,True,11,27
Kilbeggan Racing Results | 9th August 2025 20:30,2025-08-09,20:30,Good To Yielding,2m,Kashchei,Mr R W Barron,5,D Queally,6th,8 l,5,12-0,-,True,11,27
Kilbeggan Racing Results | 9th August 2025 20:30,2025-08-09,20:30,Good To Yielding,2m,Not So Serious (IRE),Mr A P Ryan,5,A Slattery,5th,1 1/4 l,4,11-11,-,True,11,27
Kilbeggan Racing Results | 9th August 2025 20:30,2025-08-09,20:30,Good To Yielding,2m,Blue Waters (IRE),Mr H C Swan,0,G Elliott,4th,3/4 l,4,11-4,-,True,11,27
Kilbeggan Racing Results | 9th August 2025 20:30,2025-08-09,20:30,Good To Yielding,2m,Moja Dama (FR),Mr P W Mullins,0,W P Mullins,3rd,5 1/2 l,4,11-4h1,-,True,11,27
Kilbeggan Racing Results | 9th August 2025 20:30,2025-08-09,20:30,Good To Yielding,2m,Ozark's Walk (IRE),Mr B Barry,7,R Dunne,2nd,1/2 l,5,12-0,-,True,11,27
Kilbeggan Racing Results | 9th August 2025 20:30,2025-08-09,20:30,Good To Yielding,2m,Appy Getaway (IRE),Mr J L Gleeson,0,Peter Fahey,1st,N/A,5,12-0,-,True,11,27
N/A,2025-08-10,14:17,Good (Good To Yielding In Places),2m 1f 165y,Boldplay (IRE),Mr R Guiney,7,Paul Traynor,UR,N/A,5,10-13,-,True,11,28
N/A,2025-08-10,14:17,Good (Good To Yielding In Places),2m 1f 165y,George's Angel (IRE),I Ryan,7,R K Watson,7th,15 l,4,10-10,-,True,11,28
N/A,2025-08-10,14:17,Good (Good To Yielding In Places),2m 1f 165y,Whispering Willow (IRE),J G Gilligan,5,P J Gilligan,6th,18 l,4,10-10,-,True,11,28
N/A,2025-08-10,14:17,Good (Good To Yielding In Places),2m 1f 165y,Lightning Legs (IRE),J C Gainford,0,G Elliott,5th,3 1/4 l,4,10-10,-,True,11,28
N/A,2025-08-10,14:17,Good (Good To Yielding In Places),2m 1f 165y,Penny Perfect (IRE),D J Gilligan,0,G Elliott,4th,1 1/2 l,4,10-10,-,True,11,28
N/A,2025-08-10,14:17,Good (Good To Yielding In Places),2m 1f 165y,Hillhead Runner (IRE),E Staples,7,G P Cromwell,3rd,1/2 l,5,11-7t,-,True,11,28
N/A,2025-08-10,14:17,Good (Good To Yielding In Places),2m 1f 165y,Galileo Springs (IRE),R A Doyle,0,M Brassil,2nd,5 l,5,10-13t,-,True,11,28
N/A,2025-08-10,14:17,Good (Good To Yielding In Places),2m 1f 165y,Atomic Queen (IRE),Sam Ewing,0,Peter Fahey,1st,N/A,6,11-7,-,True,11,28
N/A,2025-08-10,14:17,Good (Good To Yielding In Places),2m 1f 165y,Boldplay (IRE),Mr R Guiney,7,Paul Traynor,UR,N/A,5,10-13,-,True,11,28
N/A,2025-08-10,14:17,Good (Good To Yielding In Places),2m 1f 165y,George's Angel (IRE),I Ryan,7,R K Watson,7th,15 l,4,10-10,-,True,11,28
N/A,2025-08-10,14:17,Good (Good To Yielding In Places),2m 1f 165y,Whispering Willow (IRE),J G Gilligan,5,P J Gilligan,6th,18 l,4,10-10,-,True,11,28
N/A,2025-08-10,14:17,Good (Good To Yielding In Places),2m 1f 165y,Lightning Legs (IRE),J C Gainford,0,G Elliott,5th,3 1/4 l,4,10-10,-,True,11,28
N/A,2025-08-10,14:17,Good (Good To Yielding In Places),2m 1f 165y,Penny Perfect (IRE),D J Gilligan,0,G Elliott,4th,1 1/2 l,4,10-10,-,True,11,28
N/A,2025-08-10,14:17,Good (Good To Yielding In Places),2m 1f 165y,Hillhead Runner (IRE),E Staples,7,G P Cromwell,3rd,1/2 l,5,11-7t,-,True,11,28
N/A,2025-08-10,14:17,Good (Good To Yielding In Places),2m 1f 165y,Galileo Springs (IRE),R A Doyle,0,M Brassil,2nd,5 l,5,10-13t,-,True,11,28
N/A,2025-08-10,14:17,Good (Good To Yielding In Places),2m 1f 165y,Atomic Queen (IRE),Sam Ewing,0,Peter Fahey,1st,N/A,6,11-7,-,True,11,28
N/A,2025-08-10,14:47,Good (Good To Yielding In Places),2m 1f 165y,Arch Empire (FR),J W Kennedy,0,G Elliott,4th,30 l,5,11-8,124,True,11,29
N/A,2025-08-10,14:47,Good (Good To Yielding In Places),2m 1f 165y,Itsalladream (IRE),J G Gilligan,5,P J Gilligan,3rd,15 l,6,10-13,114,True,11,29
N/A,2025-08-10,14:47,Good (Good To Yielding In Places),2m 1f 165y,Redwood Queen (IRE),E Staples,7,C Collins,2nd,5 1/2 l,8,11-12,128,True,11,29
N/A,2025-08-10,14:47,Good (Good To Yielding In Places),2m 1f 165y,Catena Zapata (IRE),Sam Ewing,0,Ian Donoghue,1st,N/A,7,10-13tp1,112,True,11,29
N/A,2025-08-10,14:47,Good (Good To Yielding In Places),2m 1f 165y,Arch Empire (FR),J W Kennedy,0,G Elliott,4th,30 l,5,11-8,124,True,11,29
N/A,2025-08-10,14:47,Good (Good To Yielding In Places),2m 1f 165y,Itsalladream (IRE),J G Gilligan,5,P J Gilligan,3rd,15 l,6,10-13,114,True,11,29
N/A,2025-08-10,14:47,Good (Good To Yielding In Places),2m 1f 165y,Redwood Queen (IRE),E Staples,7,C Collins,2nd,5 1/2 l,8,11-12,128,True,11,29
N/A,2025-08-10,14:47,Good (Good To Yielding In Places),2m 1f 165y,Catena Zapata (IRE),Sam Ewing,0,Ian Donoghue,1st,N/A,7,10-13tp1,112,True,11,29
N/A,2025-08-10,15:17,Good (Good To Yielding In Places),2m 1f 165y,Mrs Wemyss (IRE),P M O'Brien,5,E Sheehy,PU,N/A,7,10-0tp1,72,True,11,30
N/A,2025-08-10,15:17,Good (Good To Yielding In Places),2m 1f 165y,Annarubyrose (IRE),E Staples,7,G P Cromwell,9th,44 l,4,11-3p1,92,True,11,30
N/A,2025-08-10,15:17,Good (Good To Yielding In Places),2m 1f 165y,Guest Star,A Harvey,5,J C McConnell,8th,2 l,4,11-0tv1,89,True,11,30
N/A,2025-08-10,15:17,Good (Good To Yielding In Places),2m 1f 165y,Ar Nos Na Gaoithe (IRE),H E Sexton,7,P J Rothwell,7th,4 1/4 l,6,11-4p,90,True,11,30
N/A,2025-08-10,15:17,Good (Good To Yielding In Places),2m 1f 165y,Freddie Robdal (IRE),D J O'Keeffe,0,H De Bromhead,6th,4 1/2 l,8,11-9t,95,True,11,30
N/A,2025-08-10,15:17,Good (Good To Yielding In Places),2m 1f 165y,Pahlavi (IRE),D E Mullins,0,J J Hanlon,5th,1/2 l,8,12-0t,100,True,11,30
N/A,2025-08-10,15:17,Good (Good To Yielding In Places),2m 1f 165y,Centaq (IRE),P J O'Hanlon,0,D A McLoughlin,4th,Short Head,5,10-8,80,True,11,30
N/A,2025-08-10,15:17,Good (Good To Yielding In Places),2m 1f 165y,Georginas Jet (IRE),D J Gilligan,0,P J Gilligan,3rd,3/4 l,4,10-7,82,True,11,30
N/A,2025-08-10,15:17,Good (Good To Yielding In Places),2m 1f 165y,Parkgarve (IRE),K M Donoghue,0,Ian Donoghue,2nd,4 1/2 l,5,11-10t,96,True,11,30
N/A,2025-08-10,15:17,Good (Good To Yielding In Places),2m 1f 165y,Wing Back (IRE),P T Enright,0,S Curling,1st,N/A,5,11-0h,86,True,11,30
N/A,2025-08-10,15:17,Good (Good To Yielding In Places),2m 1f 165y,Mrs Wemyss (IRE),P M O'Brien,5,E Sheehy,PU,N/A,7,10-0tp1,72,True,11,30
