track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Vittorio Micheli (IRE),P A Harnett,5,P F McEnery,9th,1/2 l,3,9-6,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Your Day To Shine (IRE),W Joyce,5,M Mulvany,8th,3 1/4 l,3,9-6,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Moutarde (IRE),G F Carroll,0,G P Cromwell,7th,1 1/4 l,3,9-6h,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Kilbarry Jack (IRE),R P Whelan,0,A McGuinness,6th,1/2 l,3,8-13p1,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Guest Star,S Foley,0,M Fahey,5th,1 3/4 l,3,9-9b,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Chou Chou (IRE),C D Hayes,0,N Meade,4th,Short Head,3,8-13,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Tartaraghan (IRE),Siobhan Rutledge,3,J C McConnell,3rd,Short Head,3,9-1,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Latin (IRE),J M Sheridan,0,D Hogan,2nd,Neck,3,10-0t,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Signor Ferrari (IRE),H J Horgan,5,J Feane,1st,N/A,3,9-9,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Vittorio Micheli (IRE),P A Harnett,5,P F McEnery,9th,1/2 l,3,9-6,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Your Day To Shine (IRE),W Joyce,5,M Mulvany,8th,3 1/4 l,3,9-6,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Moutarde (IRE),G F Carroll,0,G P Cromwell,7th,1 1/4 l,3,9-6h,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Kilbarry Jack (IRE),R P Whelan,0,A McGuinness,6th,1/2 l,3,8-13p1,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Guest Star,S Foley,0,M Fahey,5th,1 3/4 l,3,9-9b,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Chou Chou (IRE),C D Hayes,0,N Meade,4th,Short Head,3,8-13,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Tartaraghan (IRE),Siobhan Rutledge,3,J C McConnell,3rd,Short Head,3,9-1,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Latin (IRE),J M Sheridan,0,D Hogan,2nd,Neck,3,10-0t,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 16:50,N/A,16:50,Good,1m 2f,Signor Ferrari (IRE),H J Horgan,5,J Feane,1st,N/A,3,9-9,-,True,127,1
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Heaven's On Fire (IRE),R Whearty,5,T G McCourt,13th,3 l,2,9-2,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Go Flo Jo (IRE),R P Whelan,0,P G Fahey,12th,4 1/4 l,2,9-2,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Red Charlie (USA),S Foley,0,E Mullins,11th,1 3/4 l,2,9-7,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Cala Margarida (IRE),J J G Ryan,5,T G McCourt,10th,Head,2,9-2,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,In The Minus (IRE),S P Davis,0,Sean Davis,9th,1 l,2,9-7,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Boutella,L T McAteer,0,D Marnane,8th,3/4 l,2,9-2,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Crystalaire,B M Coen,0,J P Murtagh,7th,1/2 l,2,9-2,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Zambales,C T Keane,0,G M Lyons,6th,2 1/2 l,2,9-7b1,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Whiskey And Beer (IRE),W J Lee,0,E Mullins,5th,1/2 l,2,9-7,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Snapdragon (IRE),J Cleary,7,A P O'Brien,4th,1 l,2,9-7v1,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Gannas,M P Sheehy,0,J P O'Brien,3rd,1 1/4 l,2,9-7,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Rudi's Apple (IRE),D McMonagle,0,J P O'Brien,2nd,1 1/4 l,2,9-7,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Black Forza (USA),J A Heffernan,0,M O'Callaghan,1st,N/A,2,9-7,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Heaven's On Fire (IRE),R Whearty,5,T G McCourt,13th,3 l,2,9-2,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Go Flo Jo (IRE),R P Whelan,0,P G Fahey,12th,4 1/4 l,2,9-2,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Red Charlie (USA),S Foley,0,E Mullins,11th,1 3/4 l,2,9-7,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Cala Margarida (IRE),J J G Ryan,5,T G McCourt,10th,Head,2,9-2,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,In The Minus (IRE),S P Davis,0,Sean Davis,9th,1 l,2,9-7,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Boutella,L T McAteer,0,D Marnane,8th,3/4 l,2,9-2,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Crystalaire,B M Coen,0,J P Murtagh,7th,1/2 l,2,9-2,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Zambales,C T Keane,0,G M Lyons,6th,2 1/2 l,2,9-7b1,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Whiskey And Beer (IRE),W J Lee,0,E Mullins,5th,1/2 l,2,9-7,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Snapdragon (IRE),J Cleary,7,A P O'Brien,4th,1 l,2,9-7v1,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Gannas,M P Sheehy,0,J P O'Brien,3rd,1 1/4 l,2,9-7,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Rudi's Apple (IRE),D McMonagle,0,J P O'Brien,2nd,1 1/4 l,2,9-7,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 17:25,N/A,17:25,Good,6f,Black Forza (USA),J A Heffernan,0,M O'Callaghan,1st,N/A,2,9-7,-,True,127,2
Fairyhouse Racing Results | 10th July 2024 18:00,N/A,18:00,Good,1m 6f,Tenth Amendment (IRE),G M Ryan,0,K H Clarke,6th,14 l,10,9-1t,-,True,127,3
Fairyhouse Racing Results | 10th July 2024 18:00,N/A,18:00,Good,1m 6f,Banana Three (IRE),C T Keane,0,R O'Sullivan,5th,2 1/2 l,4,9-3p,-,True,127,3
Fairyhouse Racing Results | 10th July 2024 18:00,N/A,18:00,Good,1m 6f,Baltic Bird,C D Hayes,0,W Durkan,4th,Head,5,9-11h,-,True,127,3
Fairyhouse Racing Results | 10th July 2024 18:00,N/A,18:00,Good,1m 6f,Sioux Eagle (IRE),L T McAteer,0,P T Foley,3rd,1/2 l,5,9-1,-,True,127,3
Fairyhouse Racing Results | 10th July 2024 18:00,N/A,18:00,Good,1m 6f,Sixpack,B M Coen,0,J P Murtagh,2nd,1 1/2 l,4,9-6p1,-,True,127,3
Fairyhouse Racing Results | 10th July 2024 18:00,N/A,18:00,Good,1m 6f,Extensio (IRE),Sylvia O'Donnell,10,P F O'Donnell,1st,N/A,7,9-7,-,True,127,3
Fairyhouse Racing Results | 10th July 2024 18:00,N/A,18:00,Good,1m 6f,Tenth Amendment (IRE),G M Ryan,0,K H Clarke,6th,14 l,10,9-1t,-,True,127,3
Fairyhouse Racing Results | 10th July 2024 18:00,N/A,18:00,Good,1m 6f,Banana Three (IRE),C T Keane,0,R O'Sullivan,5th,2 1/2 l,4,9-3p,-,True,127,3
Fairyhouse Racing Results | 10th July 2024 18:00,N/A,18:00,Good,1m 6f,Baltic Bird,C D Hayes,0,W Durkan,4th,Head,5,9-11h,-,True,127,3
Fairyhouse Racing Results | 10th July 2024 18:00,N/A,18:00,Good,1m 6f,Sioux Eagle (IRE),L T McAteer,0,P T Foley,3rd,1/2 l,5,9-1,-,True,127,3
Fairyhouse Racing Results | 10th July 2024 18:00,N/A,18:00,Good,1m 6f,Sixpack,B M Coen,0,J P Murtagh,2nd,1 1/2 l,4,9-6p1,-,True,127,3
Fairyhouse Racing Results | 10th July 2024 18:00,N/A,18:00,Good,1m 6f,Extensio (IRE),Sylvia O'Donnell,10,P F O'Donnell,1st,N/A,7,9-7,-,True,127,3
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Thunder Roll (IRE),G F Carroll,0,J P O'Brien,NR,N/A,4,9-9p1,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Perfect Portrait,M P Sheehy,0,J P O'Brien,10th,9 1/2 l,4,9-9,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Esquiline (FR),B M Coen,0,J P Murtagh,9th,3 1/4 l,4,9-9p,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Countess Of Tyrone (IRE),W J Lee,0,P Twomey,8th,1/2 l,4,9-9t,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Starry Heavens (IRE),S T McCullagh,0,Mrs J Harrington,7th,1 l,4,9-9tp,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Trevaunance (IRE),S Foley,0,Mrs J Harrington,6th,2 1/2 l,5,9-9,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Scarlett O'Hara (FR),N M Crosse,0,Mrs J Harrington,5th,1 3/4 l,4,9-9p,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Lily Hart (IRE),G M Ryan,0,A P O'Brien,4th,3/4 l,3,8-9,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Magical Zoe (IRE),C T Keane,0,H De Bromhead,3rd,3/4 l,6,9-9,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Dancing Tango (IRE),D McMonagle,0,J P O'Brien,2nd,1/2 l,5,9-9t,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Grateful (IRE),R P Whelan,0,A P O'Brien,1st,N/A,3,8-9,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Thunder Roll (IRE),G F Carroll,0,J P O'Brien,NR,N/A,4,9-9p1,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Perfect Portrait,M P Sheehy,0,J P O'Brien,10th,9 1/2 l,4,9-9,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Esquiline (FR),B M Coen,0,J P Murtagh,9th,3 1/4 l,4,9-9p,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Countess Of Tyrone (IRE),W J Lee,0,P Twomey,8th,1/2 l,4,9-9t,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Starry Heavens (IRE),S T McCullagh,0,Mrs J Harrington,7th,1 l,4,9-9tp,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Trevaunance (IRE),S Foley,0,Mrs J Harrington,6th,2 1/2 l,5,9-9,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Scarlett O'Hara (FR),N M Crosse,0,Mrs J Harrington,5th,1 3/4 l,4,9-9p,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Lily Hart (IRE),G M Ryan,0,A P O'Brien,4th,3/4 l,3,8-9,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Magical Zoe (IRE),C T Keane,0,H De Bromhead,3rd,3/4 l,6,9-9,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Dancing Tango (IRE),D McMonagle,0,J P O'Brien,2nd,1/2 l,5,9-9t,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 18:30,N/A,18:30,Good,1m 6f,Grateful (IRE),R P Whelan,0,A P O'Brien,1st,N/A,3,8-9,-,True,127,4
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,No Knee Never (IRE),D McMonagle,0,J P O'Brien,NR,N/A,3,9-8,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,John Steinbeck (IRE),J Cleary,7,A P O'Brien,NR,N/A,3,9-8,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Princess Aurea (IRE),A J Slattery,0,A Slattery,NR,N/A,3,9-3,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,The Real Screamer (IRE),R Whearty,5,P W Flynn,16th,3/4 l,3,9-8,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Eirinn Rua (IRE),C D Maxwell,0,D A McLoughlin,15th,1 l,4,9-11t,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Threehavenine (IRE),J A Powell,3,P Stafford,14th,3 1/4 l,3,9-8,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Pass The Sugar (IRE),K J Leonard,0,J F O'Shea,13th,4 3/4 l,3,9-3,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Porsche Lad (IRE),S P Davis,0,Sean Davis,12th,Neck,3,9-8,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Royal Dynamite (IRE),R C Colgan,0,C Timmons,11th,Nose,3,9-8,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Makaiah (IRE),J J G Ryan,5,G M Lyons,10th,3 1/4 l,3,9-3,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Task Ahead (IRE),D W O'Connor,0,J C McConnell,9th,3/4 l,3,9-8,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Eshnunna (IRE),C D Hayes,0,D K Weld,8th,2 l,3,9-3,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,My Little Lady (IRE),J M Sheridan,0,D Hogan,7th,1/2 l,3,9-3,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Pass To Paris (IRE),G M Ryan,0,P J F Murphy,6th,3 l,3,9-8,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Artful Approach (IRE),R P Whelan,0,J Davison,5th,3/4 l,3,9-8p,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Leaders Listen (IRE),M P Sheehy,0,J P O'Brien,4th,2 l,3,9-8,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Monasterboice (IRE),C T Keane,0,N Meade,3rd,Neck,3,9-8p,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Ocean Manifest (IRE),J A Heffernan,0,M O'Callaghan,2nd,3 1/2 l,3,9-8,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Four Blondes (IRE),S Foley,0,R O'Sullivan,1st,N/A,3,9-3,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,No Knee Never (IRE),D McMonagle,0,J P O'Brien,NR,N/A,3,9-8,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,John Steinbeck (IRE),J Cleary,7,A P O'Brien,NR,N/A,3,9-8,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Princess Aurea (IRE),A J Slattery,0,A Slattery,NR,N/A,3,9-3,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,The Real Screamer (IRE),R Whearty,5,P W Flynn,16th,3/4 l,3,9-8,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Eirinn Rua (IRE),C D Maxwell,0,D A McLoughlin,15th,1 l,4,9-11t,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Threehavenine (IRE),J A Powell,3,P Stafford,14th,3 1/4 l,3,9-8,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Pass The Sugar (IRE),K J Leonard,0,J F O'Shea,13th,4 3/4 l,3,9-3,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Porsche Lad (IRE),S P Davis,0,Sean Davis,12th,Neck,3,9-8,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Royal Dynamite (IRE),R C Colgan,0,C Timmons,11th,Nose,3,9-8,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Makaiah (IRE),J J G Ryan,5,G M Lyons,10th,3 1/4 l,3,9-3,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Task Ahead (IRE),D W O'Connor,0,J C McConnell,9th,3/4 l,3,9-8,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Eshnunna (IRE),C D Hayes,0,D K Weld,8th,2 l,3,9-3,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,My Little Lady (IRE),J M Sheridan,0,D Hogan,7th,1/2 l,3,9-3,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Pass To Paris (IRE),G M Ryan,0,P J F Murphy,6th,3 l,3,9-8,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Artful Approach (IRE),R P Whelan,0,J Davison,5th,3/4 l,3,9-8p,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Leaders Listen (IRE),M P Sheehy,0,J P O'Brien,4th,2 l,3,9-8,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Monasterboice (IRE),C T Keane,0,N Meade,3rd,Neck,3,9-8p,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Ocean Manifest (IRE),J A Heffernan,0,M O'Callaghan,2nd,3 1/2 l,3,9-8,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:00,N/A,19:00,Good,7f,Four Blondes (IRE),S Foley,0,R O'Sullivan,1st,N/A,3,9-3,-,True,127,5
Fairyhouse Racing Results | 10th July 2024 19:30,N/A,19:30,Good,7f,Mercurial (IRE),R Whearty,5,J Nallen,NR,N/A,5,8-11p,77,True,127,6
Fairyhouse Racing Results | 10th July 2024 19:30,N/A,19:30,Good,7f,San Andreas (IRE),S A Wallace,10,J P O'Brien,9th,1 l,8,10-0,94,True,127,6
Fairyhouse Racing Results | 10th July 2024 19:30,N/A,19:30,Good,7f,Lexington Dash (FR),S Foley,0,J C McConnell,8th,Neck,7,9-4t,84,True,127,6
Fairyhouse Racing Results | 10th July 2024 19:30,N/A,19:30,Good,7f,Emporio (IRE),H J Horgan,5,J P O'Brien,7th,Neck,6,10-0t,94,True,127,6
Fairyhouse Racing Results | 10th July 2024 19:30,N/A,19:30,Good,7f,Bellaphina (IRE),C D Maxwell,0,J A Kinsella,6th,3/4 l,4,9-5p,85,True,127,6
Fairyhouse Racing Results | 10th July 2024 19:30,N/A,19:30,Good,7f,Daamberdiplomat (IRE),B M Coen,0,J P Murtagh,5th,Neck,4,9-9,89,True,127,6
Fairyhouse Racing Results | 10th July 2024 19:30,N/A,19:30,Good,7f,Universally (IRE),C D Hayes,0,Eoghan O'Neill,4th,Neck,5,8-8b,74,True,127,6
Fairyhouse Racing Results | 10th July 2024 19:30,N/A,19:30,Good,7f,Tawaazon (IRE),K G Kennedy,7,J A Kinsella,3rd,1/2 l,6,9-1tb,81,True,127,6
Fairyhouse Racing Results | 10th July 2024 19:30,N/A,19:30,Good,7f,Mount Ruapehu (IRE),A J Slattery,0,A Slattery,2nd,1/2 l,4,8-7t,73,True,127,6
Fairyhouse Racing Results | 10th July 2024 19:30,N/A,19:30,Good,7f,Verhoyen,D E Sheehy,0,M C Grassick,1st,N/A,9,9-4b,84,True,127,6
Fairyhouse Racing Results | 10th July 2024 19:30,N/A,19:30,Good,7f,Mercurial (IRE),R Whearty,5,J Nallen,NR,N/A,5,8-11p,77,True,127,6
Fairyhouse Racing Results | 10th July 2024 19:30,N/A,19:30,Good,7f,San Andreas (IRE),S A Wallace,10,J P O'Brien,9th,1 l,8,10-0,94,True,127,6
Fairyhouse Racing Results | 10th July 2024 19:30,N/A,19:30,Good,7f,Lexington Dash (FR),S Foley,0,J C McConnell,8th,Neck,7,9-4t,84,True,127,6
Fairyhouse Racing Results | 10th July 2024 19:30,N/A,19:30,Good,7f,Emporio (IRE),H J Horgan,5,J P O'Brien,7th,Neck,6,10-0t,94,True,127,6
Fairyhouse Racing Results | 10th July 2024 19:30,N/A,19:30,Good,7f,Bellaphina (IRE),C D Maxwell,0,J A Kinsella,6th,3/4 l,4,9-5p,85,True,127,6
Fairyhouse Racing Results | 10th July 2024 19:30,N/A,19:30,Good,7f,Daamberdiplomat (IRE),B M Coen,0,J P Murtagh,5th,Neck,4,9-9,89,True,127,6
Fairyhouse Racing Results | 10th July 2024 19:30,N/A,19:30,Good,7f,Universally (IRE),C D Hayes,0,Eoghan O'Neill,4th,Neck,5,8-8b,74,True,127,6
Fairyhouse Racing Results | 10th July 2024 19:30,N/A,19:30,Good,7f,Tawaazon (IRE),K G Kennedy,7,J A Kinsella,3rd,1/2 l,6,9-1tb,81,True,127,6
Fairyhouse Racing Results | 10th July 2024 19:30,N/A,19:30,Good,7f,Mount Ruapehu (IRE),A J Slattery,0,A Slattery,2nd,1/2 l,4,8-7t,73,True,127,6
Fairyhouse Racing Results | 10th July 2024 19:30,N/A,19:30,Good,7f,Verhoyen,D E Sheehy,0,M C Grassick,1st,N/A,9,9-4b,84,True,127,6
Fairyhouse Racing Results | 10th July 2024 20:00,N/A,20:00,Good,7f,Purring Along (IRE),G M Ryan,0,Thomas Dowling,NR,N/A,5,8-12t,47,True,127,7
Fairyhouse Racing Results | 10th July 2024 20:00,N/A,20:00,Good,7f,Corballis Flyer (IRE),R Whearty,5,J J Hanlon,17th,6 l,6,8-12p,47,True,127,7
Fairyhouse Racing Results | 10th July 2024 20:00,N/A,20:00,Good,7f,Answer Me Nay (IRE),A C Persse,7,M A Cahill,16th,10 l,3,8-11,54,True,127,7
Fairyhouse Racing Results | 10th July 2024 20:00,N/A,20:00,Good,7f,Shimmerz (IRE),Adam Caffrey,3,C O'Brien,15th,1 l,6,9-3,52,True,127,7
Fairyhouse Racing Results | 10th July 2024 20:00,N/A,20:00,Good,7f,Viva Voce (IRE),R M Mulligan,7,Tom McGuinness,14th,1 1/4 l,7,9-3,52,True,127,7
Fairyhouse Racing Results | 10th July 2024 20:00,N/A,20:00,Good,7f,Bellick,J A Powell,3,J C McConnell,13th,1/2 l,9,8-12,47,True,127,7
Fairyhouse Racing Results | 10th July 2024 20:00,N/A,20:00,Good,7f,Taste Of The Sea (IRE),C D Hayes,0,L Comer,12th,1/2 l,3,8-11,54,True,127,7
Fairyhouse Racing Results | 10th July 2024 20:00,N/A,20:00,Good,7f,Zentopia (IRE),J A Heffernan,0,S M Duffy,11th,Neck,4,9-2,51,True,127,7
Fairyhouse Racing Results | 10th July 2024 20:00,N/A,20:00,Good,7f,Coffeemeanscoffee (IRE),K J Leonard,0,Tom McGuinness,10th,1/2 l,9,8-13,48,True,127,7
Fairyhouse Racing Results | 10th July 2024 20:00,N/A,20:00,Good,7f,Below Deck (IRE),N M Crosse,0,L Comer,9th,1 1/2 l,4,8-12,47,True,127,7
Fairyhouse Racing Results | 10th July 2024 20:00,N/A,20:00,Good,7f,Royal Tribute (IRE),S Foley,0,J C McConnell,8th,1 1/2 l,6,9-0p,49,True,127,7
Fairyhouse Racing Results | 10th July 2024 20:00,N/A,20:00,Good,7f,Navorrosse (IRE),Siobhan Rutledge,3,G A Kingston,7th,1 l,7,9-4,53,True,127,7
Fairyhouse Racing Results | 10th July 2024 20:00,N/A,20:00,Good,7f,Our Dagger (IRE),D E Sheehy,0,Joe Conlon,6th,3/4 l,3,8-7,47,True,127,7
Fairyhouse Racing Results | 10th July 2024 20:00,N/A,20:00,Good,7f,Goldmoyne (IRE),M W Hassett,5,T Doyle,5th,1/2 l,4,9-5,54,True,127,7
Fairyhouse Racing Results | 10th July 2024 20:00,N/A,20:00,Good,7f,Gosford (IRE),J J G Ryan,5,E Lynam,4th,Head,4,10-4,67,True,127,7
Fairyhouse Racing Results | 10th July 2024 20:00,N/A,20:00,Good,7f,Glencullen (IRE),L T McAteer,0,W Ross,3rd,1 1/2 l,4,8-13h,48,True,127,7
Fairyhouse Racing Results | 10th July 2024 20:00,N/A,20:00,Good,7f,Tall Story (IRE),J M Sheridan,0,R O'Sullivan,2nd,1 1/4 l,6,8-12p,45,True,127,7
Fairyhouse Racing Results | 10th July 2024 20:00,N/A,20:00,Good,7f,Skontonovski,C J MacRedmond,5,A McGuinness,1st,N/A,7,9-4v,53,True,127,7
