track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Flippity Flop (IRE),C D Hayes,0,L Comer,13th,38 l,3,8-7,51,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Galician Girl (IRE),Adam Caffrey,5,A McGuinness,12th,7 l,3,9-13,71,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Moutarde (IRE),G F Carroll,0,G P Cromwell,11th,1 1/4 l,3,8-13,57,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Zenato (IRE),W J Lee,0,H De Bromhead,10th,1 1/4 l,3,9-12,70,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Nedita (IRE),L T McAteer,0,D Marnane,9th,Neck,3,9-12,70,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,So Diligent,D E Sheehy,0,T G McCourt,8th,Neck,3,8-7,51,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Waystar (IRE),Siobhan Rutledge,3,J C McConnell,7th,1/2 l,3,8-8,52,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Kiki Roberts (IRE),N J Ryan,7,N Meade,6th,Short Head,3,10-0,72,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Alto Sax (IRE),C T Keane,0,G M Lyons,5th,3/4 l,3,9-9,67,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Liberty Looming (IRE),R P Cleary,0,J S Bolger,4th,1 1/4 l,3,9-2,60,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Cloud Seeker,A J Slattery,0,A Slattery,3rd,4 l,3,9-2,60,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Gregorina (IRE),R P Whelan,0,A McGuinness,2nd,4 3/4 l,3,8-11v,55,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Gesture (IRE),S Foley,0,Eoghan O'Neill,1st,N/A,3,10-4,76,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Flippity Flop (IRE),C D Hayes,0,L Comer,13th,38 l,3,8-7,51,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Galician Girl (IRE),Adam Caffrey,5,A McGuinness,12th,7 l,3,9-13,71,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Moutarde (IRE),G F Carroll,0,G P Cromwell,11th,1 1/4 l,3,8-13,57,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Zenato (IRE),W J Lee,0,H De Bromhead,10th,1 1/4 l,3,9-12,70,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Nedita (IRE),L T McAteer,0,D Marnane,9th,Neck,3,9-12,70,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,So Diligent,D E Sheehy,0,T G McCourt,8th,Neck,3,8-7,51,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Waystar (IRE),Siobhan Rutledge,3,J C McConnell,7th,1/2 l,3,8-8,52,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Kiki Roberts (IRE),N J Ryan,7,N Meade,6th,Short Head,3,10-0,72,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Alto Sax (IRE),C T Keane,0,G M Lyons,5th,3/4 l,3,9-9,67,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Liberty Looming (IRE),R P Cleary,0,J S Bolger,4th,1 1/4 l,3,9-2,60,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Cloud Seeker,A J Slattery,0,A Slattery,3rd,4 l,3,9-2,60,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Gregorina (IRE),R P Whelan,0,A McGuinness,2nd,4 3/4 l,3,8-11v,55,True,108,1
Dundalk Racing Results | 12th April 2024 19:15,N/A,19:15,Standard,1m 2f 150y,Gesture (IRE),S Foley,0,Eoghan O'Neill,1st,N/A,3,10-4,76,True,108,1
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Dr Patrick (IRE),C D Hayes,0,L Comer,14th,2 1/2 l,7,8-12,47,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Albion Princess,W J Lee,0,D Kinsella,13th,1 l,5,9-5ht,54,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Humanitarian (USA),B M Coen,0,R P Burns,12th,1/2 l,8,9-5ht,54,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Selective Power (IRE),J J G Ryan,0,Thomas Coyle,11th,1 1/4 l,5,8-12,47,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Lohengrin,J A Heffernan,0,E O'Connell,10th,3/4 l,4,10-2t,65,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Miss Heartbreak (IRE),D P McDonogh,0,L Comer,9th,1 1/2 l,4,9-0,49,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Rushford,C Horgan,7,T R Hughes,8th,3 1/4 l,5,10-1,64,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Explorers Way (IRE),J Kearney,5,P Martin,7th,Head,5,10-0,63,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Anjah (IRE),S Foley,0,H D McGuigan,6th,3/4 l,7,8-13tv,48,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Darkened (IRE),K J Leonard,0,N C Kelly,5th,1 3/4 l,8,10-1tb,64,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Jawhary,C J MacRedmond,5,A McGuinness,4th,3 3/4 l,6,10-2,65,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Kartayaz (IRE),Siobhan Rutledge,3,J C McConnell,3rd,Neck,7,8-12,47,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Dromore Glory (IRE),R Whearty,5,P W Flynn,2nd,4 l,5,9-3,52,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Power Drive,D McMonagle,0,P W Flynn,1st,N/A,9,9-2p,51,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Dr Patrick (IRE),C D Hayes,0,L Comer,14th,2 1/2 l,7,8-12,47,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Albion Princess,W J Lee,0,D Kinsella,13th,1 l,5,9-5ht,54,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Humanitarian (USA),B M Coen,0,R P Burns,12th,1/2 l,8,9-5ht,54,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Selective Power (IRE),J J G Ryan,0,Thomas Coyle,11th,1 1/4 l,5,8-12,47,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Lohengrin,J A Heffernan,0,E O'Connell,10th,3/4 l,4,10-2t,65,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Miss Heartbreak (IRE),D P McDonogh,0,L Comer,9th,1 1/2 l,4,9-0,49,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Rushford,C Horgan,7,T R Hughes,8th,3 1/4 l,5,10-1,64,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Explorers Way (IRE),J Kearney,5,P Martin,7th,Head,5,10-0,63,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Anjah (IRE),S Foley,0,H D McGuigan,6th,3/4 l,7,8-13tv,48,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Darkened (IRE),K J Leonard,0,N C Kelly,5th,1 3/4 l,8,10-1tb,64,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Jawhary,C J MacRedmond,5,A McGuinness,4th,3 3/4 l,6,10-2,65,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Kartayaz (IRE),Siobhan Rutledge,3,J C McConnell,3rd,Neck,7,8-12,47,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Dromore Glory (IRE),R Whearty,5,P W Flynn,2nd,4 l,5,9-3,52,True,108,2
Dundalk Racing Results | 12th April 2024 19:45,N/A,19:45,Standard,1m 2f 150y,Power Drive,D McMonagle,0,P W Flynn,1st,N/A,9,9-2p,51,True,108,2
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Keilah (IRE),R P Whelan,0,F J Flood,14th,1 1/4 l,4,9-10,59,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Love Mocha,D W O'Connor,0,J C McConnell,13th,Neck,4,9-5,54,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Slaney Tide (IRE),R P Cleary,0,J S Bolger,12th,2 1/4 l,4,9-11t,60,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Barretstown (IRE),C G O'Dwyer,5,C O'Dwyer,11th,6 l,6,9-11,60,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Brave Thought (IRE),O McSweeney,3,L Comer,10th,Neck,4,9-12,61,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Baile Locha Riach (FR),B M Coen,0,J P Murtagh,9th,Head,4,9-13,62,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Carslake,Siobhan Rutledge,3,Aengus King,8th,1 1/4 l,5,8-12h,47,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Hurricane Helen,C T Keane,0,Chris Timmons,7th,1 l,6,10-0,63,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Muhalhel (IRE),J A Heffernan,0,A McCann,6th,1/2 l,6,8-12tb,47,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Sky Legend,J M Sheridan,0,N C Kelly,5th,3/4 l,5,10-2tp,65,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Say You're Sorry (IRE),C D Hayes,0,E O'Connell,4th,1/2 l,6,9-6ht1,55,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Rock Basher (IRE),D P McDonogh,0,L Comer,3rd,2 1/2 l,5,9-6,55,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Numidia (IRE),K J Leonard,0,Peter Lawlor,2nd,2 1/4 l,6,9-1v,50,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Jazz Forever (IRE),D McMonagle,0,P W Flynn,1st,N/A,4,10-1,64,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Keilah (IRE),R P Whelan,0,F J Flood,14th,1 1/4 l,4,9-10,59,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Love Mocha,D W O'Connor,0,J C McConnell,13th,Neck,4,9-5,54,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Slaney Tide (IRE),R P Cleary,0,J S Bolger,12th,2 1/4 l,4,9-11t,60,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Barretstown (IRE),C G O'Dwyer,5,C O'Dwyer,11th,6 l,6,9-11,60,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Brave Thought (IRE),O McSweeney,3,L Comer,10th,Neck,4,9-12,61,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Baile Locha Riach (FR),B M Coen,0,J P Murtagh,9th,Head,4,9-13,62,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Carslake,Siobhan Rutledge,3,Aengus King,8th,1 1/4 l,5,8-12h,47,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Hurricane Helen,C T Keane,0,Chris Timmons,7th,1 l,6,10-0,63,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Muhalhel (IRE),J A Heffernan,0,A McCann,6th,1/2 l,6,8-12tb,47,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Sky Legend,J M Sheridan,0,N C Kelly,5th,3/4 l,5,10-2tp,65,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Say You're Sorry (IRE),C D Hayes,0,E O'Connell,4th,1/2 l,6,9-6ht1,55,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Rock Basher (IRE),D P McDonogh,0,L Comer,3rd,2 1/2 l,5,9-6,55,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Numidia (IRE),K J Leonard,0,Peter Lawlor,2nd,2 1/4 l,6,9-1v,50,True,108,3
Dundalk Racing Results | 12th April 2024 20:15,N/A,20:15,Standard,1m 2f 150y,Jazz Forever (IRE),D McMonagle,0,P W Flynn,1st,N/A,4,10-1,64,True,108,3
Dundalk Racing Results | 13th April 2024 16:20,N/A,16:20,Standard,5f,Charanda (IRE),J A Heffernan,0,A Murray,NR,N/A,2,9-2,-,True,108,4
Dundalk Racing Results | 13th April 2024 16:20,N/A,16:20,Standard,5f,Ms Highway (IRE),J Cleary,7,A Murray,6th,3 1/4 l,2,9-2,-,True,108,4
Dundalk Racing Results | 13th April 2024 16:20,N/A,16:20,Standard,5f,Kitty Finn (IRE),W M Lordan,0,N Lupini,5th,9 1/2 l,2,9-2,-,True,108,4
Dundalk Racing Results | 13th April 2024 16:20,N/A,16:20,Standard,5f,Hugo's Girl (IRE),O McSweeney,3,Thomas Dowling,4th,1/2 l,2,9-2,-,True,108,4
Dundalk Racing Results | 13th April 2024 16:20,N/A,16:20,Standard,5f,Cradle Of Love (IRE),D McMonagle,0,J P O'Brien,3rd,1 l,2,9-2,-,True,108,4
Dundalk Racing Results | 13th April 2024 16:20,N/A,16:20,Standard,5f,California Dreamer,D Egan,0,A Murray,2nd,Head,2,9-2,-,True,108,4
Dundalk Racing Results | 13th April 2024 16:20,N/A,16:20,Standard,5f,Usdi Atohi (IRE),G M Ryan,0,Donnacha O'Brien,1st,N/A,2,9-2,-,True,108,4
Dundalk Racing Results | 13th April 2024 16:20,N/A,16:20,Standard,5f,Charanda (IRE),J A Heffernan,0,A Murray,NR,N/A,2,9-2,-,True,108,4
Dundalk Racing Results | 13th April 2024 16:20,N/A,16:20,Standard,5f,Ms Highway (IRE),J Cleary,7,A Murray,6th,3 1/4 l,2,9-2,-,True,108,4
Dundalk Racing Results | 13th April 2024 16:20,N/A,16:20,Standard,5f,Kitty Finn (IRE),W M Lordan,0,N Lupini,5th,9 1/2 l,2,9-2,-,True,108,4
Dundalk Racing Results | 13th April 2024 16:20,N/A,16:20,Standard,5f,Hugo's Girl (IRE),O McSweeney,3,Thomas Dowling,4th,1/2 l,2,9-2,-,True,108,4
Dundalk Racing Results | 13th April 2024 16:20,N/A,16:20,Standard,5f,Cradle Of Love (IRE),D McMonagle,0,J P O'Brien,3rd,1 l,2,9-2,-,True,108,4
Dundalk Racing Results | 13th April 2024 16:20,N/A,16:20,Standard,5f,California Dreamer,D Egan,0,A Murray,2nd,Head,2,9-2,-,True,108,4
Dundalk Racing Results | 13th April 2024 16:20,N/A,16:20,Standard,5f,Usdi Atohi (IRE),G M Ryan,0,Donnacha O'Brien,1st,N/A,2,9-2,-,True,108,4
Dundalk Racing Results | 13th April 2024 16:50,N/A,16:50,Standard,5f,Spirit Of Eagles (IRE),J Cleary,7,Thomas Dowling,NR,N/A,4,9-3t,64,True,108,5
Dundalk Racing Results | 13th April 2024 16:50,N/A,16:50,Standard,5f,Aloysius Lilius (IRE),C T Keane,0,Gerard O'Leary,9th,1 l,8,9-4t,65,True,108,5
Dundalk Racing Results | 13th April 2024 16:50,N/A,16:50,Standard,5f,No Speed Limit (FR),Adam Caffrey,5,P J McKenna,8th,1 l,9,8-13v,60,True,108,5
Dundalk Racing Results | 13th April 2024 16:50,N/A,16:50,Standard,5f,Mary Shoelaces (IRE),W Joyce,5,E & P Harty,7th,Short Head,3,8-9b,67,True,108,5
Dundalk Racing Results | 13th April 2024 16:50,N/A,16:50,Standard,5f,Samrogue (IRE),L F Roche,0,R O'Sullivan,6th,Neck,6,9-6,67,True,108,5
Dundalk Racing Results | 13th April 2024 16:50,N/A,16:50,Standard,5f,So Majestic (IRE),C D Hayes,0,Miss McGivern,5th,1 1/4 l,4,9-11ht,72,True,108,5
Dundalk Racing Results | 13th April 2024 16:50,N/A,16:50,Standard,5f,Phil's Dream (IRE),Siobhan Rutledge,3,J C McConnell,4th,1/2 l,4,8-7tv,54,True,108,5
Dundalk Racing Results | 13th April 2024 16:50,N/A,16:50,Standard,5f,Senor Carrots (IRE),W J Lee,0,A Oliver,3rd,3 1/2 l,6,9-6b,67,True,108,5
Dundalk Racing Results | 13th April 2024 16:50,N/A,16:50,Standard,5f,Pro Bono Alexander (IRE),M W Hassett,7,W P Browne,2nd,2 1/4 l,4,9-10b,71,True,108,5
Dundalk Racing Results | 13th April 2024 16:50,N/A,16:50,Standard,5f,Jered Maddox,L T McAteer,0,D Marnane,1st,N/A,8,10-4,79,True,108,5
Dundalk Racing Results | 13th April 2024 16:50,N/A,16:50,Standard,5f,Spirit Of Eagles (IRE),J Cleary,7,Thomas Dowling,NR,N/A,4,9-3t,64,True,108,5
Dundalk Racing Results | 13th April 2024 16:50,N/A,16:50,Standard,5f,Aloysius Lilius (IRE),C T Keane,0,Gerard O'Leary,9th,1 l,8,9-4t,65,True,108,5
Dundalk Racing Results | 13th April 2024 16:50,N/A,16:50,Standard,5f,No Speed Limit (FR),Adam Caffrey,5,P J McKenna,8th,1 l,9,8-13v,60,True,108,5
Dundalk Racing Results | 13th April 2024 16:50,N/A,16:50,Standard,5f,Mary Shoelaces (IRE),W Joyce,5,E & P Harty,7th,Short Head,3,8-9b,67,True,108,5
Dundalk Racing Results | 13th April 2024 16:50,N/A,16:50,Standard,5f,Samrogue (IRE),L F Roche,0,R O'Sullivan,6th,Neck,6,9-6,67,True,108,5
Dundalk Racing Results | 13th April 2024 16:50,N/A,16:50,Standard,5f,So Majestic (IRE),C D Hayes,0,Miss McGivern,5th,1 1/4 l,4,9-11ht,72,True,108,5
Dundalk Racing Results | 13th April 2024 16:50,N/A,16:50,Standard,5f,Phil's Dream (IRE),Siobhan Rutledge,3,J C McConnell,4th,1/2 l,4,8-7tv,54,True,108,5
Dundalk Racing Results | 13th April 2024 16:50,N/A,16:50,Standard,5f,Senor Carrots (IRE),W J Lee,0,A Oliver,3rd,3 1/2 l,6,9-6b,67,True,108,5
Dundalk Racing Results | 13th April 2024 16:50,N/A,16:50,Standard,5f,Pro Bono Alexander (IRE),M W Hassett,7,W P Browne,2nd,2 1/4 l,4,9-10b,71,True,108,5
Dundalk Racing Results | 13th April 2024 16:50,N/A,16:50,Standard,5f,Jered Maddox,L T McAteer,0,D Marnane,1st,N/A,8,10-4,79,True,108,5
Dundalk Racing Results | 13th April 2024 17:20,N/A,17:20,Standard,6f,The Expert,J J G Ryan,5,T G McCourt,8th,1/2 l,3,9-8,-,True,108,6
Dundalk Racing Results | 13th April 2024 17:20,N/A,17:20,Standard,6f,Judge Me Not (IRE),B M Coen,0,J P Murtagh,7th,4 1/2 l,3,9-8,-,True,108,6
Dundalk Racing Results | 13th April 2024 17:20,N/A,17:20,Standard,6f,Luxury Island (IRE),D McMonagle,0,A Oliver,6th,1 1/4 l,3,9-3,-,True,108,6
Dundalk Racing Results | 13th April 2024 17:20,N/A,17:20,Standard,6f,Vivienda,C T Keane,0,G M Lyons,5th,1/2 l,3,9-3,-,True,108,6
Dundalk Racing Results | 13th April 2024 17:20,N/A,17:20,Standard,6f,Ateenosix (IRE),R P Whelan,0,M Halford & T Collins,4th,3 1/4 l,3,9-8,-,True,108,6
Dundalk Racing Results | 13th April 2024 17:20,N/A,17:20,Standard,6f,Oh So Bright (IRE),S Foley,0,Mrs J Harrington,3rd,1 l,3,9-3t,-,True,108,6
Dundalk Racing Results | 13th April 2024 17:20,N/A,17:20,Standard,6f,Ojw Legacy (IRE),A J Slattery,0,A Slattery,2nd,Neck,3,9-3,-,True,108,6
Dundalk Racing Results | 13th April 2024 17:20,N/A,17:20,Standard,6f,Heart Of Darkness,W J Lee,0,P Twomey,1st,N/A,3,9-3,-,True,108,6
Dundalk Racing Results | 13th April 2024 17:20,N/A,17:20,Standard,6f,The Expert,J J G Ryan,5,T G McCourt,8th,1/2 l,3,9-8,-,True,108,6
Dundalk Racing Results | 13th April 2024 17:20,N/A,17:20,Standard,6f,Judge Me Not (IRE),B M Coen,0,J P Murtagh,7th,4 1/2 l,3,9-8,-,True,108,6
Dundalk Racing Results | 13th April 2024 17:20,N/A,17:20,Standard,6f,Luxury Island (IRE),D McMonagle,0,A Oliver,6th,1 1/4 l,3,9-3,-,True,108,6
Dundalk Racing Results | 13th April 2024 17:20,N/A,17:20,Standard,6f,Vivienda,C T Keane,0,G M Lyons,5th,1/2 l,3,9-3,-,True,108,6
Dundalk Racing Results | 13th April 2024 17:20,N/A,17:20,Standard,6f,Ateenosix (IRE),R P Whelan,0,M Halford & T Collins,4th,3 1/4 l,3,9-8,-,True,108,6
Dundalk Racing Results | 13th April 2024 17:20,N/A,17:20,Standard,6f,Oh So Bright (IRE),S Foley,0,Mrs J Harrington,3rd,1 l,3,9-3t,-,True,108,6
Dundalk Racing Results | 13th April 2024 17:20,N/A,17:20,Standard,6f,Ojw Legacy (IRE),A J Slattery,0,A Slattery,2nd,Neck,3,9-3,-,True,108,6
Dundalk Racing Results | 13th April 2024 17:20,N/A,17:20,Standard,6f,Heart Of Darkness,W J Lee,0,P Twomey,1st,N/A,3,9-3,-,True,108,6
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Vina Arana (IRE),J A Heffernan,0,H De Bromhead,NR,N/A,3,9-3,-,True,108,7
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Punta Coco (IRE),W M Lordan,0,N Lupini,10th,9 1/2 l,3,9-3,-,True,108,7
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Authenticate,D McMonagle,0,J P O'Brien,9th,Neck,3,9-3,-,True,108,7
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Crystal Sunset (IRE),J J G Ryan,5,E Lynam,8th,1 1/4 l,3,9-3,-,True,108,7
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Expecting A Star (IRE),R P Whelan,0,Peter Fahey,7th,3 1/2 l,3,9-3,-,True,108,7
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Clasina,G F Carroll,0,G M Lyons,6th,1/2 l,3,9-3,-,True,108,7
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Rehearsal (IRE),S Foley,0,Mrs J Harrington,5th,1 1/4 l,3,9-3,-,True,108,7
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Glen Princess (IRE),B M Coen,0,J P Murtagh,4th,3/4 l,3,9-3,-,True,108,7
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Super Sox,W J Lee,0,P Twomey,3rd,3 3/4 l,3,9-3,-,True,108,7
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Mayfair (IRE),R L Moore,0,A P O'Brien,2nd,1 l,3,9-3t,-,True,108,7
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Star Magnolia (IRE),C T Keane,0,G M Lyons,1st,N/A,3,9-3,-,True,108,7
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Vina Arana (IRE),J A Heffernan,0,H De Bromhead,NR,N/A,3,9-3,-,True,108,7
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Punta Coco (IRE),W M Lordan,0,N Lupini,10th,9 1/2 l,3,9-3,-,True,108,7
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Authenticate,D McMonagle,0,J P O'Brien,9th,Neck,3,9-3,-,True,108,7
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Crystal Sunset (IRE),J J G Ryan,5,E Lynam,8th,1 1/4 l,3,9-3,-,True,108,7
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Expecting A Star (IRE),R P Whelan,0,Peter Fahey,7th,3 1/2 l,3,9-3,-,True,108,7
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Clasina,G F Carroll,0,G M Lyons,6th,1/2 l,3,9-3,-,True,108,7
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Rehearsal (IRE),S Foley,0,Mrs J Harrington,5th,1 1/4 l,3,9-3,-,True,108,7
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Glen Princess (IRE),B M Coen,0,J P Murtagh,4th,3/4 l,3,9-3,-,True,108,7
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Super Sox,W J Lee,0,P Twomey,3rd,3 3/4 l,3,9-3,-,True,108,7
Dundalk Racing Results | 13th April 2024 17:50,N/A,17:50,Standard,7f,Mayfair (IRE),R L Moore,0,A P O'Brien,2nd,1 l,3,9-3t,-,True,108,7
