track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Tramore Racing Results | 13th October 2022 15:35,N/A,15:35,Yielding,2m 4f 73y,Steppenwolf (FR),L. P. Dempsey,0,Gavin Patrick Cromwell,6th,14 l,4,11-10,104,True,26,10
Tramore Racing Results | 13th October 2022 15:35,N/A,15:35,Yielding,2m 4f 73y,Old Soul (FR),Sean Flanagan,0,Miss Elizabeth Doyle,5th,2 l,5,11-8,100,True,26,10
Tramore Racing Results | 13th October 2022 15:35,N/A,15:35,Yielding,2m 4f 73y,Anyonecanhaveitall,M. J. M. O'Sullivan,5,Eoin Doyle,4th,3/4 l,6,11-8p,100,True,26,10
Tramore Racing Results | 13th October 2022 15:35,N/A,15:35,Yielding,2m 4f 73y,Hand Over Fist (FR),D. J. O'Keeffe,0,Henry de Bromhead,3rd,1 1/2 l,5,11-3,95,True,26,10
Tramore Racing Results | 13th October 2022 15:35,N/A,15:35,Yielding,2m 4f 73y,Siberian Star,J. P. O'Sullivan,5,P. J. Rothwell,2nd,Neck,7,11-3p,95,True,26,10
Tramore Racing Results | 13th October 2022 15:35,N/A,15:35,Yielding,2m 4f 73y,Game And Glory (IRE),Jack Foley,0,P. J. Rothwell,1st,N/A,6,10-13p,91,True,26,10
Tramore Racing Results | 13th October 2022 15:35,N/A,15:35,Yielding,2m 4f 73y,Churchtown Ruby (IRE),K. E. Buckley,5,Declan Queally,PU,N/A,5,11-13t,105,True,26,10
Tramore Racing Results | 13th October 2022 15:35,N/A,15:35,Yielding,2m 4f 73y,Father Jed (IRE),J. P. Kirwan,7,John Patrick Ryan,10th,18 l,11,11-9,101,True,26,10
Tramore Racing Results | 13th October 2022 15:35,N/A,15:35,Yielding,2m 4f 73y,Lake Chad (IRE),Niall Moore,7,Philip Fenton,9th,7 l,7,11-7b1,99,True,26,10
Tramore Racing Results | 13th October 2022 15:35,N/A,15:35,Yielding,2m 4f 73y,Tingarran Express (IRE),B. Hayes,0,Philip Fenton,8th,11 l,5,11-5,97,True,26,10
Tramore Racing Results | 13th October 2022 15:35,N/A,15:35,Yielding,2m 4f 73y,Sean Says (IRE),Phillip Enright,0,Rodger Sweeney,7th,1 1/2 l,6,11-11p,103,True,26,10
Tramore Racing Results | 13th October 2022 15:35,N/A,15:35,Yielding,2m 4f 73y,Steppenwolf (FR),L. P. Dempsey,0,Gavin Patrick Cromwell,6th,14 l,4,11-10,104,True,26,10
Tramore Racing Results | 13th October 2022 15:35,N/A,15:35,Yielding,2m 4f 73y,Old Soul (FR),Sean Flanagan,0,Miss Elizabeth Doyle,5th,2 l,5,11-8,100,True,26,10
Tramore Racing Results | 13th October 2022 15:35,N/A,15:35,Yielding,2m 4f 73y,Anyonecanhaveitall,M. J. M. O'Sullivan,5,Eoin Doyle,4th,3/4 l,6,11-8p,100,True,26,10
Tramore Racing Results | 13th October 2022 15:35,N/A,15:35,Yielding,2m 4f 73y,Hand Over Fist (FR),D. J. O'Keeffe,0,Henry de Bromhead,3rd,1 1/2 l,5,11-3,95,True,26,10
Tramore Racing Results | 13th October 2022 15:35,N/A,15:35,Yielding,2m 4f 73y,Siberian Star,J. P. O'Sullivan,5,P. J. Rothwell,2nd,Neck,7,11-3p,95,True,26,10
Tramore Racing Results | 13th October 2022 15:35,N/A,15:35,Yielding,2m 4f 73y,Game And Glory (IRE),Jack Foley,0,P. J. Rothwell,1st,N/A,6,10-13p,91,True,26,10
Tramore Racing Results | 13th October 2022 16:10,N/A,16:10,Yielding,1m 7f 50y,Cluan Dara (IRE),B. J. Cooper,0,John Patrick Ryan,8th,26 l,10,11-0,88,True,26,11
Tramore Racing Results | 13th October 2022 16:10,N/A,16:10,Yielding,1m 7f 50y,Moon Eagle (IRE),Sean Flanagan,0,Gavin Patrick Cromwell,7th,5 1/2 l,5,11-9t1,97,True,26,11
Tramore Racing Results | 13th October 2022 16:10,N/A,16:10,Yielding,1m 7f 50y,Inagh's Gift (IRE),D. J. O'Keeffe,0,Sean P. Hennessy,6th,Short Head,9,10-8tb1,82,True,26,11
Tramore Racing Results | 13th October 2022 16:10,N/A,16:10,Yielding,1m 7f 50y,Grinn (IRE),G. Bourke,7,David M. O'Brien,5th,3 l,6,10-6t,80,True,26,11
Tramore Racing Results | 13th October 2022 16:10,N/A,16:10,Yielding,1m 7f 50y,Alexharwill (IRE),S. F. O'Keeffe,0,L. Young,4th,2 1/2 l,7,11-2,90,True,26,11
Tramore Racing Results | 13th October 2022 16:10,N/A,16:10,Yielding,1m 7f 50y,Joeswayornoway (IRE),K. E. Buckley,0,E. Sheehy,3rd,2 1/4 l,6,12-0tb,102,True,26,11
Tramore Racing Results | 13th October 2022 16:10,N/A,16:10,Yielding,1m 7f 50y,Dreamsrmadeofthis (IRE),S. D. Torrens,0,Enda Bolger,2nd,3 l,5,11-12,100,True,26,11
Tramore Racing Results | 13th October 2022 16:10,N/A,16:10,Yielding,1m 7f 50y,Where's Bunny (IRE),J. P. O'Sullivan,5,N. Dooly,1st,N/A,7,11-11,99,True,26,11
Tramore Racing Results | 13th October 2022 16:10,N/A,16:10,Yielding,1m 7f 50y,Cluan Dara (IRE),B. J. Cooper,0,John Patrick Ryan,8th,26 l,10,11-0,88,True,26,11
Tramore Racing Results | 13th October 2022 16:10,N/A,16:10,Yielding,1m 7f 50y,Moon Eagle (IRE),Sean Flanagan,0,Gavin Patrick Cromwell,7th,5 1/2 l,5,11-9t1,97,True,26,11
Tramore Racing Results | 13th October 2022 16:10,N/A,16:10,Yielding,1m 7f 50y,Inagh's Gift (IRE),D. J. O'Keeffe,0,Sean P. Hennessy,6th,Short Head,9,10-8tb1,82,True,26,11
Tramore Racing Results | 13th October 2022 16:10,N/A,16:10,Yielding,1m 7f 50y,Grinn (IRE),G. Bourke,7,David M. O'Brien,5th,3 l,6,10-6t,80,True,26,11
Tramore Racing Results | 13th October 2022 16:10,N/A,16:10,Yielding,1m 7f 50y,Alexharwill (IRE),S. F. O'Keeffe,0,L. Young,4th,2 1/2 l,7,11-2,90,True,26,11
Tramore Racing Results | 13th October 2022 16:10,N/A,16:10,Yielding,1m 7f 50y,Joeswayornoway (IRE),K. E. Buckley,0,E. Sheehy,3rd,2 1/4 l,6,12-0tb,102,True,26,11
Tramore Racing Results | 13th October 2022 16:10,N/A,16:10,Yielding,1m 7f 50y,Dreamsrmadeofthis (IRE),S. D. Torrens,0,Enda Bolger,2nd,3 l,5,11-12,100,True,26,11
Tramore Racing Results | 13th October 2022 16:10,N/A,16:10,Yielding,1m 7f 50y,Where's Bunny (IRE),J. P. O'Sullivan,5,N. Dooly,1st,N/A,7,11-11,99,True,26,11
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Speed Gang (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,F,N/A,5,11-12,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Barncroft (IRE),J. W. Kennedy,0,Gordon Elliott,10th,25 l,5,11-12,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Pure Sirloin (IRE),L. P. Dempsey,0,Gavin Patrick Cromwell,9th,6 1/2 l,4,11-2,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Shamror Lass (IRE),Phillip Enright,0,Denis Hogan,8th,2 l,5,11-5,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Lizrona (IRE),Kieran Callaghan,7,Eric Larkin,7th,3 l,6,11-5,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Golden Glen (IRE),A. M. McCurtin,3,John J. Walsh,6th,2 3/4 l,8,11-5t,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Shamrock'n Roll (IRE),S. D. Torrens,0,J. R. Finn,5th,4 1/2 l,7,11-12t,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Highland Sting (IRE),N. T. Prendergast,7,John Patrick Ryan,4th,16 l,6,11-12,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Bentham (IRE),Sean Flanagan,0,Gavin Patrick Cromwell,3rd,20 l,8,11-12,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Wild Caprice (IRE),M. J. M. O'Sullivan,5,John Patrick Ryan,2nd,15 l,8,11-5,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Majavango (IRE),D. J. O'Keeffe,0,T. Gibney,1st,N/A,6,11-12t,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Speed Gang (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,F,N/A,5,11-12,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Barncroft (IRE),J. W. Kennedy,0,Gordon Elliott,10th,25 l,5,11-12,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Pure Sirloin (IRE),L. P. Dempsey,0,Gavin Patrick Cromwell,9th,6 1/2 l,4,11-2,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Shamror Lass (IRE),Phillip Enright,0,Denis Hogan,8th,2 l,5,11-5,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Lizrona (IRE),Kieran Callaghan,7,Eric Larkin,7th,3 l,6,11-5,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Golden Glen (IRE),A. M. McCurtin,3,John J. Walsh,6th,2 3/4 l,8,11-5t,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Shamrock'n Roll (IRE),S. D. Torrens,0,J. R. Finn,5th,4 1/2 l,7,11-12t,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Highland Sting (IRE),N. T. Prendergast,7,John Patrick Ryan,4th,16 l,6,11-12,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Bentham (IRE),Sean Flanagan,0,Gavin Patrick Cromwell,3rd,20 l,8,11-12,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Wild Caprice (IRE),M. J. M. O'Sullivan,5,John Patrick Ryan,2nd,15 l,8,11-5,-,True,26,12
Tramore Racing Results | 13th October 2022 16:45,N/A,16:45,Yielding,2m 5f 150y,Majavango (IRE),D. J. O'Keeffe,0,T. Gibney,1st,N/A,6,11-12t,-,True,26,12
Tramore Racing Results | 13th October 2022 17:15,N/A,17:15,Yielding  Flat (Turf),2m,Six Ace (IRE),Miss Georgie Benson,7,Gordon Elliott,8th,12 l,4,11-13p,-,True,26,13
Tramore Racing Results | 13th October 2022 17:15,N/A,17:15,Yielding  Flat (Turf),2m,Georgie's Gal (IRE),Miss P. Elvin,7,P. J. Rothwell,7th,1 l,4,11-6,-,True,26,13
Tramore Racing Results | 13th October 2022 17:15,N/A,17:15,Yielding  Flat (Turf),2m,Rouge Ruby (IRE),Miss L. Costello,7,Roy W. Tector,6th,8 l,4,11-6,-,True,26,13
Tramore Racing Results | 13th October 2022 17:15,N/A,17:15,Yielding  Flat (Turf),2m,Truckers Fancy (IRE),Miss R. Murphy,7,W. J. Burke,5th,21 l,7,11-7,-,True,26,13
Tramore Racing Results | 13th October 2022 17:15,N/A,17:15,Yielding  Flat (Turf),2m,Pixabay (IRE),Miss M. O'Sullivan,5,P. Kiely,4th,1/2 l,5,11-7,-,True,26,13
Tramore Racing Results | 13th October 2022 17:15,N/A,17:15,Yielding  Flat (Turf),2m,Iurkash (FR),Miss J. Corish,7,Sean Thomas Doyle,3rd,13 l,4,11-13,-,True,26,13
Tramore Racing Results | 13th October 2022 17:15,N/A,17:15,Yielding  Flat (Turf),2m,Inion Tiogair (IRE),Miss A. B. O'Connor,3,Ms Margaret Mullins,2nd,14 l,5,11-7,-,True,26,13
Tramore Racing Results | 13th October 2022 17:15,N/A,17:15,Yielding  Flat (Turf),2m,Tina Meehan (IRE),Miss J. Townend,3,W. P. Mullins,1st,N/A,5,11-7,-,True,26,13
Tramore Racing Results | 13th October 2022 17:15,N/A,17:15,Yielding  Flat (Turf),2m,Six Ace (IRE),Miss Georgie Benson,7,Gordon Elliott,8th,12 l,4,11-13p,-,True,26,13
Tramore Racing Results | 13th October 2022 17:15,N/A,17:15,Yielding  Flat (Turf),2m,Georgie's Gal (IRE),Miss P. Elvin,7,P. J. Rothwell,7th,1 l,4,11-6,-,True,26,13
Tramore Racing Results | 13th October 2022 17:15,N/A,17:15,Yielding  Flat (Turf),2m,Rouge Ruby (IRE),Miss L. Costello,7,Roy W. Tector,6th,8 l,4,11-6,-,True,26,13
Tramore Racing Results | 13th October 2022 17:15,N/A,17:15,Yielding  Flat (Turf),2m,Truckers Fancy (IRE),Miss R. Murphy,7,W. J. Burke,5th,21 l,7,11-7,-,True,26,13
Tramore Racing Results | 13th October 2022 17:15,N/A,17:15,Yielding  Flat (Turf),2m,Pixabay (IRE),Miss M. O'Sullivan,5,P. Kiely,4th,1/2 l,5,11-7,-,True,26,13
Tramore Racing Results | 13th October 2022 17:15,N/A,17:15,Yielding  Flat (Turf),2m,Iurkash (FR),Miss J. Corish,7,Sean Thomas Doyle,3rd,13 l,4,11-13,-,True,26,13
Tramore Racing Results | 13th October 2022 17:15,N/A,17:15,Yielding  Flat (Turf),2m,Inion Tiogair (IRE),Miss A. B. O'Connor,3,Ms Margaret Mullins,2nd,14 l,5,11-7,-,True,26,13
Tramore Racing Results | 13th October 2022 17:15,N/A,17:15,Yielding  Flat (Turf),2m,Tina Meehan (IRE),Miss J. Townend,3,W. P. Mullins,1st,N/A,5,11-7,-,True,26,13
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Sir Lovealot (IRE),C. J. MacRedmond,0,Adrian McGuinness,14th,63 l,3,8-11,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Sweeping Statement (IRE),R. Whearty,4,James McAuley,13th,3 1/2 l,4,9-11p,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Astelia (IRE),S. McCullagh,0,Mrs J. Harrington,12th,5 1/2 l,3,9-12p1,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Rene Artois (IRE),D. B. McMonagle,0,M. D. O'Callaghan,11th,3 1/2 l,3,9-2v1,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Deluca Chop (FR),J. A. Powell,2,A. J. Martin,10th,1 l,3,9-0p,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Power On (IRE),J. Coen,0,P. J. F. Murphy,9th,Nose,4,9-9,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Supposedtobe (IRE),J. M. Sheridan,0,Denis Hogan,8th,Neck,4,9-6,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,James Henry (IRE),M. P. Sheehy,0,Noel Meade,7th,2 l,3,9-4p,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Ghumama (IRE),S. D. Bowen,4,Denis Hogan,6th,Neck,4,9-3tb,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Adapt to Dan (IRE),J. Kearney,4,L. Smyth,5th,Neck,6,9-6t1,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Ten Coins (IRE),P. A. Harnett,2,Eddie & Patrick Harty,4th,1 1/2 l,3,9-2p,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Movie King (IRE),L. T. McAteer,0,A. J. Martin,3rd,1/2 l,5,9-4,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Boragh Empress (IRE),N. M. Crosse,0,Ciaran Murphy,2nd,2 l,3,8-11p,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Dalvey,J. J. G. Ryan,4,James McAuley,1st,N/A,5,10-2tp,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Sir Lovealot (IRE),C. J. MacRedmond,0,Adrian McGuinness,14th,63 l,3,8-11,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Sweeping Statement (IRE),R. Whearty,4,James McAuley,13th,3 1/2 l,4,9-11p,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Astelia (IRE),S. McCullagh,0,Mrs J. Harrington,12th,5 1/2 l,3,9-12p1,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Rene Artois (IRE),D. B. McMonagle,0,M. D. O'Callaghan,11th,3 1/2 l,3,9-2v1,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Deluca Chop (FR),J. A. Powell,2,A. J. Martin,10th,1 l,3,9-0p,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Power On (IRE),J. Coen,0,P. J. F. Murphy,9th,Nose,4,9-9,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Supposedtobe (IRE),J. M. Sheridan,0,Denis Hogan,8th,Neck,4,9-6,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,James Henry (IRE),M. P. Sheehy,0,Noel Meade,7th,2 l,3,9-4p,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Ghumama (IRE),S. D. Bowen,4,Denis Hogan,6th,Neck,4,9-3tb,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Adapt to Dan (IRE),J. Kearney,4,L. Smyth,5th,Neck,6,9-6t1,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Ten Coins (IRE),P. A. Harnett,2,Eddie & Patrick Harty,4th,1 1/2 l,3,9-2p,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Movie King (IRE),L. T. McAteer,0,A. J. Martin,3rd,1/2 l,5,9-4,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Boragh Empress (IRE),N. M. Crosse,0,Ciaran Murphy,2nd,2 l,3,8-11p,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:00,N/A,17:00,Standard,1m 2f 150y,Dalvey,J. J. G. Ryan,4,James McAuley,1st,N/A,5,10-2tp,-,True,26,14
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Singsong Lady (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,13th,1 3/4 l,3,9-12t,70,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Sandyman,J. J. G. Ryan,7,James McAuley,12th,Neck,6,10-0,68,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Beer With The Boys,D. B. McMonagle,0,C. Moore,11th,1/2 l,7,9-10v,64,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Darkened (IRE),D. King,7,Denis Hogan,10th,1/2 l,6,10-0tb,68,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Storm Steps (IRE),J. Coen,5,Patrick Martin,9th,Short Head,7,9-13t,67,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Draco Pulchrac (IRE),Ben Martin Coen,0,A. J. Martin,8th,3/4 l,4,10-1t,69,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Eastern Racer (IRE),Shane Foley,0,James McAuley,7th,Neck,10,9-8b,62,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Turf Range (IRE),W. M. Lordan,0,D. Broad,6th,1 1/4 l,6,10-0b,68,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Action Motion (IRE),C. D. Hayes,0,Andrew Oliver,5th,1 3/4 l,3,9-7p,65,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,A Shin Undine (IRE),D. J. Gilligan,7,J. A. Stack,4th,Head,3,9-10,68,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Riccardi Medici (IRE),R. P. Whelan,0,M. Halford,3rd,3/4 l,3,9-7t,65,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Mads Black Eights (IRE),Sam Ewing,3,Matthew J. Smith,2nd,1 1/2 l,6,9-12,66,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Cursory Exam,C. T. Keane,0,G. O'Leary,1st,N/A,4,9-13,67,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Singsong Lady (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,13th,1 3/4 l,3,9-12t,70,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Sandyman,J. J. G. Ryan,7,James McAuley,12th,Neck,6,10-0,68,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Beer With The Boys,D. B. McMonagle,0,C. Moore,11th,1/2 l,7,9-10v,64,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Darkened (IRE),D. King,7,Denis Hogan,10th,1/2 l,6,10-0tb,68,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Storm Steps (IRE),J. Coen,5,Patrick Martin,9th,Short Head,7,9-13t,67,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Draco Pulchrac (IRE),Ben Martin Coen,0,A. J. Martin,8th,3/4 l,4,10-1t,69,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Eastern Racer (IRE),Shane Foley,0,James McAuley,7th,Neck,10,9-8b,62,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Turf Range (IRE),W. M. Lordan,0,D. Broad,6th,1 1/4 l,6,10-0b,68,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Action Motion (IRE),C. D. Hayes,0,Andrew Oliver,5th,1 3/4 l,3,9-7p,65,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,A Shin Undine (IRE),D. J. Gilligan,7,J. A. Stack,4th,Head,3,9-10,68,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Riccardi Medici (IRE),R. P. Whelan,0,M. Halford,3rd,3/4 l,3,9-7t,65,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Mads Black Eights (IRE),Sam Ewing,3,Matthew J. Smith,2nd,1 1/2 l,6,9-12,66,True,26,15
Dundalk Racing Results | 14th October 2022 17:30,N/A,17:30,Standard,1m 2f 150y,Cursory Exam,C. T. Keane,0,G. O'Leary,1st,N/A,4,9-13,67,True,26,15
Dundalk Racing Results | 14th October 2022 18:00,N/A,18:00,Standard,1m 2f 150y,Dare to Flare (IRE),A. J. Slattery,0,A. Slattery,14th,1 3/4 l,6,8-11v,77,True,26,16
Dundalk Racing Results | 14th October 2022 18:00,N/A,18:00,Standard,1m 2f 150y,Snag It (IRE),J. A. Powell,7,Matthew J. Smith,13th,3/4 l,5,8-7t,73,True,26,16
Dundalk Racing Results | 14th October 2022 18:00,N/A,18:00,Standard,1m 2f 150y,Meritorious,James J. Doyle,0,John McConnell,12th,Neck,4,8-8,74,True,26,16
Dundalk Racing Results | 14th October 2022 18:00,N/A,18:00,Standard,1m 2f 150y,Giselles Ausie (IRE),R. Whearty,7,Gavin Patrick Cromwell,11th,Short Head,3,8-10,80,True,26,16
Dundalk Racing Results | 14th October 2022 18:00,N/A,18:00,Standard,1m 2f 150y,Nectarine (IRE),K. J. Manning,0,J. S. Bolger,10th,2 l,3,9-4,88,True,26,16
Dundalk Racing Results | 14th October 2022 18:00,N/A,18:00,Standard,1m 2f 150y,Free to Party (IRE),Ben Martin Coen,0,John Patrick Murtagh,9th,Short Head,3,8-13,83,True,26,16
Dundalk Racing Results | 14th October 2022 18:00,N/A,18:00,Standard,1m 2f 150y,Whatharm (IRE),C. P. Hoban,0,Patrick J. Flynn,8th,1/2 l,7,9-8,88,True,26,16
Dundalk Racing Results | 14th October 2022 18:00,N/A,18:00,Standard,1m 2f 150y,Summit Star (IRE),R. C. Colgan,0,Ms Sheila Lavery,7th,1 l,4,9-11,91,True,26,16
Dundalk Racing Results | 14th October 2022 18:00,N/A,18:00,Standard,1m 2f 150y,Blackcastle Storm,L. F. Roche,0,Matthew J. Smith,6th,3/4 l,5,8-7t,73,True,26,16
Dundalk Racing Results | 14th October 2022 18:00,N/A,18:00,Standard,1m 2f 150y,Once Upon A River (IRE),William James Lee,0,P. Twomey,5th,1 1/4 l,3,9-10,94,True,26,16
Dundalk Racing Results | 14th October 2022 18:00,N/A,18:00,Standard,1m 2f 150y,Eclat De Lumiere (IRE),C. D. Hayes,0,D. K. Weld,4th,Neck,3,8-13,83,True,26,16
Dundalk Racing Results | 14th October 2022 18:00,N/A,18:00,Standard,1m 2f 150y,Max Mayhem,M. P. Sheehy,0,Joseph Patrick O'Brien,3rd,1 1/4 l,4,10-0,94,True,26,16
Dundalk Racing Results | 14th October 2022 18:00,N/A,18:00,Standard,1m 2f 150y,Longbourn (IRE),D. B. McMonagle,0,Ross O'Sullivan,2nd,Neck,6,9-11t,91,True,26,16
Dundalk Racing Results | 14th October 2022 18:00,N/A,18:00,Standard,1m 2f 150y,Finans Bay (IRE),R. P. Whelan,0,M. Halford,1st,N/A,5,9-7p,87,True,26,16
Dundalk Racing Results | 14th October 2022 18:00,N/A,18:00,Standard,1m 2f 150y,Dare to Flare (IRE),A. J. Slattery,0,A. Slattery,14th,1 3/4 l,6,8-11v,77,True,26,16
