track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Ace Aussie (IRE),L. F. Roche,0,John Joseph Hanlon,14th,13 l,5,10-0t,78,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Delicate Girl (IRE),C. Stone-Walsh,7,Joseph Patrick O'Brien,13th,15 l,3,9-5p,75,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Sovereign Duke (GER),Ben Martin Coen,0,John Joseph Hanlon,12th,35 l,8,9-11,75,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Magnetic North (IRE),Adam Caffrey,5,James McAuley,11th,4 1/2 l,8,9-13v,77,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,God Knows (IRE),J. A. Powell,5,Richard Brabazon,10th,1/2 l,4,9-12,76,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Bambeano (IRE),D. B. McMonagle,0,Mark Fahey,9th,1 1/4 l,6,9-9,73,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Dark Note,Andrew Joseph Slattery,0,A. Slattery,8th,Head,4,9-9,73,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,John Alexander (IRE),C. D. Hayes,0,Luke Comer,7th,2 1/4 l,4,9-13,77,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Hidden Land (USA),L. T. McAteer,0,Andrew Kinirons,6th,1/2 l,6,9-6,70,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Autocrat (IRE),J. M. Sheridan,0,Shane Kieran Ryder,5th,1 l,3,9-8p,78,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Cold Steel (USA),William James Lee,0,Andrew Oliver,4th,5 l,5,9-12,76,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,S'all Good Man (IRE),C. J. MacRedmond,5,W. T. Farrell,3rd,1/2 l,7,9-13p,77,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Kadeen (IRE),R. P. Whelan,0,M. Halford & T. Collins,2nd,3 1/4 l,3,9-5,75,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Luke Short,R. Whearty,5,Noel Meade,1st,N/A,6,9-11p,75,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Ace Aussie (IRE),L. F. Roche,0,John Joseph Hanlon,14th,13 l,5,10-0t,78,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Delicate Girl (IRE),C. Stone-Walsh,7,Joseph Patrick O'Brien,13th,15 l,3,9-5p,75,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Sovereign Duke (GER),Ben Martin Coen,0,John Joseph Hanlon,12th,35 l,8,9-11,75,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Magnetic North (IRE),Adam Caffrey,5,James McAuley,11th,4 1/2 l,8,9-13v,77,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,God Knows (IRE),J. A. Powell,5,Richard Brabazon,10th,1/2 l,4,9-12,76,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Bambeano (IRE),D. B. McMonagle,0,Mark Fahey,9th,1 1/4 l,6,9-9,73,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Dark Note,Andrew Joseph Slattery,0,A. Slattery,8th,Head,4,9-9,73,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,John Alexander (IRE),C. D. Hayes,0,Luke Comer,7th,2 1/4 l,4,9-13,77,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Hidden Land (USA),L. T. McAteer,0,Andrew Kinirons,6th,1/2 l,6,9-6,70,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Autocrat (IRE),J. M. Sheridan,0,Shane Kieran Ryder,5th,1 l,3,9-8p,78,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Cold Steel (USA),William James Lee,0,Andrew Oliver,4th,5 l,5,9-12,76,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,S'all Good Man (IRE),C. J. MacRedmond,5,W. T. Farrell,3rd,1/2 l,7,9-13p,77,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Kadeen (IRE),R. P. Whelan,0,M. Halford & T. Collins,2nd,3 1/4 l,3,9-5,75,True,86,1
Dundalk Racing Results | 13th October 2023 20:15,N/A,20:15,Standard,1m 4f,Luke Short,R. Whearty,5,Noel Meade,1st,N/A,6,9-11p,75,True,86,1
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Sound Move (IRE),L. T. McAteer,0,J. S. Bolger,12th,2 3/4 l,2,9-7,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Granite Bay,R. P. Whelan,0,Jarlath P. Fahey,11th,5 1/2 l,2,9-7,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Fearless Tom (IRE),C. D. Hayes,0,Luke Comer,10th,2 1/4 l,2,9-7,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Private Officer (IRE),D. W. O'Connor,0,J. F. Levins,9th,1 1/4 l,2,9-7,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Dont Do Dramas (IRE),William James Lee,0,Michael Mulvany,8th,2 l,2,9-7,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Total Look (FR),C. D. Maxwell,0,Gavin Patrick Cromwell,7th,1 1/4 l,2,9-7,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Fine Print (IRE),G. F. Carroll,0,G. M. Lyons,6th,2 3/4 l,2,9-7t,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Best Law (IRE),C. T. Keane,0,G. M. Lyons,5th,Head,2,9-7,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Salah Al Deen (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,4th,1 3/4 l,2,9-7t,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Chemistry (IRE),K. K. Hennessy,5,Aidan O'Brien,3rd,2 1/2 l,2,9-7b1,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Gallantly,Seamie Heffernan,0,Aidan O'Brien,2nd,3 1/4 l,2,9-7,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Chicago Critic,Ben Martin Coen,0,John Patrick Murtagh,1st,N/A,2,9-7,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Sound Move (IRE),L. T. McAteer,0,J. S. Bolger,12th,2 3/4 l,2,9-7,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Granite Bay,R. P. Whelan,0,Jarlath P. Fahey,11th,5 1/2 l,2,9-7,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Fearless Tom (IRE),C. D. Hayes,0,Luke Comer,10th,2 1/4 l,2,9-7,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Private Officer (IRE),D. W. O'Connor,0,J. F. Levins,9th,1 1/4 l,2,9-7,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Dont Do Dramas (IRE),William James Lee,0,Michael Mulvany,8th,2 l,2,9-7,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Total Look (FR),C. D. Maxwell,0,Gavin Patrick Cromwell,7th,1 1/4 l,2,9-7,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Fine Print (IRE),G. F. Carroll,0,G. M. Lyons,6th,2 3/4 l,2,9-7t,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Best Law (IRE),C. T. Keane,0,G. M. Lyons,5th,Head,2,9-7,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Salah Al Deen (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,4th,1 3/4 l,2,9-7t,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Chemistry (IRE),K. K. Hennessy,5,Aidan O'Brien,3rd,2 1/2 l,2,9-7b1,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Gallantly,Seamie Heffernan,0,Aidan O'Brien,2nd,3 1/4 l,2,9-7,-,True,86,2
Naas Racing Results | 14th October 2023 13:40,N/A,13:40,Soft To Heavy,1m,Chicago Critic,Ben Martin Coen,0,John Patrick Murtagh,1st,N/A,2,9-7,-,True,86,2
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Tweety (IRE),R. Whearty,5,Peter Maher,16th,18 l,6,9-11ht1,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Gujarat (IRE),D. B. McMonagle,0,Denis W. Cullen,15th,9 l,4,9-11,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Johnny The Star (IRE),Jack Cleary,7,M. M. Rice,14th,3 1/4 l,3,9-8h,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Main Stand (IRE),C. D. Hayes,0,Luke Comer,13th,3 3/4 l,3,9-8,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Sunny Dude (IRE),S. McCullagh,3,D. Buckley,12th,1 3/4 l,3,9-8,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Don't Look Now (IRE),N. M. Crosse,0,Luke Comer,11th,1 l,3,9-3,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Limestone Red (IRE),R. P. Whelan,0,M. Halford & T. Collins,10th,1 3/4 l,3,9-8,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Maroon and White (IRE),C. J. MacRedmond,5,Adrian McGuinness,9th,2 1/2 l,3,9-3,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Mooretown Lad (IRE),C. T. Keane,0,M. D. O'Callaghan,8th,Neck,3,9-8,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Nakassama (IRE),J. M. Sheridan,0,James McAuley,7th,2 l,3,9-8,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Proleek Prince (IRE),J. Kearney,7,M. M. Rice,6th,1 1/4 l,3,9-8,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,See Me Through (IRE),William James Lee,0,Ross O'Sullivan,5th,Neck,3,9-8,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Hijo De La Luna (GER),G. F. Carroll,0,G. M. Lyons,4th,1/2 l,3,9-8,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Quare Hawk (IRE),L. F. Roche,0,Richard Brabazon,3rd,1 1/4 l,3,9-8,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Ballsbridge (USA),Seamie Heffernan,0,Aidan O'Brien,2nd,1 1/4 l,3,9-8b,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Frazil (IRE),L. T. McAteer,0,J. S. Bolger,1st,N/A,4,9-11,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Tweety (IRE),R. Whearty,5,Peter Maher,16th,18 l,6,9-11ht1,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Gujarat (IRE),D. B. McMonagle,0,Denis W. Cullen,15th,9 l,4,9-11,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Johnny The Star (IRE),Jack Cleary,7,M. M. Rice,14th,3 1/4 l,3,9-8h,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Main Stand (IRE),C. D. Hayes,0,Luke Comer,13th,3 3/4 l,3,9-8,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Sunny Dude (IRE),S. McCullagh,3,D. Buckley,12th,1 3/4 l,3,9-8,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Don't Look Now (IRE),N. M. Crosse,0,Luke Comer,11th,1 l,3,9-3,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Limestone Red (IRE),R. P. Whelan,0,M. Halford & T. Collins,10th,1 3/4 l,3,9-8,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Maroon and White (IRE),C. J. MacRedmond,5,Adrian McGuinness,9th,2 1/2 l,3,9-3,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Mooretown Lad (IRE),C. T. Keane,0,M. D. O'Callaghan,8th,Neck,3,9-8,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Nakassama (IRE),J. M. Sheridan,0,James McAuley,7th,2 l,3,9-8,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Proleek Prince (IRE),J. Kearney,7,M. M. Rice,6th,1 1/4 l,3,9-8,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,See Me Through (IRE),William James Lee,0,Ross O'Sullivan,5th,Neck,3,9-8,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Hijo De La Luna (GER),G. F. Carroll,0,G. M. Lyons,4th,1/2 l,3,9-8,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Quare Hawk (IRE),L. F. Roche,0,Richard Brabazon,3rd,1 1/4 l,3,9-8,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Ballsbridge (USA),Seamie Heffernan,0,Aidan O'Brien,2nd,1 1/4 l,3,9-8b,-,True,86,3
Naas Racing Results | 14th October 2023 14:15,N/A,14:15,Soft To Heavy,1m,Frazil (IRE),L. T. McAteer,0,J. S. Bolger,1st,N/A,4,9-11,-,True,86,3
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Gold Coast Galleon (FR),M. P. Sheehy,0,Joseph Patrick O'Brien,S,N/A,2,8-11,80,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Emperor of Rome (IRE),Seamie Heffernan,0,Aidan O'Brien,12th,7 l,2,8-9b,78,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Jalaybee,C. D. Hayes,0,D. K. Weld,11th,12 l,2,8-8b1,77,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Gandolfo (IRE),R. Whearty,5,Noel Meade,10th,3 3/4 l,2,8-11,80,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Dramatic Entrance (IRE),J. A. Powell,5,Mrs J. Harrington,9th,2 3/4 l,2,8-7p1,76,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Perfect Judgement (IRE),R. P. Whelan,0,Adrian McGuinness,8th,3/4 l,2,8-9v1,78,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Neo Smart (IRE),N. G. McCullagh,0,J. S. Bolger,7th,2 1/4 l,2,8-7,76,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Clarita (IRE),L. F. Roche,0,Gavin Patrick Cromwell,6th,2 1/4 l,2,8-7,76,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Gloucester (IRE),P. A. Harnett,5,Donnacha Aidan O'Brien,5th,Head,2,9-10,93,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Ocean Baroque (IRE),C. Stone-Walsh,7,Daniel James Murphy,4th,Short Head,2,9-2p,85,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Staysound Susie (IRE),Andrew Joseph Slattery,0,A. Slattery,3rd,1 1/2 l,2,8-8,77,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Back Down Under (IRE),Wesley Joyce,7,Padraig Roche,2nd,3/4 l,2,8-7,76,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Glamorously (IRE),N. M. Crosse,0,Mrs J. Harrington,1st,N/A,2,8-7b,76,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Gold Coast Galleon (FR),M. P. Sheehy,0,Joseph Patrick O'Brien,S,N/A,2,8-11,80,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Emperor of Rome (IRE),Seamie Heffernan,0,Aidan O'Brien,12th,7 l,2,8-9b,78,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Jalaybee,C. D. Hayes,0,D. K. Weld,11th,12 l,2,8-8b1,77,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Gandolfo (IRE),R. Whearty,5,Noel Meade,10th,3 3/4 l,2,8-11,80,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Dramatic Entrance (IRE),J. A. Powell,5,Mrs J. Harrington,9th,2 3/4 l,2,8-7p1,76,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Perfect Judgement (IRE),R. P. Whelan,0,Adrian McGuinness,8th,3/4 l,2,8-9v1,78,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Neo Smart (IRE),N. G. McCullagh,0,J. S. Bolger,7th,2 1/4 l,2,8-7,76,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Clarita (IRE),L. F. Roche,0,Gavin Patrick Cromwell,6th,2 1/4 l,2,8-7,76,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Gloucester (IRE),P. A. Harnett,5,Donnacha Aidan O'Brien,5th,Head,2,9-10,93,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Ocean Baroque (IRE),C. Stone-Walsh,7,Daniel James Murphy,4th,Short Head,2,9-2p,85,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Staysound Susie (IRE),Andrew Joseph Slattery,0,A. Slattery,3rd,1 1/2 l,2,8-8,77,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Back Down Under (IRE),Wesley Joyce,7,Padraig Roche,2nd,3/4 l,2,8-7,76,True,86,4
Naas Racing Results | 14th October 2023 14:50,N/A,14:50,Soft To Heavy,5f 205y,Glamorously (IRE),N. M. Crosse,0,Mrs J. Harrington,1st,N/A,2,8-7b,76,True,86,4
Naas Racing Results | 14th October 2023 15:25,N/A,15:25,Soft To Heavy,5f 205y,Thunderbear (IRE),R. P. Whelan,0,Jack W. Davison,7th,Neck,3,9-12p,-,True,86,5
Naas Racing Results | 14th October 2023 15:25,N/A,15:25,Soft To Heavy,5f 205y,Swift Flight (FR),N. G. McCullagh,0,K. J. Condon,6th,3 l,5,9-7tp1,-,True,86,5
Naas Racing Results | 14th October 2023 15:25,N/A,15:25,Soft To Heavy,5f 205y,Tango Flare (IRE),L. T. McAteer,0,Patrick T. Foley,5th,1 1/2 l,4,9-7t,-,True,86,5
Naas Racing Results | 14th October 2023 15:25,N/A,15:25,Soft To Heavy,5f 205y,Coachello (FR),C. T. Keane,0,Gordon Elliott,4th,1 3/4 l,5,9-10,-,True,86,5
Naas Racing Results | 14th October 2023 15:25,N/A,15:25,Soft To Heavy,5f 205y,Big Gossey (IRE),R. Whearty,0,Charles O'Brien,3rd,Neck,6,9-7,-,True,86,5
Naas Racing Results | 14th October 2023 15:25,N/A,15:25,Soft To Heavy,5f 205y,Amazon Lady (IRE),William James Lee,0,W. McCreery,2nd,4 l,3,9-2,-,True,86,5
Naas Racing Results | 14th October 2023 15:25,N/A,15:25,Soft To Heavy,5f 205y,My Eyes Adore You (IRE),Andrew Joseph Slattery,0,J. A. Stack,1st,N/A,4,9-2,-,True,86,5
Naas Racing Results | 14th October 2023 15:25,N/A,15:25,Soft To Heavy,5f 205y,Thunderbear (IRE),R. P. Whelan,0,Jack W. Davison,7th,Neck,3,9-12p,-,True,86,5
Naas Racing Results | 14th October 2023 15:25,N/A,15:25,Soft To Heavy,5f 205y,Swift Flight (FR),N. G. McCullagh,0,K. J. Condon,6th,3 l,5,9-7tp1,-,True,86,5
Naas Racing Results | 14th October 2023 15:25,N/A,15:25,Soft To Heavy,5f 205y,Tango Flare (IRE),L. T. McAteer,0,Patrick T. Foley,5th,1 1/2 l,4,9-7t,-,True,86,5
Naas Racing Results | 14th October 2023 15:25,N/A,15:25,Soft To Heavy,5f 205y,Coachello (FR),C. T. Keane,0,Gordon Elliott,4th,1 3/4 l,5,9-10,-,True,86,5
Naas Racing Results | 14th October 2023 15:25,N/A,15:25,Soft To Heavy,5f 205y,Big Gossey (IRE),R. Whearty,0,Charles O'Brien,3rd,Neck,6,9-7,-,True,86,5
Naas Racing Results | 14th October 2023 15:25,N/A,15:25,Soft To Heavy,5f 205y,Amazon Lady (IRE),William James Lee,0,W. McCreery,2nd,4 l,3,9-2,-,True,86,5
Naas Racing Results | 14th October 2023 15:25,N/A,15:25,Soft To Heavy,5f 205y,My Eyes Adore You (IRE),Andrew Joseph Slattery,0,J. A. Stack,1st,N/A,4,9-2,-,True,86,5
Naas Racing Results | 14th October 2023 16:00,N/A,16:00,Soft To Heavy,5f 205y,Furnace Creek (IRE),D. B. McMonagle,0,Joseph Anthony Murray,10th,1 1/4 l,4,9-0,78,True,86,6
Naas Racing Results | 14th October 2023 16:00,N/A,16:00,Soft To Heavy,5f 205y,Tai Sing Yeh (IRE),J. M. Sheridan,0,James McAuley,9th,4 3/4 l,9,9-2tb,80,True,86,6
Naas Racing Results | 14th October 2023 16:00,N/A,16:00,Soft To Heavy,5f 205y,Tawaazon (IRE),J. A. Powell,5,James McAuley,8th,1/2 l,5,10-0tb,92,True,86,6
Naas Racing Results | 14th October 2023 16:00,N/A,16:00,Soft To Heavy,5f 205y,Gustavus Weston (IRE),G. F. Carroll,0,Joseph G. Murphy,7th,3/4 l,7,9-8h,86,True,86,6
Naas Racing Results | 14th October 2023 16:00,N/A,16:00,Soft To Heavy,5f 205y,Apache Outlaw (IRE),R. P. Whelan,0,Adrian McGuinness,6th,1/2 l,3,9-11,89,True,86,6
Naas Racing Results | 14th October 2023 16:00,N/A,16:00,Soft To Heavy,5f 205y,Blairmayne (IRE),Seamie Heffernan,0,Miss Natalia Lupini,5th,1 3/4 l,10,9-2,80,True,86,6
Naas Racing Results | 14th October 2023 16:00,N/A,16:00,Soft To Heavy,5f 205y,Volatile Analyst (USA),C. J. MacRedmond,5,Adrian McGuinness,4th,2 3/4 l,6,9-4p1,82,True,86,6
Naas Racing Results | 14th October 2023 16:00,N/A,16:00,Soft To Heavy,5f 205y,Heavenly Power (IRE),J. J. G. Ryan,5,Edward Lynam,3rd,1 1/4 l,5,9-12,90,True,86,6
Naas Racing Results | 14th October 2023 16:00,N/A,16:00,Soft To Heavy,5f 205y,Jon Riggens (IRE),Ben Martin Coen,0,Edward Lynam,2nd,4 3/4 l,5,9-13tp,91,True,86,6
Naas Racing Results | 14th October 2023 16:00,N/A,16:00,Soft To Heavy,5f 205y,Stag Night (IRE),William James Lee,0,W. McCreery,1st,N/A,5,9-0,78,True,86,6
Naas Racing Results | 14th October 2023 16:00,N/A,16:00,Soft To Heavy,5f 205y,Furnace Creek (IRE),D. B. McMonagle,0,Joseph Anthony Murray,10th,1 1/4 l,4,9-0,78,True,86,6
Naas Racing Results | 14th October 2023 16:00,N/A,16:00,Soft To Heavy,5f 205y,Tai Sing Yeh (IRE),J. M. Sheridan,0,James McAuley,9th,4 3/4 l,9,9-2tb,80,True,86,6
Naas Racing Results | 14th October 2023 16:00,N/A,16:00,Soft To Heavy,5f 205y,Tawaazon (IRE),J. A. Powell,5,James McAuley,8th,1/2 l,5,10-0tb,92,True,86,6
Naas Racing Results | 14th October 2023 16:00,N/A,16:00,Soft To Heavy,5f 205y,Gustavus Weston (IRE),G. F. Carroll,0,Joseph G. Murphy,7th,3/4 l,7,9-8h,86,True,86,6
Naas Racing Results | 14th October 2023 16:00,N/A,16:00,Soft To Heavy,5f 205y,Apache Outlaw (IRE),R. P. Whelan,0,Adrian McGuinness,6th,1/2 l,3,9-11,89,True,86,6
Naas Racing Results | 14th October 2023 16:00,N/A,16:00,Soft To Heavy,5f 205y,Blairmayne (IRE),Seamie Heffernan,0,Miss Natalia Lupini,5th,1 3/4 l,10,9-2,80,True,86,6
Naas Racing Results | 14th October 2023 16:00,N/A,16:00,Soft To Heavy,5f 205y,Volatile Analyst (USA),C. J. MacRedmond,5,Adrian McGuinness,4th,2 3/4 l,6,9-4p1,82,True,86,6
Naas Racing Results | 14th October 2023 16:00,N/A,16:00,Soft To Heavy,5f 205y,Heavenly Power (IRE),J. J. G. Ryan,5,Edward Lynam,3rd,1 1/4 l,5,9-12,90,True,86,6
