track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Kaydees Magic (IRE),R. C. Colgan,0,Ms Sheila Lavery,11th,5 1/2 l,3,9-3p1,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Saoirses Lulaby (IRE),G. M. Ryan,0,P. J. F. Murphy,10th,2 1/2 l,3,9-3t1,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Ruby Jules,C. D. Maxwell,0,Paul John Gilligan,9th,3/4 l,4,9-9t1,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Beauparc (IRE),William James Lee,0,Gerard Keane,8th,2 3/4 l,3,9-3,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Caulaincourt (IRE),G. F. Carroll,0,G. M. Lyons,7th,2 1/2 l,3,9-8,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Pier Pressure (FR),C. T. Keane,0,G. M. Lyons,6th,1 1/4 l,3,9-8,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Brave Thought (IRE),D. B. McMonagle,0,Luke Comer,5th,3 1/4 l,3,9-3,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Alexander John (IRE),Declan McDonogh,0,Luke Comer,4th,1 1/4 l,3,9-8,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Sectarius (IRE),Seamie Heffernan,0,P. J. F. Murphy,3rd,3/4 l,3,9-8,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Nelda (IRE),Shane Foley,0,Mrs J. Harrington,2nd,Neck,3,9-3,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Livio Milo (IRE),C. D. Hayes,0,D. K. Weld,1st,N/A,3,9-8p,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Kaydees Magic (IRE),R. C. Colgan,0,Ms Sheila Lavery,11th,5 1/2 l,3,9-3p1,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Saoirses Lulaby (IRE),G. M. Ryan,0,P. J. F. Murphy,10th,2 1/2 l,3,9-3t1,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Ruby Jules,C. D. Maxwell,0,Paul John Gilligan,9th,3/4 l,4,9-9t1,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Beauparc (IRE),William James Lee,0,Gerard Keane,8th,2 3/4 l,3,9-3,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Caulaincourt (IRE),G. F. Carroll,0,G. M. Lyons,7th,2 1/2 l,3,9-8,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Pier Pressure (FR),C. T. Keane,0,G. M. Lyons,6th,1 1/4 l,3,9-8,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Brave Thought (IRE),D. B. McMonagle,0,Luke Comer,5th,3 1/4 l,3,9-3,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Alexander John (IRE),Declan McDonogh,0,Luke Comer,4th,1 1/4 l,3,9-8,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Sectarius (IRE),Seamie Heffernan,0,P. J. F. Murphy,3rd,3/4 l,3,9-8,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Nelda (IRE),Shane Foley,0,Mrs J. Harrington,2nd,Neck,3,9-3,-,True,71,16
Galway Racing Results | 1st August 2023 19:15,N/A,19:15,Yielding To Soft,7f,Livio Milo (IRE),C. D. Hayes,0,D. K. Weld,1st,N/A,3,9-8p,-,True,71,16
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Gambe Veloci (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,16th,7 1/2 l,4,10-1p,79,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Invincible Larne (IRE),Cillian McConnell,7,John McConnell,15th,1 1/4 l,7,10-2,80,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Comfort Line (IRE),Ben Martin Coen,0,Adrian McGuinness,14th,2 1/2 l,6,9-12tp,76,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Pinar Del Rio,R. P. Whelan,0,Joe Conlon,13th,3/4 l,4,9-12p,76,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Mary Salome (IRE),L. T. McAteer,0,Andrew Kinirons,12th,2 3/4 l,7,10-1,79,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Eastern Wind,J. J. G. Ryan,7,T. G. McCourt,11th,Neck,4,10-1p,79,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Kodiac Prince (IRE),R. P. Cleary,0,Thomas Cleary,10th,Neck,6,9-13p,77,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Laughifuwant (IRE),C. T. Keane,0,Gerard Keane,9th,1/2 l,8,10-2,80,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Imposing Supreme (IRE),G. M. Ryan,0,T. Gibney,8th,1/2 l,7,9-12,76,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Plunkett,William James Lee,0,Paul W. Flynn,7th,1/2 l,6,9-11,75,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Sirjack Thomas (IRE),Adam Caffrey,5,Adrian McGuinness,6th,1/2 l,8,10-1,79,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Half Nutz (IRE),Shane Foley,0,Adrian McGuinness,5th,1/2 l,6,9-11,75,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Spanish Tenor (IRE),C. J. MacRedmond,5,Adrian McGuinness,4th,1 1/4 l,9,10-1,79,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Eloquent Arthur,J. M. Sheridan,0,Denis Hogan,3rd,1 3/4 l,5,9-10b,74,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Free Solo (IRE),J. Coen,5,P. J. F. Murphy,2nd,3 l,6,9-13tp,77,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Bells on Her Toes (IRE),C. Horgan,7,A. Slattery,1st,N/A,4,9-12v,76,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Gambe Veloci (IRE),D. B. McMonagle,0,Joseph Patrick O'Brien,16th,7 1/2 l,4,10-1p,79,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Invincible Larne (IRE),Cillian McConnell,7,John McConnell,15th,1 1/4 l,7,10-2,80,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Comfort Line (IRE),Ben Martin Coen,0,Adrian McGuinness,14th,2 1/2 l,6,9-12tp,76,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Pinar Del Rio,R. P. Whelan,0,Joe Conlon,13th,3/4 l,4,9-12p,76,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Mary Salome (IRE),L. T. McAteer,0,Andrew Kinirons,12th,2 3/4 l,7,10-1,79,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Eastern Wind,J. J. G. Ryan,7,T. G. McCourt,11th,Neck,4,10-1p,79,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Kodiac Prince (IRE),R. P. Cleary,0,Thomas Cleary,10th,Neck,6,9-13p,77,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Laughifuwant (IRE),C. T. Keane,0,Gerard Keane,9th,1/2 l,8,10-2,80,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Imposing Supreme (IRE),G. M. Ryan,0,T. Gibney,8th,1/2 l,7,9-12,76,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Plunkett,William James Lee,0,Paul W. Flynn,7th,1/2 l,6,9-11,75,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Sirjack Thomas (IRE),Adam Caffrey,5,Adrian McGuinness,6th,1/2 l,8,10-1,79,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Half Nutz (IRE),Shane Foley,0,Adrian McGuinness,5th,1/2 l,6,9-11,75,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Spanish Tenor (IRE),C. J. MacRedmond,5,Adrian McGuinness,4th,1 1/4 l,9,10-1,79,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Eloquent Arthur,J. M. Sheridan,0,Denis Hogan,3rd,1 3/4 l,5,9-10b,74,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Free Solo (IRE),J. Coen,5,P. J. F. Murphy,2nd,3 l,6,9-13tp,77,True,71,17
Galway Racing Results | 1st August 2023 19:50,N/A,19:50,Yielding To Soft,7f,Bells on Her Toes (IRE),C. Horgan,7,A. Slattery,1st,N/A,4,9-12v,76,True,71,17
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Albion Princess,Seamie Heffernan,0,Donal Kinsella,18th,32 l,4,10-0p,68,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,The Mpex Kid (IRE),Shane Foley,0,Ciaran Murphy,17th,Short Head,7,10-0,68,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Safari Quest (IRE),Ben Martin Coen,0,A. J. Martin,16th,1/2 l,5,10-2t,70,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Noble Crusade (USA),M. P. Sheehy,0,John McConnell,15th,3/4 l,5,9-13,67,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Highland King (IRE),Siobhan Rutledge,3,John McConnell,14th,1 l,4,10-0,68,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Little Jo,D. W. O'Connor,0,John McConnell,13th,1 1/2 l,9,10-0p,68,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Humanitarian (USA),G. M. Ryan,0,John Joseph Hanlon,12th,3/4 l,7,10-0t,68,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Gometra Ginty (IRE),K. S. McHugh,10,Denis Hogan,11th,Neck,7,9-13,67,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Mercurial (IRE),S. D. Bowen,7,John J. Nallen,10th,Neck,4,10-2,70,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Blackcastle Storm,Declan McDonogh,0,Matthew J. Smith,9th,2 l,6,10-1t,69,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Brown Eagle (IRE),R. C. Colgan,0,M. C. Grassick,8th,1 3/4 l,4,9-13p,67,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Coviglia (IRE),D. B. McMonagle,0,H. D. McGuigan,7th,1/2 l,9,10-0,68,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Golden Warrior (IRE),G. P. Halpin,0,T. J. O'Mara,6th,Short Head,4,9-13,67,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Dabana (IRE),J. Kearney,7,Mark Fahey,5th,1/2 l,4,10-1,69,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Starting Monday (IRE),William James Lee,0,Gillian Scott,4th,3 1/4 l,6,10-1p,69,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Khafaaq,C. Horgan,7,A. Slattery,3rd,3/4 l,8,10-1b,69,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Arch Enemy (IRE),C. Stone-Walsh,7,Patrick Magee,2nd,Neck,4,9-13,67,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Complete Fiction (IRE),C. T. Keane,0,Jarlath P. Fahey,1st,N/A,6,10-2p,70,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Albion Princess,Seamie Heffernan,0,Donal Kinsella,18th,32 l,4,10-0p,68,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,The Mpex Kid (IRE),Shane Foley,0,Ciaran Murphy,17th,Short Head,7,10-0,68,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Safari Quest (IRE),Ben Martin Coen,0,A. J. Martin,16th,1/2 l,5,10-2t,70,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Noble Crusade (USA),M. P. Sheehy,0,John McConnell,15th,3/4 l,5,9-13,67,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Highland King (IRE),Siobhan Rutledge,3,John McConnell,14th,1 l,4,10-0,68,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Little Jo,D. W. O'Connor,0,John McConnell,13th,1 1/2 l,9,10-0p,68,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Humanitarian (USA),G. M. Ryan,0,John Joseph Hanlon,12th,3/4 l,7,10-0t,68,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Gometra Ginty (IRE),K. S. McHugh,10,Denis Hogan,11th,Neck,7,9-13,67,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Mercurial (IRE),S. D. Bowen,7,John J. Nallen,10th,Neck,4,10-2,70,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Blackcastle Storm,Declan McDonogh,0,Matthew J. Smith,9th,2 l,6,10-1t,69,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Brown Eagle (IRE),R. C. Colgan,0,M. C. Grassick,8th,1 3/4 l,4,9-13p,67,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Coviglia (IRE),D. B. McMonagle,0,H. D. McGuigan,7th,1/2 l,9,10-0,68,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Golden Warrior (IRE),G. P. Halpin,0,T. J. O'Mara,6th,Short Head,4,9-13,67,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Dabana (IRE),J. Kearney,7,Mark Fahey,5th,1/2 l,4,10-1,69,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Starting Monday (IRE),William James Lee,0,Gillian Scott,4th,3 1/4 l,6,10-1p,69,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Khafaaq,C. Horgan,7,A. Slattery,3rd,3/4 l,8,10-1b,69,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Arch Enemy (IRE),C. Stone-Walsh,7,Patrick Magee,2nd,Neck,4,9-13,67,True,71,18
Galway Racing Results | 1st August 2023 20:20,N/A,20:20,Yielding To Soft,1m 123y,Complete Fiction (IRE),C. T. Keane,0,Jarlath P. Fahey,1st,N/A,6,10-2p,70,True,71,18
Galway Racing Results | 2nd August 2023 17:10,N/A,17:10,Yielding,1m 123y,Semblance Of Order (IRE),C. D. Hayes,0,Andrew Oliver,RR,N/A,3,9-9,85,True,71,19
Galway Racing Results | 2nd August 2023 17:10,N/A,17:10,Yielding,1m 123y,Duke Of Leggagh (IRE),G. F. Carroll,0,Michael Mulvany,5th,3/4 l,3,9-8,84,True,71,19
Galway Racing Results | 2nd August 2023 17:10,N/A,17:10,Yielding,1m 123y,Sea Gardens (FR),D. B. McMonagle,0,Joseph Patrick O'Brien,4th,1 l,3,9-7p1,83,True,71,19
Galway Racing Results | 2nd August 2023 17:10,N/A,17:10,Yielding,1m 123y,Genuine Article,C. Stone-Walsh,7,D. K. Weld,3rd,1 1/2 l,3,10-0,90,True,71,19
Galway Racing Results | 2nd August 2023 17:10,N/A,17:10,Yielding,1m 123y,Malbay Madness (IRE),S. D. Bowen,7,Emmet Mullins,2nd,Short Head,3,9-2,78,True,71,19
Galway Racing Results | 2nd August 2023 17:10,N/A,17:10,Yielding,1m 123y,Lan Cinnte (IRE),Shane Foley,0,Mrs J. Harrington,1st,N/A,3,9-10,86,True,71,19
Galway Racing Results | 2nd August 2023 17:10,N/A,17:10,Yielding,1m 123y,Semblance Of Order (IRE),C. D. Hayes,0,Andrew Oliver,RR,N/A,3,9-9,85,True,71,19
Galway Racing Results | 2nd August 2023 17:10,N/A,17:10,Yielding,1m 123y,Duke Of Leggagh (IRE),G. F. Carroll,0,Michael Mulvany,5th,3/4 l,3,9-8,84,True,71,19
Galway Racing Results | 2nd August 2023 17:10,N/A,17:10,Yielding,1m 123y,Sea Gardens (FR),D. B. McMonagle,0,Joseph Patrick O'Brien,4th,1 l,3,9-7p1,83,True,71,19
Galway Racing Results | 2nd August 2023 17:10,N/A,17:10,Yielding,1m 123y,Genuine Article,C. Stone-Walsh,7,D. K. Weld,3rd,1 1/2 l,3,10-0,90,True,71,19
Galway Racing Results | 2nd August 2023 17:10,N/A,17:10,Yielding,1m 123y,Malbay Madness (IRE),S. D. Bowen,7,Emmet Mullins,2nd,Short Head,3,9-2,78,True,71,19
Galway Racing Results | 2nd August 2023 17:10,N/A,17:10,Yielding,1m 123y,Lan Cinnte (IRE),Shane Foley,0,Mrs J. Harrington,1st,N/A,3,9-10,86,True,71,19
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Winter Fog (IRE),Mr P. W. Mullins,0,W. P. Mullins,NR,N/A,9,11-12,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Rushour Rains (IRE),Mr T. Power Roche,7,Paul Nolan,16th,13 l,3,11-2,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Palo Duro (IRE),Mr J. Costello,7,A. J. Martin,15th,9 1/2 l,3,11-2,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Tom The Plasterer (IRE),Mr M. Chaybyn,7,Luke Comer,14th,6 1/2 l,6,11-12b,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Killeemore Lad (IRE),Ms E. C. Costello,7,A. Slattery,13th,1/2 l,5,11-12,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Penny Jar (IRE),Mr J. Dunne,7,Patrick Downey,12th,3/4 l,7,11-12t,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Votre Homme (IRE),Mr Finian Maguire,0,D. K. Weld,11th,3/4 l,3,11-2,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Ninth Loch (IRE),Miss J. Townend,0,W. P. Mullins,10th,1 1/2 l,4,11-12,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Weather Alert (IRE),Mr Charlie Mullins,7,Thomas Mullins,9th,Neck,7,11-12,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Dubeyeracingcraic (IRE),Mr R. W. Barron,7,Charles Byrnes,8th,Short Head,4,11-7,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Plains Indian (IRE),Mr A. P. Ryan,7,A. Slattery,7th,1 1/2 l,7,11-12,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Young Lucy (IRE),Mr B. M. Coonan,7,A. J. Martin,6th,Short Head,4,11-7,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,The Last Mardi (IRE),Mr H. C. Swan,5,Gordon Elliott,5th,3 l,6,11-12,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,The Banger Doyle (IRE),Mr B. O'Neill,0,John Queally,4th,1 1/2 l,7,11-12,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,This Songisforyou (USA),Mr D. O'Connor,0,Emmet Mullins,3rd,1 l,5,11-12,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Up and Under (FR),Mr T. Hamilton,0,Joseph Patrick O'Brien,2nd,1 3/4 l,3,11-2,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Minella Mate (IRE),Billy Gleeson,5,John J. Nallen,1st,N/A,5,11-12,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Winter Fog (IRE),Mr P. W. Mullins,0,W. P. Mullins,NR,N/A,9,11-12,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Rushour Rains (IRE),Mr T. Power Roche,7,Paul Nolan,16th,13 l,3,11-2,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Palo Duro (IRE),Mr J. Costello,7,A. J. Martin,15th,9 1/2 l,3,11-2,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Tom The Plasterer (IRE),Mr M. Chaybyn,7,Luke Comer,14th,6 1/2 l,6,11-12b,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Killeemore Lad (IRE),Ms E. C. Costello,7,A. Slattery,13th,1/2 l,5,11-12,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Penny Jar (IRE),Mr J. Dunne,7,Patrick Downey,12th,3/4 l,7,11-12t,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Votre Homme (IRE),Mr Finian Maguire,0,D. K. Weld,11th,3/4 l,3,11-2,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Ninth Loch (IRE),Miss J. Townend,0,W. P. Mullins,10th,1 1/2 l,4,11-12,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Weather Alert (IRE),Mr Charlie Mullins,7,Thomas Mullins,9th,Neck,7,11-12,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Dubeyeracingcraic (IRE),Mr R. W. Barron,7,Charles Byrnes,8th,Short Head,4,11-7,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Plains Indian (IRE),Mr A. P. Ryan,7,A. Slattery,7th,1 1/2 l,7,11-12,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Young Lucy (IRE),Mr B. M. Coonan,7,A. J. Martin,6th,Short Head,4,11-7,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,The Last Mardi (IRE),Mr H. C. Swan,5,Gordon Elliott,5th,3 l,6,11-12,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,The Banger Doyle (IRE),Mr B. O'Neill,0,John Queally,4th,1 1/2 l,7,11-12,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,This Songisforyou (USA),Mr D. O'Connor,0,Emmet Mullins,3rd,1 l,5,11-12,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Up and Under (FR),Mr T. Hamilton,0,Joseph Patrick O'Brien,2nd,1 3/4 l,3,11-2,-,True,71,20
Galway Racing Results | 2nd August 2023 17:40,N/A,17:40,Yielding  (Turf),1m 4f 43y,Minella Mate (IRE),Billy Gleeson,5,John J. Nallen,1st,N/A,5,11-12,-,True,71,20
Galway Racing Results | 2nd August 2023 18:10,N/A,18:10,Yielding,2m 110y,Immelmann (USA),Rachael Blackmore,0,W. P. Mullins,19th,7 l,5,10-0,78,True,71,21
Galway Racing Results | 2nd August 2023 18:10,N/A,18:10,Yielding,2m 110y,Dark Voyager (IRE),L. T. McAteer,0,Anthony McCann,18th,15 l,6,9-10,74,True,71,21
Galway Racing Results | 2nd August 2023 18:10,N/A,18:10,Yielding,2m 110y,Queen Of Seduction (IRE),Shane Foley,0,Mrs J. Harrington,17th,19 l,4,9-12p,76,True,71,21
Galway Racing Results | 2nd August 2023 18:10,N/A,18:10,Yielding,2m 110y,Chase The Dollar,L. F. Roche,0,David Loughnane,16th,2 3/4 l,5,9-13,77,True,71,21
Galway Racing Results | 2nd August 2023 18:10,N/A,18:10,Yielding,2m 110y,No Thanks,J. Coen,5,Matthew J. Smith,15th,9 l,7,9-10h,74,True,71,21
