track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Grann's Boy (IRE),Non Runner,5,H Rogers,NR,N/A,4,11-2,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Clonshire River (IRE),J J Slevin,0,E & P Harty,NR,N/A,7,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Evies Court (IRE),J Coen,5,N C Kelly,UR,N/A,4,10-1,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,On Your Way (IRE),P Byrnes,5,C Byrnes,UR,N/A,6,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Glentaisie (IRE),R Deegan,0,C A McBratney,PU,N/A,6,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,En Or (FR),P J Carberry,0,A J Martin,PU,N/A,6,11-12t,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Raynbo (IRE),J J Slevin,0,S R B Crawford,16th,71 l,5,10-11,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Helicon (IRE),Mr J P Sutton,7,D A McLoughlin,15th,Nose,6,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Shahbaz (IRE),S D Torrens,0,G P Cromwell,14th,35 l,4,11-2,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Kalsman (IRE),Thomas Reilly,7,L Lennon,13th,2 3/4 l,6,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Fairytale New York (IRE),C D Smithers,7,A J Martin,12th,3 3/4 l,5,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Deep Sigh (FR),B W Harvey,0,J C McConnell,11th,4 1/2 l,6,11-5t,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Georgia Celena (IRE),D A Kidd,7,J C McConnell,10th,Head,6,10-11,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Aurea Fortuna (IRE),D King,0,A J Martin,9th,1/2 l,5,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Club Manager,C D Maxwell,0,G P Cromwell,8th,7 l,4,11-2,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Icare Desbois (FR),P Townend,0,W P Mullins,7th,13 l,6,11-12,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Laurie Blue (IRE),J C Gainford,0,E D Delany,6th,2 1/4 l,6,10-11,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Ayiko,D A Jacob,0,S R B Crawford,5th,1/2 l,5,11-12t1,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Lightkeeper (IRE),J W Kennedy,0,G Elliott,4th,1 1/2 l,6,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Doctor Glide (FR),K M Donoghue,0,Tom Dreaper,3rd,6 1/2 l,6,11-4t1,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Addragoole (IRE),C Stone-Walsh,5,G P Cromwell,2nd,1 3/4 l,5,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Faulty,Sam Ewing,0,N Meade,1st,N/A,7,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Grann's Boy (IRE),Non Runner,5,H Rogers,NR,N/A,4,11-2,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Clonshire River (IRE),J J Slevin,0,E & P Harty,NR,N/A,7,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Evies Court (IRE),J Coen,5,N C Kelly,UR,N/A,4,10-1,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,On Your Way (IRE),P Byrnes,5,C Byrnes,UR,N/A,6,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Glentaisie (IRE),R Deegan,0,C A McBratney,PU,N/A,6,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,En Or (FR),P J Carberry,0,A J Martin,PU,N/A,6,11-12t,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Raynbo (IRE),J J Slevin,0,S R B Crawford,16th,71 l,5,10-11,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Helicon (IRE),Mr J P Sutton,7,D A McLoughlin,15th,Nose,6,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Shahbaz (IRE),S D Torrens,0,G P Cromwell,14th,35 l,4,11-2,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Kalsman (IRE),Thomas Reilly,7,L Lennon,13th,2 3/4 l,6,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Fairytale New York (IRE),C D Smithers,7,A J Martin,12th,3 3/4 l,5,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Deep Sigh (FR),B W Harvey,0,J C McConnell,11th,4 1/2 l,6,11-5t,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Georgia Celena (IRE),D A Kidd,7,J C McConnell,10th,Head,6,10-11,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Aurea Fortuna (IRE),D King,0,A J Martin,9th,1/2 l,5,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Club Manager,C D Maxwell,0,G P Cromwell,8th,7 l,4,11-2,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Icare Desbois (FR),P Townend,0,W P Mullins,7th,13 l,6,11-12,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Laurie Blue (IRE),J C Gainford,0,E D Delany,6th,2 1/4 l,6,10-11,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Ayiko,D A Jacob,0,S R B Crawford,5th,1/2 l,5,11-12t1,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Lightkeeper (IRE),J W Kennedy,0,G Elliott,4th,1 1/2 l,6,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Doctor Glide (FR),K M Donoghue,0,Tom Dreaper,3rd,6 1/2 l,6,11-4t1,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Addragoole (IRE),C Stone-Walsh,5,G P Cromwell,2nd,1 3/4 l,5,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:07,N/A,13:07,Soft (Yielding To Soft In Places),2m 190y,Faulty,Sam Ewing,0,N Meade,1st,N/A,7,11-4,-,True,105,1
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Starman (FR),J P O'Sullivan,3,A McCann,NR,N/A,8,11-2h,113,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Ah Remy Martin (IRE),D King,0,T Gibney,NR,N/A,6,10-10,107,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,San Martino (IRE),Aileen O'Sullivan,7,S Millar,UR,N/A,6,10-11,108,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Nathan Wells,J C Gainford,0,G Elliott,UR,N/A,5,10-12,109,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,West Away (IRE),B W Harvey,0,J C McConnell,UR,N/A,6,11-1t,112,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Must Go Now (IRE),P T Enright,0,E Cawley,F,N/A,7,10-3,100,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Barry Lyndon (IRE),C D Maxwell,0,D A McLoughlin,F,N/A,6,11-12,123,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Redstone (IRE),K M Donoghue,0,G P Cromwell,F,N/A,6,12-0,125,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Cave Court (IRE),S D Torrens,0,N C Kelly,BD,N/A,7,10-12,109,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Dinoland (FR),D A Kidd,7,J C McConnell,7th,16 l,6,10-2,99,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Striking (FR),J W Kennedy,0,Mrs J Harrington,6th,1/2 l,6,11-10,121,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Rowdy Romeo (IRE),R Deegan,0,Caroline Mccaldin,5th,6 1/2 l,7,11-6,117,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Paddy's Milestone (IRE),J J Slevin,0,S R B Crawford,4th,3 1/4 l,5,10-5,102,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Sportinthepark (IRE),Sam Ewing,0,N Meade,3rd,3 3/4 l,5,11-10,121,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Billy Lee Swagger (IRE),R P Treacy,0,P J Rothwell,2nd,3/4 l,5,10-4,101,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Mousey Brown (IRE),M J Molloy,7,D A McLoughlin,1st,N/A,7,11-3t,114,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Starman (FR),J P O'Sullivan,3,A McCann,NR,N/A,8,11-2h,113,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Ah Remy Martin (IRE),D King,0,T Gibney,NR,N/A,6,10-10,107,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,San Martino (IRE),Aileen O'Sullivan,7,S Millar,UR,N/A,6,10-11,108,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Nathan Wells,J C Gainford,0,G Elliott,UR,N/A,5,10-12,109,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,West Away (IRE),B W Harvey,0,J C McConnell,UR,N/A,6,11-1t,112,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Must Go Now (IRE),P T Enright,0,E Cawley,F,N/A,7,10-3,100,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Barry Lyndon (IRE),C D Maxwell,0,D A McLoughlin,F,N/A,6,11-12,123,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Redstone (IRE),K M Donoghue,0,G P Cromwell,F,N/A,6,12-0,125,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Cave Court (IRE),S D Torrens,0,N C Kelly,BD,N/A,7,10-12,109,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Dinoland (FR),D A Kidd,7,J C McConnell,7th,16 l,6,10-2,99,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Striking (FR),J W Kennedy,0,Mrs J Harrington,6th,1/2 l,6,11-10,121,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Rowdy Romeo (IRE),R Deegan,0,Caroline Mccaldin,5th,6 1/2 l,7,11-6,117,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Paddy's Milestone (IRE),J J Slevin,0,S R B Crawford,4th,3 1/4 l,5,10-5,102,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Sportinthepark (IRE),Sam Ewing,0,N Meade,3rd,3 3/4 l,5,11-10,121,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Billy Lee Swagger (IRE),R P Treacy,0,P J Rothwell,2nd,3/4 l,5,10-4,101,True,105,2
Down Royal Racing Results | 17th March 2024 13:42,N/A,13:42,Soft (Yielding To Soft In Places),2m 4f,Mousey Brown (IRE),M J Molloy,7,D A McLoughlin,1st,N/A,7,11-3t,114,True,105,2
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Lady Iseult (IRE),P M O'Brien,7,D A McLoughlin,NR,N/A,9,11-11p,92,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Flicker Of Hope (FR),A P Kelly,5,M Fahey,NR,N/A,5,11-7,88,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Party Pack (IRE),R Deegan,0,J P Flavin,NR,N/A,6,11-10,91,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Essential Part (IRE),Mr H E Sexton,7,A Sexton,NR,N/A,6,10-13,80,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Portnacoo (IRE),L A McKenna,5,Jamie Sloan,NR,N/A,6,11-5,86,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Subset (IRE),S F O'Keeffe,0,Peter Maher,PU,N/A,10,10-13,80,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Father Jed (IRE),P K Donovan,5,J P Ryan,PU,N/A,13,10-13,80,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Fairly Bold (IRE),J P O'Sullivan,3,P J Rothwell,10th,59 l,7,11-2,83,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Joeswayornoway (IRE),Shane Fenelon,7,E Sheehy,9th,6 l,8,11-8,89,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Ferrum,Sam Ewing,0,G A Kingston,8th,5 1/2 l,8,10-13p,80,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Maimie's Magic (IRE),Mr S Connor,7,S R B Crawford,7th,3/4 l,7,11-12t,93,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,College Causeway (IRE),B W Harvey,0,J C McConnell,6th,1/2 l,6,11-7,88,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Flashthelights (IRE),S D Torrens,0,N C Kelly,5th,2 3/4 l,8,10-13t,80,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,The Niffler (IRE),J W Kennedy,0,E O'Connell,4th,6 1/2 l,7,11-13ht,94,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Silent Flight (IRE),P T Enright,0,P Byrne,3rd,11 l,8,11-13,94,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Rebel Cowgirl (IRE),J J Slevin,0,M A Cahill,2nd,1 1/4 l,5,11-4,85,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Perfect Pupil (IRE),Anna McGuinness,7,S McConville,1st,N/A,6,11-4,85,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Lady Iseult (IRE),P M O'Brien,7,D A McLoughlin,NR,N/A,9,11-11p,92,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Flicker Of Hope (FR),A P Kelly,5,M Fahey,NR,N/A,5,11-7,88,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Party Pack (IRE),R Deegan,0,J P Flavin,NR,N/A,6,11-10,91,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Essential Part (IRE),Mr H E Sexton,7,A Sexton,NR,N/A,6,10-13,80,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Portnacoo (IRE),L A McKenna,5,Jamie Sloan,NR,N/A,6,11-5,86,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Subset (IRE),S F O'Keeffe,0,Peter Maher,PU,N/A,10,10-13,80,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Father Jed (IRE),P K Donovan,5,J P Ryan,PU,N/A,13,10-13,80,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Fairly Bold (IRE),J P O'Sullivan,3,P J Rothwell,10th,59 l,7,11-2,83,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Joeswayornoway (IRE),Shane Fenelon,7,E Sheehy,9th,6 l,8,11-8,89,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Ferrum,Sam Ewing,0,G A Kingston,8th,5 1/2 l,8,10-13p,80,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Maimie's Magic (IRE),Mr S Connor,7,S R B Crawford,7th,3/4 l,7,11-12t,93,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,College Causeway (IRE),B W Harvey,0,J C McConnell,6th,1/2 l,6,11-7,88,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Flashthelights (IRE),S D Torrens,0,N C Kelly,5th,2 3/4 l,8,10-13t,80,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,The Niffler (IRE),J W Kennedy,0,E O'Connell,4th,6 1/2 l,7,11-13ht,94,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Silent Flight (IRE),P T Enright,0,P Byrne,3rd,11 l,8,11-13,94,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Rebel Cowgirl (IRE),J J Slevin,0,M A Cahill,2nd,1 1/4 l,5,11-4,85,True,105,3
Down Royal Racing Results | 17th March 2024 14:17,N/A,14:17,Soft,2m 4f,Perfect Pupil (IRE),Anna McGuinness,7,S McConville,1st,N/A,6,11-4,85,True,105,3
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Kiss My Lucky Egg,Mr H E Sexton,7,A Sexton,NR,N/A,6,10-13,80,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Makaela's Choice (IRE),J B Foley,0,T Mullins,NR,N/A,8,12-0h,95,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Angelofthemorning (IRE),N T Prendergast,7,D Deacon,NR,N/A,7,11-4t1,85,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Pralognan (FR),P J Carberry,0,A J Martin,F,N/A,5,11-12t,93,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Mont Beuvray (IRE),D King,0,J P Ryan,13th,46 l,6,11-11,92,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Golden Nugget (IRE),J W Kennedy,0,G Elliott,12th,29 l,5,12-0,95,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Land Jet (IRE),C Stone-Walsh,5,Peter Maher,11th,1/2 l,8,11-4,85,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Wild As Fire (IRE),P T Enright,0,E Cawley,10th,7 1/2 l,8,11-0t,81,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Perfect Arch (IRE),Anna McGuinness,7,S McConville,9th,Head,7,10-13p,80,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Paddy Elvis (IRE),J J Slevin,0,S R B Crawford,8th,2 1/4 l,5,11-6,87,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Backinabit (IRE),J P O'Sullivan,3,J P Dempsey,7th,4 3/4 l,5,11-7,88,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Ballycairn (IRE),R Deegan,0,Caroline Mccaldin,6th,4 l,9,11-9,90,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Stockdale (IRE),Mr D G Lavery,0,Patrick Turley,5th,4 3/4 l,8,11-10,91,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Shes Some Doll (IRE),O R Brown,5,T Gibney,4th,2 3/4 l,9,12-0t,95,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Without Exception (IRE),S D Torrens,0,P J Rothwell,3rd,13 l,5,11-1,82,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Tankardstown Diva (IRE),K M Donoghue,0,Ian Donoghue,2nd,Nose,5,11-5,86,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Jacenry (FR),B W Harvey,0,D Harvey,1st,N/A,5,11-6,87,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Kiss My Lucky Egg,Mr H E Sexton,7,A Sexton,NR,N/A,6,10-13,80,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Makaela's Choice (IRE),J B Foley,0,T Mullins,NR,N/A,8,12-0h,95,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Angelofthemorning (IRE),N T Prendergast,7,D Deacon,NR,N/A,7,11-4t1,85,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Pralognan (FR),P J Carberry,0,A J Martin,F,N/A,5,11-12t,93,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Mont Beuvray (IRE),D King,0,J P Ryan,13th,46 l,6,11-11,92,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Golden Nugget (IRE),J W Kennedy,0,G Elliott,12th,29 l,5,12-0,95,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Land Jet (IRE),C Stone-Walsh,5,Peter Maher,11th,1/2 l,8,11-4,85,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Wild As Fire (IRE),P T Enright,0,E Cawley,10th,7 1/2 l,8,11-0t,81,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Perfect Arch (IRE),Anna McGuinness,7,S McConville,9th,Head,7,10-13p,80,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Paddy Elvis (IRE),J J Slevin,0,S R B Crawford,8th,2 1/4 l,5,11-6,87,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Backinabit (IRE),J P O'Sullivan,3,J P Dempsey,7th,4 3/4 l,5,11-7,88,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Ballycairn (IRE),R Deegan,0,Caroline Mccaldin,6th,4 l,9,11-9,90,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Stockdale (IRE),Mr D G Lavery,0,Patrick Turley,5th,4 3/4 l,8,11-10,91,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Shes Some Doll (IRE),O R Brown,5,T Gibney,4th,2 3/4 l,9,12-0t,95,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Without Exception (IRE),S D Torrens,0,P J Rothwell,3rd,13 l,5,11-1,82,True,105,4
Down Royal Racing Results | 17th March 2024 14:52,N/A,14:52,Soft,2m 4f,Tankardstown Diva (IRE),K M Donoghue,0,Ian Donoghue,2nd,Nose,5,11-5,86,True,105,4
