track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Ms Messi (IRE),R Whearty,0,P W Flynn,17th,2 3/4 l,4,9-7,63,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Paint The Moon,J Cleary,2,K H Clarke,16th,4 3/4 l,4,8-13,55,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Barrys Rock (IRE),M W Hassett,0,A Mullins,15th,3 1/2 l,10,8-7v,46,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Rockbury Lad,S Coen,7,M O'Callaghan,14th,5 l,6,9-11tp1,67,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Step To Somewhere,J Kearney,0,D K Weld,13th,3/4 l,4,9-5b,61,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Nita (GER),Sadhbh Tormey,7,D A McLoughlin,12th,4 1/2 l,5,10-3,73,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Ranko Express (IRE),A Browne-Souza,7,A Slattery,11th,1/2 l,5,9-6,62,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Breathe Again (IRE),J J G Ryan,0,S Lavery,10th,3/4 l,4,9-9,65,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Takeachancejimmy (IRE),S A Wallace,7,N Slevin,9th,3/4 l,11,9-2,58,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Mayo For Sam (IRE),R Donaghue-Leahy,7,M Flannery,8th,Neck,5,8-9p,51,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Pandion Power (IRE),C Geerdharry,7,J P Murtagh,7th,2 l,4,9-11,67,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Forlio,W Joyce,0,P W Flynn,6th,3/4 l,6,9-4tp,60,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Loingseoir (IRE),Nicola Burns,7,M C Grassick,5th,1 1/2 l,9,9-13t,69,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Migdam (FR),J A Powell,0,A McGuinness,4th,1/2 l,6,9-13v,69,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Alto Sax (IRE),K G Kennedy,2,Peter Fahey,3rd,6 l,4,9-7b,63,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Si Senior (IRE),J Pietropaolo,7,P Magee,2nd,2 1/4 l,4,9-3ht,59,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Solomon Coop (IRE),Orla Tynan,7,M J Tynan,1st,N/A,4,9-10,66,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Ms Messi (IRE),R Whearty,0,P W Flynn,17th,2 3/4 l,4,9-7,63,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Paint The Moon,J Cleary,2,K H Clarke,16th,4 3/4 l,4,8-13,55,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Barrys Rock (IRE),M W Hassett,0,A Mullins,15th,3 1/2 l,10,8-7v,46,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Rockbury Lad,S Coen,7,M O'Callaghan,14th,5 l,6,9-11tp1,67,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Step To Somewhere,J Kearney,0,D K Weld,13th,3/4 l,4,9-5b,61,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Nita (GER),Sadhbh Tormey,7,D A McLoughlin,12th,4 1/2 l,5,10-3,73,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Ranko Express (IRE),A Browne-Souza,7,A Slattery,11th,1/2 l,5,9-6,62,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Breathe Again (IRE),J J G Ryan,0,S Lavery,10th,3/4 l,4,9-9,65,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Takeachancejimmy (IRE),S A Wallace,7,N Slevin,9th,3/4 l,11,9-2,58,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Mayo For Sam (IRE),R Donaghue-Leahy,7,M Flannery,8th,Neck,5,8-9p,51,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Pandion Power (IRE),C Geerdharry,7,J P Murtagh,7th,2 l,4,9-11,67,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Forlio,W Joyce,0,P W Flynn,6th,3/4 l,6,9-4tp,60,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Loingseoir (IRE),Nicola Burns,7,M C Grassick,5th,1 1/2 l,9,9-13t,69,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Migdam (FR),J A Powell,0,A McGuinness,4th,1/2 l,6,9-13v,69,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Alto Sax (IRE),K G Kennedy,2,Peter Fahey,3rd,6 l,4,9-7b,63,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Si Senior (IRE),J Pietropaolo,7,P Magee,2nd,2 1/4 l,4,9-3ht,59,True,178,1
Fairyhouse Racing Results | 29th May 2025 19:57,N/A,19:57,Yielding,1m 2f,Solomon Coop (IRE),Orla Tynan,7,M J Tynan,1st,N/A,4,9-10,66,True,178,1
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,The Marty Party (IRE),H J Horgan,5,J P O'Brien,PU,N/A,3,9-9,77,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Stiorra (IRE),J S Dalton,10,A Slattery,12th,4 1/2 l,3,8-9,63,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Sugar Club (IRE),C T Keane,0,N Meade,11th,4 1/4 l,3,9-1b,69,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Aeon's Aegis (USA),D McMonagle,0,J P O'Brien,10th,3/4 l,3,9-7b1,75,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Lily Parr,R C Colgan,0,S Lavery,9th,1 l,3,9-4,72,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Pallatine Hills (IRE),W J Lee,0,E & P Harty,8th,1/2 l,3,9-4tb,72,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Berto Ramirez,L T McAteer,0,D Marnane,7th,Neck,3,9-7,75,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Bridezilla (IRE),A J Slattery,0,A Slattery,6th,1 1/2 l,3,8-9,63,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Winston Junior (IRE),K G Kennedy,5,Mrs J Harrington,5th,1 3/4 l,3,9-8,76,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Flying Fortress,G F Carroll,0,G P Cromwell,4th,3/4 l,3,9-5,73,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Paddydaddy (IRE),W M Lordan,0,A Oliver,3rd,1/2 l,3,8-7t,61,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Edergole's Angel (IRE),N M Crosse,0,W McCreery,2nd,4 3/4 l,3,8-10,64,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Fantazy Man (IRE),B M Coen,0,J P Murtagh,1st,N/A,3,9-13p,81,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,The Marty Party (IRE),H J Horgan,5,J P O'Brien,PU,N/A,3,9-9,77,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Stiorra (IRE),J S Dalton,10,A Slattery,12th,4 1/2 l,3,8-9,63,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Sugar Club (IRE),C T Keane,0,N Meade,11th,4 1/4 l,3,9-1b,69,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Aeon's Aegis (USA),D McMonagle,0,J P O'Brien,10th,3/4 l,3,9-7b1,75,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Lily Parr,R C Colgan,0,S Lavery,9th,1 l,3,9-4,72,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Pallatine Hills (IRE),W J Lee,0,E & P Harty,8th,1/2 l,3,9-4tb,72,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Berto Ramirez,L T McAteer,0,D Marnane,7th,Neck,3,9-7,75,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Bridezilla (IRE),A J Slattery,0,A Slattery,6th,1 1/2 l,3,8-9,63,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Winston Junior (IRE),K G Kennedy,5,Mrs J Harrington,5th,1 3/4 l,3,9-8,76,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Flying Fortress,G F Carroll,0,G P Cromwell,4th,3/4 l,3,9-5,73,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Paddydaddy (IRE),W M Lordan,0,A Oliver,3rd,1/2 l,3,8-7t,61,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Edergole's Angel (IRE),N M Crosse,0,W McCreery,2nd,4 3/4 l,3,8-10,64,True,178,2
Fairyhouse Racing Results | 29th May 2025 20:30,N/A,20:30,Yielding,1m 2f,Fantazy Man (IRE),B M Coen,0,J P Murtagh,1st,N/A,3,9-13p,81,True,178,2
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,Tilly's Company (IRE),G F Carroll,0,J G Coogan,11th,7 l,3,9-0b,58,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,Taudeni (IRE),J A Heffernan,0,Louise G Lyons,10th,Neck,3,9-1,59,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,Tomarlo,L T McAteer,0,D Marnane,9th,2 l,3,9-6t,64,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,Far At Sea (IRE),M W Hassett,5,P J F Murphy,8th,1/2 l,3,8-10,54,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,Tino Pai (IRE),R C Colgan,0,S Lavery,7th,1/2 l,3,9-4,62,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,Mini Mai (IRE),C T Keane,0,G M Lyons,6th,1 1/4 l,3,9-8t,66,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,Therussiancomposer,W Joyce,3,Ciaran Murphy,5th,2 1/2 l,3,8-7,44,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,Asdana (IRE),W J Lee,0,W McCreery,4th,1 l,3,9-12v,70,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,El Fontenaro (IRE),D McMonagle,0,J P Fahey,3rd,Short Head,3,9-2,60,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,Billie Be Quick (IRE),S Foley,0,Mrs J Harrington,2nd,Neck,3,9-11p,69,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,Arctic Steps (IRE),R P Cleary,0,Miss Jennifer Anne Lynch,1st,N/A,3,9-3,61,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,Tilly's Company (IRE),G F Carroll,0,J G Coogan,11th,7 l,3,9-0b,58,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,Taudeni (IRE),J A Heffernan,0,Louise G Lyons,10th,Neck,3,9-1,59,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,Tomarlo,L T McAteer,0,D Marnane,9th,2 l,3,9-6t,64,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,Far At Sea (IRE),M W Hassett,5,P J F Murphy,8th,1/2 l,3,8-10,54,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,Tino Pai (IRE),R C Colgan,0,S Lavery,7th,1/2 l,3,9-4,62,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,Mini Mai (IRE),C T Keane,0,G M Lyons,6th,1 1/4 l,3,9-8t,66,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,Therussiancomposer,W Joyce,3,Ciaran Murphy,5th,2 1/2 l,3,8-7,44,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,Asdana (IRE),W J Lee,0,W McCreery,4th,1 l,3,9-12v,70,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,El Fontenaro (IRE),D McMonagle,0,J P Fahey,3rd,Short Head,3,9-2,60,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,Billie Be Quick (IRE),S Foley,0,Mrs J Harrington,2nd,Neck,3,9-11p,69,True,178,3
Down Royal Racing Results | 30th May 2025 16:55,N/A,16:55,Good,5f,Arctic Steps (IRE),R P Cleary,0,Miss Jennifer Anne Lynch,1st,N/A,3,9-3,61,True,178,3
Down Royal Racing Results | 30th May 2025 17:25,N/A,17:25,Good,7f,Senior Situation,L T McAteer,0,M G Quinn,9th,1 1/2 l,3,9-3,-,True,178,4
Down Royal Racing Results | 30th May 2025 17:25,N/A,17:25,Good,7f,Al Rojo Vivo (IRE),R P Cleary,0,Miss Jennifer Anne Lynch,8th,1 3/4 l,3,9-3,-,True,178,4
Down Royal Racing Results | 30th May 2025 17:25,N/A,17:25,Good,7f,Western Dreamer (IRE),R C Colgan,0,C Timmons,7th,2 l,3,9-3p1,-,True,178,4
Down Royal Racing Results | 30th May 2025 17:25,N/A,17:25,Good,7f,Givehertilxmas (IRE),J A Heffernan,0,G Keane,6th,3 1/4 l,3,9-3,-,True,178,4
Down Royal Racing Results | 30th May 2025 17:25,N/A,17:25,Good,7f,Senti Qua (IRE),S Foley,0,K J Condon,5th,1 l,3,9-3,-,True,178,4
Down Royal Racing Results | 30th May 2025 17:25,N/A,17:25,Good,7f,Vanderbilt House (IRE),B M Coen,0,J P Murtagh,4th,2 1/4 l,3,9-3p,74,True,178,4
Down Royal Racing Results | 30th May 2025 17:25,N/A,17:25,Good,7f,Naoi (IRE),W J Lee,0,P Twomey,3rd,1 3/4 l,3,9-3,-,True,178,4
Down Royal Racing Results | 30th May 2025 17:25,N/A,17:25,Good,7f,Lil' Angel (IRE),C T Keane,0,G M Lyons,2nd,Neck,3,9-3,-,True,178,4
Down Royal Racing Results | 30th May 2025 17:25,N/A,17:25,Good,7f,Rajala (IRE),C D Hayes,0,D K Weld,1st,N/A,3,9-3,-,True,178,4
Down Royal Racing Results | 30th May 2025 17:25,N/A,17:25,Good,7f,Senior Situation,L T McAteer,0,M G Quinn,9th,1 1/2 l,3,9-3,-,True,178,4
Down Royal Racing Results | 30th May 2025 17:25,N/A,17:25,Good,7f,Al Rojo Vivo (IRE),R P Cleary,0,Miss Jennifer Anne Lynch,8th,1 3/4 l,3,9-3,-,True,178,4
Down Royal Racing Results | 30th May 2025 17:25,N/A,17:25,Good,7f,Western Dreamer (IRE),R C Colgan,0,C Timmons,7th,2 l,3,9-3p1,-,True,178,4
Down Royal Racing Results | 30th May 2025 17:25,N/A,17:25,Good,7f,Givehertilxmas (IRE),J A Heffernan,0,G Keane,6th,3 1/4 l,3,9-3,-,True,178,4
Down Royal Racing Results | 30th May 2025 17:25,N/A,17:25,Good,7f,Senti Qua (IRE),S Foley,0,K J Condon,5th,1 l,3,9-3,-,True,178,4
Down Royal Racing Results | 30th May 2025 17:25,N/A,17:25,Good,7f,Vanderbilt House (IRE),B M Coen,0,J P Murtagh,4th,2 1/4 l,3,9-3p,74,True,178,4
Down Royal Racing Results | 30th May 2025 17:25,N/A,17:25,Good,7f,Naoi (IRE),W J Lee,0,P Twomey,3rd,1 3/4 l,3,9-3,-,True,178,4
Down Royal Racing Results | 30th May 2025 17:25,N/A,17:25,Good,7f,Lil' Angel (IRE),C T Keane,0,G M Lyons,2nd,Neck,3,9-3,-,True,178,4
Down Royal Racing Results | 30th May 2025 17:25,N/A,17:25,Good,7f,Rajala (IRE),C D Hayes,0,D K Weld,1st,N/A,3,9-3,-,True,178,4
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Colugo (IRE),L T McAteer,0,J M Barrett,14th,4 3/4 l,4,9-12,68,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,One More Wave,W J Lee,0,N C Kelly,13th,4 1/2 l,5,10-2,72,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,La La Lucrative (IRE),R C Colgan,0,M J Smith,12th,7 l,4,9-7h,63,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Cornahilt Soldier (IRE),W Joyce,3,K Smith,11th,1 3/4 l,4,9-5t,61,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Clonmacash,S Coen,7,A McGuinness,10th,3/4 l,4,9-11v,67,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Daymer Bay (IRE),B M Coen,0,Ciaran Murphy,9th,1 l,4,9-3,59,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Convincing (IRE),S Foley,0,J J Murphy,8th,1/2 l,4,9-13p1,69,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Brains (IRE),K G Kennedy,5,R Donohoe,7th,2 1/4 l,9,9-6tb,62,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Dragon Of Malta (IRE),C T Keane,0,P F O'Donnell,6th,Neck,8,9-12tb,68,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Uncle Albert (IRE),P A Harnett,5,K P Cotter,5th,1 l,4,9-7,63,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Camachero (IRE),P McGettigan,7,N C Kelly,4th,1 1/4 l,4,9-7b1,63,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Run Forrest Run (IRE),R Whearty,3,Thomas Coyle,3rd,Neck,7,9-6b,62,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Dynamic Force (IRE),J J G Ryan,3,T G McCourt,2nd,1/2 l,6,9-12p,68,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,On A Session (USA),C D Hayes,0,K P Cotter,1st,N/A,9,10-1,71,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Colugo (IRE),L T McAteer,0,J M Barrett,14th,4 3/4 l,4,9-12,68,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,One More Wave,W J Lee,0,N C Kelly,13th,4 1/2 l,5,10-2,72,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,La La Lucrative (IRE),R C Colgan,0,M J Smith,12th,7 l,4,9-7h,63,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Cornahilt Soldier (IRE),W Joyce,3,K Smith,11th,1 3/4 l,4,9-5t,61,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Clonmacash,S Coen,7,A McGuinness,10th,3/4 l,4,9-11v,67,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Daymer Bay (IRE),B M Coen,0,Ciaran Murphy,9th,1 l,4,9-3,59,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Convincing (IRE),S Foley,0,J J Murphy,8th,1/2 l,4,9-13p1,69,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Brains (IRE),K G Kennedy,5,R Donohoe,7th,2 1/4 l,9,9-6tb,62,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Dragon Of Malta (IRE),C T Keane,0,P F O'Donnell,6th,Neck,8,9-12tb,68,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Uncle Albert (IRE),P A Harnett,5,K P Cotter,5th,1 l,4,9-7,63,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Camachero (IRE),P McGettigan,7,N C Kelly,4th,1 1/4 l,4,9-7b1,63,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Run Forrest Run (IRE),R Whearty,3,Thomas Coyle,3rd,Neck,7,9-6b,62,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,Dynamic Force (IRE),J J G Ryan,3,T G McCourt,2nd,1/2 l,6,9-12p,68,True,178,5
Down Royal Racing Results | 30th May 2025 17:58,N/A,17:58,Good,7f,On A Session (USA),C D Hayes,0,K P Cotter,1st,N/A,9,10-1,71,True,178,5
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Remember The Bear (IRE),B M Coen,0,Miss H McLoughlin,14th,6 l,3,9-12,60,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Breath Of You (FR),P A Harnett,5,Conor Maxwell,13th,2 1/2 l,3,9-3p,51,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Charanda (IRE),D Egan,0,A Murray,12th,2 1/4 l,3,9-12,60,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Searcog (IRE),J J G Ryan,3,P Magee,11th,3/4 l,3,9-5,53,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Sovereign Banter (IRE),C D Hayes,0,E J O'Grady,10th,3 l,3,9-6p1,54,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Letters Of Love (IRE),M W Hassett,5,J P O'Brien,9th,1/2 l,3,9-4,52,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Jasmine Affanalis (IRE),L T McAteer,0,D Marnane,8th,Short Head,3,9-5h,53,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Weegeebear (IRE),Adam Caffrey,0,A McGuinness,7th,1 l,3,9-9v,57,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Micasso (IRE),Alexandra Egan,10,D Kinsella,6th,3/4 l,3,9-5t,53,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Merchants Arch (IRE),S Foley,0,R O'Sullivan,5th,1/2 l,3,9-11p1,59,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Annie Lavinia (IRE),W J Lee,0,E Lynam,4th,1/2 l,3,9-5tp,53,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Undefeatable (IRE),W Joyce,3,K Smith,3rd,Head,3,9-3,51,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Bamako (IRE),G F Carroll,0,A Oliver,2nd,Nose,3,9-7v1,55,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Eric Lock,C T Keane,0,N Meade,1st,N/A,3,9-5b,53,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Remember The Bear (IRE),B M Coen,0,Miss H McLoughlin,14th,6 l,3,9-12,60,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Breath Of You (FR),P A Harnett,5,Conor Maxwell,13th,2 1/2 l,3,9-3p,51,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Charanda (IRE),D Egan,0,A Murray,12th,2 1/4 l,3,9-12,60,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Searcog (IRE),J J G Ryan,3,P Magee,11th,3/4 l,3,9-5,53,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Sovereign Banter (IRE),C D Hayes,0,E J O'Grady,10th,3 l,3,9-6p1,54,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Letters Of Love (IRE),M W Hassett,5,J P O'Brien,9th,1/2 l,3,9-4,52,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Jasmine Affanalis (IRE),L T McAteer,0,D Marnane,8th,Short Head,3,9-5h,53,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Weegeebear (IRE),Adam Caffrey,0,A McGuinness,7th,1 l,3,9-9v,57,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Micasso (IRE),Alexandra Egan,10,D Kinsella,6th,3/4 l,3,9-5t,53,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Merchants Arch (IRE),S Foley,0,R O'Sullivan,5th,1/2 l,3,9-11p1,59,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Annie Lavinia (IRE),W J Lee,0,E Lynam,4th,1/2 l,3,9-5tp,53,True,178,6
Down Royal Racing Results | 30th May 2025 18:33,N/A,18:33,Good,7f,Undefeatable (IRE),W Joyce,3,K Smith,3rd,Head,3,9-3,51,True,178,6
