track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Kasper Hauser,R C Colgan,0,Kevin Coleman,NR,N/A,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Man Of Destiny (IRE),N M Crosse,0,Aidan Melia,11th,16 l,4,10-6,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Lauderdale King (IRE),Julie Burke,0,J M Burke,10th,Nose,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Rising King (IRE),I Khan,7,A Mullins,9th,3 1/4 l,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Show Your Workings (IRE),S P Davis,0,Sean Davis,8th,5 1/2 l,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Solar Energy (IRE),R Coakley,0,J S Bolger,7th,3 3/4 l,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Skib Gold,P A Harnett,5,M J Byrne,6th,9 l,4,10-6,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Sigliosa,J A Heffernan,0,J J Murphy,5th,5 1/2 l,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Tashir (IRE),B M Coen,0,J P Murtagh,4th,Short Head,3,9-8,78,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Ben Lawers,S Foley,0,Mrs J Harrington,3rd,6 l,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Game Point (IRE),C T Keane,0,G M Lyons,2nd,2 1/2 l,3,9-8,88,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Maestro Mark (IRE),G F Carroll,0,J J Murphy,1st,N/A,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Kasper Hauser,R C Colgan,0,Kevin Coleman,NR,N/A,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Man Of Destiny (IRE),N M Crosse,0,Aidan Melia,11th,16 l,4,10-6,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Lauderdale King (IRE),Julie Burke,0,J M Burke,10th,Nose,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Rising King (IRE),I Khan,7,A Mullins,9th,3 1/4 l,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Show Your Workings (IRE),S P Davis,0,Sean Davis,8th,5 1/2 l,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Solar Energy (IRE),R Coakley,0,J S Bolger,7th,3 3/4 l,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Skib Gold,P A Harnett,5,M J Byrne,6th,9 l,4,10-6,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Sigliosa,J A Heffernan,0,J J Murphy,5th,5 1/2 l,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Tashir (IRE),B M Coen,0,J P Murtagh,4th,Short Head,3,9-8,78,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Ben Lawers,S Foley,0,Mrs J Harrington,3rd,6 l,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Game Point (IRE),C T Keane,0,G M Lyons,2nd,2 1/2 l,3,9-8,88,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:00,N/A,17:00,Good (Good To Firm In Places)  (Turf),1m 1f 100y,Maestro Mark (IRE),G F Carroll,0,J J Murphy,1st,N/A,3,9-8,-,True,179,1
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Escorpio (IRE),S A Wallace,10,J J Hanlon,15th,2 l,3,8-9t1,41,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Ventress (IRE),B M Coen,0,J P Murtagh,14th,2 3/4 l,3,10-0,60,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Masego (IRE),J A Heffernan,0,Ms M Mullins,13th,2 l,3,8-12,44,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Wasittheway (IRE),J J G Ryan,3,T G McCourt,12th,9 l,3,9-6p1,52,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Elvetham (IRE),C D Hayes,0,D K Weld,11th,3/4 l,3,9-10t1,56,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Trubshaw,W J Lee,0,H De Bromhead,10th,1 1/2 l,3,9-12,58,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Zuzzudio,D W O'Connor,0,G P Cromwell,9th,Neck,3,9-8t,54,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Kitty Bear (IRE),S Coen,7,A Slattery,8th,Neck,3,9-11,57,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Ainm Bentley,M W Hassett,5,K Purcell,7th,Neck,3,9-1tp1,47,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Mischief Man (IRE),N G McCullagh,0,J P Murtagh,6th,Nose,3,9-13,59,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Gold Dublooms (IRE),C T Keane,0,E O'Connell,5th,2 1/4 l,3,9-1t,47,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Whats New (IRE),A J Slattery,0,A Slattery,4th,1/2 l,3,9-11,57,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Lisnadill,G F Carroll,0,A Oliver,3rd,1/2 l,3,9-7,53,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Academe (IRE),S Foley,0,Mrs J Harrington,2nd,5 1/2 l,3,9-7b1,53,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Casheldale Lass (IRE),R C Colgan,0,A Kinirons,1st,N/A,3,8-13p1,45,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Escorpio (IRE),S A Wallace,10,J J Hanlon,15th,2 l,3,8-9t1,41,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Ventress (IRE),B M Coen,0,J P Murtagh,14th,2 3/4 l,3,10-0,60,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Masego (IRE),J A Heffernan,0,Ms M Mullins,13th,2 l,3,8-12,44,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Wasittheway (IRE),J J G Ryan,3,T G McCourt,12th,9 l,3,9-6p1,52,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Elvetham (IRE),C D Hayes,0,D K Weld,11th,3/4 l,3,9-10t1,56,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Trubshaw,W J Lee,0,H De Bromhead,10th,1 1/2 l,3,9-12,58,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Zuzzudio,D W O'Connor,0,G P Cromwell,9th,Neck,3,9-8t,54,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Kitty Bear (IRE),S Coen,7,A Slattery,8th,Neck,3,9-11,57,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Ainm Bentley,M W Hassett,5,K Purcell,7th,Neck,3,9-1tp1,47,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Mischief Man (IRE),N G McCullagh,0,J P Murtagh,6th,Nose,3,9-13,59,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Gold Dublooms (IRE),C T Keane,0,E O'Connell,5th,2 1/4 l,3,9-1t,47,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Whats New (IRE),A J Slattery,0,A Slattery,4th,1/2 l,3,9-11,57,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Lisnadill,G F Carroll,0,A Oliver,3rd,1/2 l,3,9-7,53,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Academe (IRE),S Foley,0,Mrs J Harrington,2nd,5 1/2 l,3,9-7b1,53,True,179,2
Gowran Park Racing Results | 2nd June 2025 17:30,N/A,17:30,Good (Good To Firm In Places),1m 1f 100y,Casheldale Lass (IRE),R C Colgan,0,A Kinirons,1st,N/A,3,8-13p1,45,True,179,2
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Cupla Focal (IRE),D J O'Keeffe,0,Sean Allen,18th,18 l,5,11-7t1,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Doyen Lady (IRE),J J Slevin,0,M Butler,17th,3 1/2 l,7,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Phoenix Princess (IRE),D E Mullins,0,Brendan Walsh,16th,2 1/4 l,4,11-2,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Churchill Rose (IRE),D Meyler,0,Arthur Goulding,15th,2 1/2 l,5,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Silver Pageant,P Hanlon,7,J J Hanlon,14th,8 1/2 l,5,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,C'mere Girleen (IRE),Mr L Burke-Ott,7,A Ott,13th,2 l,5,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Bearami Creek (IRE),Sam Ewing,0,Peter Fahey,12th,2 l,5,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Poetic Focus (IRE),C Stone-Walsh,3,P Nolan,11th,2 3/4 l,5,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Lastofthecitizens (IRE),Mr Alan O'Sullivan,7,E M O'Sullivan,10th,7 l,6,11-7p1,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Bly Manor (IRE),S W Flanagan,0,D H Kelly,9th,2 1/2 l,5,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Russellsbelle (IRE),P T Enright,0,Con McSweeney,8th,1 1/2 l,8,11-7,106,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Walk On Annilog (IRE),O R Brown,5,R Dunne,7th,1 3/4 l,6,11-7h,102,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Miss Georgina (IRE),J P Shinnick,3,A Lee,6th,8 1/2 l,5,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Sophia Rose (IRE),K E Buckley,0,G P Cromwell,5th,Neck,6,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Hillhead Runner (IRE),K M Donoghue,0,G P Cromwell,4th,2 3/4 l,5,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Tequila Talkin' (IRE),J C Gainford,0,P Nolan,3rd,1/2 l,6,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Astelia (IRE),J Coen,3,Peter Fahey,2nd,5 l,6,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,La Note Verte,P Townend,0,W P Mullins,1st,N/A,5,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Cupla Focal (IRE),D J O'Keeffe,0,Sean Allen,18th,18 l,5,11-7t1,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Doyen Lady (IRE),J J Slevin,0,M Butler,17th,3 1/2 l,7,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Phoenix Princess (IRE),D E Mullins,0,Brendan Walsh,16th,2 1/4 l,4,11-2,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Churchill Rose (IRE),D Meyler,0,Arthur Goulding,15th,2 1/2 l,5,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Silver Pageant,P Hanlon,7,J J Hanlon,14th,8 1/2 l,5,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,C'mere Girleen (IRE),Mr L Burke-Ott,7,A Ott,13th,2 l,5,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Bearami Creek (IRE),Sam Ewing,0,Peter Fahey,12th,2 l,5,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Poetic Focus (IRE),C Stone-Walsh,3,P Nolan,11th,2 3/4 l,5,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Lastofthecitizens (IRE),Mr Alan O'Sullivan,7,E M O'Sullivan,10th,7 l,6,11-7p1,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Bly Manor (IRE),S W Flanagan,0,D H Kelly,9th,2 1/2 l,5,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Russellsbelle (IRE),P T Enright,0,Con McSweeney,8th,1 1/2 l,8,11-7,106,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Walk On Annilog (IRE),O R Brown,5,R Dunne,7th,1 3/4 l,6,11-7h,102,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Miss Georgina (IRE),J P Shinnick,3,A Lee,6th,8 1/2 l,5,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Sophia Rose (IRE),K E Buckley,0,G P Cromwell,5th,Neck,6,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Hillhead Runner (IRE),K M Donoghue,0,G P Cromwell,4th,2 3/4 l,5,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Tequila Talkin' (IRE),J C Gainford,0,P Nolan,3rd,1/2 l,6,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,Astelia (IRE),J Coen,3,Peter Fahey,2nd,5 l,6,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 13:55,N/A,13:55,Good (Good To Yielding In Places),2m,La Note Verte,P Townend,0,W P Mullins,1st,N/A,5,11-7,-,True,179,3
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Coup D'etat (IRE),Mr J P O'Rourke,7,P O'Rourke,PU,N/A,6,11-12,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Brandyandportpaddy (IRE),A McCurtin,0,P J Gilligan,PU,N/A,4,11-7,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Cad Is Anam (IRE),C M Quirke,0,John F O'Neill,PU,N/A,4,11-7,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Move It On Over (IRE),J J Slevin,0,John F O'Neill,12th,1/2 l,4,11-7,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Heslostthehunger (IRE),J P Shinnick,3,R Sweeney,11th,3 1/2 l,4,11-7,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Three County Star (IRE),B W Harvey,0,B Mortell,10th,7 1/2 l,4,11-7,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Sunrise Strider (IRE),S F O'Keeffe,0,M J McDonagh,9th,1 l,4,11-7,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Niigata,P Hanlon,7,J J Hanlon,8th,11 l,4,11-7p,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Rinnaseer Dream (IRE),Mr A Burke-Ott,7,T P O'Connor,7th,Neck,5,11-12t,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,North Winterfell,M M McDonagh,0,C Byrnes,6th,1/2 l,4,11-7,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Grove Gardens (IRE),P T Enright,0,E M O'Sullivan,5th,1 1/4 l,4,11-7,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Tuba,D E Mullins,0,R O'Brien,4th,4 1/4 l,4,11-7,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Annilogs Force (IRE),O R Brown,5,R Dunne,3rd,12 l,5,11-12b1,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Penny Express (IRE),Sam Ewing,0,G Elliott,2nd,2 1/4 l,5,11-12h1,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Day Trader (FR),D King,0,A J Martin,1st,N/A,4,11-7,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Coup D'etat (IRE),Mr J P O'Rourke,7,P O'Rourke,PU,N/A,6,11-12,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Brandyandportpaddy (IRE),A McCurtin,0,P J Gilligan,PU,N/A,4,11-7,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Cad Is Anam (IRE),C M Quirke,0,John F O'Neill,PU,N/A,4,11-7,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Move It On Over (IRE),J J Slevin,0,John F O'Neill,12th,1/2 l,4,11-7,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Heslostthehunger (IRE),J P Shinnick,3,R Sweeney,11th,3 1/2 l,4,11-7,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Three County Star (IRE),B W Harvey,0,B Mortell,10th,7 1/2 l,4,11-7,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Sunrise Strider (IRE),S F O'Keeffe,0,M J McDonagh,9th,1 l,4,11-7,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Niigata,P Hanlon,7,J J Hanlon,8th,11 l,4,11-7p,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Rinnaseer Dream (IRE),Mr A Burke-Ott,7,T P O'Connor,7th,Neck,5,11-12t,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,North Winterfell,M M McDonagh,0,C Byrnes,6th,1/2 l,4,11-7,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Grove Gardens (IRE),P T Enright,0,E M O'Sullivan,5th,1 1/4 l,4,11-7,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Tuba,D E Mullins,0,R O'Brien,4th,4 1/4 l,4,11-7,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Annilogs Force (IRE),O R Brown,5,R Dunne,3rd,12 l,5,11-12b1,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Penny Express (IRE),Sam Ewing,0,G Elliott,2nd,2 1/4 l,5,11-12h1,-,True,179,4
Listowel Racing Results | 2nd June 2025 14:30,N/A,14:30,Good (Good To Yielding In Places)  Hurdle (Turf),2m,Day Trader (FR),D King,0,A J Martin,1st,N/A,4,11-7,-,True,179,4
Listowel Racing Results | 2nd June 2025 15:05,N/A,15:05,Good (Good To Yielding In Places),2m,Western Opera (IRE),A P Kelly,5,G O'Loughlin,12th,6 1/2 l,5,10-6ht,89,True,179,5
Listowel Racing Results | 2nd June 2025 15:05,N/A,15:05,Good (Good To Yielding In Places),2m,It'sallabouteve (IRE),Mr C J Shine,7,Brendan Walsh,11th,22 l,9,11-7p,104,True,179,5
Listowel Racing Results | 2nd June 2025 15:05,N/A,15:05,Good (Good To Yielding In Places),2m,Spanish Maid (IRE),P T Enright,0,F J Flood,10th,1 1/4 l,7,10-4p1,87,True,179,5
Listowel Racing Results | 2nd June 2025 15:05,N/A,15:05,Good (Good To Yielding In Places),2m,Majestic Jameela,J Coen,3,E McNamara,9th,3 l,5,11-8,105,True,179,5
Listowel Racing Results | 2nd June 2025 15:05,N/A,15:05,Good (Good To Yielding In Places),2m,Lady Bee Great (IRE),D Meyler,0,R O'Sullivan,8th,Short Head,6,11-5h,102,True,179,5
Listowel Racing Results | 2nd June 2025 15:05,N/A,15:05,Good (Good To Yielding In Places),2m,Letters To Juliet (IRE),P M O'Brien,7,P Downey,7th,9 l,7,10-13ht,96,True,179,5
Listowel Racing Results | 2nd June 2025 15:05,N/A,15:05,Good (Good To Yielding In Places),2m,Ciao Adios (IRE),Eoin G Kelly,7,A Murray,6th,3 1/4 l,6,11-12t,109,True,179,5
Listowel Racing Results | 2nd June 2025 15:05,N/A,15:05,Good (Good To Yielding In Places),2m,Finnicky Filly (IRE),D King,0,J P Ryan,5th,2 1/2 l,7,10-0t1,83,True,179,5
Listowel Racing Results | 2nd June 2025 15:05,N/A,15:05,Good (Good To Yielding In Places),2m,Ballinearla Girl (IRE),C M Quirke,0,E Doyle,4th,Neck,6,10-9,92,True,179,5
Listowel Racing Results | 2nd June 2025 15:05,N/A,15:05,Good (Good To Yielding In Places),2m,Diamond Approach (IRE),J P Shinnick,3,Mary Ellen Doyle,3rd,2 l,5,10-6,89,True,179,5
Listowel Racing Results | 2nd June 2025 15:05,N/A,15:05,Good (Good To Yielding In Places),2m,Katherine (IRE),Sam Ewing,0,A Sexton,2nd,3 l,8,11-4p,101,True,179,5
Listowel Racing Results | 2nd June 2025 15:05,N/A,15:05,Good (Good To Yielding In Places),2m,Patty O'Farrell (IRE),S F O'Keeffe,0,Peter Maher,1st,N/A,7,10-6t,89,True,179,5
