track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,13:40,Yielding To Soft (Soft In Places),2m 3f 100y,Stellar Story (IRE),K C Sexton,0,G Elliott,NR,N/A,7,11-12p,-,True,157,1
N/A,N/A,13:40,Yielding To Soft (Soft In Places),2m 3f 100y,Waterford Whispers (IRE),B Hayes,0,H De Bromhead,7th,4 3/4 l,6,11-12,-,True,157,1
N/A,N/A,13:40,Yielding To Soft (Soft In Places),2m 3f 100y,Mirazur West (IRE),S D Torrens,0,W P Mullins,6th,7 l,6,11-12h,-,True,157,1
N/A,N/A,13:40,Yielding To Soft (Soft In Places),2m 3f 100y,Sa Majeste (FR),D E Mullins,0,W P Mullins,5th,1 3/4 l,6,11-12,-,True,157,1
N/A,N/A,13:40,Yielding To Soft (Soft In Places),2m 3f 100y,Good Land (FR),Mr F Maguire,0,B Connell,4th,11 l,8,11-12,-,True,157,1
N/A,N/A,13:40,Yielding To Soft (Soft In Places),2m 3f 100y,Search For Glory (IRE),Sam Ewing,0,G Elliott,3rd,1/2 l,7,11-12tp,-,True,157,1
N/A,N/A,13:40,Yielding To Soft (Soft In Places),2m 3f 100y,Jordans (FR),R Deegan,0,J P O'Brien,2nd,4 l,5,11-12h,-,True,157,1
N/A,N/A,13:40,Yielding To Soft (Soft In Places),2m 3f 100y,Impaire Et Passe (FR),D A Jacob,0,W P Mullins,1st,N/A,6,11-12,-,True,157,1
N/A,N/A,13:40,Yielding To Soft (Soft In Places),2m 3f 100y,Stellar Story (IRE),K C Sexton,0,G Elliott,NR,N/A,7,11-12p,-,True,157,1
N/A,N/A,13:40,Yielding To Soft (Soft In Places),2m 3f 100y,Waterford Whispers (IRE),B Hayes,0,H De Bromhead,7th,4 3/4 l,6,11-12,-,True,157,1
N/A,N/A,13:40,Yielding To Soft (Soft In Places),2m 3f 100y,Mirazur West (IRE),S D Torrens,0,W P Mullins,6th,7 l,6,11-12h,-,True,157,1
