track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,16:50,Soft (Yielding To Soft In Places),2m,Sayitfirst (IRE),Patrick O'Hanlon,0,Darren Collins,4th,2 3/4 l,7,11-6,87,True,85,13
N/A,N/A,16:50,Soft (Yielding To Soft In Places),2m,Papa Barns (IRE),Patrick Michael O'Brien,4,J. T. R. Dreaper,3rd,4 l,6,11-0,81,True,85,13
N/A,N/A,16:50,Soft (Yielding To Soft In Places),2m,Depeche Mo (IRE),B. W. Harvey,0,Eric Larkin,2nd,2 1/4 l,5,11-3,84,True,85,13
N/A,N/A,16:50,Soft (Yielding To Soft In Places),2m,Brownstone (IRE),K. E. Buckley,0,Ian Patrick Donoghue,1st,N/A,7,10-13ht,80,True,85,13
N/A,N/A,17:25,Soft (Yielding To Soft In Places),2m,Marys Call (IRE),Miss J. Townend,0,Paul Hennessy,8th,66 l,4,11-2t1,-,True,85,14
N/A,N/A,17:25,Soft (Yielding To Soft In Places),2m,A La Carte (IRE),Mr J. L. Gleeson,5,Miss Elizabeth Doyle,7th,15 l,4,11-4,-,True,85,14
N/A,N/A,17:25,Soft (Yielding To Soft In Places),2m,Sirekoff (IRE),Mr P. Hanlon,7,John Joseph Hanlon,6th,3/4 l,4,11-13,-,True,85,14
N/A,N/A,17:25,Soft (Yielding To Soft In Places),2m,Tomavian (IRE),Mr H. C. Swan,5,Gordon Elliott,5th,22 l,4,11-2,-,True,85,14
N/A,N/A,17:25,Soft (Yielding To Soft In Places),2m,Tankardstown Diva (IRE),Mr R. W. Barron,5,Ian Patrick Donoghue,4th,1/2 l,4,11-2,-,True,85,14
N/A,N/A,17:25,Soft (Yielding To Soft In Places),2m,Royal Cave (IRE),Mr A. Harvey,7,Christopher David Timmons,3rd,4 3/4 l,4,11-2,-,True,85,14
N/A,N/A,17:25,Soft (Yielding To Soft In Places),2m,Can't Resist It,Mr J. H. Williamson,7,Miss Shauna Larkin,2nd,3 3/4 l,4,11-13,-,True,85,14
N/A,N/A,17:25,Soft (Yielding To Soft In Places),2m,Arctic Gale (IRE),Mr D. O'Connor,0,Emmet Mullins,1st,N/A,4,11-11,-,True,85,14
N/A,N/A,17:25,Soft (Yielding To Soft In Places),2m,Marys Call (IRE),Miss J. Townend,0,Paul Hennessy,8th,66 l,4,11-2t1,-,True,85,14
N/A,N/A,17:25,Soft (Yielding To Soft In Places),2m,A La Carte (IRE),Mr J. L. Gleeson,5,Miss Elizabeth Doyle,7th,15 l,4,11-4,-,True,85,14
N/A,N/A,17:25,Soft (Yielding To Soft In Places),2m,Sirekoff (IRE),Mr P. Hanlon,7,John Joseph Hanlon,6th,3/4 l,4,11-13,-,True,85,14
N/A,N/A,17:25,Soft (Yielding To Soft In Places),2m,Tomavian (IRE),Mr H. C. Swan,5,Gordon Elliott,5th,22 l,4,11-2,-,True,85,14
N/A,N/A,17:25,Soft (Yielding To Soft In Places),2m,Tankardstown Diva (IRE),Mr R. W. Barron,5,Ian Patrick Donoghue,4th,1/2 l,4,11-2,-,True,85,14
N/A,N/A,17:25,Soft (Yielding To Soft In Places),2m,Royal Cave (IRE),Mr A. Harvey,7,Christopher David Timmons,3rd,4 3/4 l,4,11-2,-,True,85,14
N/A,N/A,17:25,Soft (Yielding To Soft In Places),2m,Can't Resist It,Mr J. H. Williamson,7,Miss Shauna Larkin,2nd,3 3/4 l,4,11-13,-,True,85,14
N/A,N/A,17:25,Soft (Yielding To Soft In Places),2m,Arctic Gale (IRE),Mr D. O'Connor,0,Emmet Mullins,1st,N/A,4,11-11,-,True,85,14
N/A,N/A,13:50,Yielding (Good To Yielding In Places),2m 140y,Bedelia (IRE),T. Joseph Kelly,7,John Joseph Hanlon,6th,22 l,3,10-1,-,True,85,15
N/A,N/A,13:50,Yielding (Good To Yielding In Places),2m 140y,Adare Beauty (IRE),Shane O'Callaghan,5,Thomas Dowling,5th,4 l,3,10-1t1,-,True,85,15
N/A,N/A,13:50,Yielding (Good To Yielding In Places),2m 140y,Biggerthanbigtime (IRE),P. T. Smithers,7,Padraig Roche,4th,15 l,3,10-8h,-,True,85,15
N/A,N/A,13:50,Yielding (Good To Yielding In Places),2m 140y,Our Boy Wes,Donagh Meyler,0,Emmet Mullins,3rd,4 1/2 l,3,11-0p,-,True,85,15
N/A,N/A,13:50,Yielding (Good To Yielding In Places),2m 140y,Pigeon House (IRE),S. F. O'Keeffe,0,Mrs J. Harrington,2nd,24 l,3,10-8,-,True,85,15
N/A,N/A,13:50,Yielding (Good To Yielding In Places),2m 140y,Wodhooh (FR),J. W. Kennedy,0,Gordon Elliott,1st,N/A,3,10-7,-,True,85,15
N/A,N/A,13:50,Yielding (Good To Yielding In Places),2m 140y,Bedelia (IRE),T. Joseph Kelly,7,John Joseph Hanlon,6th,22 l,3,10-1,-,True,85,15
N/A,N/A,13:50,Yielding (Good To Yielding In Places),2m 140y,Adare Beauty (IRE),Shane O'Callaghan,5,Thomas Dowling,5th,4 l,3,10-1t1,-,True,85,15
N/A,N/A,13:50,Yielding (Good To Yielding In Places),2m 140y,Biggerthanbigtime (IRE),P. T. Smithers,7,Padraig Roche,4th,15 l,3,10-8h,-,True,85,15
N/A,N/A,13:50,Yielding (Good To Yielding In Places),2m 140y,Our Boy Wes,Donagh Meyler,0,Emmet Mullins,3rd,4 1/2 l,3,11-0p,-,True,85,15
N/A,N/A,13:50,Yielding (Good To Yielding In Places),2m 140y,Pigeon House (IRE),S. F. O'Keeffe,0,Mrs J. Harrington,2nd,24 l,3,10-8,-,True,85,15
N/A,N/A,13:50,Yielding (Good To Yielding In Places),2m 140y,Wodhooh (FR),J. W. Kennedy,0,Gordon Elliott,1st,N/A,3,10-7,-,True,85,15
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Vale Of Glory (IRE),Eoin G. Kelly,7,Adrian Murray,PU,N/A,8,11-12,106,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Grand Cru Chatho (FR),M. M. McDonagh,5,Edward Cawley,F,N/A,7,10-13t,93,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Action Station (IRE),D. J. O'Keeffe,0,Mrs Prunella Dobbs,16th,8 l,7,10-10b,90,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Mille Miglia,A. P. Heskin,0,Colin A. McBratney,15th,5 l,5,10-5t,85,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Ella Rose (IRE),N. T. Prendergast,7,D. E. Prendergast,14th,2 l,6,10-9,89,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Diamondinthemud (IRE),D. E. Mullins,0,Nigel Slevin,13th,4 3/4 l,7,11-7b,101,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Surviving Murmansk (IRE),J. J. Slevin,0,James M. Barcoe,12th,19 l,5,10-7,87,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,West Away (IRE),B. W. Harvey,3,John McConnell,11th,2 1/4 l,5,11-8t,102,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Force of the Moon (IRE),T. P. Harney,7,Luke Comer,10th,3 l,6,11-5,99,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Contrapposto (JPN),M. J. M. O'Sullivan,0,R. Donohoe,9th,1 1/2 l,9,11-9p,103,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Baltinglass Hill (IRE),S. D. Torrens,0,P. J. Rothwell,8th,3/4 l,6,10-12p,92,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Katherine (IRE),Mr H. E. Sexton,7,Adrian Sexton,7th,2 l,6,12-0,108,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Champagne Vacation (IRE),Phillip Enright,0,Sean Aherne,6th,1/2 l,8,11-2t,96,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Romella (IRE),Gavin Peter Brouder,5,Brendan Maurice Walsh,5th,Head,9,10-8tp,88,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Mr Macphisto (IRE),R. A. Doyle,0,Eoin Griffin,4th,2 l,7,10-12t,92,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Redwood Queen (IRE),P. Byrnes,5,Charles Byrnes,3rd,7 l,6,11-2,96,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,One Cool Poet (IRE),Keith Donoghue,0,Matthew J. Smith,2nd,Neck,11,11-12tb,106,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Park Of Kings (IRE),M. P. Walsh,0,Paul Nolan,1st,N/A,5,11-9t,103,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Vale Of Glory (IRE),Eoin G. Kelly,7,Adrian Murray,PU,N/A,8,11-12,106,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Grand Cru Chatho (FR),M. M. McDonagh,5,Edward Cawley,F,N/A,7,10-13t,93,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Action Station (IRE),D. J. O'Keeffe,0,Mrs Prunella Dobbs,16th,8 l,7,10-10b,90,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Mille Miglia,A. P. Heskin,0,Colin A. McBratney,15th,5 l,5,10-5t,85,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Ella Rose (IRE),N. T. Prendergast,7,D. E. Prendergast,14th,2 l,6,10-9,89,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Diamondinthemud (IRE),D. E. Mullins,0,Nigel Slevin,13th,4 3/4 l,7,11-7b,101,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Surviving Murmansk (IRE),J. J. Slevin,0,James M. Barcoe,12th,19 l,5,10-7,87,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,West Away (IRE),B. W. Harvey,3,John McConnell,11th,2 1/4 l,5,11-8t,102,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Force of the Moon (IRE),T. P. Harney,7,Luke Comer,10th,3 l,6,11-5,99,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Contrapposto (JPN),M. J. M. O'Sullivan,0,R. Donohoe,9th,1 1/2 l,9,11-9p,103,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Baltinglass Hill (IRE),S. D. Torrens,0,P. J. Rothwell,8th,3/4 l,6,10-12p,92,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Katherine (IRE),Mr H. E. Sexton,7,Adrian Sexton,7th,2 l,6,12-0,108,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Champagne Vacation (IRE),Phillip Enright,0,Sean Aherne,6th,1/2 l,8,11-2t,96,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Romella (IRE),Gavin Peter Brouder,5,Brendan Maurice Walsh,5th,Head,9,10-8tp,88,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Mr Macphisto (IRE),R. A. Doyle,0,Eoin Griffin,4th,2 l,7,10-12t,92,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Redwood Queen (IRE),P. Byrnes,5,Charles Byrnes,3rd,7 l,6,11-2,96,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,One Cool Poet (IRE),Keith Donoghue,0,Matthew J. Smith,2nd,Neck,11,11-12tb,106,True,85,16
N/A,N/A,14:25,Yielding (Good To Yielding In Places),2m 140y,Park Of Kings (IRE),M. P. Walsh,0,Paul Nolan,1st,N/A,5,11-9t,103,True,85,16
N/A,N/A,15:00,Yielding (Good To Yielding In Places),2m 2f,Andy Dufresne (IRE),M. P. Walsh,0,Gordon Elliott,3rd,Neck,9,11-2t,-,True,85,17
N/A,N/A,15:00,Yielding (Good To Yielding In Places),2m 2f,Run For Oscar (IRE),P. Byrnes,5,Charles Byrnes,2nd,2 1/2 l,8,11-2v,-,True,85,17
N/A,N/A,15:00,Yielding (Good To Yielding In Places),2m 2f,Zanahiyr (IRE),J. W. Kennedy,0,Gordon Elliott,1st,N/A,6,11-2tp,-,True,85,17
N/A,N/A,15:00,Yielding (Good To Yielding In Places),2m 2f,Andy Dufresne (IRE),M. P. Walsh,0,Gordon Elliott,3rd,Neck,9,11-2t,-,True,85,17
N/A,N/A,15:00,Yielding (Good To Yielding In Places),2m 2f,Run For Oscar (IRE),P. Byrnes,5,Charles Byrnes,2nd,2 1/2 l,8,11-2v,-,True,85,17
N/A,N/A,15:00,Yielding (Good To Yielding In Places),2m 2f,Zanahiyr (IRE),J. W. Kennedy,0,Gordon Elliott,1st,N/A,6,11-2tp,-,True,85,17
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Hillsdale (IRE),Jordan Colin Gainford,0,J. P. Dempsey,UR,N/A,4,11-10,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Morph Speed (IRE),J. J. Slevin,0,Joseph Patrick O'Brien,F,N/A,7,11-12t,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Maddies Lough (IRE),N. T. Prendergast,7,D. E. Prendergast,17th,87 l,5,11-5t1,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Sheheree (IRE),Shane Fenelon,7,John Joseph Hanlon,16th,1/2 l,5,11-12,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Rising Dust (IRE),R. P. Treacy,0,M. Hourigan,15th,18 l,5,11-12,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Backinabit (IRE),J. P. O'Sullivan,3,J. P. Dempsey,14th,3 1/4 l,4,11-10,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Menrva (IRE),S. F. O'Keeffe,0,Maike Magnussen,13th,16 l,4,11-3,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Sky Tempest (IRE),Richard Deegan,0,Louise G. Lyons,12th,2 1/4 l,4,11-3,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Georgian Quarter (IRE),S. D. Torrens,0,John E. & Thomas Kiely,11th,Neck,4,11-10,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Big Smoke (IRE),T. P. Harney,7,Luke Comer,10th,7 1/2 l,5,11-12t1,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,He Knows Nothing (IRE),S. Fitzgerald,0,Luke Comer,9th,14 l,6,11-12,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Hunt Museum (IRE),J. S. McGarvey,0,F. Flood,8th,3 l,5,11-12,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Mystic Sage (IRE),Rachael Blackmore,0,Henry de Bromhead,7th,6 l,5,11-5t1,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,The Mind Boggles (IRE),Sarah Kavanagh,7,Patrick T. Foley,6th,3 1/2 l,4,11-3h,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Summertime Romance,A. P. Heskin,0,Colin A. McBratney,5th,10 l,5,11-5,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Tom Kelly (IRE),Liam Quinlan,5,Mrs Jayne Hearne,4th,20 l,6,11-12,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Pour Les Filles,J. W. Kennedy,0,Gordon Elliott,3rd,3/4 l,5,11-12,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Mister Pink (IRE),P. Townend,0,W. P. Mullins,2nd,4 1/4 l,5,11-12,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Antrim Coast (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,1st,N/A,5,11-12,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Hillsdale (IRE),Jordan Colin Gainford,0,J. P. Dempsey,UR,N/A,4,11-10,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Morph Speed (IRE),J. J. Slevin,0,Joseph Patrick O'Brien,F,N/A,7,11-12t,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Maddies Lough (IRE),N. T. Prendergast,7,D. E. Prendergast,17th,87 l,5,11-5t1,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Sheheree (IRE),Shane Fenelon,7,John Joseph Hanlon,16th,1/2 l,5,11-12,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Rising Dust (IRE),R. P. Treacy,0,M. Hourigan,15th,18 l,5,11-12,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Backinabit (IRE),J. P. O'Sullivan,3,J. P. Dempsey,14th,3 1/4 l,4,11-10,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Menrva (IRE),S. F. O'Keeffe,0,Maike Magnussen,13th,16 l,4,11-3,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Sky Tempest (IRE),Richard Deegan,0,Louise G. Lyons,12th,2 1/4 l,4,11-3,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Georgian Quarter (IRE),S. D. Torrens,0,John E. & Thomas Kiely,11th,Neck,4,11-10,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Big Smoke (IRE),T. P. Harney,7,Luke Comer,10th,7 1/2 l,5,11-12t1,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,He Knows Nothing (IRE),S. Fitzgerald,0,Luke Comer,9th,14 l,6,11-12,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Hunt Museum (IRE),J. S. McGarvey,0,F. Flood,8th,3 l,5,11-12,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Mystic Sage (IRE),Rachael Blackmore,0,Henry de Bromhead,7th,6 l,5,11-5t1,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,The Mind Boggles (IRE),Sarah Kavanagh,7,Patrick T. Foley,6th,3 1/2 l,4,11-3h,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Summertime Romance,A. P. Heskin,0,Colin A. McBratney,5th,10 l,5,11-5,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Tom Kelly (IRE),Liam Quinlan,5,Mrs Jayne Hearne,4th,20 l,6,11-12,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Pour Les Filles,J. W. Kennedy,0,Gordon Elliott,3rd,3/4 l,5,11-12,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Mister Pink (IRE),P. Townend,0,W. P. Mullins,2nd,4 1/4 l,5,11-12,-,True,85,18
N/A,N/A,15:35,Yielding (Good To Yielding In Places),2m 4f,Antrim Coast (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,1st,N/A,5,11-12,-,True,85,18
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Victory Star,J. S. McGarvey,0,John Joseph Hanlon,UR,N/A,6,10-13,87,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Crabtrees Rebel (IRE),M. M. McDonagh,5,James Andrew Fahey,PU,N/A,7,10-11,85,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Scott Lang (IRE),K. E. Buckley,3,Paul W. Flynn,F,N/A,6,12-0p,102,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Sheephaven Flyer (IRE),M. P. O'Connor,3,Henry de Bromhead,19th,13 l,5,11-4tp,92,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Atlantic Wonder (IRE),A. P. Heskin,0,A. J. Martin,18th,7 l,6,11-0,88,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Leading Oak (IRE),B. Hayes,0,Denis W. Cullen,17th,4 l,7,11-3p1,91,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Bowgate Street (IRE),D. J. O'Keeffe,0,T. Gibney,16th,8 1/2 l,4,11-1t,91,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Breezy Bell (GER),Phillip Enright,0,Edward Cawley,15th,12 l,8,11-2tp1,90,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Bella Be Good (IRE),S. F. O'Keeffe,0,Edward Cawley,14th,13 l,6,10-11t,85,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Inchidaly Robin (IRE),Mr A. Burke-Ott,7,Alexander Ott,13th,Head,6,11-2tp,90,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Mermaids Cave (IRE),E. Walsh,3,Ciaran Murphy,12th,1 1/4 l,4,11-5,95,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,That's About Right (IRE),S. D. Torrens,0,P. J. Rothwell,11th,Neck,5,11-2,90,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Rebel Waltz (IRE),Gavin Peter Brouder,5,T. J. Nagle Jnr,10th,7 l,9,11-9b1,97,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,We'llgowats (IRE),C. P. McNamara,0,Liam G. O'Brien,9th,1 l,8,11-4t,92,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Got To Fly (IRE),M. P. Walsh,0,J. P. Dempsey,8th,1 l,5,11-10h,98,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Morning Logic (IRE),B. W. Harvey,3,Thomas Coyle,7th,Neck,6,12-0,102,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Down Around (IRE),J. P. O'Sullivan,3,N. Dooly,6th,5 l,6,11-12,100,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Breagagh (IRE),Mr N. Gault,7,S. Michael Millar,5th,1 1/2 l,5,11-3p,91,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Lady Iseult (IRE),Patrick O'Hanlon,3,Dermot Anthony McLoughlin,4th,Short Head,8,11-5p,93,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Tideways Hero (IRE),Rachael Blackmore,0,Henry de Bromhead,3rd,5 1/2 l,5,11-5h,93,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Downtherefordancin,Keith Donoghue,0,Gavin Patrick Cromwell,2nd,1/2 l,4,11-11,101,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Irish Envoy (IRE),T. P. Harney,7,Miss Elizabeth Doyle,1st,N/A,5,12-0,102,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Victory Star,J. S. McGarvey,0,John Joseph Hanlon,UR,N/A,6,10-13,87,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Crabtrees Rebel (IRE),M. M. McDonagh,5,James Andrew Fahey,PU,N/A,7,10-11,85,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Scott Lang (IRE),K. E. Buckley,3,Paul W. Flynn,F,N/A,6,12-0p,102,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Sheephaven Flyer (IRE),M. P. O'Connor,3,Henry de Bromhead,19th,13 l,5,11-4tp,92,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Atlantic Wonder (IRE),A. P. Heskin,0,A. J. Martin,18th,7 l,6,11-0,88,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Leading Oak (IRE),B. Hayes,0,Denis W. Cullen,17th,4 l,7,11-3p1,91,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Bowgate Street (IRE),D. J. O'Keeffe,0,T. Gibney,16th,8 1/2 l,4,11-1t,91,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Breezy Bell (GER),Phillip Enright,0,Edward Cawley,15th,12 l,8,11-2tp1,90,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Bella Be Good (IRE),S. F. O'Keeffe,0,Edward Cawley,14th,13 l,6,10-11t,85,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Inchidaly Robin (IRE),Mr A. Burke-Ott,7,Alexander Ott,13th,Head,6,11-2tp,90,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Mermaids Cave (IRE),E. Walsh,3,Ciaran Murphy,12th,1 1/4 l,4,11-5,95,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,That's About Right (IRE),S. D. Torrens,0,P. J. Rothwell,11th,Neck,5,11-2,90,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Rebel Waltz (IRE),Gavin Peter Brouder,5,T. J. Nagle Jnr,10th,7 l,9,11-9b1,97,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,We'llgowats (IRE),C. P. McNamara,0,Liam G. O'Brien,9th,1 l,8,11-4t,92,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Got To Fly (IRE),M. P. Walsh,0,J. P. Dempsey,8th,1 l,5,11-10h,98,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Morning Logic (IRE),B. W. Harvey,3,Thomas Coyle,7th,Neck,6,12-0,102,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Down Around (IRE),J. P. O'Sullivan,3,N. Dooly,6th,5 l,6,11-12,100,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Breagagh (IRE),Mr N. Gault,7,S. Michael Millar,5th,1 1/2 l,5,11-3p,91,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Lady Iseult (IRE),Patrick O'Hanlon,3,Dermot Anthony McLoughlin,4th,Short Head,8,11-5p,93,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Tideways Hero (IRE),Rachael Blackmore,0,Henry de Bromhead,3rd,5 1/2 l,5,11-5h,93,True,85,19
N/A,N/A,16:10,Yielding (Good To Yielding In Places),2m 4f,Downtherefordancin,Keith Donoghue,0,Gavin Patrick Cromwell,2nd,1/2 l,4,11-11,101,True,85,19
