track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Second Fiddle (IRE),N. G. McCullagh,0,C. P. Donoghue,12th,4 1/2 l,3,9-3t1,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Lottie Go Lightly (IRE),Ben Martin Coen,0,Edward Lynam,11th,Neck,3,9-3h1,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Cyclamen (IRE),W. M. Lordan,0,Aidan O'Brien,10th,1 1/2 l,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Maid To Shine (IRE),Declan McDonogh,0,P. J. Hassett,9th,5 1/2 l,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Shining Crystal,Seamie Heffernan,0,Adrian Murray,8th,2 l,3,9-3t,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Snow Lion (IRE),R. C. Colgan,0,Christopher David Timmons,7th,6 1/2 l,3,9-3h1,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Neverfindanother U (IRE),G. F. Carroll,0,T. Gibney,6th,Neck,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Awqaat (IRE),D. W. O'Connor,0,John McConnell,5th,2 1/2 l,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Elda (IRE),G. M. Ryan,0,Andrew Kinirons,4th,10 l,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Echoing (IRE),N. M. Crosse,0,W. McCreery,3rd,2 l,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Lizzy's Filly (IRE),D. B. McMonagle,0,Ciaran Murphy,2nd,12 l,3,9-3p1,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Bua (IRE),William James Lee,0,P. Twomey,1st,N/A,3,9-3v1,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Second Fiddle (IRE),N. G. McCullagh,0,C. P. Donoghue,12th,4 1/2 l,3,9-3t1,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Lottie Go Lightly (IRE),Ben Martin Coen,0,Edward Lynam,11th,Neck,3,9-3h1,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Cyclamen (IRE),W. M. Lordan,0,Aidan O'Brien,10th,1 1/2 l,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Maid To Shine (IRE),Declan McDonogh,0,P. J. Hassett,9th,5 1/2 l,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Shining Crystal,Seamie Heffernan,0,Adrian Murray,8th,2 l,3,9-3t,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Snow Lion (IRE),R. C. Colgan,0,Christopher David Timmons,7th,6 1/2 l,3,9-3h1,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Neverfindanother U (IRE),G. F. Carroll,0,T. Gibney,6th,Neck,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Awqaat (IRE),D. W. O'Connor,0,John McConnell,5th,2 1/2 l,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Elda (IRE),G. M. Ryan,0,Andrew Kinirons,4th,10 l,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Echoing (IRE),N. M. Crosse,0,W. McCreery,3rd,2 l,3,9-3,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Lizzy's Filly (IRE),D. B. McMonagle,0,Ciaran Murphy,2nd,12 l,3,9-3p1,-,True,28,1
Curragh Racing Results | 23rd October 2022 14:35,N/A,14:35,Soft To Heavy,7f,Bua (IRE),William James Lee,0,P. Twomey,1st,N/A,3,9-3v1,-,True,28,1
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Affable (USA),N. G. McCullagh,0,K. J. Condon,10th,8 1/2 l,5,9-2tv,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Markaz Paname (IRE),C. T. Keane,0,G. M. Lyons,9th,3 1/2 l,3,9-11b1,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Craft Irish (IRE),J. Coen,0,P. J. F. Murphy,8th,1 3/4 l,4,9-2p,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Lustown Baba (IRE),Ben Martin Coen,0,John Patrick Murtagh,7th,2 3/4 l,5,9-2b1,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Gustavus Weston (IRE),G. F. Carroll,0,Joseph G. Murphy,6th,Head,6,9-7,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Dexter Belle (IRE),A. J. Slattery,0,Edward Lynam,5th,2 1/4 l,4,9-2p1,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Pretty Rebel (IRE),D. B. McMonagle,0,G. O'Leary,4th,Neck,5,9-2p,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Life In Colour,R. P. Cleary,0,W. McCreery,3rd,1/2 l,3,9-1v,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Big Gossey (IRE),D. E. Sheehy,0,Charles O'Brien,2nd,3 3/4 l,5,9-7p,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Moss Tucker (IRE),William James Lee,0,K. J. Condon,1st,N/A,4,9-7t,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Affable (USA),N. G. McCullagh,0,K. J. Condon,10th,8 1/2 l,5,9-2tv,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Markaz Paname (IRE),C. T. Keane,0,G. M. Lyons,9th,3 1/2 l,3,9-11b1,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Craft Irish (IRE),J. Coen,0,P. J. F. Murphy,8th,1 3/4 l,4,9-2p,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Lustown Baba (IRE),Ben Martin Coen,0,John Patrick Murtagh,7th,2 3/4 l,5,9-2b1,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Gustavus Weston (IRE),G. F. Carroll,0,Joseph G. Murphy,6th,Head,6,9-7,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Dexter Belle (IRE),A. J. Slattery,0,Edward Lynam,5th,2 1/4 l,4,9-2p1,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Pretty Rebel (IRE),D. B. McMonagle,0,G. O'Leary,4th,Neck,5,9-2p,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Life In Colour,R. P. Cleary,0,W. McCreery,3rd,1/2 l,3,9-1v,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Big Gossey (IRE),D. E. Sheehy,0,Charles O'Brien,2nd,3 3/4 l,5,9-7p,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:10,N/A,15:10,Soft To Heavy,6f,Moss Tucker (IRE),William James Lee,0,K. J. Condon,1st,N/A,4,9-7t,-,True,28,2
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Lismore (FR),C. T. Keane,0,Henry de Bromhead,12th,11 l,5,9-6p,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Manu Et Corde (IRE),K. J. Manning,0,J. S. Bolger,11th,1 l,3,9-1,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Taipan (FR),S. McCullagh,0,Mrs J. Harrington,10th,1/2 l,4,9-9tp1,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Scenic Look (IRE),G. P. Halpin,0,Adrian Murray,9th,13 l,4,9-6,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Seattle Creek,N. M. Crosse,0,Luke Comer,8th,3 1/2 l,4,9-9t,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Pita Pinta (IRE),W. M. Lordan,0,J. A. Stack,7th,6 l,4,9-6,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Beamish (FR),William James Lee,0,P. Twomey,6th,1/2 l,4,9-9,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Azallya (IRE),D. W. O'Connor,0,D. K. Weld,5th,3/4 l,4,9-6p1,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Mighty Blue (FR),Declan McDonogh,0,Joseph Patrick O'Brien,4th,1 1/4 l,6,9-6t,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Star Image,Ben Martin Coen,0,Thomas Mullins,3rd,3/4 l,4,9-6,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Baron Samedi,D. B. McMonagle,0,Joseph Patrick O'Brien,2nd,5 1/2 l,5,9-9t,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Emily Dickinson (IRE),Seamie Heffernan,0,Aidan O'Brien,1st,N/A,3,8-12,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Lismore (FR),C. T. Keane,0,Henry de Bromhead,12th,11 l,5,9-6p,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Manu Et Corde (IRE),K. J. Manning,0,J. S. Bolger,11th,1 l,3,9-1,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Taipan (FR),S. McCullagh,0,Mrs J. Harrington,10th,1/2 l,4,9-9tp1,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Scenic Look (IRE),G. P. Halpin,0,Adrian Murray,9th,13 l,4,9-6,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Seattle Creek,N. M. Crosse,0,Luke Comer,8th,3 1/2 l,4,9-9t,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Pita Pinta (IRE),W. M. Lordan,0,J. A. Stack,7th,6 l,4,9-6,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Beamish (FR),William James Lee,0,P. Twomey,6th,1/2 l,4,9-9,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Azallya (IRE),D. W. O'Connor,0,D. K. Weld,5th,3/4 l,4,9-6p1,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Mighty Blue (FR),Declan McDonogh,0,Joseph Patrick O'Brien,4th,1 1/4 l,6,9-6t,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Star Image,Ben Martin Coen,0,Thomas Mullins,3rd,3/4 l,4,9-6,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Baron Samedi,D. B. McMonagle,0,Joseph Patrick O'Brien,2nd,5 1/2 l,5,9-9t,-,True,28,3
Curragh Racing Results | 23rd October 2022 15:45,N/A,15:45,Soft To Heavy,2m,Emily Dickinson (IRE),Seamie Heffernan,0,Aidan O'Brien,1st,N/A,3,8-12,-,True,28,3
Curragh Racing Results | 23rd October 2022 16:20,N/A,16:20,Soft To Heavy,1m 4f,Mo Churam (IRE),Mr S. A. O'Shea,7,Mrs A. M. O'Shea,9th,40 l,13,11-4,-,True,28,4
Curragh Racing Results | 23rd October 2022 16:20,N/A,16:20,Soft To Heavy,1m 4f,Sea Appeal (IRE),Mr John Reddington,7,Richard Hughes,8th,4 1/2 l,4,12-0,-,True,28,4
Curragh Racing Results | 23rd October 2022 16:20,N/A,16:20,Soft To Heavy,1m 4f,Balaclava (IRE),Ms M. Kelly,7,Darren Bunyan,7th,22 l,9,11-4,-,True,28,4
Curragh Racing Results | 23rd October 2022 16:20,N/A,16:20,Soft To Heavy,1m 4f,Ricky Bobby (IRE),Mr D. Doyle,7,John J. Walsh,6th,11 l,7,11-4,-,True,28,4
Curragh Racing Results | 23rd October 2022 16:20,N/A,16:20,Soft To Heavy,1m 4f,Mona's Star (IRE),Mr T. Hamilton,0,John Queally,5th,Nose,5,11-7,-,True,28,4
Curragh Racing Results | 23rd October 2022 16:20,N/A,16:20,Soft To Heavy,1m 4f,Benkei (IRE),Miss M. Walsh,7,Harry Rogers,4th,19 l,12,11-7p,-,True,28,4
Curragh Racing Results | 23rd October 2022 16:20,N/A,16:20,Soft To Heavy,1m 4f,Dagoda (IRE),Miss G. German,7,Ms Sheila Lavery,3rd,6 1/2 l,4,10-13,-,True,28,4
Curragh Racing Results | 23rd October 2022 16:20,N/A,16:20,Soft To Heavy,1m 4f,Shanroe,Mr J. C. Barry,0,Karl Thornton,2nd,3 1/2 l,8,12-0t,-,True,28,4
Curragh Racing Results | 23rd October 2022 16:20,N/A,16:20,Soft To Heavy,1m 4f,Falcon Eight (IRE),Mr Finian Maguire,0,D. K. Weld,1st,N/A,7,11-7b,-,True,28,4
Curragh Racing Results | 23rd October 2022 16:20,N/A,16:20,Soft To Heavy,1m 4f,Mo Churam (IRE),Mr S. A. O'Shea,7,Mrs A. M. O'Shea,9th,40 l,13,11-4,-,True,28,4
Curragh Racing Results | 23rd October 2022 16:20,N/A,16:20,Soft To Heavy,1m 4f,Sea Appeal (IRE),Mr John Reddington,7,Richard Hughes,8th,4 1/2 l,4,12-0,-,True,28,4
Curragh Racing Results | 23rd October 2022 16:20,N/A,16:20,Soft To Heavy,1m 4f,Balaclava (IRE),Ms M. Kelly,7,Darren Bunyan,7th,22 l,9,11-4,-,True,28,4
Curragh Racing Results | 23rd October 2022 16:20,N/A,16:20,Soft To Heavy,1m 4f,Ricky Bobby (IRE),Mr D. Doyle,7,John J. Walsh,6th,11 l,7,11-4,-,True,28,4
Curragh Racing Results | 23rd October 2022 16:20,N/A,16:20,Soft To Heavy,1m 4f,Mona's Star (IRE),Mr T. Hamilton,0,John Queally,5th,Nose,5,11-7,-,True,28,4
Curragh Racing Results | 23rd October 2022 16:20,N/A,16:20,Soft To Heavy,1m 4f,Benkei (IRE),Miss M. Walsh,7,Harry Rogers,4th,19 l,12,11-7p,-,True,28,4
Curragh Racing Results | 23rd October 2022 16:20,N/A,16:20,Soft To Heavy,1m 4f,Dagoda (IRE),Miss G. German,7,Ms Sheila Lavery,3rd,6 1/2 l,4,10-13,-,True,28,4
Curragh Racing Results | 23rd October 2022 16:20,N/A,16:20,Soft To Heavy,1m 4f,Shanroe,Mr J. C. Barry,0,Karl Thornton,2nd,3 1/2 l,8,12-0t,-,True,28,4
Curragh Racing Results | 23rd October 2022 16:20,N/A,16:20,Soft To Heavy,1m 4f,Falcon Eight (IRE),Mr Finian Maguire,0,D. K. Weld,1st,N/A,7,11-7b,-,True,28,4
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Georgeta,J. Kearney,7,G. M. Lyons,NR,N/A,3,9-4b1,77,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Let's Fly Again,R. Whearty,7,Richard John O'Brien,18th,1 l,3,9-4,77,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Facethepuckout (IRE),C. T. Keane,0,M. D. O'Callaghan,17th,3 l,6,9-8,79,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Half Nutz (IRE),J. A. Powell,7,John Patrick Murtagh,16th,3 1/2 l,5,10-0,85,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Majestic Colt (IRE),D. King,7,Denis Hogan,15th,Neck,7,9-13tb1,84,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,You Owe Me Money (IRE),N. G. McCullagh,0,G. O'Leary,14th,2 l,4,8-8,65,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Perfect Thunder,J. Coen,5,Joseph Patrick O'Brien,13th,3/4 l,3,10-1,88,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Redstone Well (IRE),M. A. Enright,0,Daniel William O'Sullivan,12th,Neck,3,9-2,75,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Breaking Story (IRE),N. M. Crosse,0,Richard John O'Brien,11th,1 1/4 l,6,9-13,84,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Plunkett,D. J. Gilligan,7,Paul W. Flynn,10th,Head,5,10-1,86,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,The Blue Panther (IRE),Declan McDonogh,0,Michael Mulvany,9th,Neck,4,9-3tp,74,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Zephron,D. B. McMonagle,0,Denis W. Cullen,8th,1 l,5,9-3p,74,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Verhoyen,Jack Cleary,7,M. C. Grassick,7th,1/2 l,7,10-5b,90,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Princess Sela (IRE),K. J. Manning,0,G. O'Leary,6th,Neck,4,9-6p,77,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Mary Salome (IRE),William James Lee,0,Andrew Kinirons,5th,3/4 l,6,9-12,83,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Plume Noire (IRE),J. J. G. Ryan,7,B. Duffy,4th,1 3/4 l,4,9-12,83,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Is That Love (IRE),C. J. MacRedmond,5,Adrian McGuinness,3rd,2 1/4 l,5,9-7,78,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,San Aer (IRE),Ben Martin Coen,0,Thomas Mullins,2nd,2 l,4,9-4t,75,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Coins Cross (IRE),P. A. Harnett,7,Eddie & Patrick Harty,1st,N/A,4,9-4b,75,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Georgeta,J. Kearney,7,G. M. Lyons,NR,N/A,3,9-4b1,77,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Let's Fly Again,R. Whearty,7,Richard John O'Brien,18th,1 l,3,9-4,77,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Facethepuckout (IRE),C. T. Keane,0,M. D. O'Callaghan,17th,3 l,6,9-8,79,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Half Nutz (IRE),J. A. Powell,7,John Patrick Murtagh,16th,3 1/2 l,5,10-0,85,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Majestic Colt (IRE),D. King,7,Denis Hogan,15th,Neck,7,9-13tb1,84,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,You Owe Me Money (IRE),N. G. McCullagh,0,G. O'Leary,14th,2 l,4,8-8,65,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Perfect Thunder,J. Coen,5,Joseph Patrick O'Brien,13th,3/4 l,3,10-1,88,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Redstone Well (IRE),M. A. Enright,0,Daniel William O'Sullivan,12th,Neck,3,9-2,75,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Breaking Story (IRE),N. M. Crosse,0,Richard John O'Brien,11th,1 1/4 l,6,9-13,84,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Plunkett,D. J. Gilligan,7,Paul W. Flynn,10th,Head,5,10-1,86,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,The Blue Panther (IRE),Declan McDonogh,0,Michael Mulvany,9th,Neck,4,9-3tp,74,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Zephron,D. B. McMonagle,0,Denis W. Cullen,8th,1 l,5,9-3p,74,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Verhoyen,Jack Cleary,7,M. C. Grassick,7th,1/2 l,7,10-5b,90,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Princess Sela (IRE),K. J. Manning,0,G. O'Leary,6th,Neck,4,9-6p,77,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Mary Salome (IRE),William James Lee,0,Andrew Kinirons,5th,3/4 l,6,9-12,83,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Plume Noire (IRE),J. J. G. Ryan,7,B. Duffy,4th,1 3/4 l,4,9-12,83,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Is That Love (IRE),C. J. MacRedmond,5,Adrian McGuinness,3rd,2 1/4 l,5,9-7,78,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,San Aer (IRE),Ben Martin Coen,0,Thomas Mullins,2nd,2 l,4,9-4t,75,True,28,5
Curragh Racing Results | 23rd October 2022 16:55,N/A,16:55,Soft To Heavy,7f,Coins Cross (IRE),P. A. Harnett,7,Eddie & Patrick Harty,1st,N/A,4,9-4b,75,True,28,5
Curragh Racing Results | 23rd October 2022 17:30,N/A,17:30,Soft To Heavy,5f,Dragons Call (IRE),J. A. Powell,7,J. J. Feane,14th,5 1/2 l,6,9-6,64,True,28,6
Curragh Racing Results | 23rd October 2022 17:30,N/A,17:30,Soft To Heavy,5f,Tynan (IRE),Sorcha Woods,7,R. K. Watson,13th,3 l,4,8-7,51,True,28,6
Curragh Racing Results | 23rd October 2022 17:30,N/A,17:30,Soft To Heavy,5f,Man Is King (IRE),D. E. Sheehy,3,Sean Byrne,12th,6 l,3,8-7,51,True,28,6
Curragh Racing Results | 23rd October 2022 17:30,N/A,17:30,Soft To Heavy,5f,Seven Worlds (IRE),C. Horgan,7,Darren Bunyan,11th,2 1/2 l,5,8-7tb,51,True,28,6
Curragh Racing Results | 23rd October 2022 17:30,N/A,17:30,Soft To Heavy,5f,Sosallycanwait (IRE),G. M. Ryan,0,Leanne Breen,10th,4 1/4 l,3,9-2p,60,True,28,6
Curragh Racing Results | 23rd October 2022 17:30,N/A,17:30,Soft To Heavy,5f,Art of Unity,M. A. Enright,0,Alan Richardson,9th,Neck,7,10-0p,72,True,28,6
Curragh Racing Results | 23rd October 2022 17:30,N/A,17:30,Soft To Heavy,5f,Mehman,C. T. Keane,0,G. O'Leary,8th,Neck,3,10-1t,73,True,28,6
Curragh Racing Results | 23rd October 2022 17:30,N/A,17:30,Soft To Heavy,5f,Stanhope (USA),M. P. Sheehy,0,John McConnell,7th,1 3/4 l,8,8-13,57,True,28,6
Curragh Racing Results | 23rd October 2022 17:30,N/A,17:30,Soft To Heavy,5f,Mymomentintime (USA),William James Lee,0,Susan A. Finn,6th,2 1/2 l,3,10-2t,74,True,28,6
Curragh Racing Results | 23rd October 2022 17:30,N/A,17:30,Soft To Heavy,5f,Stickyourneckout (IRE),S. D. Bowen,7,J. F. Levins,5th,2 l,3,8-7,51,True,28,6
Curragh Racing Results | 23rd October 2022 17:30,N/A,17:30,Soft To Heavy,5f,Downforce (IRE),N. M. Crosse,0,W. McCreery,4th,3/4 l,10,10-1b,73,True,28,6
Curragh Racing Results | 23rd October 2022 17:30,N/A,17:30,Soft To Heavy,5f,Hot Whispers (IRE),W. M. Lordan,0,Shane Nolan,3rd,2 3/4 l,3,8-7tp1,51,True,28,6
Curragh Racing Results | 23rd October 2022 17:30,N/A,17:30,Soft To Heavy,5f,Cnodian (IRE),Jessica Maye,10,W. McCreery,2nd,3/4 l,4,9-10,68,True,28,6
Curragh Racing Results | 23rd October 2022 17:30,N/A,17:30,Soft To Heavy,5f,Sounds Of Spring (IRE),N. G. McCullagh,0,K. J. Condon,1st,N/A,5,9-7tb,65,True,28,6
Curragh Racing Results | 23rd October 2022 17:30,N/A,17:30,Soft To Heavy,5f,Dragons Call (IRE),J. A. Powell,7,J. J. Feane,14th,5 1/2 l,6,9-6,64,True,28,6
Curragh Racing Results | 23rd October 2022 17:30,N/A,17:30,Soft To Heavy,5f,Tynan (IRE),Sorcha Woods,7,R. K. Watson,13th,3 l,4,8-7,51,True,28,6
Curragh Racing Results | 23rd October 2022 17:30,N/A,17:30,Soft To Heavy,5f,Man Is King (IRE),D. E. Sheehy,3,Sean Byrne,12th,6 l,3,8-7,51,True,28,6
Curragh Racing Results | 23rd October 2022 17:30,N/A,17:30,Soft To Heavy,5f,Seven Worlds (IRE),C. Horgan,7,Darren Bunyan,11th,2 1/2 l,5,8-7tb,51,True,28,6
Curragh Racing Results | 23rd October 2022 17:30,N/A,17:30,Soft To Heavy,5f,Sosallycanwait (IRE),G. M. Ryan,0,Leanne Breen,10th,4 1/4 l,3,9-2p,60,True,28,6
