track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,2025-09-23,14:50,Heavy,7f 15y,Play It Again Zaam (IRE),J J G Ryan,0,D A McLoughlin,15th,2 l,5,9-9b1,52,True,19,1
N/A,2025-09-23,14:50,Heavy,7f 15y,Shawaamekh,D Browne McMonagle,0,Maurice Ahern,14th,4 1/2 l,11,9-12,55,True,19,1
N/A,2025-09-23,14:50,Heavy,7f 15y,Linger For Longer (IRE),Billy Lee,0,A Leahy,13th,1 3/4 l,6,10-0p,57,True,19,1
N/A,2025-09-23,14:50,Heavy,7f 15y,Angels Instead (IRE),Leigh Roche,0,Miss Jennifer Anne Lynch,12th,Neck,3,9-10,56,True,19,1
N/A,2025-09-23,14:50,Heavy,7f 15y,Kitty Bear (IRE),Orla Tynan,10,A Slattery,11th,Head,3,9-8,54,True,19,1
N/A,2025-09-23,14:50,Heavy,7f 15y,Shuyak (IRE),Wayne Hassett,3,P J F Murphy,10th,1 3/4 l,3,8-8,40,True,19,1
N/A,2025-09-23,14:50,Heavy,7f 15y,Relevant Range (IRE),D J O'sullivan,7,G Scott,9th,Head,6,9-11p,54,True,19,1
N/A,2025-09-23,14:50,Heavy,7f 15y,Alex Belardo (IRE),D J O'Connor,0,J C McConnell,8th,3/4 l,4,9-11v,54,True,19,1
N/A,2025-09-23,14:50,Heavy,7f 15y,Beat The Devil (IRE),C T Keane,0,P Magee,7th,1 1/4 l,3,9-6t,52,True,19,1
N/A,2025-09-23,14:50,Heavy,7f 15y,Micasso (IRE),R C Colgan,0,D Kinsella,6th,Neck,3,9-1tp1,47,True,19,1
N/A,2025-09-23,14:50,Heavy,7f 15y,Mogwli (IRE),Jessica Maye,7,W McCreery,5th,2 1/4 l,8,9-13,56,True,19,1
N/A,2025-09-23,14:50,Heavy,7f 15y,Half Nutz (IRE),R P Whelan,0,T O'Brien,4th,3 l,8,9-4,47,True,19,1
N/A,2025-09-23,14:50,Heavy,7f 15y,Liamo (IRE),P A Harnett,5,Brendan Walsh,3rd,Neck,4,9-3tb,46,True,19,1
N/A,2025-09-23,14:50,Heavy,7f 15y,Nibras Rainbow (IRE),G F Carroll,0,G P Cromwell,2nd,3 1/4 l,5,9-2v,45,True,19,1
N/A,2025-09-23,14:50,Heavy,7f 15y,The Blue Panther (IRE),Nicola Burns,7,R P Burns,1st,N/A,7,9-9p,52,True,19,1
N/A,2025-09-23,14:50,Heavy,7f 15y,Play It Again Zaam (IRE),J J G Ryan,0,D A McLoughlin,15th,2 l,5,9-9b1,52,True,19,1
N/A,2025-09-23,14:50,Heavy,7f 15y,Shawaamekh,D Browne McMonagle,0,Maurice Ahern,14th,4 1/2 l,11,9-12,55,True,19,1
N/A,2025-09-23,14:50,Heavy,7f 15y,Linger For Longer (IRE),Billy Lee,0,A Leahy,13th,1 3/4 l,6,10-0p,57,True,19,1
N/A,2025-09-23,14:50,Heavy,7f 15y,Angels Instead (IRE),Leigh Roche,0,Miss Jennifer Anne Lynch,12th,Neck,3,9-10,56,True,19,1
