track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Killarney Racing Results | 1st October 2023 15:00,N/A,15:00,Yielding To Soft (Yielding In Places),2m 6f 180y,Lake Winnipesaukee (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,5th,2 1/2 l,6,11-12h,-,True,84,1
Killarney Racing Results | 1st October 2023 15:00,N/A,15:00,Yielding To Soft (Yielding In Places),2m 6f 180y,Gortmillish (FR),Jordan Colin Gainford,0,Gordon Elliott,4th,1 1/2 l,7,11-12,-,True,84,1
Killarney Racing Results | 1st October 2023 15:00,N/A,15:00,Yielding To Soft (Yielding In Places),2m 6f 180y,Hartur D'arc (FR),D. King,3,T. Gibney,3rd,5 1/2 l,6,11-3h1,-,True,84,1
Killarney Racing Results | 1st October 2023 15:00,N/A,15:00,Yielding To Soft (Yielding In Places),2m 6f 180y,Winning Smut (IRE),P. Byrnes,5,M. Hourigan,2nd,5 l,4,11-0,-,True,84,1
Killarney Racing Results | 1st October 2023 15:00,N/A,15:00,Yielding To Soft (Yielding In Places),2m 6f 180y,Solitary Man (IRE),D. J. O'Keeffe,0,Enda Bolger,1st,N/A,5,11-9,-,True,84,1
Killarney Racing Results | 1st October 2023 15:00,N/A,15:00,Yielding To Soft (Yielding In Places),2m 6f 180y,Lake Winnipesaukee (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,5th,2 1/2 l,6,11-12h,-,True,84,1
Killarney Racing Results | 1st October 2023 15:00,N/A,15:00,Yielding To Soft (Yielding In Places),2m 6f 180y,Gortmillish (FR),Jordan Colin Gainford,0,Gordon Elliott,4th,1 1/2 l,7,11-12,-,True,84,1
Killarney Racing Results | 1st October 2023 15:00,N/A,15:00,Yielding To Soft (Yielding In Places),2m 6f 180y,Hartur D'arc (FR),D. King,3,T. Gibney,3rd,5 1/2 l,6,11-3h1,-,True,84,1
Killarney Racing Results | 1st October 2023 15:00,N/A,15:00,Yielding To Soft (Yielding In Places),2m 6f 180y,Winning Smut (IRE),P. Byrnes,5,M. Hourigan,2nd,5 l,4,11-0,-,True,84,1
Killarney Racing Results | 1st October 2023 15:00,N/A,15:00,Yielding To Soft (Yielding In Places),2m 6f 180y,Solitary Man (IRE),D. J. O'Keeffe,0,Enda Bolger,1st,N/A,5,11-9,-,True,84,1
Killarney Racing Results | 1st October 2023 15:35,N/A,15:35,Yielding To Soft (Yielding In Places),2m 6f 180y,Rossies Tara,D. King,3,Mark McNiff,UR,N/A,7,10-7t,80,True,84,2
Killarney Racing Results | 1st October 2023 15:35,N/A,15:35,Yielding To Soft (Yielding In Places),2m 6f 180y,Nicoles Getaway (IRE),M. P. O'Connor,3,Sean Aherne,PU,N/A,5,10-7t1,80,True,84,2
Killarney Racing Results | 1st October 2023 15:35,N/A,15:35,Yielding To Soft (Yielding In Places),2m 6f 180y,Minnie Beets (IRE),Jordan Colin Gainford,0,Gordon Elliott,13th,20 l,5,11-0,87,True,84,2
Killarney Racing Results | 1st October 2023 15:35,N/A,15:35,Yielding To Soft (Yielding In Places),2m 6f 180y,On My Bike (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,12th,4 3/4 l,5,11-5,92,True,84,2
Killarney Racing Results | 1st October 2023 15:35,N/A,15:35,Yielding To Soft (Yielding In Places),2m 6f 180y,Oh'herewego (IRE),Phillip Enright,0,V. T. O'Brien,11th,24 l,14,10-7,80,True,84,2
