track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,20:20,Good To Firm,1m 1f 100y,Lucky Queen (IRE),R P Cleary,0,A Mullins,9th,1 1/4 l,5,9-1t,50,True,133,42
N/A,N/A,20:20,Good To Firm,1m 1f 100y,Plunkett Street,N M Crosse,0,Michael W O'Meara,8th,2 l,6,9-2,51,True,133,42
N/A,N/A,20:20,Good To Firm,1m 1f 100y,Just Another Eagle (IRE),C D Hayes,0,P J Flynn,7th,1 1/2 l,4,9-1,50,True,133,42
N/A,N/A,20:20,Good To Firm,1m 1f 100y,Dark Treat (IRE),J M Sheridan,0,T Doyle,6th,2 1/4 l,5,8-12,47,True,133,42
N/A,N/A,20:20,Good To Firm,1m 1f 100y,Chimeric (IRE),D W O'Connor,0,J F Levins,5th,1 1/4 l,7,9-12p,61,True,133,42
N/A,N/A,20:20,Good To Firm,1m 1f 100y,Init Together,L T McAteer,0,S Fahey,4th,4 l,6,9-2p,51,True,133,42
N/A,N/A,20:20,Good To Firm,1m 1f 100y,The World's Astage (IRE),B M Coen,0,D Dias,3rd,2 l,4,9-3tb1,52,True,133,42
N/A,N/A,20:20,Good To Firm,1m 1f 100y,Jarvis Brook (IRE),R P Whelan,0,P Nolan,2nd,Short Head,4,9-6,55,True,133,42
N/A,N/A,20:20,Good To Firm,1m 1f 100y,Polemon,A J Casey,10,D Hogan,1st,N/A,5,9-11tp,60,True,133,42
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Run Maggie Run (IRE),W Joyce,5,C Collins,11th,3/4 l,2,8-8,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Luna Tunes (IRE),J A Powell,3,J G Coogan,10th,4 1/4 l,2,8-8,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Wee Mary (IRE),K J Leonard,0,M G Quinn,9th,2 1/4 l,2,8-8,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Actin Like A Diva (IRE),N M Crosse,0,D Marnane,8th,1/2 l,2,8-10,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Some Beauty (IRE),J J G Ryan,5,Daniel Murphy,7th,Neck,2,8-12p1,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Magna Beauty (IRE),Siobhan Rutledge,3,E Buckley,6th,2 3/4 l,2,8-8,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Sassy Sox (IRE),M W Hassett,5,G P Cromwell,5th,1/2 l,2,8-10,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Muine Mor (IRE),R Whearty,5,G P Cromwell,4th,1/2 l,2,8-10,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Moonhall Lass (IRE),N G McCullagh,0,Alan McIntyre,3rd,Neck,2,8-10p1,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Dazzling Angel,C D Hayes,0,P Twomey,2nd,3 3/4 l,2,8-8,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Ms Willpower (IRE),D McMonagle,0,P W Flynn,1st,N/A,2,9-0,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Run Maggie Run (IRE),W Joyce,5,C Collins,11th,3/4 l,2,8-8,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Luna Tunes (IRE),J A Powell,3,J G Coogan,10th,4 1/4 l,2,8-8,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Wee Mary (IRE),K J Leonard,0,M G Quinn,9th,2 1/4 l,2,8-8,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Actin Like A Diva (IRE),N M Crosse,0,D Marnane,8th,1/2 l,2,8-10,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Some Beauty (IRE),J J G Ryan,5,Daniel Murphy,7th,Neck,2,8-12p1,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Magna Beauty (IRE),Siobhan Rutledge,3,E Buckley,6th,2 3/4 l,2,8-8,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Sassy Sox (IRE),M W Hassett,5,G P Cromwell,5th,1/2 l,2,8-10,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Muine Mor (IRE),R Whearty,5,G P Cromwell,4th,1/2 l,2,8-10,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Moonhall Lass (IRE),N G McCullagh,0,Alan McIntyre,3rd,Neck,2,8-10p1,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Dazzling Angel,C D Hayes,0,P Twomey,2nd,3 3/4 l,2,8-8,-,True,133,43
Dundalk Racing Results | 15th August 2024 13:40,N/A,13:40,Standard,6f,Ms Willpower (IRE),D McMonagle,0,P W Flynn,1st,N/A,2,9-0,-,True,133,43
Dundalk Racing Results | 15th August 2024 14:15,N/A,14:15,Standard,6f,Scorchio (IRE),W Joyce,5,J Davison,8th,Head,3,9-1,87,True,133,44
Dundalk Racing Results | 15th August 2024 14:15,N/A,14:15,Standard,6f,Jered Maddox,L T McAteer,0,D Marnane,7th,1 3/4 l,8,9-4,86,True,133,44
Dundalk Racing Results | 15th August 2024 14:15,N/A,14:15,Standard,6f,Tawaazon (IRE),J A Heffernan,0,J A Kinsella,6th,3/4 l,6,8-12tv1,80,True,133,44
Dundalk Racing Results | 15th August 2024 14:15,N/A,14:15,Standard,6f,Dontspoilasale (IRE),W M Lordan,0,N Lupini,5th,1 1/2 l,4,9-2,84,True,133,44
Dundalk Racing Results | 15th August 2024 14:15,N/A,14:15,Standard,6f,Mint Man,J J G Ryan,5,P J F Murphy,4th,1/2 l,3,8-11t,83,True,133,44
Dundalk Racing Results | 15th August 2024 14:15,N/A,14:15,Standard,6f,Final Voyage (IRE),R M Mulligan,7,J P Murtagh,3rd,1 1/2 l,6,9-12,94,True,133,44
Dundalk Racing Results | 15th August 2024 14:15,N/A,14:15,Standard,6f,Moltophino (IRE),C D Hayes,0,J A Kinsella,2nd,1 1/2 l,3,8-7p,77,True,133,44
Dundalk Racing Results | 15th August 2024 14:15,N/A,14:15,Standard,6f,Little Queenie (IRE),R Whearty,5,P W Flynn,1st,N/A,5,10-0,96,True,133,44
Dundalk Racing Results | 15th August 2024 14:15,N/A,14:15,Standard,6f,Scorchio (IRE),W Joyce,5,J Davison,8th,Head,3,9-1,87,True,133,44
Dundalk Racing Results | 15th August 2024 14:15,N/A,14:15,Standard,6f,Jered Maddox,L T McAteer,0,D Marnane,7th,1 3/4 l,8,9-4,86,True,133,44
Dundalk Racing Results | 15th August 2024 14:15,N/A,14:15,Standard,6f,Tawaazon (IRE),J A Heffernan,0,J A Kinsella,6th,3/4 l,6,8-12tv1,80,True,133,44
Dundalk Racing Results | 15th August 2024 14:15,N/A,14:15,Standard,6f,Dontspoilasale (IRE),W M Lordan,0,N Lupini,5th,1 1/2 l,4,9-2,84,True,133,44
Dundalk Racing Results | 15th August 2024 14:15,N/A,14:15,Standard,6f,Mint Man,J J G Ryan,5,P J F Murphy,4th,1/2 l,3,8-11t,83,True,133,44
Dundalk Racing Results | 15th August 2024 14:15,N/A,14:15,Standard,6f,Final Voyage (IRE),R M Mulligan,7,J P Murtagh,3rd,1 1/2 l,6,9-12,94,True,133,44
Dundalk Racing Results | 15th August 2024 14:15,N/A,14:15,Standard,6f,Moltophino (IRE),C D Hayes,0,J A Kinsella,2nd,1 1/2 l,3,8-7p,77,True,133,44
Dundalk Racing Results | 15th August 2024 14:15,N/A,14:15,Standard,6f,Little Queenie (IRE),R Whearty,5,P W Flynn,1st,N/A,5,10-0,96,True,133,44
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Orange Avenue (IRE),J Kearney,0,Ciaran Murphy,RR,N/A,4,9-9,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Themsthejoys (IRE),H J Horgan,0,G Ahern,13th,37 l,3,9-8,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Edella (IRE),J Cleary,2,L McAteer,12th,11 l,3,9-3,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Seurat (IRE),Neve Bennett,7,W T Farrell,11th,8 l,3,9-8,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Tropical Shot (IRE),C Geerdharry,7,D Dias,10th,Neck,3,9-3,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Whoyatryingtocod (IRE),M W Hassett,0,A A Howard,9th,2 l,6,9-9ht,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Celtic Druid (IRE),Alyse Jane Clarke,7,T G McCourt,8th,1 1/2 l,3,9-8,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Camachero (IRE),Sorcha Woods,4,E Lynam,7th,Short Head,3,9-8,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Convincing (IRE),K G Kennedy,2,J J Murphy,6th,Head,3,9-8,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Musical Pace (IRE),R Whearty,0,E Lynam,5th,3 l,4,10-0,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Golden Circet (IRE),D J Power,7,W McCreery,4th,Neck,4,10-0,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Ateenosix (IRE),D J Murphy,7,M Halford & T Collins,3rd,3 1/2 l,3,9-8h,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Cuban Confusion,D S O'Sullivan,7,D Marnane,2nd,1 1/2 l,3,9-8,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Settlement,J J G Ryan,0,D K Weld,1st,N/A,3,9-3,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Orange Avenue (IRE),J Kearney,0,Ciaran Murphy,RR,N/A,4,9-9,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Themsthejoys (IRE),H J Horgan,0,G Ahern,13th,37 l,3,9-8,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Edella (IRE),J Cleary,2,L McAteer,12th,11 l,3,9-3,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Seurat (IRE),Neve Bennett,7,W T Farrell,11th,8 l,3,9-8,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Tropical Shot (IRE),C Geerdharry,7,D Dias,10th,Neck,3,9-3,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Whoyatryingtocod (IRE),M W Hassett,0,A A Howard,9th,2 l,6,9-9ht,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Celtic Druid (IRE),Alyse Jane Clarke,7,T G McCourt,8th,1 1/2 l,3,9-8,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Camachero (IRE),Sorcha Woods,4,E Lynam,7th,Short Head,3,9-8,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Convincing (IRE),K G Kennedy,2,J J Murphy,6th,Head,3,9-8,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Musical Pace (IRE),R Whearty,0,E Lynam,5th,3 l,4,10-0,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Golden Circet (IRE),D J Power,7,W McCreery,4th,Neck,4,10-0,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Ateenosix (IRE),D J Murphy,7,M Halford & T Collins,3rd,3 1/2 l,3,9-8h,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Cuban Confusion,D S O'Sullivan,7,D Marnane,2nd,1 1/2 l,3,9-8,-,True,133,45
Dundalk Racing Results | 15th August 2024 14:50,N/A,14:50,Standard,7f,Settlement,J J G Ryan,0,D K Weld,1st,N/A,3,9-3,-,True,133,45
Dundalk Racing Results | 15th August 2024 15:25,N/A,15:25,Standard,1m,J M's Joy (IRE),W Joyce,5,P Martin,7th,1/2 l,2,9-2,-,True,133,46
Dundalk Racing Results | 15th August 2024 15:25,N/A,15:25,Standard,1m,Faoladh (IRE),A J Slattery,0,A Slattery,6th,1 1/4 l,2,9-7,-,True,133,46
Dundalk Racing Results | 15th August 2024 15:25,N/A,15:25,Standard,1m,Queens Fury (FR),R Whearty,5,A Murray,5th,1 3/4 l,2,9-2,-,True,133,46
Dundalk Racing Results | 15th August 2024 15:25,N/A,15:25,Standard,1m,Charanda (IRE),J J G Ryan,5,A Murray,4th,Short Head,2,9-2,-,True,133,46
Dundalk Racing Results | 15th August 2024 15:25,N/A,15:25,Standard,1m,Tangapour (IRE),S B Kelly,0,J P Murtagh,3rd,2 1/4 l,2,9-7,-,True,133,46
Dundalk Racing Results | 15th August 2024 15:25,N/A,15:25,Standard,1m,Nakatomi (IRE),D McMonagle,0,A Murray,2nd,9 l,2,9-7,-,True,133,46
Dundalk Racing Results | 15th August 2024 15:25,N/A,15:25,Standard,1m,Bernard Shaw (USA),W M Lordan,0,A P O'Brien,1st,N/A,2,9-7,-,True,133,46
Dundalk Racing Results | 15th August 2024 15:25,N/A,15:25,Standard,1m,J M's Joy (IRE),W Joyce,5,P Martin,7th,1/2 l,2,9-2,-,True,133,46
Dundalk Racing Results | 15th August 2024 15:25,N/A,15:25,Standard,1m,Faoladh (IRE),A J Slattery,0,A Slattery,6th,1 1/4 l,2,9-7,-,True,133,46
Dundalk Racing Results | 15th August 2024 15:25,N/A,15:25,Standard,1m,Queens Fury (FR),R Whearty,5,A Murray,5th,1 3/4 l,2,9-2,-,True,133,46
Dundalk Racing Results | 15th August 2024 15:25,N/A,15:25,Standard,1m,Charanda (IRE),J J G Ryan,5,A Murray,4th,Short Head,2,9-2,-,True,133,46
Dundalk Racing Results | 15th August 2024 15:25,N/A,15:25,Standard,1m,Tangapour (IRE),S B Kelly,0,J P Murtagh,3rd,2 1/4 l,2,9-7,-,True,133,46
Dundalk Racing Results | 15th August 2024 15:25,N/A,15:25,Standard,1m,Nakatomi (IRE),D McMonagle,0,A Murray,2nd,9 l,2,9-7,-,True,133,46
Dundalk Racing Results | 15th August 2024 15:25,N/A,15:25,Standard,1m,Bernard Shaw (USA),W M Lordan,0,A P O'Brien,1st,N/A,2,9-7,-,True,133,46
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Boadicea Belle (IRE),D P McDonogh,0,M J Smith,14th,28 l,5,9-13p,61,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Barley Cove (IRE),C D Hayes,0,E Lynam,13th,3 1/4 l,3,9-9,64,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Maestro Stick,D McMonagle,0,K H Clarke,12th,1 3/4 l,7,9-4t,52,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Wayne R Walker,R C Colgan,0,D Kinsella,11th,2 1/4 l,5,9-3t,51,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Perfect Curves (IRE),K G Kennedy,7,G Elliott,10th,1 3/4 l,4,9-1p,49,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Shining Aitch,Alyse Jane Clarke,10,T G McCourt,9th,2 l,7,10-0tv,62,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Daonethatgotaway,G M Ryan,0,M Fahey,8th,1 1/4 l,4,10-0tb,62,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Makaiah (IRE),G F Carroll,0,G M Lyons,7th,1/2 l,3,9-6,61,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Jalo (IRE),J J G Ryan,5,T G McCourt,6th,1/2 l,4,9-8tv1,56,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Amemri,L T McAteer,0,D Marnane,5th,1 l,4,9-0,48,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Turbo Sprint (IRE),Siobhan Rutledge,3,J C McConnell,4th,Nose,4,8-13p,39,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Blue Wood (IRE),W Joyce,5,K Smith,3rd,Short Head,8,9-8t,56,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Special Angel (IRE),R Whearty,5,A Murray,2nd,2 1/4 l,3,9-7,62,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Marble Angel (IRE),W M Lordan,0,A Oliver,1st,N/A,4,9-4,52,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Boadicea Belle (IRE),D P McDonogh,0,M J Smith,14th,28 l,5,9-13p,61,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Barley Cove (IRE),C D Hayes,0,E Lynam,13th,3 1/4 l,3,9-9,64,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Maestro Stick,D McMonagle,0,K H Clarke,12th,1 3/4 l,7,9-4t,52,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Wayne R Walker,R C Colgan,0,D Kinsella,11th,2 1/4 l,5,9-3t,51,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Perfect Curves (IRE),K G Kennedy,7,G Elliott,10th,1 3/4 l,4,9-1p,49,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Shining Aitch,Alyse Jane Clarke,10,T G McCourt,9th,2 l,7,10-0tv,62,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Daonethatgotaway,G M Ryan,0,M Fahey,8th,1 1/4 l,4,10-0tb,62,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Makaiah (IRE),G F Carroll,0,G M Lyons,7th,1/2 l,3,9-6,61,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Jalo (IRE),J J G Ryan,5,T G McCourt,6th,1/2 l,4,9-8tv1,56,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Amemri,L T McAteer,0,D Marnane,5th,1 l,4,9-0,48,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Turbo Sprint (IRE),Siobhan Rutledge,3,J C McConnell,4th,Nose,4,8-13p,39,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Blue Wood (IRE),W Joyce,5,K Smith,3rd,Short Head,8,9-8t,56,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Special Angel (IRE),R Whearty,5,A Murray,2nd,2 1/4 l,3,9-7,62,True,133,47
Dundalk Racing Results | 15th August 2024 16:00,N/A,16:00,Standard,1m,Marble Angel (IRE),W M Lordan,0,A Oliver,1st,N/A,4,9-4,52,True,133,47
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,So Diligent,D E Sheehy,0,T G McCourt,NR,N/A,3,8-8p,49,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Cool Dan (IRE),G M Ryan,0,L Breen,NR,N/A,3,9-5tp,60,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Our Matilda (IRE),R M Mulligan,7,G B Caldwell,12th,Short Head,5,8-13p,46,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Double Martini (IRE),Siobhan Rutledge,3,J C McConnell,11th,1 l,8,8-13tv,38,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Albion Power (IRE),J A Heffernan,0,K H Clarke,10th,6 l,3,9-6,61,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Bobby K (IRE),D P McDonogh,0,Michael W O'Meara,9th,1/2 l,9,9-12,60,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Stop On Red (IRE),R P Whelan,0,Miss K Brown,8th,1 l,6,9-3p,51,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Sierra De Gredos,C D Hayes,0,A Oliver,7th,1/2 l,3,8-10,51,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Cherry Pink (IRE),C J MacRedmond,5,A McGuinness,6th,1 1/4 l,4,9-2v1,50,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,The Bog Bank (IRE),J J G Ryan,5,T G McCourt,5th,1 1/2 l,7,10-0tp,62,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Say You're Sorry (IRE),N M Crosse,0,E O'Connell,4th,Neck,6,9-6ht,54,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Bride Tree,J Cleary,7,Mrs S Dawson,3rd,Neck,4,9-11p,59,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Seas And Oceans (IRE),W M Lordan,0,Eoghan O'Neill,2nd,3/4 l,3,8-8b,49,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Rock Etoile (IRE),C Horgan,7,A Slattery,1st,N/A,6,9-8,56,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,So Diligent,D E Sheehy,0,T G McCourt,NR,N/A,3,8-8p,49,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Cool Dan (IRE),G M Ryan,0,L Breen,NR,N/A,3,9-5tp,60,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Our Matilda (IRE),R M Mulligan,7,G B Caldwell,12th,Short Head,5,8-13p,46,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Double Martini (IRE),Siobhan Rutledge,3,J C McConnell,11th,1 l,8,8-13tv,38,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Albion Power (IRE),J A Heffernan,0,K H Clarke,10th,6 l,3,9-6,61,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Bobby K (IRE),D P McDonogh,0,Michael W O'Meara,9th,1/2 l,9,9-12,60,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Stop On Red (IRE),R P Whelan,0,Miss K Brown,8th,1 l,6,9-3p,51,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Sierra De Gredos,C D Hayes,0,A Oliver,7th,1/2 l,3,8-10,51,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Cherry Pink (IRE),C J MacRedmond,5,A McGuinness,6th,1 1/4 l,4,9-2v1,50,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,The Bog Bank (IRE),J J G Ryan,5,T G McCourt,5th,1 1/2 l,7,10-0tp,62,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Say You're Sorry (IRE),N M Crosse,0,E O'Connell,4th,Neck,6,9-6ht,54,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Bride Tree,J Cleary,7,Mrs S Dawson,3rd,Neck,4,9-11p,59,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Seas And Oceans (IRE),W M Lordan,0,Eoghan O'Neill,2nd,3/4 l,3,8-8b,49,True,133,48
Dundalk Racing Results | 15th August 2024 16:35,N/A,16:35,Standard,1m,Rock Etoile (IRE),C Horgan,7,A Slattery,1st,N/A,6,9-8,56,True,133,48
Dundalk Racing Results | 15th August 2024 17:10,N/A,17:10,Standard,1m 2f 150y,Golden Twilight (IRE),C J MacRedmond,5,A McGuinness,9th,Neck,7,9-4tp,90,True,133,49
Dundalk Racing Results | 15th August 2024 17:10,N/A,17:10,Standard,1m 2f 150y,Impero (IRE),J Cleary,7,Michael G Cleary,8th,5 1/2 l,5,8-8,80,True,133,49
Dundalk Racing Results | 15th August 2024 17:10,N/A,17:10,Standard,1m 2f 150y,Shamwari (USA),D McMonagle,0,J P O'Brien,7th,1 l,4,9-12,98,True,133,49
Dundalk Racing Results | 15th August 2024 17:10,N/A,17:10,Standard,1m 2f 150y,Walhaan (IRE),J M Sheridan,0,Ciaran Murphy,6th,1/2 l,8,8-9tv,81,True,133,49
Dundalk Racing Results | 15th August 2024 17:10,N/A,17:10,Standard,1m 2f 150y,Squire Danagher,W M Lordan,0,A Oliver,5th,3 1/2 l,4,8-9p,81,True,133,49
Dundalk Racing Results | 15th August 2024 17:10,N/A,17:10,Standard,1m 2f 150y,Ridhaz (IRE),K G Kennedy,7,M Halford & T Collins,4th,1 1/4 l,3,8-7,85,True,133,49
Dundalk Racing Results | 15th August 2024 17:10,N/A,17:10,Standard,1m 2f 150y,Slieve Binnian (IRE),R P Whelan,0,M Halford & T Collins,3rd,1/2 l,4,9-2,88,True,133,49
Dundalk Racing Results | 15th August 2024 17:10,N/A,17:10,Standard,1m 2f 150y,Star Harbour (IRE),Adam Caffrey,3,A McGuinness,2nd,3/4 l,6,10-5v,105,True,133,49
Dundalk Racing Results | 15th August 2024 17:10,N/A,17:10,Standard,1m 2f 150y,Ameerat Jumaira,N G McCullagh,0,M Halford & T Collins,1st,N/A,4,8-7b,78,True,133,49
Dundalk Racing Results | 15th August 2024 17:10,N/A,17:10,Standard,1m 2f 150y,Golden Twilight (IRE),C J MacRedmond,5,A McGuinness,9th,Neck,7,9-4tp,90,True,133,49
Dundalk Racing Results | 15th August 2024 17:10,N/A,17:10,Standard,1m 2f 150y,Impero (IRE),J Cleary,7,Michael G Cleary,8th,5 1/2 l,5,8-8,80,True,133,49
Dundalk Racing Results | 15th August 2024 17:10,N/A,17:10,Standard,1m 2f 150y,Shamwari (USA),D McMonagle,0,J P O'Brien,7th,1 l,4,9-12,98,True,133,49
