track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Naas Racing Results | 14th September 2023 14:30,N/A,14:30,Good To Yielding  (Turf),5f 205y,Amerigo Vespucci (IRE),L. F. Roche,0,M. D. O'Callaghan,7th,3 3/4 l,2,9-5,-,True,80,1
Naas Racing Results | 14th September 2023 14:30,N/A,14:30,Good To Yielding  (Turf),5f 205y,Tsunami Speed,J. Kearney,7,Adrian Murray,6th,Nose,2,9-5t1,-,True,80,1
Naas Racing Results | 14th September 2023 14:30,N/A,14:30,Good To Yielding  (Turf),5f 205y,Livin It Up (IRE),R. P. Whelan,0,John S. O'Donoghue,5th,1 1/2 l,2,9-5,-,True,80,1
Naas Racing Results | 14th September 2023 14:30,N/A,14:30,Good To Yielding  (Turf),5f 205y,Valentino Express (IRE),D. N. Curran,7,Darren Bunyan,4th,1/2 l,2,9-5t,-,True,80,1
Naas Racing Results | 14th September 2023 14:30,N/A,14:30,Good To Yielding  (Turf),5f 205y,Mr Saturday (IRE),C. T. Keane,0,G. M. Lyons,3rd,2 1/2 l,2,9-5,-,True,80,1
Naas Racing Results | 14th September 2023 14:30,N/A,14:30,Good To Yielding  (Turf),5f 205y,Laugier Night (IRE),William James Lee,0,Noel Meade,2nd,2 3/4 l,2,9-5,-,True,80,1
Naas Racing Results | 14th September 2023 14:30,N/A,14:30,Good To Yielding  (Turf),5f 205y,Military,D. B. McMonagle,0,Aidan O'Brien,1st,N/A,2,9-5,-,True,80,1
Naas Racing Results | 14th September 2023 14:30,N/A,14:30,Good To Yielding  (Turf),5f 205y,Amerigo Vespucci (IRE),L. F. Roche,0,M. D. O'Callaghan,7th,3 3/4 l,2,9-5,-,True,80,1
Naas Racing Results | 14th September 2023 14:30,N/A,14:30,Good To Yielding  (Turf),5f 205y,Tsunami Speed,J. Kearney,7,Adrian Murray,6th,Nose,2,9-5t1,-,True,80,1
Naas Racing Results | 14th September 2023 14:30,N/A,14:30,Good To Yielding  (Turf),5f 205y,Livin It Up (IRE),R. P. Whelan,0,John S. O'Donoghue,5th,1 1/2 l,2,9-5,-,True,80,1
Naas Racing Results | 14th September 2023 14:30,N/A,14:30,Good To Yielding  (Turf),5f 205y,Valentino Express (IRE),D. N. Curran,7,Darren Bunyan,4th,1/2 l,2,9-5t,-,True,80,1
Naas Racing Results | 14th September 2023 14:30,N/A,14:30,Good To Yielding  (Turf),5f 205y,Mr Saturday (IRE),C. T. Keane,0,G. M. Lyons,3rd,2 1/2 l,2,9-5,-,True,80,1
Naas Racing Results | 14th September 2023 14:30,N/A,14:30,Good To Yielding  (Turf),5f 205y,Laugier Night (IRE),William James Lee,0,Noel Meade,2nd,2 3/4 l,2,9-5,-,True,80,1
Naas Racing Results | 14th September 2023 14:30,N/A,14:30,Good To Yielding  (Turf),5f 205y,Military,D. B. McMonagle,0,Aidan O'Brien,1st,N/A,2,9-5,-,True,80,1
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,La Juliana (IRE),Emma Anne Murphy,0,Kevin Thomas Coleman,14th,1 l,2,9-0,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,Excel In Space (IRE),Wesley Joyce,0,Michael Mulvany,13th,1 3/4 l,2,9-5tp1,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,Apollo Prince (IRE),C. D. Hayes,0,Eddie & Patrick Harty,12th,3/4 l,2,9-5,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,Copie Conforme (IRE),G. P. Halpin,0,Kevin Prendergast,11th,4 1/4 l,2,9-0,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,Beechwood Star (IRE),G. M. Ryan,0,Richard Fahey,10th,Head,2,9-5v1,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,Truly Kodi (IRE),R. C. Colgan,0,Ms Sheila Lavery,9th,1 1/2 l,2,9-5,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,Martinelli (IRE),R. P. Whelan,0,Kieran Patrick Cotter,8th,1/2 l,2,9-5,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,Duplantis (IRE),L. F. Roche,0,G. M. Lyons,7th,1/2 l,2,9-5,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,Ocean Baroque (IRE),Declan McDonogh,0,Kieran Patrick Cotter,6th,Head,2,9-5,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,Bid For Chester (IRE),G. F. Carroll,0,Michael Mulvany,5th,Nose,2,9-5,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,Velvet Skies (IRE),Ben Martin Coen,0,Michael Mulvany,4th,6 l,2,9-5,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,James's Delight (IRE),C. T. Keane,0,Clive Cox,3rd,1 1/2 l,2,9-5,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,Jakajaro (IRE),L. T. McAteer,0,David Marnane,2nd,1 l,2,9-5,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,King Cuan,William James Lee,0,P. Twomey,1st,N/A,2,9-5,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,La Juliana (IRE),Emma Anne Murphy,0,Kevin Thomas Coleman,14th,1 l,2,9-0,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,Excel In Space (IRE),Wesley Joyce,0,Michael Mulvany,13th,1 3/4 l,2,9-5tp1,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,Apollo Prince (IRE),C. D. Hayes,0,Eddie & Patrick Harty,12th,3/4 l,2,9-5,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,Copie Conforme (IRE),G. P. Halpin,0,Kevin Prendergast,11th,4 1/4 l,2,9-0,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,Beechwood Star (IRE),G. M. Ryan,0,Richard Fahey,10th,Head,2,9-5v1,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,Truly Kodi (IRE),R. C. Colgan,0,Ms Sheila Lavery,9th,1 1/2 l,2,9-5,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,Martinelli (IRE),R. P. Whelan,0,Kieran Patrick Cotter,8th,1/2 l,2,9-5,-,True,80,2
Naas Racing Results | 14th September 2023 15:05,N/A,15:05,Good To Yielding,5f 205y,Duplantis (IRE),L. F. Roche,0,G. M. Lyons,7th,1/2 l,2,9-5,-,True,80,2
