track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Grand Citadel (IRE),D S O'Sullivan,7,M Fenton,NR,N/A,3,9-5b,57,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Net A Porter Queen (IRE),K G Kennedy,4,Mrs J Harrington,NR,N/A,4,8-12p1,46,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Jackie Brown (IRE),M W Hassett,2,Mrs C O'Leary,NR,N/A,4,9-1t,50,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Conversant (IRE),C Horgan,4,Ciaran Murphy,NR,N/A,9,9-3tp,52,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Platino Bianco (IRE),P A Harnett,2,C Timmons,NR,N/A,3,9-12ht,64,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Grigal (IRE),Non Runner,0,R Brabazon,NR,N/A,5,9-11,60,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Sunday Sovereign,R Whearty,0,G A Kingston,NR,N/A,7,10-2,65,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Born Invincible (IRE),C Geerdharry,7,S M Duffy,11th,17 l,8,8-12t,37,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Cool Dan (IRE),S T McCullagh,0,L Breen,10th,3 1/4 l,3,9-9tp1,61,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Wayne R Walker,S P Bird,7,D Kinsella,9th,Neck,5,8-12t,46,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Elliott (IRE),H J Horgan,2,M G Quinn,8th,1 l,3,9-7,59,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Step Back In Time (IRE),C J MacRedmond,0,C Timmons,7th,1/2 l,6,9-3p,52,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Seas And Oceans (IRE),J Cleary,4,Eoghan O'Neill,6th,1 1/2 l,3,8-13b1,51,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Eriskay (IRE),Adam Caffrey,0,D K Weld,5th,3 l,5,8-13tp,48,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Livingston Range (IRE),D A Kidd,7,R Donohoe,4th,1 3/4 l,6,10-0t,63,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Theriverrunsdeep (IRE),W Joyce,0,S G O'Donnell,3rd,3/4 l,8,8-12p,46,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Viva Voce (IRE),R M Mulligan,7,Tom McGuinness,2nd,1/2 l,7,9-2,51,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Hero Of The Hour,J J G Ryan,0,T G McCourt,1st,N/A,7,9-13v,62,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Grand Citadel (IRE),D S O'Sullivan,7,M Fenton,NR,N/A,3,9-5b,57,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Net A Porter Queen (IRE),K G Kennedy,4,Mrs J Harrington,NR,N/A,4,8-12p1,46,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Jackie Brown (IRE),M W Hassett,2,Mrs C O'Leary,NR,N/A,4,9-1t,50,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Conversant (IRE),C Horgan,4,Ciaran Murphy,NR,N/A,9,9-3tp,52,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Platino Bianco (IRE),P A Harnett,2,C Timmons,NR,N/A,3,9-12ht,64,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Grigal (IRE),Non Runner,0,R Brabazon,NR,N/A,5,9-11,60,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Sunday Sovereign,R Whearty,0,G A Kingston,NR,N/A,7,10-2,65,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Born Invincible (IRE),C Geerdharry,7,S M Duffy,11th,17 l,8,8-12t,37,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Cool Dan (IRE),S T McCullagh,0,L Breen,10th,3 1/4 l,3,9-9tp1,61,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Wayne R Walker,S P Bird,7,D Kinsella,9th,Neck,5,8-12t,46,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Elliott (IRE),H J Horgan,2,M G Quinn,8th,1 l,3,9-7,59,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Step Back In Time (IRE),C J MacRedmond,0,C Timmons,7th,1/2 l,6,9-3p,52,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Seas And Oceans (IRE),J Cleary,4,Eoghan O'Neill,6th,1 1/2 l,3,8-13b1,51,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Eriskay (IRE),Adam Caffrey,0,D K Weld,5th,3 l,5,8-13tp,48,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Livingston Range (IRE),D A Kidd,7,R Donohoe,4th,1 3/4 l,6,10-0t,63,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Theriverrunsdeep (IRE),W Joyce,0,S G O'Donnell,3rd,3/4 l,8,8-12p,46,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Viva Voce (IRE),R M Mulligan,7,Tom McGuinness,2nd,1/2 l,7,9-2,51,True,132,1
Naas Racing Results | 5th August 2024 15:20,N/A,15:20,Good,5f 205y,Hero Of The Hour,J J G Ryan,0,T G McCourt,1st,N/A,7,9-13v,62,True,132,1
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Distillate,Adam Caffrey,3,A McGuinness,NR,N/A,4,9-6t,67,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Mile End,B M Coen,0,Ciaran Murphy,NR,N/A,4,9-13b,74,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Loingseoir (IRE),D E Sheehy,0,M C Grassick,NR,N/A,8,9-12t,73,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Queenie St Clair (IRE),Kyle Faulkner,10,E D Delany,15th,3/4 l,4,9-4tp1,65,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Al Yasat (IRE),D E Sheehy,0,Miss K McGivern,14th,9 1/2 l,4,8-7,52,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Prisoner's Dilemma,D W O'Connor,0,J F Levins,13th,3 3/4 l,8,9-13p,74,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Still Rolling (IRE),R P Cleary,0,J S Bolger,12th,1 1/2 l,3,8-10,63,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Not Forgotten (IRE),R P Whelan,0,M Halford & T Collins,11th,4 1/2 l,4,10-2b,77,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Zaragoza (IRE),C D Hayes,0,D K Weld,10th,1 1/4 l,4,9-4,65,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Nika Pika (IRE),C T Keane,0,P Magee,9th,1 3/4 l,3,9-2t,69,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Talia (IRE),W Joyce,5,N Lupini,8th,Head,4,9-13,74,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Badda Bing (IRE),A J Slattery,0,J Halley,7th,Neck,3,9-4,71,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Clarita (IRE),G F Carroll,0,G P Cromwell,6th,3 l,3,9-9,76,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Little Keilee (IRE),D McMonagle,0,Ciaran Murphy,5th,1 l,4,9-7,68,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Church Mountain (IRE),J M Sheridan,0,D Hogan,4th,Neck,6,9-4tp,65,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Sea Chariot,S Foley,0,J J Murphy,3rd,1/2 l,4,10-2t,77,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Dynamic Force (IRE),J J G Ryan,5,T G McCourt,2nd,1/2 l,5,9-11,72,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Secret Magician (IRE),M W Hassett,5,M Hassett,1st,N/A,5,9-2tp1,63,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Distillate,Adam Caffrey,3,A McGuinness,NR,N/A,4,9-6t,67,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Mile End,B M Coen,0,Ciaran Murphy,NR,N/A,4,9-13b,74,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Loingseoir (IRE),D E Sheehy,0,M C Grassick,NR,N/A,8,9-12t,73,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Queenie St Clair (IRE),Kyle Faulkner,10,E D Delany,15th,3/4 l,4,9-4tp1,65,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Al Yasat (IRE),D E Sheehy,0,Miss K McGivern,14th,9 1/2 l,4,8-7,52,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Prisoner's Dilemma,D W O'Connor,0,J F Levins,13th,3 3/4 l,8,9-13p,74,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Still Rolling (IRE),R P Cleary,0,J S Bolger,12th,1 1/2 l,3,8-10,63,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Not Forgotten (IRE),R P Whelan,0,M Halford & T Collins,11th,4 1/2 l,4,10-2b,77,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Zaragoza (IRE),C D Hayes,0,D K Weld,10th,1 1/4 l,4,9-4,65,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Nika Pika (IRE),C T Keane,0,P Magee,9th,1 3/4 l,3,9-2t,69,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Talia (IRE),W Joyce,5,N Lupini,8th,Head,4,9-13,74,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Badda Bing (IRE),A J Slattery,0,J Halley,7th,Neck,3,9-4,71,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Clarita (IRE),G F Carroll,0,G P Cromwell,6th,3 l,3,9-9,76,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Little Keilee (IRE),D McMonagle,0,Ciaran Murphy,5th,1 l,4,9-7,68,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Church Mountain (IRE),J M Sheridan,0,D Hogan,4th,Neck,6,9-4tp,65,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Sea Chariot,S Foley,0,J J Murphy,3rd,1/2 l,4,10-2t,77,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Dynamic Force (IRE),J J G Ryan,5,T G McCourt,2nd,1/2 l,5,9-11,72,True,132,2
Naas Racing Results | 5th August 2024 15:50,N/A,15:50,Good,7f,Secret Magician (IRE),M W Hassett,5,M Hassett,1st,N/A,5,9-2tp1,63,True,132,2
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Starlight Legacy (IRE),J A Powell,3,N Meade,13th,38 l,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Gladiadora (IRE),D E Sheehy,0,M C Grassick,12th,1 3/4 l,3,9-3h1,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Star Of Atlantis (IRE),G M Ryan,0,T Gibney,11th,2 1/2 l,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Supreme Success (IRE),D P McDonogh,0,J P O'Brien,10th,Neck,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,And Yet It Moves (IRE),A J Slattery,0,J A Stack,9th,2 1/2 l,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Flying Phoenix (IRE),J J G Ryan,5,C O'Connell,8th,4 1/4 l,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Colugo (IRE),L T McAteer,0,J M Barrett,7th,2 1/2 l,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Chessalla (IRE),D McMonagle,0,J P O'Brien,6th,3 l,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Kelbelle (IRE),M P Sheehy,0,J P O'Brien,5th,Short Head,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Nunc Est Bibendum (IRE),C T Keane,0,Stephen Gerard Carey,4th,Nose,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Mapa (CAN),R P Cleary,0,S Lavery,3rd,1 1/2 l,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Eternal Reign (IRE),R P Whelan,0,M Halford & T Collins,2nd,Neck,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Super Exceed (IRE),J A Heffernan,0,T Mullins,1st,N/A,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Starlight Legacy (IRE),J A Powell,3,N Meade,13th,38 l,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Gladiadora (IRE),D E Sheehy,0,M C Grassick,12th,1 3/4 l,3,9-3h1,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Star Of Atlantis (IRE),G M Ryan,0,T Gibney,11th,2 1/2 l,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Supreme Success (IRE),D P McDonogh,0,J P O'Brien,10th,Neck,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,And Yet It Moves (IRE),A J Slattery,0,J A Stack,9th,2 1/2 l,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Flying Phoenix (IRE),J J G Ryan,5,C O'Connell,8th,4 1/4 l,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Colugo (IRE),L T McAteer,0,J M Barrett,7th,2 1/2 l,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Chessalla (IRE),D McMonagle,0,J P O'Brien,6th,3 l,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Kelbelle (IRE),M P Sheehy,0,J P O'Brien,5th,Short Head,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Nunc Est Bibendum (IRE),C T Keane,0,Stephen Gerard Carey,4th,Nose,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Mapa (CAN),R P Cleary,0,S Lavery,3rd,1 1/2 l,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Eternal Reign (IRE),R P Whelan,0,M Halford & T Collins,2nd,Neck,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:20,N/A,16:20,Good,1m,Super Exceed (IRE),J A Heffernan,0,T Mullins,1st,N/A,3,9-3,-,True,132,3
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Morning Vietnam,C T Keane,0,M O'Callaghan,NR,N/A,2,9-2,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Right And True (IRE),W M Lordan,0,A P O'Brien,NR,N/A,2,9-2,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Elzem (IRE),M P Sheehy,0,J P O'Brien,NR,N/A,2,9-0,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Dandy Khan (IRE),N G McCullagh,0,Mrs J Harrington,NR,N/A,2,8-11,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Lethimfly (IRE),W J Lee,0,N Meade,21st,5 1/2 l,2,9-0,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Roaming Eyes (IRE),L F Roche,0,S Lavery,20th,1 l,2,8-11h,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Brosay,G M Ryan,0,D Dias,19th,2 l,2,9-2,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Vovatia (IRE),Siobhan Rutledge,0,S Lavery,18th,1 1/4 l,2,8-11h1,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Skillman Ave (IRE),C D Hayes,0,G P Cromwell,17th,Head,2,8-11,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Fiamma (IRE),R Whearty,0,A Murray,16th,2 1/4 l,2,9-1,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Mood Altering (IRE),J M Sheridan,0,J A Stack,15th,Head,2,9-1,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Tino Pai (IRE),R P Cleary,0,S Lavery,14th,Neck,2,8-11,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Adrenaline Rush (IRE),N M Crosse,0,Mrs J Harrington,13th,1/2 l,2,9-2p1,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Shiota (IRE),R P Whelan,0,J G Murphy,12th,1 1/2 l,2,8-11,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Wise Men Say (IRE),S Foley,0,Mrs J Harrington,11th,2 1/4 l,2,9-2,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Amazing Athena (IRE),B M Coen,0,J P Murtagh,10th,3/4 l,2,9-3p,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Gazelle D'or (IRE),D E Sheehy,0,M C Grassick,9th,1/2 l,2,8-9,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Violet Love,Billy Loughnane,0,G Boughey,8th,1 1/2 l,2,9-3,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Grande Marques (IRE),J A Heffernan,0,J A Stack,7th,1 1/4 l,2,9-1,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Manhattan Chute (IRE),J J G Ryan,0,M O'Callaghan,6th,Neck,2,9-0p1,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,And So To Bed (IRE),D P McDonogh,0,J P O'Brien,5th,1/2 l,2,9-1,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Midnight Strike (IRE),D McMonagle,0,J P O'Brien,4th,1 1/2 l,2,9-6,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Li Ban (IRE),D Egan,0,Raphael Freire,3rd,1/2 l,2,8-9,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Fiery Lucy,G F Carroll,0,G P Cromwell,2nd,1 1/4 l,2,8-13,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Heavens Gate (IRE),R L Moore,0,A P O'Brien,1st,N/A,2,8-13,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Morning Vietnam,C T Keane,0,M O'Callaghan,NR,N/A,2,9-2,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Right And True (IRE),W M Lordan,0,A P O'Brien,NR,N/A,2,9-2,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Elzem (IRE),M P Sheehy,0,J P O'Brien,NR,N/A,2,9-0,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Dandy Khan (IRE),N G McCullagh,0,Mrs J Harrington,NR,N/A,2,8-11,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Lethimfly (IRE),W J Lee,0,N Meade,21st,5 1/2 l,2,9-0,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Roaming Eyes (IRE),L F Roche,0,S Lavery,20th,1 l,2,8-11h,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Brosay,G M Ryan,0,D Dias,19th,2 l,2,9-2,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Vovatia (IRE),Siobhan Rutledge,0,S Lavery,18th,1 1/4 l,2,8-11h1,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Skillman Ave (IRE),C D Hayes,0,G P Cromwell,17th,Head,2,8-11,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Fiamma (IRE),R Whearty,0,A Murray,16th,2 1/4 l,2,9-1,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Mood Altering (IRE),J M Sheridan,0,J A Stack,15th,Head,2,9-1,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Tino Pai (IRE),R P Cleary,0,S Lavery,14th,Neck,2,8-11,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Adrenaline Rush (IRE),N M Crosse,0,Mrs J Harrington,13th,1/2 l,2,9-2p1,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Shiota (IRE),R P Whelan,0,J G Murphy,12th,1 1/2 l,2,8-11,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Wise Men Say (IRE),S Foley,0,Mrs J Harrington,11th,2 1/4 l,2,9-2,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Amazing Athena (IRE),B M Coen,0,J P Murtagh,10th,3/4 l,2,9-3p,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Gazelle D'or (IRE),D E Sheehy,0,M C Grassick,9th,1/2 l,2,8-9,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Violet Love,Billy Loughnane,0,G Boughey,8th,1 1/2 l,2,9-3,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Grande Marques (IRE),J A Heffernan,0,J A Stack,7th,1 1/4 l,2,9-1,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Manhattan Chute (IRE),J J G Ryan,0,M O'Callaghan,6th,Neck,2,9-0p1,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,And So To Bed (IRE),D P McDonogh,0,J P O'Brien,5th,1/2 l,2,9-1,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Midnight Strike (IRE),D McMonagle,0,J P O'Brien,4th,1 1/2 l,2,9-6,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Li Ban (IRE),D Egan,0,Raphael Freire,3rd,1/2 l,2,8-9,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Fiery Lucy,G F Carroll,0,G P Cromwell,2nd,1 1/4 l,2,8-13,-,True,132,4
Naas Racing Results | 5th August 2024 16:50,N/A,16:50,Yielding,5f 205y,Heavens Gate (IRE),R L Moore,0,A P O'Brien,1st,N/A,2,8-13,-,True,132,4
Naas Racing Results | 5th August 2024 17:20,N/A,17:20,Yielding,1m 2f 84y,Morse (IRE),N G McCullagh,0,Charles Weld,NR,N/A,4,10-1,79,True,132,5
Naas Racing Results | 5th August 2024 17:20,N/A,17:20,Yielding,1m 2f 84y,Aird,S Foley,0,H De Bromhead,NR,N/A,4,9-12t,76,True,132,5
Naas Racing Results | 5th August 2024 17:20,N/A,17:20,Yielding,1m 2f 84y,Sir Callisto (IRE),J A Heffernan,0,Mrs C O'Leary,NR,N/A,4,9-13t1,77,True,132,5
Naas Racing Results | 5th August 2024 17:20,N/A,17:20,Yielding,1m 2f 84y,Belles Feuilles (FR),J J G Ryan,5,Mrs C O'Leary,NR,N/A,4,9-3t,67,True,132,5
Naas Racing Results | 5th August 2024 17:20,N/A,17:20,Yielding,1m 2f 84y,Biggerthanbigtime (IRE),R Whearty,5,P Roche,15th,1 1/2 l,4,9-3,67,True,132,5
Naas Racing Results | 5th August 2024 17:20,N/A,17:20,Yielding,1m 2f 84y,Glimmerglass (IRE),N M Crosse,0,J Feane,14th,1 1/4 l,3,8-10,68,True,132,5
Naas Racing Results | 5th August 2024 17:20,N/A,17:20,Yielding,1m 2f 84y,Hokusai (IRE),C T Keane,0,N Meade,13th,1 1/2 l,4,9-9tb1,73,True,132,5
Naas Racing Results | 5th August 2024 17:20,N/A,17:20,Yielding,1m 2f 84y,Beautiful Chaos (IRE),Chloe Byrne,10,R O'Sullivan,12th,Short Head,6,9-3,67,True,132,5
Naas Racing Results | 5th August 2024 17:20,N/A,17:20,Yielding,1m 2f 84y,Doctor Grace (IRE),R P Whelan,0,M Halford & T Collins,11th,1 l,4,9-5p,69,True,132,5
