track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Punchestown Racing Results | 2nd May 2024 18:35,N/A,18:35,Yielding (Good To Yielding In Places),2m 7f 110y,Kinturk Kalanisi (IRE),K E Buckley,0,T Gibney,3rd,2 l,6,10-7,125,True,111,11
Punchestown Racing Results | 2nd May 2024 18:35,N/A,18:35,Yielding (Good To Yielding In Places),2m 7f 110y,Ashdale Bob (IRE),C D Smithers,7,Mrs J Harrington,2nd,2 3/4 l,9,11-12,144,True,111,11
Punchestown Racing Results | 2nd May 2024 18:35,N/A,18:35,Yielding (Good To Yielding In Places),2m 7f 110y,Maxxum (IRE),C P Millar,7,G Elliott,1st,N/A,7,11-11,143,True,111,11
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Implicit (FR),B Hayes,0,W P Mullins,UR,N/A,6,11-7h,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Karacole (FR),J J Slevin,0,J Barcoe,PU,N/A,8,11-0,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Cast A Spell (IRE),D Meyler,0,T Hogan,PU,N/A,6,11-0v,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Miss Agusta (IRE),J W Kennedy,0,G Elliott,PU,N/A,6,11-7,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Mollys Mango,P V O'Brien,0,Harry Derham,BD,N/A,6,11-7t,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Lucy Wang (IRE),P T Enright,0,J Halley,11th,13 l,4,10-8,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Iris Emery (FR),S F O'Keeffe,0,W P Mullins,10th,3 3/4 l,6,11-4t1,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Theatre Native (IRE),Rachael Blackmore,0,H De Bromhead,9th,7 1/2 l,6,11-4,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Mayor's Walk (IRE),D J O'Keeffe,0,H De Bromhead,8th,5 1/2 l,5,11-4h,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Paggane,M J M O'Sullivan,0,W P Mullins,7th,4 3/4 l,5,11-4p1,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Kilbarry Saint (FR),D J Gilligan,0,C O'Keeffe,6th,12 l,5,11-4t,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Spindleberry (IRE),P Townend,0,W P Mullins,5th,2 1/2 l,6,11-4,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Me Wee Bonnie Lass (IRE),K E Buckley,0,G P Cromwell,4th,Neck,5,11-7,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Only By Night (IRE),S W Flanagan,0,G P Cromwell,3rd,12 l,6,11-4,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Got Glory (FR),D E Mullins,0,W P Mullins,2nd,1 3/4 l,6,11-4,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Casa No Mento,Sam Twiston-Davies,0,N A Twiston-Davies,1st,N/A,6,11-7,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Implicit (FR),B Hayes,0,W P Mullins,UR,N/A,6,11-7h,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Karacole (FR),J J Slevin,0,J Barcoe,PU,N/A,8,11-0,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Cast A Spell (IRE),D Meyler,0,T Hogan,PU,N/A,6,11-0v,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Miss Agusta (IRE),J W Kennedy,0,G Elliott,PU,N/A,6,11-7,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Mollys Mango,P V O'Brien,0,Harry Derham,BD,N/A,6,11-7t,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Lucy Wang (IRE),P T Enright,0,J Halley,11th,13 l,4,10-8,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Iris Emery (FR),S F O'Keeffe,0,W P Mullins,10th,3 3/4 l,6,11-4t1,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Theatre Native (IRE),Rachael Blackmore,0,H De Bromhead,9th,7 1/2 l,6,11-4,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Mayor's Walk (IRE),D J O'Keeffe,0,H De Bromhead,8th,5 1/2 l,5,11-4h,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Paggane,M J M O'Sullivan,0,W P Mullins,7th,4 3/4 l,5,11-4p1,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Kilbarry Saint (FR),D J Gilligan,0,C O'Keeffe,6th,12 l,5,11-4t,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Spindleberry (IRE),P Townend,0,W P Mullins,5th,2 1/2 l,6,11-4,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Me Wee Bonnie Lass (IRE),K E Buckley,0,G P Cromwell,4th,Neck,5,11-7,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Only By Night (IRE),S W Flanagan,0,G P Cromwell,3rd,12 l,6,11-4,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Got Glory (FR),D E Mullins,0,W P Mullins,2nd,1 3/4 l,6,11-4,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:05,N/A,19:05,Yielding (Good To Yielding In Places),2m 94y,Casa No Mento,Sam Twiston-Davies,0,N A Twiston-Davies,1st,N/A,6,11-7,-,True,111,12
Punchestown Racing Results | 2nd May 2024 19:40,N/A,19:40,Yielding (Good To Yielding In Places)  Flat (Turf),2m 94y,Port Joulain (FR),Mr P W Mullins,0,W P Mullins,10th,2 l,5,12-0,-,True,111,13
Punchestown Racing Results | 2nd May 2024 19:40,N/A,19:40,Yielding (Good To Yielding In Places)  Flat (Turf),2m 94y,Samyr (FR),Mr J L Gleeson,5,J P O'Brien,9th,50 l,4,11-8t,-,True,111,13
Punchestown Racing Results | 2nd May 2024 19:40,N/A,19:40,Yielding (Good To Yielding In Places)  Flat (Turf),2m 94y,Big Dee (IRE),Mr J C Barry,3,E McCarthy,8th,13 l,5,12-0h1,-,True,111,13
Punchestown Racing Results | 2nd May 2024 19:40,N/A,19:40,Yielding (Good To Yielding In Places)  Flat (Turf),2m 94y,Nowwhatdoyouthink (IRE),Mr J Dunne,7,R Hackett,7th,4 1/2 l,5,12-0t,-,True,111,13
Punchestown Racing Results | 2nd May 2024 19:40,N/A,19:40,Yielding (Good To Yielding In Places)  Flat (Turf),2m 94y,Cantico (IRE),Miss J Townend,0,W P Mullins,6th,32 l,5,12-0,-,True,111,13
Punchestown Racing Results | 2nd May 2024 19:40,N/A,19:40,Yielding (Good To Yielding In Places)  Flat (Turf),2m 94y,Goldinthemountains (FR),Mr P A King,5,M Brassil,5th,32 l,5,12-0t1,-,True,111,13
Punchestown Racing Results | 2nd May 2024 19:40,N/A,19:40,Yielding (Good To Yielding In Places)  Flat (Turf),2m 94y,Angelo Dundee (IRE),Mr D McGill,7,D A McLoughlin,4th,16 l,5,12-0,-,True,111,13
Punchestown Racing Results | 2nd May 2024 19:40,N/A,19:40,Yielding (Good To Yielding In Places)  Flat (Turf),2m 94y,The Passing Wife,Mr D G Lavery,0,G P Cromwell,3rd,7 l,5,12-0,-,True,111,13
Punchestown Racing Results | 2nd May 2024 19:40,N/A,19:40,Yielding (Good To Yielding In Places)  Flat (Turf),2m 94y,Queensbury Boy (IRE),Mr David Maxwell,0,Harry Derham,2nd,1 3/4 l,5,12-0t,-,True,111,13
Punchestown Racing Results | 2nd May 2024 19:40,N/A,19:40,Yielding (Good To Yielding In Places)  Flat (Turf),2m 94y,Wingmen (IRE),Mr H C Swan,5,G Elliott,1st,N/A,6,12-0h,-,True,111,13
Punchestown Racing Results | 2nd May 2024 19:40,N/A,19:40,Yielding (Good To Yielding In Places)  Flat (Turf),2m 94y,Port Joulain (FR),Mr P W Mullins,0,W P Mullins,10th,2 l,5,12-0,-,True,111,13
Punchestown Racing Results | 2nd May 2024 19:40,N/A,19:40,Yielding (Good To Yielding In Places)  Flat (Turf),2m 94y,Samyr (FR),Mr J L Gleeson,5,J P O'Brien,9th,50 l,4,11-8t,-,True,111,13
Punchestown Racing Results | 2nd May 2024 19:40,N/A,19:40,Yielding (Good To Yielding In Places)  Flat (Turf),2m 94y,Big Dee (IRE),Mr J C Barry,3,E McCarthy,8th,13 l,5,12-0h1,-,True,111,13
Punchestown Racing Results | 2nd May 2024 19:40,N/A,19:40,Yielding (Good To Yielding In Places)  Flat (Turf),2m 94y,Nowwhatdoyouthink (IRE),Mr J Dunne,7,R Hackett,7th,4 1/2 l,5,12-0t,-,True,111,13
Punchestown Racing Results | 2nd May 2024 19:40,N/A,19:40,Yielding (Good To Yielding In Places)  Flat (Turf),2m 94y,Cantico (IRE),Miss J Townend,0,W P Mullins,6th,32 l,5,12-0,-,True,111,13
Punchestown Racing Results | 2nd May 2024 19:40,N/A,19:40,Yielding (Good To Yielding In Places)  Flat (Turf),2m 94y,Goldinthemountains (FR),Mr P A King,5,M Brassil,5th,32 l,5,12-0t1,-,True,111,13
Punchestown Racing Results | 2nd May 2024 19:40,N/A,19:40,Yielding (Good To Yielding In Places)  Flat (Turf),2m 94y,Angelo Dundee (IRE),Mr D McGill,7,D A McLoughlin,4th,16 l,5,12-0,-,True,111,13
Punchestown Racing Results | 2nd May 2024 19:40,N/A,19:40,Yielding (Good To Yielding In Places)  Flat (Turf),2m 94y,The Passing Wife,Mr D G Lavery,0,G P Cromwell,3rd,7 l,5,12-0,-,True,111,13
Punchestown Racing Results | 2nd May 2024 19:40,N/A,19:40,Yielding (Good To Yielding In Places)  Flat (Turf),2m 94y,Queensbury Boy (IRE),Mr David Maxwell,0,Harry Derham,2nd,1 3/4 l,5,12-0t,-,True,111,13
Punchestown Racing Results | 2nd May 2024 19:40,N/A,19:40,Yielding (Good To Yielding In Places)  Flat (Turf),2m 94y,Wingmen (IRE),Mr H C Swan,5,G Elliott,1st,N/A,6,12-0h,-,True,111,13
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,Elusive Touch (IRE),Non Runner,7,P M Quinlan,NR,N/A,9,11-4t,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,Gino Drummer Boy (IRE),Mr H C Swan,5,G Elliott,UR,N/A,8,11-11p,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,Mandilou (IRE),Mr A P Ryan,7,John G Carr,PU,N/A,7,11-4tp1,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,Chateau Elan (IRE),Mr I Cribbin,7,R O'Sullivan,PU,N/A,7,11-11t,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,Brown Monday (FR),Mr P W Mullins,0,J J Hanlon,PU,N/A,7,11-11,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,Keenaghan Lass (IRE),Mr J L Gleeson,5,T F Shaw,F,N/A,10,11-4,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,Fr Gilligansvoyge,Mr Pat Taaffe,7,John G Carr,5th,5 1/2 l,11,12-2tb,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,Baby Chou (IRE),Mr J C Barry,3,A Kinirons,4th,10 l,6,11-4t,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,The Blind Piper (IRE),Mr F Maguire,0,Edward F Power,3rd,8 l,11,11-11t,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,De Nordener (IRE),Miss T Quail,7,S Curling,2nd,2 3/4 l,8,11-11,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,Private Ryan (IRE),Mr J L Scallan,7,S Doyle,1st,N/A,7,11-11,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,Elusive Touch (IRE),Non Runner,7,P M Quinlan,NR,N/A,9,11-4t,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,Gino Drummer Boy (IRE),Mr H C Swan,5,G Elliott,UR,N/A,8,11-11p,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,Mandilou (IRE),Mr A P Ryan,7,John G Carr,PU,N/A,7,11-4tp1,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,Chateau Elan (IRE),Mr I Cribbin,7,R O'Sullivan,PU,N/A,7,11-11t,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,Brown Monday (FR),Mr P W Mullins,0,J J Hanlon,PU,N/A,7,11-11,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,Keenaghan Lass (IRE),Mr J L Gleeson,5,T F Shaw,F,N/A,10,11-4,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,Fr Gilligansvoyge,Mr Pat Taaffe,7,John G Carr,5th,5 1/2 l,11,12-2tb,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,Baby Chou (IRE),Mr J C Barry,3,A Kinirons,4th,10 l,6,11-4t,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,The Blind Piper (IRE),Mr F Maguire,0,Edward F Power,3rd,8 l,11,11-11t,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,De Nordener (IRE),Miss T Quail,7,S Curling,2nd,2 3/4 l,8,11-11,-,True,111,14
Punchestown Racing Results | 3rd May 2024 15:40,N/A,15:40,Yielding,2m 4f 55y,Private Ryan (IRE),Mr J L Scallan,7,S Doyle,1st,N/A,7,11-11,-,True,111,14
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Feu Du Bresil (FR),B Hayes,0,W P Mullins,PU,N/A,9,10-7,130,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Flanking Maneuver (IRE),J W Kennedy,0,N Meade,PU,N/A,9,10-11,134,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Mister Policeman (FR),P Townend,0,W P Mullins,PU,N/A,6,11-12,149,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Arctic Bresil,Rachael Blackmore,0,H De Bromhead,PU,N/A,7,10-7t,130,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Joyeux Machin (FR),S W Flanagan,0,P Nolan,PU,N/A,7,10-13tb1,136,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Hardwired (IRE),S O'Callaghan,5,T M Walsh,PU,N/A,8,9-11tb,123,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Spirit Of Legend (FR),D Meyler,0,H De Bromhead,PU,N/A,7,10-4t1,127,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Sir Psycho (IRE),J J Slevin,0,Harry Derham,F,N/A,8,10-13p,136,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Captains Nephew (IRE),J P O'Sullivan,0,P J Rothwell,F,N/A,7,10-9t,132,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Toss Again (IRE),D J O'Keeffe,0,H De Bromhead,8th,15 l,7,11-2t,139,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Tactical Move (IRE),D E Mullins,0,W P Mullins,7th,11 l,10,11-8,145,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Dreal Deal (IRE),S D Torrens,0,J C McConnell,6th,5 l,9,10-9t,132,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Mars Harper,D J Gilligan,5,G Elliott,5th,13 l,8,11-2tp,139,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Duffle Coat (IRE),Sam Ewing,0,G Elliott,4th,2 1/4 l,7,10-3p,126,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Battle It Out (IRE),C G O'Dwyer,5,C O'Dwyer,3rd,11 l,6,10-4h,127,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Perceval Legallois (FR),M P Walsh,0,G P Cromwell,2nd,4 l,7,11-0,137,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Hgranca De Thaix (FR),M J M O'Sullivan,0,B Connell,1st,N/A,7,10-8,131,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Feu Du Bresil (FR),B Hayes,0,W P Mullins,PU,N/A,9,10-7,130,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Flanking Maneuver (IRE),J W Kennedy,0,N Meade,PU,N/A,9,10-11,134,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Mister Policeman (FR),P Townend,0,W P Mullins,PU,N/A,6,11-12,149,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Arctic Bresil,Rachael Blackmore,0,H De Bromhead,PU,N/A,7,10-7t,130,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Joyeux Machin (FR),S W Flanagan,0,P Nolan,PU,N/A,7,10-13tb1,136,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Hardwired (IRE),S O'Callaghan,5,T M Walsh,PU,N/A,8,9-11tb,123,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Spirit Of Legend (FR),D Meyler,0,H De Bromhead,PU,N/A,7,10-4t1,127,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Sir Psycho (IRE),J J Slevin,0,Harry Derham,F,N/A,8,10-13p,136,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Captains Nephew (IRE),J P O'Sullivan,0,P J Rothwell,F,N/A,7,10-9t,132,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Toss Again (IRE),D J O'Keeffe,0,H De Bromhead,8th,15 l,7,11-2t,139,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Tactical Move (IRE),D E Mullins,0,W P Mullins,7th,11 l,10,11-8,145,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Dreal Deal (IRE),S D Torrens,0,J C McConnell,6th,5 l,9,10-9t,132,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Mars Harper,D J Gilligan,5,G Elliott,5th,13 l,8,11-2tp,139,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Duffle Coat (IRE),Sam Ewing,0,G Elliott,4th,2 1/4 l,7,10-3p,126,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Battle It Out (IRE),C G O'Dwyer,5,C O'Dwyer,3rd,11 l,6,10-4h,127,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Perceval Legallois (FR),M P Walsh,0,G P Cromwell,2nd,4 l,7,11-0,137,True,111,15
Punchestown Racing Results | 3rd May 2024 16:15,N/A,16:15,Yielding,2m 4f 55y,Hgranca De Thaix (FR),M J M O'Sullivan,0,B Connell,1st,N/A,7,10-8,131,True,111,15
Punchestown Racing Results | 3rd May 2024 16:50,N/A,16:50,Yielding,2m 4f 55y,Echoes Of Family (IRE),M P O'Connor,0,E & P Harty,PU,N/A,12,10-12,-,True,111,16
Punchestown Racing Results | 3rd May 2024 16:50,N/A,16:50,Yielding,2m 4f 55y,Ardera Ru (IRE),S O'Callaghan,0,E Doyle,6th,10 l,9,10-12tp,-,True,111,16
Punchestown Racing Results | 3rd May 2024 16:50,N/A,16:50,Yielding,2m 4f 55y,Calico (FR),J W Kennedy,0,G Elliott,5th,23 l,5,10-12t,-,True,111,16
Punchestown Racing Results | 3rd May 2024 16:50,N/A,16:50,Yielding,2m 4f 55y,Allegorie De Vassy (FR),P Townend,0,W P Mullins,4th,1/2 l,7,11-3t,-,True,111,16
Punchestown Racing Results | 3rd May 2024 16:50,N/A,16:50,Yielding,2m 4f 55y,Must Be Obeyed (IRE),D J O'Keeffe,0,T Gibney,3rd,4 l,8,10-12,-,True,111,16
Punchestown Racing Results | 3rd May 2024 16:50,N/A,16:50,Yielding,2m 4f 55y,Instit (FR),D E Mullins,0,W P Mullins,2nd,21 l,6,10-12,-,True,111,16
Punchestown Racing Results | 3rd May 2024 16:50,N/A,16:50,Yielding,2m 4f 55y,Brides Hill (IRE),S W Flanagan,0,G P Cromwell,1st,N/A,7,11-1,-,True,111,16
Punchestown Racing Results | 3rd May 2024 16:50,N/A,16:50,Yielding,2m 4f 55y,Echoes Of Family (IRE),M P O'Connor,0,E & P Harty,PU,N/A,12,10-12,-,True,111,16
Punchestown Racing Results | 3rd May 2024 16:50,N/A,16:50,Yielding,2m 4f 55y,Ardera Ru (IRE),S O'Callaghan,0,E Doyle,6th,10 l,9,10-12tp,-,True,111,16
Punchestown Racing Results | 3rd May 2024 16:50,N/A,16:50,Yielding,2m 4f 55y,Calico (FR),J W Kennedy,0,G Elliott,5th,23 l,5,10-12t,-,True,111,16
Punchestown Racing Results | 3rd May 2024 16:50,N/A,16:50,Yielding,2m 4f 55y,Allegorie De Vassy (FR),P Townend,0,W P Mullins,4th,1/2 l,7,11-3t,-,True,111,16
Punchestown Racing Results | 3rd May 2024 16:50,N/A,16:50,Yielding,2m 4f 55y,Must Be Obeyed (IRE),D J O'Keeffe,0,T Gibney,3rd,4 l,8,10-12,-,True,111,16
Punchestown Racing Results | 3rd May 2024 16:50,N/A,16:50,Yielding,2m 4f 55y,Instit (FR),D E Mullins,0,W P Mullins,2nd,21 l,6,10-12,-,True,111,16
Punchestown Racing Results | 3rd May 2024 16:50,N/A,16:50,Yielding,2m 4f 55y,Brides Hill (IRE),S W Flanagan,0,G P Cromwell,1st,N/A,7,11-1,-,True,111,16
Punchestown Racing Results | 3rd May 2024 17:25,N/A,17:25,Yielding,3m 160y,Jay Bee Why (IRE),Mr B Finn,7,Warren Ewing,UR,N/A,9,12-0tp1,-,True,111,17
Punchestown Racing Results | 3rd May 2024 17:25,N/A,17:25,Yielding,3m 160y,Hardline (IRE),Mr J H Williamson,7,G Elliott,UR,N/A,12,12-0b,-,True,111,17
Punchestown Racing Results | 3rd May 2024 17:25,N/A,17:25,Yielding,3m 160y,Royal Rendezvous (IRE),Mr B Dunleavy,7,Caroline Mccaldin,PU,N/A,12,12-0ht1,-,True,111,17
Punchestown Racing Results | 3rd May 2024 17:25,N/A,17:25,Yielding,3m 160y,Ferns Lock,Mr J W Hendrick,7,D M Christie,PU,N/A,7,12-0t,-,True,111,17
Punchestown Racing Results | 3rd May 2024 17:25,N/A,17:25,Yielding,3m 160y,Boss Robin (IRE),Mr C J Shine,7,J F Gleeson,PU,N/A,8,12-0,-,True,111,17
Punchestown Racing Results | 3rd May 2024 17:25,N/A,17:25,Yielding,3m 160y,Gorthill (FR),Mr O McGill,7,Caroline Mccaldin,PU,N/A,8,12-0,-,True,111,17
Punchestown Racing Results | 3rd May 2024 17:25,N/A,17:25,Yielding,3m 160y,Samcro (IRE),Mr T Hamilton,0,G Elliott,PU,N/A,12,12-0tp,-,True,111,17
Punchestown Racing Results | 3rd May 2024 17:25,N/A,17:25,Yielding,3m 160y,Famous Clermont (FR),Mr J King,3,C R Barber,7th,79 l,9,12-0t,-,True,111,17
Punchestown Racing Results | 3rd May 2024 17:25,N/A,17:25,Yielding,3m 160y,Billaway (IRE),Mr P W Mullins,0,W P Mullins,6th,Neck,12,12-0tp,-,True,111,17
Punchestown Racing Results | 3rd May 2024 17:25,N/A,17:25,Yielding,3m 160y,Vaucelet (FR),Mr A Harvey,7,D M Christie,5th,2 l,9,12-0,-,True,111,17
Punchestown Racing Results | 3rd May 2024 17:25,N/A,17:25,Yielding,3m 160y,Ryehill (IRE),Mr T Power Roche,7,R O'Sullivan,4th,21 l,7,12-0,-,True,111,17
