track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Stellar Stow (IRE),Mr D Doyle,7,T Doyle,F,N/A,11,10-13tb1,80,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Roscomroe (IRE),D P Maxwell,7,J P Broderick,F,N/A,9,11-0tp,81,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Oskar High (IRE),R P Geoghegan,7,N Lee,14th,7 l,12,10-13,80,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Military Hill (IRE),D Meyler,0,R K Watson,13th,11 l,11,10-13t,80,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Jacks Fancy (IRE),Rachael Blackmore,0,H De Bromhead,12th,26 l,6,11-3,84,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Justakeg (IRE),G B Noonan,5,V T O'Brien,11th,9 1/2 l,13,10-13,80,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Whatyouwant (IRE),K Callaghan,5,Michael C Griffin,10th,4 1/2 l,6,12-0,95,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Winter Carnival (IRE),A M King,7,J Neilan,9th,1 1/4 l,9,11-6,87,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Mont Beuvray (IRE),Mr H E Sexton,7,J P Ryan,8th,2 1/4 l,6,11-9,90,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Townhill Penny (IRE),J Coen,5,G Elliott,7th,3/4 l,8,12-0,95,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,It's Time Again (IRE),J J Slevin,0,David Barry,6th,3 1/4 l,8,11-11,92,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Land Jet (IRE),S F O'Keeffe,0,Peter Maher,5th,Short Head,8,11-0,81,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Johnny Cakes (FR),S D Torrens,0,P J Rothwell,4th,1 1/4 l,5,10-13p,80,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,The Vegas Raider (IRE),P J Cawley,7,K A Heffernan,3rd,7 l,6,11-11tv,92,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Evans Secret,P T Enright,0,M M McNiff,2nd,1 l,5,11-7tb1,88,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,True Or False (IRE),A Harvey,7,D McNamara,1st,N/A,7,11-6,87,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Stellar Stow (IRE),Mr D Doyle,7,T Doyle,F,N/A,11,10-13tb1,80,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Roscomroe (IRE),D P Maxwell,7,J P Broderick,F,N/A,9,11-0tp,81,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Oskar High (IRE),R P Geoghegan,7,N Lee,14th,7 l,12,10-13,80,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Military Hill (IRE),D Meyler,0,R K Watson,13th,11 l,11,10-13t,80,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Jacks Fancy (IRE),Rachael Blackmore,0,H De Bromhead,12th,26 l,6,11-3,84,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Justakeg (IRE),G B Noonan,5,V T O'Brien,11th,9 1/2 l,13,10-13,80,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Whatyouwant (IRE),K Callaghan,5,Michael C Griffin,10th,4 1/2 l,6,12-0,95,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Winter Carnival (IRE),A M King,7,J Neilan,9th,1 1/4 l,9,11-6,87,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Mont Beuvray (IRE),Mr H E Sexton,7,J P Ryan,8th,2 1/4 l,6,11-9,90,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Townhill Penny (IRE),J Coen,5,G Elliott,7th,3/4 l,8,12-0,95,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,It's Time Again (IRE),J J Slevin,0,David Barry,6th,3 1/4 l,8,11-11,92,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Land Jet (IRE),S F O'Keeffe,0,Peter Maher,5th,Short Head,8,11-0,81,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Johnny Cakes (FR),S D Torrens,0,P J Rothwell,4th,1 1/4 l,5,10-13p,80,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,The Vegas Raider (IRE),P J Cawley,7,K A Heffernan,3rd,7 l,6,11-11tv,92,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,Evans Secret,P T Enright,0,M M McNiff,2nd,1 l,5,11-7tb1,88,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:00,N/A,20:00,Good To Yielding,2m 6f 74y,True Or False (IRE),A Harvey,7,D McNamara,1st,N/A,7,11-6,87,True,117,1
Ballinrobe Racing Results | 28th May 2024 20:30,N/A,20:30,Good To Yielding,2m 75y,Soir De Garde (FR),Mr P W Mullins,0,W P Mullins,NR,N/A,6,12-0h1,-,True,117,2
Ballinrobe Racing Results | 28th May 2024 20:30,N/A,20:30,Good To Yielding,2m 75y,The Correction (IRE),Mr J R Martin,7,P Martin,NR,N/A,5,12-0t,-,True,117,2
Ballinrobe Racing Results | 28th May 2024 20:30,N/A,20:30,Good To Yielding,2m 75y,Kilroe Champ (IRE),Mr F Maguire,0,J Neilan,8th,21 l,7,12-0t1,-,True,117,2
Ballinrobe Racing Results | 28th May 2024 20:30,N/A,20:30,Good To Yielding,2m 75y,Heure Exacte (FR),Mr J P Sampson,7,I Madden,7th,34 l,7,11-7,-,True,117,2
Ballinrobe Racing Results | 28th May 2024 20:30,N/A,20:30,Good To Yielding,2m 75y,Nicolas Fortune (IRE),P J Cawley,7,K A Heffernan,6th,8 1/2 l,6,11-7t1,-,True,117,2
Ballinrobe Racing Results | 28th May 2024 20:30,N/A,20:30,Good To Yielding,2m 75y,Garnacho (IRE),Mr H D O'Dwyer,7,D A McLoughlin,5th,1 1/2 l,5,12-0,-,True,117,2
Ballinrobe Racing Results | 28th May 2024 20:30,N/A,20:30,Good To Yielding,2m 75y,I Am Mimi (FR),Mr D G Lavery,0,G P Cromwell,4th,2 1/4 l,5,12-0,-,True,117,2
Ballinrobe Racing Results | 28th May 2024 20:30,N/A,20:30,Good To Yielding,2m 75y,Arctic Piper (IRE),Mr L T Turner,7,Barry J Fitzgerald,3rd,2 1/4 l,5,11-7,-,True,117,2
Ballinrobe Racing Results | 28th May 2024 20:30,N/A,20:30,Good To Yielding,2m 75y,Gers Gigi (IRE),Mr H C Swan,3,G Elliott,2nd,3 3/4 l,5,11-7,-,True,117,2
Ballinrobe Racing Results | 28th May 2024 20:30,N/A,20:30,Good To Yielding,2m 75y,Minella Hollow (IRE),Mr J C Barry,3,J Nallen,1st,N/A,4,11-8,-,True,117,2
Ballinrobe Racing Results | 28th May 2024 20:30,N/A,20:30,Good To Yielding,2m 75y,Soir De Garde (FR),Mr P W Mullins,0,W P Mullins,NR,N/A,6,12-0h1,-,True,117,2
Ballinrobe Racing Results | 28th May 2024 20:30,N/A,20:30,Good To Yielding,2m 75y,The Correction (IRE),Mr J R Martin,7,P Martin,NR,N/A,5,12-0t,-,True,117,2
Ballinrobe Racing Results | 28th May 2024 20:30,N/A,20:30,Good To Yielding,2m 75y,Kilroe Champ (IRE),Mr F Maguire,0,J Neilan,8th,21 l,7,12-0t1,-,True,117,2
Ballinrobe Racing Results | 28th May 2024 20:30,N/A,20:30,Good To Yielding,2m 75y,Heure Exacte (FR),Mr J P Sampson,7,I Madden,7th,34 l,7,11-7,-,True,117,2
Ballinrobe Racing Results | 28th May 2024 20:30,N/A,20:30,Good To Yielding,2m 75y,Nicolas Fortune (IRE),P J Cawley,7,K A Heffernan,6th,8 1/2 l,6,11-7t1,-,True,117,2
Ballinrobe Racing Results | 28th May 2024 20:30,N/A,20:30,Good To Yielding,2m 75y,Garnacho (IRE),Mr H D O'Dwyer,7,D A McLoughlin,5th,1 1/2 l,5,12-0,-,True,117,2
Ballinrobe Racing Results | 28th May 2024 20:30,N/A,20:30,Good To Yielding,2m 75y,I Am Mimi (FR),Mr D G Lavery,0,G P Cromwell,4th,2 1/4 l,5,12-0,-,True,117,2
Ballinrobe Racing Results | 28th May 2024 20:30,N/A,20:30,Good To Yielding,2m 75y,Arctic Piper (IRE),Mr L T Turner,7,Barry J Fitzgerald,3rd,2 1/4 l,5,11-7,-,True,117,2
Ballinrobe Racing Results | 28th May 2024 20:30,N/A,20:30,Good To Yielding,2m 75y,Gers Gigi (IRE),Mr H C Swan,3,G Elliott,2nd,3 3/4 l,5,11-7,-,True,117,2
Ballinrobe Racing Results | 28th May 2024 20:30,N/A,20:30,Good To Yielding,2m 75y,Minella Hollow (IRE),Mr J C Barry,3,J Nallen,1st,N/A,4,11-8,-,True,117,2
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Zahee (IRE),K G Kennedy,7,J C McConnell,NR,N/A,9,9-7ht,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Esticky End (IRE),R M Mulligan,7,Tom McGuinness,NR,N/A,6,9-11,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Pocket Paralysis (IRE),R Whearty,5,D A McLoughlin,NR,N/A,3,8-10,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Livin It Up (IRE),W Joyce,5,John O'Donoghue,NR,N/A,3,8-9b1,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,My Minervina (IRE),B M Coen,0,Peter Fahey,10th,1 l,6,9-9,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Vormir (IRE),J J G Ryan,5,F Birrane,9th,30 l,7,9-6,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Lively Set (IRE),D McMonagle,0,Kevin Coleman,8th,9 l,3,9-0p,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Spanish Tenor (IRE),C J MacRedmond,5,A McGuinness,7th,4 1/4 l,10,10-1,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Cherry Pink (IRE),Mr J M Halford,10,M Halford & T Collins,6th,2 1/2 l,4,9-7b,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Redshore City (IRE),W M Lordan,0,N Lupini,5th,1 3/4 l,4,9-9,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Gentileschi (FR),C D Hayes,0,J Halley,4th,1 1/4 l,3,8-9,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Roderick,J M Sheridan,0,D Hogan,3rd,5 1/2 l,8,9-6b1,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,El Bello,D King,5,D Hogan,2nd,2 1/2 l,5,10-2p,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Come On The Lads (IRE),C T Keane,0,J Davison,1st,N/A,4,9-11b1,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Zahee (IRE),K G Kennedy,7,J C McConnell,NR,N/A,9,9-7ht,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Esticky End (IRE),R M Mulligan,7,Tom McGuinness,NR,N/A,6,9-11,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Pocket Paralysis (IRE),R Whearty,5,D A McLoughlin,NR,N/A,3,8-10,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Livin It Up (IRE),W Joyce,5,John O'Donoghue,NR,N/A,3,8-9b1,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,My Minervina (IRE),B M Coen,0,Peter Fahey,10th,1 l,6,9-9,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Vormir (IRE),J J G Ryan,5,F Birrane,9th,30 l,7,9-6,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Lively Set (IRE),D McMonagle,0,Kevin Coleman,8th,9 l,3,9-0p,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Spanish Tenor (IRE),C J MacRedmond,5,A McGuinness,7th,4 1/4 l,10,10-1,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Cherry Pink (IRE),Mr J M Halford,10,M Halford & T Collins,6th,2 1/2 l,4,9-7b,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Redshore City (IRE),W M Lordan,0,N Lupini,5th,1 3/4 l,4,9-9,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Gentileschi (FR),C D Hayes,0,J Halley,4th,1 1/4 l,3,8-9,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Roderick,J M Sheridan,0,D Hogan,3rd,5 1/2 l,8,9-6b1,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,El Bello,D King,5,D Hogan,2nd,2 1/2 l,5,10-2p,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:15,N/A,17:15,Soft To Heavy,7f 20y,Come On The Lads (IRE),C T Keane,0,J Davison,1st,N/A,4,9-11b1,-,True,117,3
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Trusty And True (IRE),C D Fahy,10,J C McConnell,NR,N/A,3,9-3,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Thrifty Of Digby (IRE),S Foley,0,Mrs J Harrington,NR,N/A,3,9-3,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Next Trick (IRE),Non Runner,0,D K Weld,NR,N/A,3,9-3h,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Jancis (IRE),W J Lee,0,W McCreery,NR,N/A,3,9-3,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Thefutureisnow (IRE),R C Colgan,0,M Hourigan,13th,34 l,3,9-8,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Invincible Keen (IRE),C T Keane,0,M Halford & T Collins,12th,16 l,3,9-8,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Fairy Wings (IRE),N M Crosse,0,W McCreery,11th,3 3/4 l,3,9-3v1,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Glen Princess (IRE),B M Coen,0,J P Murtagh,10th,1 1/2 l,3,9-3,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Apache Eagle,M P Sheehy,0,J P O'Brien,9th,3 3/4 l,3,9-8,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Pink Aurora (IRE),D McMonagle,0,J P O'Brien,8th,7 l,3,9-3,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Straya (IRE),W Joyce,5,J Davison,7th,2 l,3,9-3p1,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Tokenomics (FR),L T McAteer,0,D Marnane,6th,3 l,3,9-8,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Narragansett,C Horgan,7,A Slattery,5th,3 1/4 l,3,9-8,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Onlyinyourdreams,S Foley,0,Mrs J Harrington,4th,1/2 l,3,9-3,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Hemight (IRE),J M Sheridan,0,J A Stack,3rd,2 1/2 l,3,9-8,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Counterculture,D P McDonogh,0,W McCreery,2nd,1/2 l,3,9-3,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Akecheta (IRE),S B Kelly,0,Kevin Coleman,1st,N/A,4,10-0,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Trusty And True (IRE),C D Fahy,10,J C McConnell,NR,N/A,3,9-3,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Thrifty Of Digby (IRE),S Foley,0,Mrs J Harrington,NR,N/A,3,9-3,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Next Trick (IRE),Non Runner,0,D K Weld,NR,N/A,3,9-3h,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Jancis (IRE),W J Lee,0,W McCreery,NR,N/A,3,9-3,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Thefutureisnow (IRE),R C Colgan,0,M Hourigan,13th,34 l,3,9-8,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Invincible Keen (IRE),C T Keane,0,M Halford & T Collins,12th,16 l,3,9-8,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Fairy Wings (IRE),N M Crosse,0,W McCreery,11th,3 3/4 l,3,9-3v1,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Glen Princess (IRE),B M Coen,0,J P Murtagh,10th,1 1/2 l,3,9-3,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Apache Eagle,M P Sheehy,0,J P O'Brien,9th,3 3/4 l,3,9-8,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Pink Aurora (IRE),D McMonagle,0,J P O'Brien,8th,7 l,3,9-3,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Straya (IRE),W Joyce,5,J Davison,7th,2 l,3,9-3p1,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Tokenomics (FR),L T McAteer,0,D Marnane,6th,3 l,3,9-8,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Narragansett,C Horgan,7,A Slattery,5th,3 1/4 l,3,9-8,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Onlyinyourdreams,S Foley,0,Mrs J Harrington,4th,1/2 l,3,9-3,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Hemight (IRE),J M Sheridan,0,J A Stack,3rd,2 1/2 l,3,9-8,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Counterculture,D P McDonogh,0,W McCreery,2nd,1/2 l,3,9-3,-,True,117,4
Tipperary Racing Results | 28th May 2024 17:45,N/A,17:45,Soft To Heavy,7f 20y,Akecheta (IRE),S B Kelly,0,Kevin Coleman,1st,N/A,4,10-0,-,True,117,4
Tipperary Racing Results | 28th May 2024 18:15,N/A,18:15,Soft,5f,Katie Ross (IRE),W Joyce,5,P J F Murphy,NR,N/A,2,8-11,-,True,117,5
Tipperary Racing Results | 28th May 2024 18:15,N/A,18:15,Soft,5f,Powerful Lady (FR),W M Lordan,0,N Lupini,NR,N/A,2,9-3,-,True,117,5
Tipperary Racing Results | 28th May 2024 18:15,N/A,18:15,Soft,5f,Desert Cyclone (IRE),B M Coen,0,J P Murtagh,6th,1 1/4 l,2,9-4,-,True,117,5
Tipperary Racing Results | 28th May 2024 18:15,N/A,18:15,Soft,5f,Rock N Roll Rocket (IRE),S Foley,0,Mrs J Harrington,5th,9 1/2 l,2,9-4,-,True,117,5
Tipperary Racing Results | 28th May 2024 18:15,N/A,18:15,Soft,5f,Alfred Tennyson (IRE),R L Moore,0,A P O'Brien,4th,3 1/4 l,2,9-6,-,True,117,5
Tipperary Racing Results | 28th May 2024 18:15,N/A,18:15,Soft,5f,Brosay,G M Ryan,0,D Dias,3rd,1/2 l,2,9-6,-,True,117,5
Tipperary Racing Results | 28th May 2024 18:15,N/A,18:15,Soft,5f,Kilmood Susan (IRE),M W Hassett,5,Daniel Murphy,2nd,1 1/2 l,2,8-9p1,-,True,117,5
Tipperary Racing Results | 28th May 2024 18:15,N/A,18:15,Soft,5f,Evening Saigon (IRE),C T Keane,0,M O'Callaghan,1st,N/A,2,9-2,-,True,117,5
Tipperary Racing Results | 28th May 2024 18:15,N/A,18:15,Soft,5f,Katie Ross (IRE),W Joyce,5,P J F Murphy,NR,N/A,2,8-11,-,True,117,5
Tipperary Racing Results | 28th May 2024 18:15,N/A,18:15,Soft,5f,Powerful Lady (FR),W M Lordan,0,N Lupini,NR,N/A,2,9-3,-,True,117,5
Tipperary Racing Results | 28th May 2024 18:15,N/A,18:15,Soft,5f,Desert Cyclone (IRE),B M Coen,0,J P Murtagh,6th,1 1/4 l,2,9-4,-,True,117,5
Tipperary Racing Results | 28th May 2024 18:15,N/A,18:15,Soft,5f,Rock N Roll Rocket (IRE),S Foley,0,Mrs J Harrington,5th,9 1/2 l,2,9-4,-,True,117,5
Tipperary Racing Results | 28th May 2024 18:15,N/A,18:15,Soft,5f,Alfred Tennyson (IRE),R L Moore,0,A P O'Brien,4th,3 1/4 l,2,9-6,-,True,117,5
Tipperary Racing Results | 28th May 2024 18:15,N/A,18:15,Soft,5f,Brosay,G M Ryan,0,D Dias,3rd,1/2 l,2,9-6,-,True,117,5
Tipperary Racing Results | 28th May 2024 18:15,N/A,18:15,Soft,5f,Kilmood Susan (IRE),M W Hassett,5,Daniel Murphy,2nd,1 1/2 l,2,8-9p1,-,True,117,5
Tipperary Racing Results | 28th May 2024 18:15,N/A,18:15,Soft,5f,Evening Saigon (IRE),C T Keane,0,M O'Callaghan,1st,N/A,2,9-2,-,True,117,5
Tipperary Racing Results | 28th May 2024 18:45,N/A,18:45,Soft,5f,New Theory (IRE),D S O'Sullivan,10,J A Stack,NR,N/A,2,9-2t1,-,True,117,6
Tipperary Racing Results | 28th May 2024 18:45,N/A,18:45,Soft,5f,Flash The Cash (IRE),S Foley,0,Mrs J Harrington,NR,N/A,2,9-2,-,True,117,6
Tipperary Racing Results | 28th May 2024 18:45,N/A,18:45,Soft,5f,Clashawley Mist (IRE),B M Coen,0,D H Kelly,PU,N/A,2,9-2,-,True,117,6
Tipperary Racing Results | 28th May 2024 18:45,N/A,18:45,Soft,5f,Ink Sketch (IRE),C T Keane,0,Kevin Coleman,5th,8 1/2 l,2,9-2,-,True,117,6
Tipperary Racing Results | 28th May 2024 18:45,N/A,18:45,Soft,5f,Varner (IRE),W J Lee,0,A Murray,4th,3 l,2,9-2,-,True,117,6
Tipperary Racing Results | 28th May 2024 18:45,N/A,18:45,Soft,5f,Shamrock Breeze (IRE),C D Hayes,0,A McGuinness,3rd,2 1/2 l,2,9-2,-,True,117,6
Tipperary Racing Results | 28th May 2024 18:45,N/A,18:45,Soft,5f,Oxford Rock (IRE),D McMonagle,0,J P O'Brien,2nd,3 3/4 l,2,9-2,-,True,117,6
Tipperary Racing Results | 28th May 2024 18:45,N/A,18:45,Soft,5f,Truly Enchanting (IRE),R L Moore,0,A P O'Brien,1st,N/A,2,9-2,-,True,117,6
Tipperary Racing Results | 28th May 2024 18:45,N/A,18:45,Soft,5f,New Theory (IRE),D S O'Sullivan,10,J A Stack,NR,N/A,2,9-2t1,-,True,117,6
Tipperary Racing Results | 28th May 2024 18:45,N/A,18:45,Soft,5f,Flash The Cash (IRE),S Foley,0,Mrs J Harrington,NR,N/A,2,9-2,-,True,117,6
Tipperary Racing Results | 28th May 2024 18:45,N/A,18:45,Soft,5f,Clashawley Mist (IRE),B M Coen,0,D H Kelly,PU,N/A,2,9-2,-,True,117,6
Tipperary Racing Results | 28th May 2024 18:45,N/A,18:45,Soft,5f,Ink Sketch (IRE),C T Keane,0,Kevin Coleman,5th,8 1/2 l,2,9-2,-,True,117,6
Tipperary Racing Results | 28th May 2024 18:45,N/A,18:45,Soft,5f,Varner (IRE),W J Lee,0,A Murray,4th,3 l,2,9-2,-,True,117,6
Tipperary Racing Results | 28th May 2024 18:45,N/A,18:45,Soft,5f,Shamrock Breeze (IRE),C D Hayes,0,A McGuinness,3rd,2 1/2 l,2,9-2,-,True,117,6
Tipperary Racing Results | 28th May 2024 18:45,N/A,18:45,Soft,5f,Oxford Rock (IRE),D McMonagle,0,J P O'Brien,2nd,3 3/4 l,2,9-2,-,True,117,6
