track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Downpatrick Racing Results | 5th May 2023 20:30,N/A,20:30,Yielding (Yielding To Soft In Places),2m 1f 100y,The Bog Garden (IRE),Mr J. C. Barry,3,M. Hourigan,PU,N/A,5,12-0,-,True,53,11
Downpatrick Racing Results | 5th May 2023 20:30,N/A,20:30,Yielding (Yielding To Soft In Places),2m 1f 100y,Glentaisie (IRE),Mr N. McParlan,0,Colin A. McBratney,6th,2 1/2 l,5,12-0,-,True,53,11
Downpatrick Racing Results | 5th May 2023 20:30,N/A,20:30,Yielding (Yielding To Soft In Places),2m 1f 100y,The Tiger Tank (IRE),Mr Charlie Mullins,7,W. J. Lanigan,5th,1/2 l,6,12-0,-,True,53,11
Downpatrick Racing Results | 5th May 2023 20:30,N/A,20:30,Yielding (Yielding To Soft In Places),2m 1f 100y,Augusta George (IRE),Mr N. Gault,7,W. J. Bryson,4th,13 l,5,12-0,-,True,53,11
Downpatrick Racing Results | 5th May 2023 20:30,N/A,20:30,Yielding (Yielding To Soft In Places),2m 1f 100y,Surf Club (IRE),Miss J. Townend,0,W. P. Mullins,3rd,3/4 l,7,12-0t1,-,True,53,11
Downpatrick Racing Results | 5th May 2023 20:30,N/A,20:30,Yielding (Yielding To Soft In Places),2m 1f 100y,Valsorpresa,Mr H. C. Swan,5,Gordon Elliott,2nd,10 l,5,12-0,-,True,53,11
Downpatrick Racing Results | 5th May 2023 20:30,N/A,20:30,Yielding (Yielding To Soft In Places),2m 1f 100y,Extrapolation (IRE),Mr E. P. O'Brien,5,Richard John O'Brien,1st,N/A,6,12-0,-,True,53,11
Naas Racing Results | 6th May 2023 13:00,N/A,13:00,Good To Yielding (Good In Places),5f,Glor Alainn (IRE),R. P. Cleary,0,J. S. Bolger,9th,1 1/2 l,2,9-2,-,True,53,12
Naas Racing Results | 6th May 2023 13:00,N/A,13:00,Good To Yielding (Good In Places),5f,Matter Of Fact (IRE),Shane Foley,0,Mrs J. Harrington,8th,1/2 l,2,9-2,-,True,53,12
Naas Racing Results | 6th May 2023 13:00,N/A,13:00,Good To Yielding (Good In Places),5f,Smash Factor (IRE),A. J. Slattery,0,J. A. Stack,7th,Short Head,2,9-7,-,True,53,12
Naas Racing Results | 6th May 2023 13:00,N/A,13:00,Good To Yielding (Good In Places),5f,Travel Candy (IRE),Mpumelelo Mjoka,3,Kevin Thomas Coleman,6th,2 1/4 l,2,9-2,-,True,53,12
Naas Racing Results | 6th May 2023 13:00,N/A,13:00,Good To Yielding (Good In Places),5f,Smart Impression (IRE),Ben Martin Coen,0,Michael McCullagh,5th,1/2 l,2,9-2,-,True,53,12
Naas Racing Results | 6th May 2023 13:00,N/A,13:00,Good To Yielding (Good In Places),5f,Carnegie Hall (IRE),Seamie Heffernan,0,Aidan O'Brien,4th,Neck,2,9-7,-,True,53,12
Naas Racing Results | 6th May 2023 13:00,N/A,13:00,Good To Yielding (Good In Places),5f,Jalaybee,C. D. Hayes,0,D. K. Weld,3rd,2 3/4 l,2,9-7,-,True,53,12
Naas Racing Results | 6th May 2023 13:00,N/A,13:00,Good To Yielding (Good In Places),5f,Mr Saturday (IRE),C. T. Keane,0,G. M. Lyons,2nd,2 l,2,9-7,-,True,53,12
Naas Racing Results | 6th May 2023 13:00,N/A,13:00,Good To Yielding (Good In Places),5f,Devious,G. M. Ryan,0,Donnacha Aidan O'Brien,1st,N/A,2,9-7,-,True,53,12
Naas Racing Results | 6th May 2023 13:00,N/A,13:00,Good To Yielding (Good In Places),5f,Glor Alainn (IRE),R. P. Cleary,0,J. S. Bolger,9th,1 1/2 l,2,9-2,-,True,53,12
Naas Racing Results | 6th May 2023 13:00,N/A,13:00,Good To Yielding (Good In Places),5f,Matter Of Fact (IRE),Shane Foley,0,Mrs J. Harrington,8th,1/2 l,2,9-2,-,True,53,12
Naas Racing Results | 6th May 2023 13:00,N/A,13:00,Good To Yielding (Good In Places),5f,Smash Factor (IRE),A. J. Slattery,0,J. A. Stack,7th,Short Head,2,9-7,-,True,53,12
Naas Racing Results | 6th May 2023 13:00,N/A,13:00,Good To Yielding (Good In Places),5f,Travel Candy (IRE),Mpumelelo Mjoka,3,Kevin Thomas Coleman,6th,2 1/4 l,2,9-2,-,True,53,12
Naas Racing Results | 6th May 2023 13:00,N/A,13:00,Good To Yielding (Good In Places),5f,Smart Impression (IRE),Ben Martin Coen,0,Michael McCullagh,5th,1/2 l,2,9-2,-,True,53,12
Naas Racing Results | 6th May 2023 13:00,N/A,13:00,Good To Yielding (Good In Places),5f,Carnegie Hall (IRE),Seamie Heffernan,0,Aidan O'Brien,4th,Neck,2,9-7,-,True,53,12
Naas Racing Results | 6th May 2023 13:00,N/A,13:00,Good To Yielding (Good In Places),5f,Jalaybee,C. D. Hayes,0,D. K. Weld,3rd,2 3/4 l,2,9-7,-,True,53,12
Naas Racing Results | 6th May 2023 13:00,N/A,13:00,Good To Yielding (Good In Places),5f,Mr Saturday (IRE),C. T. Keane,0,G. M. Lyons,2nd,2 l,2,9-7,-,True,53,12
Naas Racing Results | 6th May 2023 13:00,N/A,13:00,Good To Yielding (Good In Places),5f,Devious,G. M. Ryan,0,Donnacha Aidan O'Brien,1st,N/A,2,9-7,-,True,53,12
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Kimbah (IRE),R. P. Cleary,0,Nigel Slevin,19th,17 l,4,8-7,52,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Hot Whispers (IRE),N. M. Crosse,0,Shane Nolan,18th,1 1/4 l,4,8-7tp,52,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Senor Carrots (IRE),William James Lee,0,Andrew Oliver,17th,1/2 l,5,10-2p,75,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Najat,Seamie Heffernan,0,Donal Kinsella,16th,3 1/2 l,4,10-1t,74,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Mass Gathering (IRE),Gearoid Patrick Brouder,5,J. G. Murray,15th,1 1/4 l,5,9-0tp,59,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,It'll Do My Day (IRE),G. F. Carroll,0,Michael Mulvany,14th,Head,4,9-1t,60,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Soi Dao (IRE),Ben Martin Coen,0,Michael Fenton,13th,Neck,4,9-9p,68,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Linger For Longer (IRE),J. A. Powell,5,Augustine Leahy,12th,Short Head,4,9-7,66,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Distillate,C. J. MacRedmond,5,Adrian McGuinness,11th,1 l,3,9-2,70,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Shoebox King (IRE),Mpumelelo Mjoka,3,Kevin Thomas Coleman,10th,1/2 l,4,9-10,69,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Dagoda (IRE),M. A. Enright,0,Miss Jennifer Anne Lynch,9th,Nose,5,9-7,66,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Stanhope (USA),Siobhan Rutledge,5,John McConnell,8th,1/2 l,9,8-10,55,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Screen Siren (IRE),J. J. G. Ryan,7,Sarah Lynam,7th,3/4 l,5,10-0p,73,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Jazzy Dancer (IRE),C. Stone-Walsh,7,W. J. Martin,6th,1/2 l,5,9-3tb,62,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Sosallycanwait (IRE),R. P. Whelan,0,Leanne Breen,5th,Neck,4,8-9,54,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,So Majestic (IRE),C. D. Hayes,0,Miss Kate McGivern,4th,1/2 l,3,8-7ht,61,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Mymomentintime (USA),P. A. Harnett,7,Susan A. Finn,3rd,Nose,4,9-13t,72,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Lokada (FR),C. T. Keane,0,M. D. O'Callaghan,2nd,1 1/2 l,4,9-13,72,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Harry's Hill,M. W. Hassett,10,Martin Hassett,1st,N/A,5,10-0,73,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Kimbah (IRE),R. P. Cleary,0,Nigel Slevin,19th,17 l,4,8-7,52,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Hot Whispers (IRE),N. M. Crosse,0,Shane Nolan,18th,1 1/4 l,4,8-7tp,52,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Senor Carrots (IRE),William James Lee,0,Andrew Oliver,17th,1/2 l,5,10-2p,75,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Najat,Seamie Heffernan,0,Donal Kinsella,16th,3 1/2 l,4,10-1t,74,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Mass Gathering (IRE),Gearoid Patrick Brouder,5,J. G. Murray,15th,1 1/4 l,5,9-0tp,59,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,It'll Do My Day (IRE),G. F. Carroll,0,Michael Mulvany,14th,Head,4,9-1t,60,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Soi Dao (IRE),Ben Martin Coen,0,Michael Fenton,13th,Neck,4,9-9p,68,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Linger For Longer (IRE),J. A. Powell,5,Augustine Leahy,12th,Short Head,4,9-7,66,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Distillate,C. J. MacRedmond,5,Adrian McGuinness,11th,1 l,3,9-2,70,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Shoebox King (IRE),Mpumelelo Mjoka,3,Kevin Thomas Coleman,10th,1/2 l,4,9-10,69,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Dagoda (IRE),M. A. Enright,0,Miss Jennifer Anne Lynch,9th,Nose,5,9-7,66,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Stanhope (USA),Siobhan Rutledge,5,John McConnell,8th,1/2 l,9,8-10,55,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Screen Siren (IRE),J. J. G. Ryan,7,Sarah Lynam,7th,3/4 l,5,10-0p,73,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Jazzy Dancer (IRE),C. Stone-Walsh,7,W. J. Martin,6th,1/2 l,5,9-3tb,62,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Sosallycanwait (IRE),R. P. Whelan,0,Leanne Breen,5th,Neck,4,8-9,54,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,So Majestic (IRE),C. D. Hayes,0,Miss Kate McGivern,4th,1/2 l,3,8-7ht,61,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Mymomentintime (USA),P. A. Harnett,7,Susan A. Finn,3rd,Nose,4,9-13t,72,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Lokada (FR),C. T. Keane,0,M. D. O'Callaghan,2nd,1 1/2 l,4,9-13,72,True,53,13
Naas Racing Results | 6th May 2023 13:35,N/A,13:35,Good To Yielding (Good In Places),5f,Harry's Hill,M. W. Hassett,10,Martin Hassett,1st,N/A,5,10-0,73,True,53,13
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Half Nutz (IRE),Adam Caffrey,7,Adrian McGuinness,14th,5 1/2 l,6,9-8,79,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Tai Sing Yeh (IRE),Shane Foley,0,James McAuley,13th,3 1/2 l,9,9-7tb,78,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Un Bacio Ancora (IRE),R. P. Cleary,0,C. W. J. Farrell,12th,1 1/2 l,4,8-7t,64,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Iva Batt (IRE),R. P. Whelan,0,Adrian McGuinness,11th,1/2 l,5,9-2,73,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Anadora,Ben Martin Coen,0,Sarah Lynam,10th,Neck,4,10-0,85,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Rhythm King (IRE),G. M. Ryan,0,Mark Fahey,9th,1 1/4 l,3,9-1,81,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Warrior Brave,D. B. McMonagle,0,Ross O'Sullivan,8th,1 3/4 l,5,9-12p,83,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Cnodian (IRE),N. M. Crosse,0,W. McCreery,7th,Neck,5,8-10,67,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Sophie's Star,G. P. Halpin,0,Mrs Denise Foster,6th,1 1/4 l,4,9-11,82,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Tawaazon (IRE),C. T. Keane,0,James McAuley,5th,1 l,5,10-0tb,85,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Gegenpressing,C. D. Hayes,0,Eddie & Patrick Harty,4th,3/4 l,5,8-11t,68,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Dream Today (IRE),C. J. MacRedmond,5,Adrian McGuinness,3rd,3/4 l,8,10-3tp,88,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Craft Irish (IRE),J. A. Powell,5,P. J. F. Murphy,2nd,2 1/4 l,5,10-2b1,87,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Dandyville (IRE),William James Lee,0,Miss Natalia Lupini,1st,N/A,5,9-9,80,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Half Nutz (IRE),Adam Caffrey,7,Adrian McGuinness,14th,5 1/2 l,6,9-8,79,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Tai Sing Yeh (IRE),Shane Foley,0,James McAuley,13th,3 1/2 l,9,9-7tb,78,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Un Bacio Ancora (IRE),R. P. Cleary,0,C. W. J. Farrell,12th,1 1/2 l,4,8-7t,64,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Iva Batt (IRE),R. P. Whelan,0,Adrian McGuinness,11th,1/2 l,5,9-2,73,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Anadora,Ben Martin Coen,0,Sarah Lynam,10th,Neck,4,10-0,85,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Rhythm King (IRE),G. M. Ryan,0,Mark Fahey,9th,1 1/4 l,3,9-1,81,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Warrior Brave,D. B. McMonagle,0,Ross O'Sullivan,8th,1 3/4 l,5,9-12p,83,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Cnodian (IRE),N. M. Crosse,0,W. McCreery,7th,Neck,5,8-10,67,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Sophie's Star,G. P. Halpin,0,Mrs Denise Foster,6th,1 1/4 l,4,9-11,82,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Tawaazon (IRE),C. T. Keane,0,James McAuley,5th,1 l,5,10-0tb,85,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Gegenpressing,C. D. Hayes,0,Eddie & Patrick Harty,4th,3/4 l,5,8-11t,68,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Dream Today (IRE),C. J. MacRedmond,5,Adrian McGuinness,3rd,3/4 l,8,10-3tp,88,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Craft Irish (IRE),J. A. Powell,5,P. J. F. Murphy,2nd,2 1/4 l,5,10-2b1,87,True,53,15
Naas Racing Results | 6th May 2023 14:45,N/A,14:45,Good To Yielding (Good In Places),5f 205y,Dandyville (IRE),William James Lee,0,Miss Natalia Lupini,1st,N/A,5,9-9,80,True,53,15
Naas Racing Results | 6th May 2023 15:20,N/A,15:20,Good To Yielding (Good In Places),5f 205y,Kodi Red (IRE),D. B. McMonagle,0,Adrian Murray,10th,2 3/4 l,3,9-12,95,True,53,16
Naas Racing Results | 6th May 2023 15:20,N/A,15:20,Good To Yielding (Good In Places),5f 205y,Something Nice (IRE),Declan McDonogh,0,Michael Mulvany,9th,3 3/4 l,3,9-6,89,True,53,16
Naas Racing Results | 6th May 2023 15:20,N/A,15:20,Good To Yielding (Good In Places),5f 205y,Bossy Parker (IRE),J. A. Powell,5,John Patrick Murtagh,8th,Neck,3,9-8p,91,True,53,16
Naas Racing Results | 6th May 2023 15:20,N/A,15:20,Good To Yielding (Good In Places),5f 205y,Tough Talk (IRE),C. T. Keane,0,G. M. Lyons,7th,5 1/2 l,3,9-13b1,96,True,53,16
Naas Racing Results | 6th May 2023 15:20,N/A,15:20,Good To Yielding (Good In Places),5f 205y,Run Ran Run (IRE),A. J. Slattery,0,J. A. Stack,6th,Head,3,9-1p1,84,True,53,16
Naas Racing Results | 6th May 2023 15:20,N/A,15:20,Good To Yielding (Good In Places),5f 205y,El Tesoro (IRE),K. J. Leonard,0,Donnacha Aidan O'Brien,5th,Nose,3,8-7,76,True,53,16
Naas Racing Results | 6th May 2023 15:20,N/A,15:20,Good To Yielding (Good In Places),5f 205y,King Of Scotia (IRE),William James Lee,0,M. D. O'Callaghan,4th,2 1/2 l,3,9-6,89,True,53,16
Naas Racing Results | 6th May 2023 15:20,N/A,15:20,Good To Yielding (Good In Places),5f 205y,Polar Bear (IRE),Shane Foley,0,Mrs J. Harrington,3rd,3/4 l,3,9-4p,87,True,53,16
Naas Racing Results | 6th May 2023 15:20,N/A,15:20,Good To Yielding (Good In Places),5f 205y,Cash Or Crypto (IRE),R. P. Whelan,0,David Marnane,2nd,1/2 l,3,8-7,76,True,53,16
Naas Racing Results | 6th May 2023 15:20,N/A,15:20,Good To Yielding (Good In Places),5f 205y,Lord Massusus (IRE),G. F. Carroll,0,Joseph G. Murphy,1st,N/A,3,10-0,97,True,53,16
Naas Racing Results | 6th May 2023 15:20,N/A,15:20,Good To Yielding (Good In Places),5f 205y,Kodi Red (IRE),D. B. McMonagle,0,Adrian Murray,10th,2 3/4 l,3,9-12,95,True,53,16
Naas Racing Results | 6th May 2023 15:20,N/A,15:20,Good To Yielding (Good In Places),5f 205y,Something Nice (IRE),Declan McDonogh,0,Michael Mulvany,9th,3 3/4 l,3,9-6,89,True,53,16
Naas Racing Results | 6th May 2023 15:20,N/A,15:20,Good To Yielding (Good In Places),5f 205y,Bossy Parker (IRE),J. A. Powell,5,John Patrick Murtagh,8th,Neck,3,9-8p,91,True,53,16
Naas Racing Results | 6th May 2023 15:20,N/A,15:20,Good To Yielding (Good In Places),5f 205y,Tough Talk (IRE),C. T. Keane,0,G. M. Lyons,7th,5 1/2 l,3,9-13b1,96,True,53,16
Naas Racing Results | 6th May 2023 15:20,N/A,15:20,Good To Yielding (Good In Places),5f 205y,Run Ran Run (IRE),A. J. Slattery,0,J. A. Stack,6th,Head,3,9-1p1,84,True,53,16
Naas Racing Results | 6th May 2023 15:20,N/A,15:20,Good To Yielding (Good In Places),5f 205y,El Tesoro (IRE),K. J. Leonard,0,Donnacha Aidan O'Brien,5th,Nose,3,8-7,76,True,53,16
Naas Racing Results | 6th May 2023 15:20,N/A,15:20,Good To Yielding (Good In Places),5f 205y,King Of Scotia (IRE),William James Lee,0,M. D. O'Callaghan,4th,2 1/2 l,3,9-6,89,True,53,16
Naas Racing Results | 6th May 2023 15:20,N/A,15:20,Good To Yielding (Good In Places),5f 205y,Polar Bear (IRE),Shane Foley,0,Mrs J. Harrington,3rd,3/4 l,3,9-4p,87,True,53,16
Naas Racing Results | 6th May 2023 15:20,N/A,15:20,Good To Yielding (Good In Places),5f 205y,Cash Or Crypto (IRE),R. P. Whelan,0,David Marnane,2nd,1/2 l,3,8-7,76,True,53,16
Naas Racing Results | 6th May 2023 15:20,N/A,15:20,Good To Yielding (Good In Places),5f 205y,Lord Massusus (IRE),G. F. Carroll,0,Joseph G. Murphy,1st,N/A,3,10-0,97,True,53,16
Naas Racing Results | 6th May 2023 15:55,N/A,15:55,Good To Yielding (Good In Places),1m 2f,Diamondsareforever (IRE),C. T. Keane,0,Aidan O'Brien,8th,4 3/4 l,3,9-2,-,True,53,17
Naas Racing Results | 6th May 2023 15:55,N/A,15:55,Good To Yielding (Good In Places),1m 2f,Fast Tara (IRE),Ben Martin Coen,0,John Patrick Murtagh,7th,Head,3,9-2,-,True,53,17
Naas Racing Results | 6th May 2023 15:55,N/A,15:55,Good To Yielding (Good In Places),1m 2f,Drummin Life (IRE),William James Lee,0,W. McCreery,6th,Head,3,9-2,-,True,53,17
Naas Racing Results | 6th May 2023 15:55,N/A,15:55,Good To Yielding (Good In Places),1m 2f,Foniska (IRE),Shane Foley,0,Mrs J. Harrington,5th,3/4 l,3,9-2,-,True,53,17
Naas Racing Results | 6th May 2023 15:55,N/A,15:55,Good To Yielding (Good In Places),1m 2f,Keep In Touch (IRE),C. D. Hayes,0,D. K. Weld,4th,4 l,3,9-2,-,True,53,17
Naas Racing Results | 6th May 2023 15:55,N/A,15:55,Good To Yielding (Good In Places),1m 2f,Red Riding Hood (IRE),Seamie Heffernan,0,Aidan O'Brien,3rd,Neck,3,9-2b1,-,True,53,17
Naas Racing Results | 6th May 2023 15:55,N/A,15:55,Good To Yielding (Good In Places),1m 2f,Lumiere Rock (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,2nd,1/2 l,3,9-5,-,True,53,17
Naas Racing Results | 6th May 2023 15:55,N/A,15:55,Good To Yielding (Good In Places),1m 2f,Caroline Street (USA),D. B. McMonagle,0,Joseph Patrick O'Brien,1st,N/A,3,9-2,-,True,53,17
Naas Racing Results | 6th May 2023 15:55,N/A,15:55,Good To Yielding (Good In Places),1m 2f,Diamondsareforever (IRE),C. T. Keane,0,Aidan O'Brien,8th,4 3/4 l,3,9-2,-,True,53,17
Naas Racing Results | 6th May 2023 15:55,N/A,15:55,Good To Yielding (Good In Places),1m 2f,Fast Tara (IRE),Ben Martin Coen,0,John Patrick Murtagh,7th,Head,3,9-2,-,True,53,17
Naas Racing Results | 6th May 2023 15:55,N/A,15:55,Good To Yielding (Good In Places),1m 2f,Drummin Life (IRE),William James Lee,0,W. McCreery,6th,Head,3,9-2,-,True,53,17
Naas Racing Results | 6th May 2023 15:55,N/A,15:55,Good To Yielding (Good In Places),1m 2f,Foniska (IRE),Shane Foley,0,Mrs J. Harrington,5th,3/4 l,3,9-2,-,True,53,17
Naas Racing Results | 6th May 2023 15:55,N/A,15:55,Good To Yielding (Good In Places),1m 2f,Keep In Touch (IRE),C. D. Hayes,0,D. K. Weld,4th,4 l,3,9-2,-,True,53,17
Naas Racing Results | 6th May 2023 15:55,N/A,15:55,Good To Yielding (Good In Places),1m 2f,Red Riding Hood (IRE),Seamie Heffernan,0,Aidan O'Brien,3rd,Neck,3,9-2b1,-,True,53,17
Naas Racing Results | 6th May 2023 15:55,N/A,15:55,Good To Yielding (Good In Places),1m 2f,Lumiere Rock (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,2nd,1/2 l,3,9-5,-,True,53,17
Naas Racing Results | 6th May 2023 15:55,N/A,15:55,Good To Yielding (Good In Places),1m 2f,Caroline Street (USA),D. B. McMonagle,0,Joseph Patrick O'Brien,1st,N/A,3,9-2,-,True,53,17
Naas Racing Results | 6th May 2023 16:30,N/A,16:30,Good To Yielding (Good In Places),1m 2f,Roaring Gallagher (FR),Declan McDonogh,0,Joseph Patrick O'Brien,6th,3/4 l,3,9-11t1,-,True,53,18
Naas Racing Results | 6th May 2023 16:30,N/A,16:30,Good To Yielding (Good In Places),1m 2f,Duke Of Leggagh (IRE),G. F. Carroll,0,Michael Mulvany,5th,1 3/4 l,3,9-1,-,True,53,18
Naas Racing Results | 6th May 2023 16:30,N/A,16:30,Good To Yielding (Good In Places),1m 2f,Signora Bellissima (IRE),J. A. Powell,5,John Patrick Murtagh,4th,Head,3,8-12,-,True,53,18
Naas Racing Results | 6th May 2023 16:30,N/A,16:30,Good To Yielding (Good In Places),1m 2f,Sea Legend (FR),M. A. Enright,0,J. A. Stack,3rd,1 3/4 l,3,9-4t,-,True,53,18
Naas Racing Results | 6th May 2023 16:30,N/A,16:30,Good To Yielding (Good In Places),1m 2f,Roman Hands (IRE),Shane Foley,0,Mrs J. Harrington,2nd,10 l,3,9-0,-,True,53,18
Naas Racing Results | 6th May 2023 16:30,N/A,16:30,Good To Yielding (Good In Places),1m 2f,New Variant (IRE),L. T. McAteer,3,J. S. Bolger,1st,N/A,3,9-0,-,True,53,18
Naas Racing Results | 6th May 2023 16:30,N/A,16:30,Good To Yielding (Good In Places),1m 2f,Roaring Gallagher (FR),Declan McDonogh,0,Joseph Patrick O'Brien,6th,3/4 l,3,9-11t1,-,True,53,18
