track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Fairyhouse Racing Results | 10th July 2022 13:55,N/A,13:55,Good,6f,Finsceal Go Deo (IRE),K. J. Manning,0,J. S. Bolger,3rd,1 1/4 l,2,9-2,-,True,8,2
Fairyhouse Racing Results | 10th July 2022 13:55,N/A,13:55,Good,6f,Basil Martini (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,2nd,1 l,2,9-2,-,True,8,2
Fairyhouse Racing Results | 10th July 2022 13:55,N/A,13:55,Good,6f,Coralillo (IRE),C. D. Hayes,0,Eddie & Patrick Harty,1st,N/A,2,9-2t1,-,True,8,2
Fairyhouse Racing Results | 10th July 2022 13:55,N/A,13:55,Good,6f,The Fog Horn (IRE),Seamie Heffernan,0,Seamus G. O'Donnell,7th,2 1/4 l,2,9-2,-,True,8,2
Fairyhouse Racing Results | 10th July 2022 13:55,N/A,13:55,Good,6f,In The Giving (IRE),A. J. Slattery,0,J. A. Stack,6th,1/2 l,2,9-2,-,True,8,2
Fairyhouse Racing Results | 10th July 2022 13:55,N/A,13:55,Good,6f,Lashes (IRE),R. P. Whelan,0,M. Halford,5th,2 3/4 l,2,9-2,-,True,8,2
Fairyhouse Racing Results | 10th July 2022 13:55,N/A,13:55,Good,6f,Valkyrian (IRE),C. T. Keane,0,G. M. Lyons,4th,2 1/2 l,2,9-2,-,True,8,2
Fairyhouse Racing Results | 10th July 2022 13:55,N/A,13:55,Good,6f,Finsceal Go Deo (IRE),K. J. Manning,0,J. S. Bolger,3rd,1 1/4 l,2,9-2,-,True,8,2
Fairyhouse Racing Results | 10th July 2022 13:55,N/A,13:55,Good,6f,Basil Martini (IRE),Declan McDonogh,0,Joseph Patrick O'Brien,2nd,1 l,2,9-2,-,True,8,2
Fairyhouse Racing Results | 10th July 2022 13:55,N/A,13:55,Good,6f,Coralillo (IRE),C. D. Hayes,0,Eddie & Patrick Harty,1st,N/A,2,9-2t1,-,True,8,2
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Clashbeg Star (IRE),James J. Doyle,0,Philip Michael Byrne,13th,17 l,3,9-3,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Crimson Flag (IRE),William James Lee,0,M. C. Grassick,12th,4 1/2 l,3,9-3,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Our Matilda (IRE),Siobhan Rutledge,5,Garry Bernard Caldwell,11th,Neck,3,9-3,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Almonds (IRE),C. D. Hayes,0,D. K. Weld,10th,3 3/4 l,3,9-3,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Wonder Woman (IRE),Shane Foley,0,Garry Bernard Caldwell,9th,Head,4,9-9,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Ballysax Lil' Mick (IRE),D. J. Gilligan,10,Miss Katy Brown,8th,1 1/2 l,4,10-0,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,The Penny (IRE),G. F. Carroll,0,John McConnell,7th,Short Head,4,9-9,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Elephant John (IRE),L. T. McAteer,3,Barry Fitzgerald,6th,2 1/4 l,4,10-0,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Plankton (IRE),C. T. Keane,0,G. M. Lyons,5th,Short Head,3,9-8,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Creative Power (IRE),Ben Martin Coen,0,Edward Lynam,4th,1 1/4 l,3,9-3,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Endless Season (IRE),R. P. Whelan,0,M. Halford,3rd,3 1/4 l,3,9-3,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Mickey The Steel,Wesley Joyce,7,Joseph Anthony Murray,2nd,1 3/4 l,4,10-0t,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Hypernova (IRE),H. J. Horgan,7,Joseph Patrick O'Brien,1st,N/A,3,9-8t,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Clashbeg Star (IRE),James J. Doyle,0,Philip Michael Byrne,13th,17 l,3,9-3,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Crimson Flag (IRE),William James Lee,0,M. C. Grassick,12th,4 1/2 l,3,9-3,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Our Matilda (IRE),Siobhan Rutledge,5,Garry Bernard Caldwell,11th,Neck,3,9-3,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Almonds (IRE),C. D. Hayes,0,D. K. Weld,10th,3 3/4 l,3,9-3,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Wonder Woman (IRE),Shane Foley,0,Garry Bernard Caldwell,9th,Head,4,9-9,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Ballysax Lil' Mick (IRE),D. J. Gilligan,10,Miss Katy Brown,8th,1 1/2 l,4,10-0,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,The Penny (IRE),G. F. Carroll,0,John McConnell,7th,Short Head,4,9-9,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Elephant John (IRE),L. T. McAteer,3,Barry Fitzgerald,6th,2 1/4 l,4,10-0,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Plankton (IRE),C. T. Keane,0,G. M. Lyons,5th,Short Head,3,9-8,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Creative Power (IRE),Ben Martin Coen,0,Edward Lynam,4th,1 1/4 l,3,9-3,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Endless Season (IRE),R. P. Whelan,0,M. Halford,3rd,3 1/4 l,3,9-3,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Mickey The Steel,Wesley Joyce,7,Joseph Anthony Murray,2nd,1 3/4 l,4,10-0t,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 14:30,N/A,14:30,Good,6f,Hypernova (IRE),H. J. Horgan,7,Joseph Patrick O'Brien,1st,N/A,3,9-8t,-,True,8,3
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Tai Sing Yeh (IRE),Shane Foley,0,James McAuley,NR,N/A,8,9-11tb,65,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Carla's Kodi Bear (IRE),Seamie Heffernan,0,Mrs Sarah Dawson,16th,8 1/2 l,3,9-0,60,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Theriverrunsdeep (IRE),P. A. Harnett,7,Seamus G. O'Donnell,15th,2 1/2 l,6,10-1b,69,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Markievicz (IRE),R. P. Cleary,0,Ms Sheila Lavery,14th,Nose,4,9-6,60,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Brave Troop (IRE),D. W. O'Connor,0,John McConnell,13th,1/2 l,3,9-4,64,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Aconcagua Mountain (IRE),James J. Doyle,0,D. Broad,12th,1/2 l,4,8-7p1,47,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Cleveleys,Ben Martin Coen,0,Richard John O'Brien,11th,3/4 l,4,9-11,65,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Arcanears (IRE),R. P. Whelan,0,M. Halford,10th,Short Head,7,9-12tp,66,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Bellick,Siobhan Rutledge,5,John McConnell,9th,2 l,7,8-8,48,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Eglish,J. Coen,7,James McAuley,8th,Neck,5,9-1b,55,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Fit for Function,Tom Kiely Marshall,7,Joseph G. Murphy,7th,Neck,9,8-7p,47,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Breakfast Club,M. P. Sheehy,3,James McAuley,6th,1 1/4 l,5,8-13tb,53,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Jupiter Express (IRE),J. M. Sheridan,3,K. J. Condon,5th,3/4 l,3,9-9t1,69,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Caesar's Comet (IRE),C. D. Hayes,0,James McAuley,4th,Nose,8,8-7b,47,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Cnodian (IRE),William James Lee,0,W. McCreery,3rd,2 3/4 l,4,9-8,62,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Secret Road (IRE),C. T. Keane,0,Gerard Keane,2nd,1/2 l,4,9-8,62,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Pretty Smart (IRE),D. B. McMonagle,0,Patrick Martin,1st,N/A,6,9-9,63,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Tai Sing Yeh (IRE),Shane Foley,0,James McAuley,NR,N/A,8,9-11tb,65,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Carla's Kodi Bear (IRE),Seamie Heffernan,0,Mrs Sarah Dawson,16th,8 1/2 l,3,9-0,60,True,8,4
Fairyhouse Racing Results | 10th July 2022 15:05,N/A,15:05,Good,6f,Theriverrunsdeep (IRE),P. A. Harnett,7,Seamus G. O'Donnell,15th,2 1/2 l,6,10-1b,69,True,8,4
