track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 11th October 2024 18:00,N/A,18:00,Standard ytrack),7f,Six Thirty (IRE),W J Lee,0,N Lupini,3rd,4 1/2 l,2,9-2,-,True,145,17
Dundalk Racing Results | 11th October 2024 18:00,N/A,18:00,Standard ytrack),7f,Carrignarede (IRE),D McMonagle,0,J P O'Brien,2nd,Neck,2,9-8,-,True,145,17
Dundalk Racing Results | 11th October 2024 18:00,N/A,18:00,Standard ytrack),7f,Glyndwr (IRE),C T Keane,0,G M Lyons,1st,N/A,2,9-6,-,True,145,17
Dundalk Racing Results | 11th October 2024 18:00,N/A,18:00,Standard ytrack),7f,Drucker (USA),A J Slattery,0,A Slattery,8th,2 1/4 l,2,9-6,-,True,145,17
Dundalk Racing Results | 11th October 2024 18:00,N/A,18:00,Standard ytrack),7f,Som Brasil,G P Halpin,0,Sean Davis,7th,1 l,2,9-2,-,True,145,17
Dundalk Racing Results | 11th October 2024 18:00,N/A,18:00,Standard ytrack),7f,Elusive Duke (IRE),J A Heffernan,0,Kevin Coleman,6th,3/4 l,2,9-2,-,True,145,17
Dundalk Racing Results | 11th October 2024 18:00,N/A,18:00,Standard ytrack),7f,I Am Me (IRE),G M Ryan,0,Donnacha O'Brien,5th,1/2 l,2,9-6,-,True,145,17
Dundalk Racing Results | 11th October 2024 18:00,N/A,18:00,Standard ytrack),7f,Mighty Day (IRE),L T McAteer,0,J M Barrett,4th,Neck,2,9-2,-,True,145,17
Dundalk Racing Results | 11th October 2024 18:00,N/A,18:00,Standard ytrack),7f,Six Thirty (IRE),W J Lee,0,N Lupini,3rd,4 1/2 l,2,9-2,-,True,145,17
Dundalk Racing Results | 11th October 2024 18:00,N/A,18:00,Standard ytrack),7f,Carrignarede (IRE),D McMonagle,0,J P O'Brien,2nd,Neck,2,9-8,-,True,145,17
Dundalk Racing Results | 11th October 2024 18:00,N/A,18:00,Standard ytrack),7f,Glyndwr (IRE),C T Keane,0,G M Lyons,1st,N/A,2,9-6,-,True,145,17
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Beauty Bella (IRE),G F Carroll,0,J C McConnell,14th,2 1/4 l,4,9-7,68,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Free Solo (IRE),C D Hayes,0,P J F Murphy,13th,2 l,7,10-0tp,75,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Never Cry Never (IRE),W J Lee,0,Gerard O'Leary,12th,1 1/4 l,4,10-0b,75,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Nikki Swango (IRE),M W Hassett,5,N Lupini,11th,1/2 l,3,9-8,71,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Not Forgotten (IRE),R P Whelan,0,M Halford & T Collins,10th,1 l,4,10-1,76,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Sweetest (IRE),J Cleary,7,A P O'Brien,9th,Neck,3,9-7,70,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Prisoner's Dilemma,D W O'Connor,0,J F Levins,8th,1 l,8,9-12p,73,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Zabeir (IRE),D P McDonogh,0,D Kinsella,7th,Short Head,5,9-7t,68,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Rockbury Lad,J A Powell,3,M O'Callaghan,6th,1/2 l,5,9-5p,66,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Mehman,S Foley,0,Gerard O'Leary,5th,Neck,5,10-0b1,75,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Goal Exceeded,J J G Ryan,3,John O'Donoghue,4th,Nose,3,10-0p1,77,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Punk Poet (IRE),C T Keane,0,E Lynam,3rd,Nose,7,9-12,73,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Little Empire (IRE),G M Ryan,0,A McCann,2nd,1 1/4 l,4,9-9,70,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Eddie G (IRE),Adam Caffrey,3,A McGuinness,1st,N/A,3,9-11,74,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Beauty Bella (IRE),G F Carroll,0,J C McConnell,14th,2 1/4 l,4,9-7,68,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Free Solo (IRE),C D Hayes,0,P J F Murphy,13th,2 l,7,10-0tp,75,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Never Cry Never (IRE),W J Lee,0,Gerard O'Leary,12th,1 1/4 l,4,10-0b,75,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Nikki Swango (IRE),M W Hassett,5,N Lupini,11th,1/2 l,3,9-8,71,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Not Forgotten (IRE),R P Whelan,0,M Halford & T Collins,10th,1 l,4,10-1,76,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Sweetest (IRE),J Cleary,7,A P O'Brien,9th,Neck,3,9-7,70,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Prisoner's Dilemma,D W O'Connor,0,J F Levins,8th,1 l,8,9-12p,73,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Zabeir (IRE),D P McDonogh,0,D Kinsella,7th,Short Head,5,9-7t,68,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Rockbury Lad,J A Powell,3,M O'Callaghan,6th,1/2 l,5,9-5p,66,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Mehman,S Foley,0,Gerard O'Leary,5th,Neck,5,10-0b1,75,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Goal Exceeded,J J G Ryan,3,John O'Donoghue,4th,Nose,3,10-0p1,77,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Punk Poet (IRE),C T Keane,0,E Lynam,3rd,Nose,7,9-12,73,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Little Empire (IRE),G M Ryan,0,A McCann,2nd,1 1/4 l,4,9-9,70,True,145,18
Dundalk Racing Results | 11th October 2024 18:30,N/A,18:30,Standard,7f,Eddie G (IRE),Adam Caffrey,3,A McGuinness,1st,N/A,3,9-11,74,True,145,18
Dundalk Racing Results | 11th October 2024 19:00,N/A,19:00,Standard,1m,Ferrybank,W J Lee,0,T M Walsh,9th,3 l,6,9-1t,77,True,145,19
Dundalk Racing Results | 11th October 2024 19:00,N/A,19:00,Standard,1m,Shigar (IRE),C D Hayes,0,W Durkan,8th,2 3/4 l,5,9-8h,84,True,145,19
Dundalk Racing Results | 11th October 2024 19:00,N/A,19:00,Standard,1m,Ivasecret (IRE),W Joyce,5,C Collins,7th,1 1/2 l,6,8-10,72,True,145,19
Dundalk Racing Results | 11th October 2024 19:00,N/A,19:00,Standard,1m,September Leaves (IRE),S Foley,0,Mrs J Harrington,6th,2 1/4 l,3,8-11p,76,True,145,19
Dundalk Racing Results | 11th October 2024 19:00,N/A,19:00,Standard,1m,Pier Pressure (FR),J J G Ryan,3,G M Lyons,5th,1/2 l,4,9-4,80,True,145,19
Dundalk Racing Results | 11th October 2024 19:00,N/A,19:00,Standard,1m,Bucaneer's Spirit (IRE),R P Whelan,0,J Davison,4th,1/2 l,3,9-4,83,True,145,19
Dundalk Racing Results | 11th October 2024 19:00,N/A,19:00,Standard,1m,Tokenomics (FR),L T McAteer,0,D Marnane,3rd,1 1/2 l,3,9-10,89,True,145,19
Dundalk Racing Results | 11th October 2024 19:00,N/A,19:00,Standard,1m,Tamrat (IRE),C T Keane,0,G M Lyons,2nd,1/2 l,3,9-8b,87,True,145,19
Dundalk Racing Results | 11th October 2024 19:00,N/A,19:00,Standard,1m,Blues Emperor (IRE),P McGettigan,10,J P Murtagh,1st,N/A,5,10-0,90,True,145,19
Dundalk Racing Results | 11th October 2024 19:00,N/A,19:00,Standard,1m,Ferrybank,W J Lee,0,T M Walsh,9th,3 l,6,9-1t,77,True,145,19
Dundalk Racing Results | 11th October 2024 19:00,N/A,19:00,Standard,1m,Shigar (IRE),C D Hayes,0,W Durkan,8th,2 3/4 l,5,9-8h,84,True,145,19
Dundalk Racing Results | 11th October 2024 19:00,N/A,19:00,Standard,1m,Ivasecret (IRE),W Joyce,5,C Collins,7th,1 1/2 l,6,8-10,72,True,145,19
Dundalk Racing Results | 11th October 2024 19:00,N/A,19:00,Standard,1m,September Leaves (IRE),S Foley,0,Mrs J Harrington,6th,2 1/4 l,3,8-11p,76,True,145,19
Dundalk Racing Results | 11th October 2024 19:00,N/A,19:00,Standard,1m,Pier Pressure (FR),J J G Ryan,3,G M Lyons,5th,1/2 l,4,9-4,80,True,145,19
Dundalk Racing Results | 11th October 2024 19:00,N/A,19:00,Standard,1m,Bucaneer's Spirit (IRE),R P Whelan,0,J Davison,4th,1/2 l,3,9-4,83,True,145,19
Dundalk Racing Results | 11th October 2024 19:00,N/A,19:00,Standard,1m,Tokenomics (FR),L T McAteer,0,D Marnane,3rd,1 1/2 l,3,9-10,89,True,145,19
Dundalk Racing Results | 11th October 2024 19:00,N/A,19:00,Standard,1m,Tamrat (IRE),C T Keane,0,G M Lyons,2nd,1/2 l,3,9-8b,87,True,145,19
Dundalk Racing Results | 11th October 2024 19:00,N/A,19:00,Standard,1m,Blues Emperor (IRE),P McGettigan,10,J P Murtagh,1st,N/A,5,10-0,90,True,145,19
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Del Posto,J Pietropaolo,7,W J Lanigan,14th,5 1/2 l,3,8-8b1,47,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Lohengrin,S Coen,7,E O'Connell,13th,1/2 l,4,10-0t,63,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Albion Princess,W Joyce,0,D Kinsella,12th,4 1/4 l,5,8-12ht,47,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Inchiquin Maid (IRE),M W Hassett,0,D Budds,11th,Short Head,5,9-12t,61,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Endless Pursuit (IRE),S T McCullagh,0,Mrs J Harrington,10th,Neck,4,9-13,62,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Harseva (IRE),H J Horgan,2,G Keane,9th,Head,4,9-7t,56,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Maxwell Smart (IRE),K G Kennedy,4,T G McCourt,8th,3/4 l,3,8-8,47,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Wishes And Dreams (IRE),J A Powell,0,Ciaran Murphy,7th,2 l,4,9-5tp,54,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Areana (IRE),J J G Ryan,0,Conor Maxwell,6th,Neck,5,9-10t,59,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Academy Winner (USA),D King,0,D Hogan,5th,3/4 l,3,9-10p,63,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Glyde Ranger (IRE),R Whearty,0,T G McCourt,4th,1/2 l,4,9-5v,54,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Dancing Steve (IRE),Adam Caffrey,0,A McGuinness,3rd,Short Head,3,9-10v,63,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Koniag (IRE),P A Harnett,2,K P Cotter,2nd,1 1/4 l,3,9-10,63,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Church Mountain (IRE),J Kearney,2,D Hogan,1st,N/A,6,9-11tp,60,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Del Posto,J Pietropaolo,7,W J Lanigan,14th,5 1/2 l,3,8-8b1,47,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Lohengrin,S Coen,7,E O'Connell,13th,1/2 l,4,10-0t,63,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Albion Princess,W Joyce,0,D Kinsella,12th,4 1/4 l,5,8-12ht,47,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Inchiquin Maid (IRE),M W Hassett,0,D Budds,11th,Short Head,5,9-12t,61,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Endless Pursuit (IRE),S T McCullagh,0,Mrs J Harrington,10th,Neck,4,9-13,62,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Harseva (IRE),H J Horgan,2,G Keane,9th,Head,4,9-7t,56,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Maxwell Smart (IRE),K G Kennedy,4,T G McCourt,8th,3/4 l,3,8-8,47,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Wishes And Dreams (IRE),J A Powell,0,Ciaran Murphy,7th,2 l,4,9-5tp,54,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Areana (IRE),J J G Ryan,0,Conor Maxwell,6th,Neck,5,9-10t,59,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Academy Winner (USA),D King,0,D Hogan,5th,3/4 l,3,9-10p,63,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Glyde Ranger (IRE),R Whearty,0,T G McCourt,4th,1/2 l,4,9-5v,54,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Dancing Steve (IRE),Adam Caffrey,0,A McGuinness,3rd,Short Head,3,9-10v,63,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Koniag (IRE),P A Harnett,2,K P Cotter,2nd,1 1/4 l,3,9-10,63,True,145,20
Dundalk Racing Results | 11th October 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Church Mountain (IRE),J Kearney,2,D Hogan,1st,N/A,6,9-11tp,60,True,145,20
Dundalk Racing Results | 11th October 2024 20:00,N/A,20:00,Standard,1m 4f,Polemon,J M Sheridan,0,D Hogan,NR,N/A,5,9-3tp,79,True,145,21
Dundalk Racing Results | 11th October 2024 20:00,N/A,20:00,Standard,1m 4f,No Say Ever,S Foley,0,Miss A Mooney,6th,8 1/2 l,8,9-3h,79,True,145,21
Dundalk Racing Results | 11th October 2024 20:00,N/A,20:00,Standard,1m 4f,Shayzann (IRE),C T Keane,0,J P Murtagh,5th,1/2 l,4,10-2t,92,True,145,21
Dundalk Racing Results | 11th October 2024 20:00,N/A,20:00,Standard,1m 4f,Burren Song (IRE),J J G Ryan,3,Ciaran Murphy,4th,2 3/4 l,6,9-10t,86,True,145,21
Dundalk Racing Results | 11th October 2024 20:00,N/A,20:00,Standard,1m 4f,Lady Lunette (IRE),D McMonagle,0,R P Cody,3rd,1 3/4 l,4,9-11b,87,True,145,21
Dundalk Racing Results | 11th October 2024 20:00,N/A,20:00,Standard,1m 4f,Psalm (IRE),J Cleary,7,A P O'Brien,2nd,Head,3,9-0tp,82,True,145,21
Dundalk Racing Results | 11th October 2024 20:00,N/A,20:00,Standard,1m 4f,Squire Danagher,W J Lee,0,A Oliver,1st,N/A,4,9-9b,85,True,145,21
Dundalk Racing Results | 11th October 2024 20:00,N/A,20:00,Standard,1m 4f,Polemon,J M Sheridan,0,D Hogan,NR,N/A,5,9-3tp,79,True,145,21
Dundalk Racing Results | 11th October 2024 20:00,N/A,20:00,Standard,1m 4f,No Say Ever,S Foley,0,Miss A Mooney,6th,8 1/2 l,8,9-3h,79,True,145,21
Dundalk Racing Results | 11th October 2024 20:00,N/A,20:00,Standard,1m 4f,Shayzann (IRE),C T Keane,0,J P Murtagh,5th,1/2 l,4,10-2t,92,True,145,21
Dundalk Racing Results | 11th October 2024 20:00,N/A,20:00,Standard,1m 4f,Burren Song (IRE),J J G Ryan,3,Ciaran Murphy,4th,2 3/4 l,6,9-10t,86,True,145,21
Dundalk Racing Results | 11th October 2024 20:00,N/A,20:00,Standard,1m 4f,Lady Lunette (IRE),D McMonagle,0,R P Cody,3rd,1 3/4 l,4,9-11b,87,True,145,21
Dundalk Racing Results | 11th October 2024 20:00,N/A,20:00,Standard,1m 4f,Psalm (IRE),J Cleary,7,A P O'Brien,2nd,Head,3,9-0tp,82,True,145,21
Dundalk Racing Results | 11th October 2024 20:00,N/A,20:00,Standard,1m 4f,Squire Danagher,W J Lee,0,A Oliver,1st,N/A,4,9-9b,85,True,145,21
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Altesse Blanche,R P Whelan,0,A Oliver,PU,N/A,3,9-6,78,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Eastmore,J A Heffernan,0,C Byrnes,13th,1 1/2 l,4,9-8t,74,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Street Mentor (USA),A J Slattery,0,A Slattery,12th,Nose,3,8-10t,68,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Morph Speed (IRE),P McGettigan,10,N Slevin,11th,1 1/4 l,8,9-7tp,73,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Slowdownbarney (IRE),Siobhan Rutledge,3,J C McConnell,10th,2 l,3,9-4,76,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Timourid (IRE),D King,3,D Hogan,9th,3 3/4 l,7,10-0tp,80,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Proleek Prince (IRE),D McMonagle,0,M Rice,8th,Neck,4,9-6h1,72,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Trethorn,S Foley,0,Mrs J Harrington,7th,3/4 l,3,9-0p,72,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Tiding,C D Hayes,0,D K Weld,6th,3/4 l,3,8-13,71,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Pearl Jewel (IRE),G F Carroll,0,C Timmons,5th,1/2 l,3,9-4,76,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Bright N Shine (IRE),Adam Caffrey,3,T O'Brien,4th,1/2 l,4,9-9t,75,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Miss Paloma,W J Lee,0,H De Bromhead,3rd,Nose,6,9-7,73,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Warrior Lion,G M Ryan,0,A McCann,2nd,1 3/4 l,4,9-2tp,68,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Natural Ruler (IRE),C T Keane,0,J P Murtagh,1st,N/A,3,9-9p1,81,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Altesse Blanche,R P Whelan,0,A Oliver,PU,N/A,3,9-6,78,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Eastmore,J A Heffernan,0,C Byrnes,13th,1 1/2 l,4,9-8t,74,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Street Mentor (USA),A J Slattery,0,A Slattery,12th,Nose,3,8-10t,68,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Morph Speed (IRE),P McGettigan,10,N Slevin,11th,1 1/4 l,8,9-7tp,73,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Slowdownbarney (IRE),Siobhan Rutledge,3,J C McConnell,10th,2 l,3,9-4,76,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Timourid (IRE),D King,3,D Hogan,9th,3 3/4 l,7,10-0tp,80,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Proleek Prince (IRE),D McMonagle,0,M Rice,8th,Neck,4,9-6h1,72,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Trethorn,S Foley,0,Mrs J Harrington,7th,3/4 l,3,9-0p,72,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Tiding,C D Hayes,0,D K Weld,6th,3/4 l,3,8-13,71,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Pearl Jewel (IRE),G F Carroll,0,C Timmons,5th,1/2 l,3,9-4,76,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Bright N Shine (IRE),Adam Caffrey,3,T O'Brien,4th,1/2 l,4,9-9t,75,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Miss Paloma,W J Lee,0,H De Bromhead,3rd,Nose,6,9-7,73,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Warrior Lion,G M Ryan,0,A McCann,2nd,1 3/4 l,4,9-2tp,68,True,145,22
Dundalk Racing Results | 11th October 2024 20:30,N/A,20:30,Standard,1m 4f,Natural Ruler (IRE),C T Keane,0,J P Murtagh,1st,N/A,3,9-9p1,81,True,145,22
N/A,N/A,13:40,Good,2m 4f 110y,Whitewinewednesday (IRE),G B Noonan,0,M A Daly,NR,N/A,5,10-13,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Kilbarry Ce Ce (IRE),E M O'Sullivan,4,C O'Keeffe,NR,N/A,4,10-11,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Shuil Senna (IRE),J P Shinnick,2,S Nolan,PU,N/A,8,10-13,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Blacksmiths Forge (IRE),J Kearney,0,G Keane,PU,N/A,4,11-5,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Frenchfort Legend (IRE),P Hanlon,4,J J Hanlon,8th,7 1/2 l,5,10-13,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Silver Mill (IRE),C G O'Dwyer,2,J P Ryan,7th,43 l,5,10-13,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Poetic Focus (IRE),S Cleary-Farrell,0,Barry J Fitzgerald,6th,1 1/2 l,4,10-11,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Sarrealta (IRE),L A McKenna,2,Colm Murphy,5th,Neck,5,10-13,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Nells Choice (IRE),C P Millar,4,C Collins,4th,2 3/4 l,5,10-13,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Ad Caelum (IRE),C Stone-Walsh,2,J P Ryan,3rd,2 l,5,10-13,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Lady Nightingale (IRE),C M Quirke,2,P Kiely,2nd,3 1/2 l,5,10-13,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Born Bright (IRE),P M O'Brien,4,C O'Connell,1st,N/A,5,10-13,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Whitewinewednesday (IRE),G B Noonan,0,M A Daly,NR,N/A,5,10-13,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Kilbarry Ce Ce (IRE),E M O'Sullivan,4,C O'Keeffe,NR,N/A,4,10-11,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Shuil Senna (IRE),J P Shinnick,2,S Nolan,PU,N/A,8,10-13,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Blacksmiths Forge (IRE),J Kearney,0,G Keane,PU,N/A,4,11-5,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Frenchfort Legend (IRE),P Hanlon,4,J J Hanlon,8th,7 1/2 l,5,10-13,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Silver Mill (IRE),C G O'Dwyer,2,J P Ryan,7th,43 l,5,10-13,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Poetic Focus (IRE),S Cleary-Farrell,0,Barry J Fitzgerald,6th,1 1/2 l,4,10-11,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Sarrealta (IRE),L A McKenna,2,Colm Murphy,5th,Neck,5,10-13,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Nells Choice (IRE),C P Millar,4,C Collins,4th,2 3/4 l,5,10-13,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Ad Caelum (IRE),C Stone-Walsh,2,J P Ryan,3rd,2 l,5,10-13,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Lady Nightingale (IRE),C M Quirke,2,P Kiely,2nd,3 1/2 l,5,10-13,-,True,145,23
N/A,N/A,13:40,Good,2m 4f 110y,Born Bright (IRE),P M O'Brien,4,C O'Connell,1st,N/A,5,10-13,-,True,145,23
N/A,N/A,14:15,Good,2m 2f 110y,Half Montlioux (FR),P T Enright,0,T J O'Mara,NR,N/A,7,11-4,-,True,145,24
N/A,N/A,14:15,Good,2m 2f 110y,Marlpark (IRE),D King,0,J P Ryan,F,N/A,5,11-4,-,True,145,24
N/A,N/A,14:15,Good,2m 2f 110y,Itsthyneformilan (IRE),S F O'Keeffe,0,J P Ryan,8th,84 l,6,10-11,-,True,145,24
N/A,N/A,14:15,Good,2m 2f 110y,Call Your Bluff,P Hanlon,7,J J Hanlon,7th,23 l,4,11-3,-,True,145,24
N/A,N/A,14:15,Good,2m 2f 110y,Teagarden Jazz,C M Quirke,5,Charlie Keegan,6th,3 1/4 l,5,10-11,-,True,145,24
N/A,N/A,14:15,Good,2m 2f 110y,Boston Rajj (IRE),Sam Ewing,0,G Elliott,5th,1 l,6,11-4,-,True,145,24
N/A,N/A,14:15,Good,2m 2f 110y,Fast Felix (IRE),R Deegan,0,E McCarthy,4th,4 1/4 l,6,11-4ht,-,True,145,24
N/A,N/A,14:15,Good,2m 2f 110y,Blaze The Way (IRE),D E Mullins,0,Ms M Mullins,3rd,3/4 l,6,11-12,-,True,145,24
