track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
N/A,N/A,16:38,Soft (Yielding In Places),1m,Asisaid (IRE),J. Coen,5,P. J. F. Murphy,16th,4 3/4 l,4,10-2,65,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Baron Wild (IRE),M. A. Gallagher,0,Denis W. Cullen,15th,6 1/2 l,5,9-10t,59,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Music Magic (IRE),M. W. Hassett,10,Desmond McDonogh,14th,1/2 l,4,8-12,47,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Vulture Peak (IRE),M. A. Enright,0,Laura Hourigan,13th,3 l,5,8-12,47,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Purring Along (IRE),N. M. Crosse,0,S. M. Duffy,12th,1/2 l,4,8-12p,47,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Rampage (IRE),R. P. Cleary,0,T. G. McCourt,11th,1 1/2 l,4,9-11,60,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Lord Park (IRE),D. W. O'Connor,0,John McConnell,10th,3/4 l,6,10-0t,63,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Barnhill Rose,J. M. Sheridan,3,Denis Hogan,9th,1 1/4 l,5,9-6p,55,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Manhattan Dandy (IRE),J. A. Powell,5,Thomas Coyle,8th,4 3/4 l,6,8-12,47,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Well Suited (IRE),W. M. Lordan,0,T. J. O'Mara,7th,Neck,8,9-1p,50,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Persian Queen (IRE),C. Stone-Walsh,7,Ms Joanna Morgan,6th,3/4 l,6,10-0t1,63,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Everylittlestep (IRE),Shane Foley,0,Yvonne Latta,5th,1/2 l,5,9-1ht,50,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Narlita (GER),R. P. Whelan,0,Harry Rogers,4th,2 l,4,9-13h1,62,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,The Bog Bank (IRE),J. J. G. Ryan,7,T. G. McCourt,3rd,1/2 l,6,10-0p,63,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,London Palladium,R. Whearty,7,Peter Cluskey,2nd,1/2 l,5,8-12b,47,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Rock Etoile (IRE),A. J. Slattery,0,A. Slattery,1st,N/A,5,9-7,56,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Asisaid (IRE),J. Coen,5,P. J. F. Murphy,16th,4 3/4 l,4,10-2,65,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Baron Wild (IRE),M. A. Gallagher,0,Denis W. Cullen,15th,6 1/2 l,5,9-10t,59,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Music Magic (IRE),M. W. Hassett,10,Desmond McDonogh,14th,1/2 l,4,8-12,47,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Vulture Peak (IRE),M. A. Enright,0,Laura Hourigan,13th,3 l,5,8-12,47,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Purring Along (IRE),N. M. Crosse,0,S. M. Duffy,12th,1/2 l,4,8-12p,47,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Rampage (IRE),R. P. Cleary,0,T. G. McCourt,11th,1 1/2 l,4,9-11,60,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Lord Park (IRE),D. W. O'Connor,0,John McConnell,10th,3/4 l,6,10-0t,63,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Barnhill Rose,J. M. Sheridan,3,Denis Hogan,9th,1 1/4 l,5,9-6p,55,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Manhattan Dandy (IRE),J. A. Powell,5,Thomas Coyle,8th,4 3/4 l,6,8-12,47,True,50,1
N/A,N/A,16:38,Soft (Yielding In Places),1m,Well Suited (IRE),W. M. Lordan,0,T. J. O'Mara,7th,Neck,8,9-1p,50,True,50,1
