track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,School Of Law (IRE),D McMonagle,0,M O'Callaghan,7th,Short Head,3,9-7,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,Luxury Island (IRE),W J Lee,0,A Oliver,6th,1 1/2 l,3,9-2,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,Old Sea (IRE),S Foley,0,Mrs J Harrington,5th,1/2 l,3,9-7t1,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,Badda Bing (IRE),A J Slattery,0,J Halley,4th,3 1/2 l,3,9-7,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,Chicago Fireball (IRE),B M Coen,0,J P Murtagh,3rd,3 1/2 l,3,9-7,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,Apricot Ice (IRE),C T Keane,0,G M Lyons,2nd,1/2 l,3,9-2,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,Air Commander (IRE),R L Moore,0,A P O'Brien,1st,N/A,3,9-7,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,Making A Move (IRE),M P Sheehy,0,J M Burke,14th,7 l,4,10-7h1,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,Ragtime Milly (IRE),L F Roche,0,Yvonne Latta,13th,Nose,3,9-2,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,Crystal's Heir (IRE),P A Harnett,5,P W Flynn,12th,3 3/4 l,6,10-2,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,Pearl Of Cotai (IRE),J A Heffernan,0,P J F Murphy,11th,Head,4,10-2,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,Half The Farm,S D Bowen,5,A McNamara,10th,5 1/2 l,3,9-7,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,Las Vegas Nevada (IRE),C D Hayes,0,A McNamara,9th,2 1/4 l,3,9-7,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,Melodiam (IRE),G F Carroll,0,G M Lyons,8th,1 3/4 l,3,9-2,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,School Of Law (IRE),D McMonagle,0,M O'Callaghan,7th,Short Head,3,9-7,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,Luxury Island (IRE),W J Lee,0,A Oliver,6th,1 1/2 l,3,9-2,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,Old Sea (IRE),S Foley,0,Mrs J Harrington,5th,1/2 l,3,9-7t1,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,Badda Bing (IRE),A J Slattery,0,J Halley,4th,3 1/2 l,3,9-7,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,Chicago Fireball (IRE),B M Coen,0,J P Murtagh,3rd,3 1/2 l,3,9-7,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,Apricot Ice (IRE),C T Keane,0,G M Lyons,2nd,1/2 l,3,9-2,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:00,N/A,18:00,Standard,7f,Air Commander (IRE),R L Moore,0,A P O'Brien,1st,N/A,3,9-7,-,True,107,17
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Dazzling Spirit (IRE),C Geerdharry,7,Mrs D Foster,14th,3/4 l,6,10-1,64,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Bungle Inthedesert (IRE),D A Kidd,7,J C McConnell,13th,Head,5,10-2,65,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Silver Nemo (IRE),W Joyce,0,L Smyth,12th,Head,6,8-12tb,47,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,River Derwent,J J G Ryan,0,Thomas Coyle,11th,1/2 l,6,9-13tp,62,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Comfort Line (IRE),Adam Caffrey,0,A McGuinness,10th,Head,7,10-0b,63,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Feature This (IRE),R Whearty,0,P W Flynn,9th,Nose,5,10-1tp,64,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Allo Arry (IRE),K G Kennedy,4,J C McConnell,8th,Neck,5,9-8t1,57,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Suityourselfboss (IRE),M W Hassett,2,M J Browne,7th,3/4 l,5,9-0p,49,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,The Bog Bank (IRE),Alyse Jane Clarke,7,T G McCourt,6th,Neck,7,9-9tp,58,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Adare Beauty (IRE),J Cleary,4,Thomas Dowling,5th,1 3/4 l,4,9-2p,51,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Pinball Wizard (IRE),S D Bowen,0,J Nallen,4th,1 1/4 l,6,9-13,62,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Hale Bopp (IRE),C J MacRedmond,0,R Donohoe,3rd,1 1/4 l,6,9-11,60,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Super Cub,P A Harnett,0,D Hogan,2nd,1 1/4 l,5,9-3b,52,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Bright Dick (IRE),J Kearney,0,L Comer,1st,N/A,4,9-8,57,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Dazzling Spirit (IRE),C Geerdharry,7,Mrs D Foster,14th,3/4 l,6,10-1,64,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Bungle Inthedesert (IRE),D A Kidd,7,J C McConnell,13th,Head,5,10-2,65,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Silver Nemo (IRE),W Joyce,0,L Smyth,12th,Head,6,8-12tb,47,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,River Derwent,J J G Ryan,0,Thomas Coyle,11th,1/2 l,6,9-13tp,62,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Comfort Line (IRE),Adam Caffrey,0,A McGuinness,10th,Head,7,10-0b,63,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Feature This (IRE),R Whearty,0,P W Flynn,9th,Nose,5,10-1tp,64,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Allo Arry (IRE),K G Kennedy,4,J C McConnell,8th,Neck,5,9-8t1,57,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Suityourselfboss (IRE),M W Hassett,2,M J Browne,7th,3/4 l,5,9-0p,49,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,The Bog Bank (IRE),Alyse Jane Clarke,7,T G McCourt,6th,Neck,7,9-9tp,58,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Adare Beauty (IRE),J Cleary,4,Thomas Dowling,5th,1 3/4 l,4,9-2p,51,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Pinball Wizard (IRE),S D Bowen,0,J Nallen,4th,1 1/4 l,6,9-13,62,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Hale Bopp (IRE),C J MacRedmond,0,R Donohoe,3rd,1 1/4 l,6,9-11,60,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Super Cub,P A Harnett,0,D Hogan,2nd,1 1/4 l,5,9-3b,52,True,107,18
Dundalk Racing Results | 5th April 2024 18:30,N/A,18:30,Standard,1m,Bright Dick (IRE),J Kearney,0,L Comer,1st,N/A,4,9-8,57,True,107,18
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Curley Rose,S P Bird,7,J Larkin,NR,N/A,5,9-6b1,55,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Malaysian (IRE),R Whearty,0,H D McGuigan,14th,6 l,6,9-2tp,51,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Bucky Larson (IRE),Adam Caffrey,0,R Donohoe,13th,3/4 l,9,9-11,60,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Gianh River (IRE),J Cleary,4,L Smyth,12th,1/2 l,4,8-12,47,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Gatsby Cap (IRE),C D Fahy,7,J C McConnell,11th,Neck,8,9-7tp,56,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Angel Of The Sea (IRE),M W Hassett,2,L Comer,10th,1 1/4 l,4,9-0,49,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Un Bacio Ancora (IRE),P A Harnett,0,P J F Murphy,9th,Short Head,5,9-4tp,53,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Zahee (IRE),K G Kennedy,4,J C McConnell,8th,Head,9,10-4ht,67,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,International Lady (IRE),W Joyce,0,K Smith,7th,Short Head,6,10-0,63,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Akmaam (FR),J E Harnett,7,J F Levins,6th,Neck,6,10-2p,65,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Inverbrena (IRE),S D Bowen,0,D Harvey,5th,2 1/2 l,6,8-12,47,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Sunset Nova (IRE),Amy Jo Hayes,4,A Slattery,4th,3/4 l,8,8-12v,47,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Daonethatgotaway,J Kearney,0,M Fahey,3rd,1/2 l,4,9-10p,59,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Wonder Spirit,C J MacRedmond,0,G A Kingston,2nd,3/4 l,6,9-0,49,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Shining Aitch,J J G Ryan,0,T G McCourt,1st,N/A,7,9-8tv1,57,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Curley Rose,S P Bird,7,J Larkin,NR,N/A,5,9-6b1,55,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Malaysian (IRE),R Whearty,0,H D McGuigan,14th,6 l,6,9-2tp,51,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Bucky Larson (IRE),Adam Caffrey,0,R Donohoe,13th,3/4 l,9,9-11,60,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Gianh River (IRE),J Cleary,4,L Smyth,12th,1/2 l,4,8-12,47,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Gatsby Cap (IRE),C D Fahy,7,J C McConnell,11th,Neck,8,9-7tp,56,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Angel Of The Sea (IRE),M W Hassett,2,L Comer,10th,1 1/4 l,4,9-0,49,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Un Bacio Ancora (IRE),P A Harnett,0,P J F Murphy,9th,Short Head,5,9-4tp,53,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Zahee (IRE),K G Kennedy,4,J C McConnell,8th,Head,9,10-4ht,67,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,International Lady (IRE),W Joyce,0,K Smith,7th,Short Head,6,10-0,63,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Akmaam (FR),J E Harnett,7,J F Levins,6th,Neck,6,10-2p,65,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Inverbrena (IRE),S D Bowen,0,D Harvey,5th,2 1/2 l,6,8-12,47,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Sunset Nova (IRE),Amy Jo Hayes,4,A Slattery,4th,3/4 l,8,8-12v,47,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Daonethatgotaway,J Kearney,0,M Fahey,3rd,1/2 l,4,9-10p,59,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Wonder Spirit,C J MacRedmond,0,G A Kingston,2nd,3/4 l,6,9-0,49,True,107,19
Dundalk Racing Results | 5th April 2024 19:00,N/A,19:00,Standard,1m,Shining Aitch,J J G Ryan,0,T G McCourt,1st,N/A,7,9-8tv1,57,True,107,19
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Decorated Princess (IRE),W Joyce,5,A Sexton,12th,42 l,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,The Phantom Horse (IRE),O McSweeney,3,L Comer,11th,9 l,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Taste Of The Sea (IRE),J Cleary,7,L Comer,10th,Neck,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Second Princess (IRE),G F Carroll,0,L Comer,9th,4 3/4 l,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Alfheim (IRE),S Foley,0,Mrs J Harrington,8th,2 l,3,9-3t1,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Straya (IRE),R P Whelan,0,J Davison,7th,1 3/4 l,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Goodbye My Love (IRE),M W Hassett,7,L Comer,6th,2 1/2 l,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Step To Somewhere,C D Hayes,0,D K Weld,5th,1 1/2 l,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Pearl Jewel (IRE),R C Colgan,0,Chris Timmons,4th,6 l,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Declaree (IRE),B M Coen,0,J P Murtagh,3rd,1 1/4 l,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Mother Nature (IRE),R L Moore,0,A P O'Brien,2nd,Short Head,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Higher Leaves (IRE),W J Lee,0,H De Bromhead,1st,N/A,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Decorated Princess (IRE),W Joyce,5,A Sexton,12th,42 l,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,The Phantom Horse (IRE),O McSweeney,3,L Comer,11th,9 l,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Taste Of The Sea (IRE),J Cleary,7,L Comer,10th,Neck,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Second Princess (IRE),G F Carroll,0,L Comer,9th,4 3/4 l,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Alfheim (IRE),S Foley,0,Mrs J Harrington,8th,2 l,3,9-3t1,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Straya (IRE),R P Whelan,0,J Davison,7th,1 3/4 l,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Goodbye My Love (IRE),M W Hassett,7,L Comer,6th,2 1/2 l,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Step To Somewhere,C D Hayes,0,D K Weld,5th,1 1/2 l,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Pearl Jewel (IRE),R C Colgan,0,Chris Timmons,4th,6 l,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Declaree (IRE),B M Coen,0,J P Murtagh,3rd,1 1/4 l,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Mother Nature (IRE),R L Moore,0,A P O'Brien,2nd,Short Head,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 19:30,N/A,19:30,Standard,1m 2f 150y,Higher Leaves (IRE),W J Lee,0,H De Bromhead,1st,N/A,3,9-3,-,True,107,20
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Fanaigi Linn (IRE),S D Bowen,5,E Doyle,14th,5 1/2 l,4,9-10p,71,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Fascinating Shadow (IRE),C D Hayes,0,J J Hanlon,13th,1 l,6,9-7t,68,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Leading Lion (IRE),D P McDonogh,0,G Elliott,12th,3/4 l,4,10-0,75,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Roman Bull (IRE),W J Lee,0,Michael W O'Meara,11th,1 1/4 l,6,10-0,75,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Second Girl (IRE),J Kearney,5,L Comer,10th,1/2 l,4,9-8,69,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Theophilos (IRE),B M Coen,0,J P Murtagh,9th,1 l,5,9-13,74,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Garrick Painter (IRE),K J Leonard,0,N C Kelly,8th,1/2 l,4,10-0p,75,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,The Mpex Kid (IRE),S Foley,0,Ciaran Murphy,7th,1 3/4 l,8,9-9,70,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Emeric (IRE),C T Keane,0,P W Flynn,6th,1 1/4 l,7,9-11p1,72,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Free Flow (USA),L T McAteer,0,J M Barrett,5th,3/4 l,4,9-10p1,71,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Newport,P A Harnett,5,Donnacha O'Brien,4th,Short Head,4,9-10,71,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Celtic Revival (IRE),J J G Ryan,5,E Lynam,3rd,3/4 l,5,10-1,76,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Forbidden Planet,J A Heffernan,0,P J F Murphy,2nd,3 1/4 l,9,9-9,70,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Moondharrig (IRE),W Joyce,5,E Doyle,1st,N/A,4,9-8tb,69,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Fanaigi Linn (IRE),S D Bowen,5,E Doyle,14th,5 1/2 l,4,9-10p,71,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Fascinating Shadow (IRE),C D Hayes,0,J J Hanlon,13th,1 l,6,9-7t,68,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Leading Lion (IRE),D P McDonogh,0,G Elliott,12th,3/4 l,4,10-0,75,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Roman Bull (IRE),W J Lee,0,Michael W O'Meara,11th,1 1/4 l,6,10-0,75,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Second Girl (IRE),J Kearney,5,L Comer,10th,1/2 l,4,9-8,69,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Theophilos (IRE),B M Coen,0,J P Murtagh,9th,1 l,5,9-13,74,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Garrick Painter (IRE),K J Leonard,0,N C Kelly,8th,1/2 l,4,10-0p,75,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,The Mpex Kid (IRE),S Foley,0,Ciaran Murphy,7th,1 3/4 l,8,9-9,70,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Emeric (IRE),C T Keane,0,P W Flynn,6th,1 1/4 l,7,9-11p1,72,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Free Flow (USA),L T McAteer,0,J M Barrett,5th,3/4 l,4,9-10p1,71,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Newport,P A Harnett,5,Donnacha O'Brien,4th,Short Head,4,9-10,71,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Celtic Revival (IRE),J J G Ryan,5,E Lynam,3rd,3/4 l,5,10-1,76,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Forbidden Planet,J A Heffernan,0,P J F Murphy,2nd,3 1/4 l,9,9-9,70,True,107,21
Dundalk Racing Results | 5th April 2024 20:00,N/A,20:00,Standard,1m 2f 150y,Moondharrig (IRE),W Joyce,5,E Doyle,1st,N/A,4,9-8tb,69,True,107,21
Dundalk Racing Results | 5th April 2024 20:30,N/A,20:30,Standard,1m 4f,Vischio (IRE),G F Carroll,0,R Donohoe,6th,3 l,7,9-7,-,True,107,22
Dundalk Racing Results | 5th April 2024 20:30,N/A,20:30,Standard,1m 4f,Tyson Fury,J M Sheridan,0,D Hogan,5th,2 1/2 l,7,9-9p,-,True,107,22
Dundalk Racing Results | 5th April 2024 20:30,N/A,20:30,Standard,1m 4f,Cristal Clere (IRE),S D Bowen,5,J Nallen,4th,3/4 l,6,9-9,-,True,107,22
Dundalk Racing Results | 5th April 2024 20:30,N/A,20:30,Standard,1m 4f,Shamwari (USA),D McMonagle,0,J P O'Brien,3rd,6 l,4,9-4,-,True,107,22
Dundalk Racing Results | 5th April 2024 20:30,N/A,20:30,Standard,1m 4f,Gentleman Joe,W J Lee,0,H De Bromhead,2nd,1 1/4 l,6,9-5t,-,True,107,22
Dundalk Racing Results | 5th April 2024 20:30,N/A,20:30,Standard,1m 4f,Hans Andersen,R L Moore,0,A P O'Brien,1st,N/A,4,9-5,-,True,107,22
Dundalk Racing Results | 5th April 2024 20:30,N/A,20:30,Standard,1m 4f,Vischio (IRE),G F Carroll,0,R Donohoe,6th,3 l,7,9-7,-,True,107,22
Dundalk Racing Results | 5th April 2024 20:30,N/A,20:30,Standard,1m 4f,Tyson Fury,J M Sheridan,0,D Hogan,5th,2 1/2 l,7,9-9p,-,True,107,22
Dundalk Racing Results | 5th April 2024 20:30,N/A,20:30,Standard,1m 4f,Cristal Clere (IRE),S D Bowen,5,J Nallen,4th,3/4 l,6,9-9,-,True,107,22
Dundalk Racing Results | 5th April 2024 20:30,N/A,20:30,Standard,1m 4f,Shamwari (USA),D McMonagle,0,J P O'Brien,3rd,6 l,4,9-4,-,True,107,22
Dundalk Racing Results | 5th April 2024 20:30,N/A,20:30,Standard,1m 4f,Gentleman Joe,W J Lee,0,H De Bromhead,2nd,1 1/4 l,6,9-5t,-,True,107,22
Dundalk Racing Results | 5th April 2024 20:30,N/A,20:30,Standard,1m 4f,Hans Andersen,R L Moore,0,A P O'Brien,1st,N/A,4,9-5,-,True,107,22
N/A,N/A,13:15,Heavy  (Turf),1m,Fine Print (IRE),Siobhan Rutledge,3,J C McConnell,11th,Neck,3,9-6,-,True,107,23
N/A,N/A,13:15,Heavy  (Turf),1m,Noble Andy (IRE),R P Whelan,0,M Fahey,10th,5 1/2 l,3,9-6,-,True,107,23
N/A,N/A,13:15,Heavy  (Turf),1m,Judicial Reward (IRE),C D Maxwell,0,G P Cromwell,9th,2 3/4 l,3,9-6,-,True,107,23
N/A,N/A,13:15,Heavy  (Turf),1m,Crest Of The Moon (IRE),C D Hayes,0,G P Cromwell,8th,2 1/4 l,3,9-6,-,True,107,23
N/A,N/A,13:15,Heavy  (Turf),1m,Butter Fingers (IRE),S P Bird,7,M Mulvany,7th,11 l,3,9-6,-,True,107,23
N/A,N/A,13:15,Heavy  (Turf),1m,Versatile (IRE),S Foley,0,Mrs J Harrington,6th,4 1/2 l,3,9-6,-,True,107,23
N/A,N/A,13:15,Heavy  (Turf),1m,Model Approach (IRE),R P Cleary,0,J S Bolger,5th,2 1/2 l,3,9-6p1,-,True,107,23
N/A,N/A,13:15,Heavy  (Turf),1m,Total Look (FR),G F Carroll,0,G P Cromwell,4th,1 1/4 l,3,9-6,-,True,107,23
N/A,N/A,13:15,Heavy  (Turf),1m,Autumn Winter (IRE),R L Moore,0,A P O'Brien,3rd,3 3/4 l,3,9-6,-,True,107,23
N/A,N/A,13:15,Heavy  (Turf),1m,Thequietman,D McMonagle,0,J P O'Brien,2nd,1 1/4 l,3,9-6,-,True,107,23
N/A,N/A,13:15,Heavy  (Turf),1m,Ecureuil Secret (FR),J A Heffernan,0,E J O'Grady,1st,N/A,3,9-6,-,True,107,23
N/A,N/A,13:15,Heavy  (Turf),1m,Fine Print (IRE),Siobhan Rutledge,3,J C McConnell,11th,Neck,3,9-6,-,True,107,23
