track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Doncaster Racing Results | 15th June 2025 17:37,N/A,17:37,Good To Firm,5f 3y,Master Zack,A J Farragher,0,Martin Dunne,3rd,1 1/4 l,3,9-3ht,52,True,1,8
Doncaster Racing Results | 15th June 2025 17:37,N/A,17:37,Good To Firm,5f 3y,Wee Mary (IRE),D Tudhope,0,R Menzies,2nd,1/2 l,3,9-7h,56,True,1,8
Doncaster Racing Results | 15th June 2025 17:37,N/A,17:37,Good To Firm,5f 3y,Solar Biricz (IRE),Ben Robinson,0,B Ellison,1st,N/A,3,9-9,58,True,1,8
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Kaleidoscope Eyes (IRE),Alfie Gee,7,Harry Eustace,NR,N/A,3,9-4,59,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Blue Empress (IRE),Poppy Scott,5,A Watson,10th,Neck,3,9-10p,65,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Enchanted Way,Ashley Lewis,0,A Watson,9th,Short Head,3,9-9b,64,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Mister Mcgregor (IRE),Alfie Redman,3,A M Balding,8th,3/4 l,3,9-13,68,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Jersey Maverick (IRE),Jack Dace,0,C Fellowes,7th,4 l,3,9-11p,66,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Silca Bay,Oliver Carmichael,3,Eve Johnson Houghton,6th,1 l,3,9-12,67,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Saidha,Alicia Perkins,5,M D I Usher,5th,3 3/4 l,3,9-10,65,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Amor Cordis (IRE),Tyrese Cameron,0,W Greatrex,4th,Neck,3,9-10p,65,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Play Me,Donagh Murphy,7,J R Boyle,3rd,1/2 l,3,9-5,60,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Baloo's Blues,Jack Callan,0,C Hills,2nd,2 1/4 l,3,9-10,65,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Mr Ubiquitous,Jack Nicholls,0,Harry Eustace,1st,N/A,3,9-13,68,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Kaleidoscope Eyes (IRE),Alfie Gee,7,Harry Eustace,NR,N/A,3,9-4,59,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Blue Empress (IRE),Poppy Scott,5,A Watson,10th,Neck,3,9-10p,65,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Enchanted Way,Ashley Lewis,0,A Watson,9th,Short Head,3,9-9b,64,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Mister Mcgregor (IRE),Alfie Redman,3,A M Balding,8th,3/4 l,3,9-13,68,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Jersey Maverick (IRE),Jack Dace,0,C Fellowes,7th,4 l,3,9-11p,66,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Silca Bay,Oliver Carmichael,3,Eve Johnson Houghton,6th,1 l,3,9-12,67,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Saidha,Alicia Perkins,5,M D I Usher,5th,3 3/4 l,3,9-10,65,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Amor Cordis (IRE),Tyrese Cameron,0,W Greatrex,4th,Neck,3,9-10p,65,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Play Me,Donagh Murphy,7,J R Boyle,3rd,1/2 l,3,9-5,60,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Baloo's Blues,Jack Callan,0,C Hills,2nd,2 1/4 l,3,9-10,65,True,1,9
Salisbury Racing Results | 15th June 2025 14:15,N/A,14:15,Good To Firm (Good In Places),6f 213y,Mr Ubiquitous,Jack Nicholls,0,Harry Eustace,1st,N/A,3,9-13,68,True,1,9
Salisbury Racing Results | 15th June 2025 14:50,N/A,14:50,Good To Firm (Good In Places),1m,Beatrice Shilling (IRE),Daniel Muscutt,0,K P De Foy,5th,12 l,4,9-9tp1,72,True,1,10
Salisbury Racing Results | 15th June 2025 14:50,N/A,14:50,Good To Firm (Good In Places),1m,Hoornblower,Rossa Ryan,0,D J Coakley,4th,5 l,6,9-4,67,True,1,10
Salisbury Racing Results | 15th June 2025 14:50,N/A,14:50,Good To Firm (Good In Places),1m,Chourmo,J F Egan,0,Mark Gillard,3rd,3 1/4 l,5,9-0,63,True,1,10
Salisbury Racing Results | 15th June 2025 14:50,N/A,14:50,Good To Firm (Good In Places),1m,Magical Merlin (IRE),Millie Wonnacott,5,Harry Charlton,2nd,1/2 l,5,9-8p,71,True,1,10
Salisbury Racing Results | 15th June 2025 14:50,N/A,14:50,Good To Firm (Good In Places),1m,Hover (IRE),Harry Davies,0,M Meade,1st,N/A,8,9-7,70,True,1,10
Salisbury Racing Results | 15th June 2025 14:50,N/A,14:50,Good To Firm (Good In Places),1m,Beatrice Shilling (IRE),Daniel Muscutt,0,K P De Foy,5th,12 l,4,9-9tp1,72,True,1,10
Salisbury Racing Results | 15th June 2025 14:50,N/A,14:50,Good To Firm (Good In Places),1m,Hoornblower,Rossa Ryan,0,D J Coakley,4th,5 l,6,9-4,67,True,1,10
Salisbury Racing Results | 15th June 2025 14:50,N/A,14:50,Good To Firm (Good In Places),1m,Chourmo,J F Egan,0,Mark Gillard,3rd,3 1/4 l,5,9-0,63,True,1,10
Salisbury Racing Results | 15th June 2025 14:50,N/A,14:50,Good To Firm (Good In Places),1m,Magical Merlin (IRE),Millie Wonnacott,5,Harry Charlton,2nd,1/2 l,5,9-8p,71,True,1,10
Salisbury Racing Results | 15th June 2025 14:50,N/A,14:50,Good To Firm (Good In Places),1m,Hover (IRE),Harry Davies,0,M Meade,1st,N/A,8,9-7,70,True,1,10
Salisbury Racing Results | 15th June 2025 15:23,N/A,15:23,Good To Firm (Good In Places),1m 1f 201y,Graecia (IRE),Rob Hornby,0,C E Longsdon,7th,13 l,4,9-9t,73,True,1,11
Salisbury Racing Results | 15th June 2025 15:23,N/A,15:23,Good To Firm (Good In Places),1m 1f 201y,Sunny Corner,Rossa Ryan,0,W S Kittow,6th,2 3/4 l,4,9-5,69,True,1,11
Salisbury Racing Results | 15th June 2025 15:23,N/A,15:23,Good To Firm (Good In Places),1m 1f 201y,Didaar (IRE),Gianluca Sanna,5,I Mohammed,5th,1 l,4,9-8,72,True,1,11
Salisbury Racing Results | 15th June 2025 15:23,N/A,15:23,Good To Firm (Good In Places),1m 1f 201y,Racing Demon,P Cosgrave,0,E De Giles,4th,1 1/4 l,5,8-11h,61,True,1,11
Salisbury Racing Results | 15th June 2025 15:23,N/A,15:23,Good To Firm (Good In Places),1m 1f 201y,Tribal Wisdom (IRE),R Kingscote,0,Ian Williams,3rd,Neck,6,9-9,73,True,1,11
Salisbury Racing Results | 15th June 2025 15:23,N/A,15:23,Good To Firm (Good In Places),1m 1f 201y,Sugarloaf Lenny (IRE),Brandon Wilkie,3,W J Knight,2nd,2 l,4,9-7,71,True,1,11
Salisbury Racing Results | 15th June 2025 15:23,N/A,15:23,Good To Firm (Good In Places),1m 1f 201y,Golden Phase,Hollie Doyle,0,D J Coakley,1st,N/A,5,8-13,63,True,1,11
Salisbury Racing Results | 15th June 2025 15:23,N/A,15:23,Good To Firm (Good In Places),1m 1f 201y,Graecia (IRE),Rob Hornby,0,C E Longsdon,7th,13 l,4,9-9t,73,True,1,11
Salisbury Racing Results | 15th June 2025 15:23,N/A,15:23,Good To Firm (Good In Places),1m 1f 201y,Sunny Corner,Rossa Ryan,0,W S Kittow,6th,2 3/4 l,4,9-5,69,True,1,11
Salisbury Racing Results | 15th June 2025 15:23,N/A,15:23,Good To Firm (Good In Places),1m 1f 201y,Didaar (IRE),Gianluca Sanna,5,I Mohammed,5th,1 l,4,9-8,72,True,1,11
Salisbury Racing Results | 15th June 2025 15:23,N/A,15:23,Good To Firm (Good In Places),1m 1f 201y,Racing Demon,P Cosgrave,0,E De Giles,4th,1 1/4 l,5,8-11h,61,True,1,11
Salisbury Racing Results | 15th June 2025 15:23,N/A,15:23,Good To Firm (Good In Places),1m 1f 201y,Tribal Wisdom (IRE),R Kingscote,0,Ian Williams,3rd,Neck,6,9-9,73,True,1,11
Salisbury Racing Results | 15th June 2025 15:23,N/A,15:23,Good To Firm (Good In Places),1m 1f 201y,Sugarloaf Lenny (IRE),Brandon Wilkie,3,W J Knight,2nd,2 l,4,9-7,71,True,1,11
Salisbury Racing Results | 15th June 2025 15:23,N/A,15:23,Good To Firm (Good In Places),1m 1f 201y,Golden Phase,Hollie Doyle,0,D J Coakley,1st,N/A,5,8-13,63,True,1,11
Salisbury Racing Results | 15th June 2025 16:00,N/A,16:00,Good To Firm (Good In Places),6f,Dark Mandate,Hollie Doyle,0,C Hills,10th,2 1/2 l,2,9-4,-,True,1,12
Salisbury Racing Results | 15th June 2025 16:00,N/A,16:00,Good To Firm (Good In Places),6f,Ajuda Road,Rossa Ryan,0,R M Beckett,9th,Neck,2,9-4,-,True,1,12
Salisbury Racing Results | 15th June 2025 16:00,N/A,16:00,Good To Firm (Good In Places),6f,Berkshire Boom (IRE),Rob Hornby,0,A M Balding,8th,3/4 l,2,9-4,-,True,1,12
Salisbury Racing Results | 15th June 2025 16:00,N/A,16:00,Good To Firm (Good In Places),6f,Dublin Bay (IRE),Daniel Muscutt,0,Ollie Sangster,7th,4 l,2,9-4,-,True,1,12
Salisbury Racing Results | 15th June 2025 16:00,N/A,16:00,Good To Firm (Good In Places),6f,French Affair (IRE),S Hitchcott,0,R Hannon,6th,1 1/2 l,2,9-4,-,True,1,12
Salisbury Racing Results | 15th June 2025 16:00,N/A,16:00,Good To Firm (Good In Places),6f,Golden Brown (IRE),Hector Crouch,0,E Walker,5th,2 1/4 l,2,9-4,-,True,1,12
Salisbury Racing Results | 15th June 2025 16:00,N/A,16:00,Good To Firm (Good In Places),6f,Orion's Belt (IRE),S M Levey,0,R Hannon,4th,Neck,2,8-13,-,True,1,12
Salisbury Racing Results | 15th June 2025 16:00,N/A,16:00,Good To Firm (Good In Places),6f,Spirit Of Saxony (IRE),Charles Bishop,0,Eve Johnson Houghton,3rd,1/2 l,2,9-4,-,True,1,12
Salisbury Racing Results | 15th June 2025 16:00,N/A,16:00,Good To Firm (Good In Places),6f,First Time (IRE),T E Whelan,0,Harry Charlton,2nd,Head,2,9-4,-,True,1,12
Salisbury Racing Results | 15th June 2025 16:00,N/A,16:00,Good To Firm (Good In Places),6f,Italica,R Kingscote,0,Tom Dascombe,1st,N/A,2,9-11,-,True,1,12
Salisbury Racing Results | 15th June 2025 16:00,N/A,16:00,Good To Firm (Good In Places),6f,Dark Mandate,Hollie Doyle,0,C Hills,10th,2 1/2 l,2,9-4,-,True,1,12
Salisbury Racing Results | 15th June 2025 16:00,N/A,16:00,Good To Firm (Good In Places),6f,Ajuda Road,Rossa Ryan,0,R M Beckett,9th,Neck,2,9-4,-,True,1,12
Salisbury Racing Results | 15th June 2025 16:00,N/A,16:00,Good To Firm (Good In Places),6f,Berkshire Boom (IRE),Rob Hornby,0,A M Balding,8th,3/4 l,2,9-4,-,True,1,12
Salisbury Racing Results | 15th June 2025 16:00,N/A,16:00,Good To Firm (Good In Places),6f,Dublin Bay (IRE),Daniel Muscutt,0,Ollie Sangster,7th,4 l,2,9-4,-,True,1,12
Salisbury Racing Results | 15th June 2025 16:00,N/A,16:00,Good To Firm (Good In Places),6f,French Affair (IRE),S Hitchcott,0,R Hannon,6th,1 1/2 l,2,9-4,-,True,1,12
Salisbury Racing Results | 15th June 2025 16:00,N/A,16:00,Good To Firm (Good In Places),6f,Golden Brown (IRE),Hector Crouch,0,E Walker,5th,2 1/4 l,2,9-4,-,True,1,12
Salisbury Racing Results | 15th June 2025 16:00,N/A,16:00,Good To Firm (Good In Places),6f,Orion's Belt (IRE),S M Levey,0,R Hannon,4th,Neck,2,8-13,-,True,1,12
Salisbury Racing Results | 15th June 2025 16:00,N/A,16:00,Good To Firm (Good In Places),6f,Spirit Of Saxony (IRE),Charles Bishop,0,Eve Johnson Houghton,3rd,1/2 l,2,9-4,-,True,1,12
Salisbury Racing Results | 15th June 2025 16:00,N/A,16:00,Good To Firm (Good In Places),6f,First Time (IRE),T E Whelan,0,Harry Charlton,2nd,Head,2,9-4,-,True,1,12
Salisbury Racing Results | 15th June 2025 16:00,N/A,16:00,Good To Firm (Good In Places),6f,Italica,R Kingscote,0,Tom Dascombe,1st,N/A,2,9-11,-,True,1,12
Salisbury Racing Results | 15th June 2025 16:30,N/A,16:30,Good To Firm (Good In Places),1m 1f 201y,Mission Possible,Hollie Doyle,0,W J Haggas,4th,1 1/4 l,3,9-2,-,True,1,13
Salisbury Racing Results | 15th June 2025 16:30,N/A,16:30,Good To Firm (Good In Places),1m 1f 201y,Wujjood (IRE),Jim Crowley,0,W J Haggas,3rd,2 l,3,9-2,-,True,1,13
Salisbury Racing Results | 15th June 2025 16:30,N/A,16:30,Good To Firm (Good In Places),1m 1f 201y,Bintalina,S De Sousa,0,R Varian,2nd,5 l,3,9-2,-,True,1,13
Salisbury Racing Results | 15th June 2025 16:30,N/A,16:30,Good To Firm (Good In Places),1m 1f 201y,Nanino Niyati,R Kingscote,0,D & C Kubler,1st,N/A,3,9-2,-,True,1,13
Salisbury Racing Results | 15th June 2025 16:30,N/A,16:30,Good To Firm (Good In Places),1m 1f 201y,Mission Possible,Hollie Doyle,0,W J Haggas,4th,1 1/4 l,3,9-2,-,True,1,13
Salisbury Racing Results | 15th June 2025 16:30,N/A,16:30,Good To Firm (Good In Places),1m 1f 201y,Wujjood (IRE),Jim Crowley,0,W J Haggas,3rd,2 l,3,9-2,-,True,1,13
Salisbury Racing Results | 15th June 2025 16:30,N/A,16:30,Good To Firm (Good In Places),1m 1f 201y,Bintalina,S De Sousa,0,R Varian,2nd,5 l,3,9-2,-,True,1,13
Salisbury Racing Results | 15th June 2025 16:30,N/A,16:30,Good To Firm (Good In Places),1m 1f 201y,Nanino Niyati,R Kingscote,0,D & C Kubler,1st,N/A,3,9-2,-,True,1,13
Salisbury Racing Results | 15th June 2025 17:00,N/A,17:00,Good To Firm (Good In Places),6f 213y,Newsreader (IRE),Daniel Muscutt,0,K P De Foy,9th,5 l,4,9-11,80,True,1,14
Salisbury Racing Results | 15th June 2025 17:00,N/A,17:00,Good To Firm (Good In Places),6f 213y,Makes Sense (IRE),Hector Crouch,0,Eve Johnson Houghton,8th,1 3/4 l,4,9-1,70,True,1,14
Salisbury Racing Results | 15th June 2025 17:00,N/A,17:00,Good To Firm (Good In Places),6f 213y,Little Boy Blue,Harry Kimber,0,W G M Turner,7th,Neck,10,9-7p,76,True,1,14
Salisbury Racing Results | 15th June 2025 17:00,N/A,17:00,Good To Firm (Good In Places),6f 213y,Snuggle,Marco Ghiani,0,C Hobson,6th,1 1/4 l,5,8-7,62,True,1,14
Salisbury Racing Results | 15th June 2025 17:00,N/A,17:00,Good To Firm (Good In Places),6f 213y,Redredrobin,Jack Callan,7,M S Saunders,5th,1/2 l,8,9-1,70,True,1,14
Salisbury Racing Results | 15th June 2025 17:00,N/A,17:00,Good To Firm (Good In Places),6f 213y,Bell Shot (IRE),S De Sousa,0,M Appleby,4th,2 l,6,9-7p,76,True,1,14
Salisbury Racing Results | 15th June 2025 17:00,N/A,17:00,Good To Firm (Good In Places),6f 213y,Hodler (GER),Luke Catton,5,J R Boyle,3rd,3 1/4 l,6,9-9,78,True,1,14
Salisbury Racing Results | 15th June 2025 17:00,N/A,17:00,Good To Firm (Good In Places),6f 213y,Noel Fox (IRE),Rossa Ryan,0,R M Beckett,2nd,1 1/4 l,4,9-7,76,True,1,14
Salisbury Racing Results | 15th June 2025 17:00,N/A,17:00,Good To Firm (Good In Places),6f 213y,Crimson Spirit,R Kingscote,0,D & C Kubler,1st,N/A,4,9-7,76,True,1,14
Salisbury Racing Results | 15th June 2025 17:00,N/A,17:00,Good To Firm (Good In Places),6f 213y,Newsreader (IRE),Daniel Muscutt,0,K P De Foy,9th,5 l,4,9-11,80,True,1,14
Salisbury Racing Results | 15th June 2025 17:00,N/A,17:00,Good To Firm (Good In Places),6f 213y,Makes Sense (IRE),Hector Crouch,0,Eve Johnson Houghton,8th,1 3/4 l,4,9-1,70,True,1,14
Salisbury Racing Results | 15th June 2025 17:00,N/A,17:00,Good To Firm (Good In Places),6f 213y,Little Boy Blue,Harry Kimber,0,W G M Turner,7th,Neck,10,9-7p,76,True,1,14
Salisbury Racing Results | 15th June 2025 17:00,N/A,17:00,Good To Firm (Good In Places),6f 213y,Snuggle,Marco Ghiani,0,C Hobson,6th,1 1/4 l,5,8-7,62,True,1,14
Salisbury Racing Results | 15th June 2025 17:00,N/A,17:00,Good To Firm (Good In Places),6f 213y,Redredrobin,Jack Callan,7,M S Saunders,5th,1/2 l,8,9-1,70,True,1,14
Salisbury Racing Results | 15th June 2025 17:00,N/A,17:00,Good To Firm (Good In Places),6f 213y,Bell Shot (IRE),S De Sousa,0,M Appleby,4th,2 l,6,9-7p,76,True,1,14
Salisbury Racing Results | 15th June 2025 17:00,N/A,17:00,Good To Firm (Good In Places),6f 213y,Hodler (GER),Luke Catton,5,J R Boyle,3rd,3 1/4 l,6,9-9,78,True,1,14
Salisbury Racing Results | 15th June 2025 17:00,N/A,17:00,Good To Firm (Good In Places),6f 213y,Noel Fox (IRE),Rossa Ryan,0,R M Beckett,2nd,1 1/4 l,4,9-7,76,True,1,14
Salisbury Racing Results | 15th June 2025 17:00,N/A,17:00,Good To Firm (Good In Places),6f 213y,Crimson Spirit,R Kingscote,0,D & C Kubler,1st,N/A,4,9-7,76,True,1,14
Salisbury Racing Results | 15th June 2025 17:30,N/A,17:30,Good To Firm (Good In Places),1m 4f 5y,Fair Dinkum (IRE),Rob Hornby,0,J Scott,7th,7 l,5,9-2tp,61,True,1,15
Salisbury Racing Results | 15th June 2025 17:30,N/A,17:30,Good To Firm (Good In Places),1m 4f 5y,Eton Blue (IRE),P Cosgrave,0,George Baker,6th,27 l,7,9-3,62,True,1,15
Salisbury Racing Results | 15th June 2025 17:30,N/A,17:30,Good To Firm (Good In Places),1m 4f 5y,Shady Bay (IRE),S M Levey,0,T Ward,5th,1 1/2 l,4,9-5t,64,True,1,15
Salisbury Racing Results | 15th June 2025 17:30,N/A,17:30,Good To Firm (Good In Places),1m 4f 5y,Marioento,Jack Callan,7,G Boughey,4th,13 l,4,9-10tb,69,True,1,15
Salisbury Racing Results | 15th June 2025 17:30,N/A,17:30,Good To Firm (Good In Places),1m 4f 5y,Forest Hills (IRE),Hector Crouch,0,B R Millman,3rd,4 1/4 l,4,9-5,64,True,1,15
Salisbury Racing Results | 15th June 2025 17:30,N/A,17:30,Good To Firm (Good In Places),1m 4f 5y,Spectacular Style,R Kingscote,0,Ian Williams,2nd,1 3/4 l,5,9-0,59,True,1,15
Salisbury Racing Results | 15th June 2025 17:30,N/A,17:30,Good To Firm (Good In Places),1m 4f 5y,Moon Angel,Marco Ghiani,0,S C Williams,1st,N/A,4,9-9,68,True,1,15
Salisbury Racing Results | 15th June 2025 17:30,N/A,17:30,Good To Firm (Good In Places),1m 4f 5y,Fair Dinkum (IRE),Rob Hornby,0,J Scott,7th,7 l,5,9-2tp,61,True,1,15
Salisbury Racing Results | 15th June 2025 17:30,N/A,17:30,Good To Firm (Good In Places),1m 4f 5y,Eton Blue (IRE),P Cosgrave,0,George Baker,6th,27 l,7,9-3,62,True,1,15
Salisbury Racing Results | 15th June 2025 17:30,N/A,17:30,Good To Firm (Good In Places),1m 4f 5y,Shady Bay (IRE),S M Levey,0,T Ward,5th,1 1/2 l,4,9-5t,64,True,1,15
Salisbury Racing Results | 15th June 2025 17:30,N/A,17:30,Good To Firm (Good In Places),1m 4f 5y,Marioento,Jack Callan,7,G Boughey,4th,13 l,4,9-10tb,69,True,1,15
Salisbury Racing Results | 15th June 2025 17:30,N/A,17:30,Good To Firm (Good In Places),1m 4f 5y,Forest Hills (IRE),Hector Crouch,0,B R Millman,3rd,4 1/4 l,4,9-5,64,True,1,15
Salisbury Racing Results | 15th June 2025 17:30,N/A,17:30,Good To Firm (Good In Places),1m 4f 5y,Spectacular Style,R Kingscote,0,Ian Williams,2nd,1 3/4 l,5,9-0,59,True,1,15
Salisbury Racing Results | 15th June 2025 17:30,N/A,17:30,Good To Firm (Good In Places),1m 4f 5y,Moon Angel,Marco Ghiani,0,S C Williams,1st,N/A,4,9-9,68,True,1,15
N/A,N/A,15:45,Good To Soft,6f 6y,Masai Angel (FR),O J Orr,0,R A Fahey,5th,41 l,2,9-7,-,True,1,16
N/A,N/A,15:45,Good To Soft,6f 6y,Daizen (IRE),D Allan,0,R Menzies,4th,10 l,2,9-7,-,True,1,16
N/A,N/A,15:45,Good To Soft,6f 6y,Vincenzo Peruggia (IRE),D Egan,0,C Johnston,3rd,2 1/4 l,2,9-7,-,True,1,16
N/A,N/A,15:45,Good To Soft,6f 6y,Big Fun (IRE),T Eaves,0,K A Ryan,2nd,1/2 l,2,9-7,-,True,1,16
N/A,N/A,15:45,Good To Soft,6f 6y,Gesayed,C Lee,0,K R Burke,1st,N/A,2,9-2,-,True,1,16
N/A,N/A,15:45,Good To Soft,6f 6y,Masai Angel (FR),O J Orr,0,R A Fahey,5th,41 l,2,9-7,-,True,1,16
N/A,N/A,15:45,Good To Soft,6f 6y,Daizen (IRE),D Allan,0,R Menzies,4th,10 l,2,9-7,-,True,1,16
N/A,N/A,15:45,Good To Soft,6f 6y,Vincenzo Peruggia (IRE),D Egan,0,C Johnston,3rd,2 1/4 l,2,9-7,-,True,1,16
N/A,N/A,15:45,Good To Soft,6f 6y,Big Fun (IRE),T Eaves,0,K A Ryan,2nd,1/2 l,2,9-7,-,True,1,16
N/A,N/A,15:45,Good To Soft,6f 6y,Gesayed,C Lee,0,K R Burke,1st,N/A,2,9-2,-,True,1,16
N/A,N/A,16:15,Good To Soft,6f 6y,Beechdale,Kaiya Fraser,0,Miss L A Perratt,14th,14 l,3,8-13,75,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Glorious Kitty (IRE),Joanna Mason,0,M & D Easterby,13th,Neck,3,8-13,75,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Cabelleroso,Jason Hart,0,H Palmer,12th,1/2 l,3,9-11h,87,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Lesley's Boy,O J Orr,0,R A Fahey,11th,2 l,3,9-6,82,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Far Above The Law (IRE),Christian Howarth,3,Alice Haynes,10th,1/2 l,3,9-7,83,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Native Honey (IRE),Amie Waugh,3,J S Goldie,9th,3/4 l,3,8-10,72,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Veydari (IRE),Ryan Sexton,0,Miss J A Camacho,8th,Neck,3,9-0,76,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Fuji Mountain (IRE),Zak Wheatley,3,D Carroll,7th,Head,3,9-8,84,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Educating Rita,C Lee,0,M Dods,6th,1/2 l,3,9-5,81,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Tarlac (IRE),J Fanning,0,K Scott,5th,Short Head,3,8-8,70,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,U Sure Do (IRE),D Allan,0,T D Easterby,4th,3/4 l,3,9-4,80,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Lord Roxby (IRE),Rowan Scott,0,N Tinkler,3rd,3/4 l,3,9-8,84,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Station X,P Mulrennan,0,B Smart,2nd,Neck,3,9-6,82,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Alpha Magic,Billy Garritty,0,M & D Easterby,1st,N/A,3,9-5,81,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Beechdale,Kaiya Fraser,0,Miss L A Perratt,14th,14 l,3,8-13,75,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Glorious Kitty (IRE),Joanna Mason,0,M & D Easterby,13th,Neck,3,8-13,75,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Cabelleroso,Jason Hart,0,H Palmer,12th,1/2 l,3,9-11h,87,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Lesley's Boy,O J Orr,0,R A Fahey,11th,2 l,3,9-6,82,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Far Above The Law (IRE),Christian Howarth,3,Alice Haynes,10th,1/2 l,3,9-7,83,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Native Honey (IRE),Amie Waugh,3,J S Goldie,9th,3/4 l,3,8-10,72,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Veydari (IRE),Ryan Sexton,0,Miss J A Camacho,8th,Neck,3,9-0,76,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Fuji Mountain (IRE),Zak Wheatley,3,D Carroll,7th,Head,3,9-8,84,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Educating Rita,C Lee,0,M Dods,6th,1/2 l,3,9-5,81,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Tarlac (IRE),J Fanning,0,K Scott,5th,Short Head,3,8-8,70,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,U Sure Do (IRE),D Allan,0,T D Easterby,4th,3/4 l,3,9-4,80,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Lord Roxby (IRE),Rowan Scott,0,N Tinkler,3rd,3/4 l,3,9-8,84,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Station X,P Mulrennan,0,B Smart,2nd,Neck,3,9-6,82,True,1,17
N/A,N/A,16:15,Good To Soft,6f 6y,Alpha Magic,Billy Garritty,0,M & D Easterby,1st,N/A,3,9-5,81,True,1,17
N/A,N/A,16:45,Good To Soft,1m 5f 16y,Tafsir (USA),Rhys Elliott,5,J S Goldie,11th,1/2 l,6,8-8p,73,True,1,18
N/A,N/A,16:45,Good To Soft,1m 5f 16y,Steel Tiger (IRE),Callum Shepherd,0,S & E Crisford,10th,2 l,4,9-10,89,True,1,18
N/A,N/A,16:45,Good To Soft,1m 5f 16y,Forza Orta (IRE),Rowan Scott,0,K A Ryan,9th,1 l,7,8-9tb1,74,True,1,18
