track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Jered Maddox,J A Heffernan,0,D Marnane,8th,3 3/4 l,8,10-4,89,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Sporting Hero,J M Sheridan,0,D Hogan,7th,1/2 l,4,9-8p,79,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Alpha Cephei,R C Colgan,0,D Marnane,6th,3 l,3,9-0v1,78,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Mymomentintime (USA),K J Leonard,0,Miss S A Finn,5th,1/2 l,5,8-7h,64,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Sevensees,R M Mulligan,7,J P Murtagh,4th,2 1/4 l,4,9-11,82,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Collective Power (IRE),W J Lee,0,E Lynam,3rd,1/2 l,6,9-12,83,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Ostraka (IRE),D McMonagle,0,Daniel Murphy,2nd,1 l,4,9-7b,78,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Bold Optimist (IRE),B M Coen,0,Daniel McLoughlin,1st,N/A,4,8-12p,69,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Jered Maddox,J A Heffernan,0,D Marnane,8th,3 3/4 l,8,10-4,89,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Sporting Hero,J M Sheridan,0,D Hogan,7th,1/2 l,4,9-8p,79,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Alpha Cephei,R C Colgan,0,D Marnane,6th,3 l,3,9-0v1,78,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Mymomentintime (USA),K J Leonard,0,Miss S A Finn,5th,1/2 l,5,8-7h,64,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Sevensees,R M Mulligan,7,J P Murtagh,4th,2 1/4 l,4,9-11,82,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Collective Power (IRE),W J Lee,0,E Lynam,3rd,1/2 l,6,9-12,83,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Ostraka (IRE),D McMonagle,0,Daniel Murphy,2nd,1 l,4,9-7b,78,True,123,1
Cork Racing Results | 14th June 2024 17:58,N/A,17:58,Good To Yielding,5f,Bold Optimist (IRE),B M Coen,0,Daniel McLoughlin,1st,N/A,4,8-12p,69,True,123,1
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Twilight Jet (IRE),L F Roche,0,M O'Callaghan,NR,N/A,5,9-12v1,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Go Athletico (FR),R P Whelan,0,A McGuinness,NR,N/A,6,9-12,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Easy (IRE),A J Slattery,0,A Slattery,NR,N/A,4,9-7,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Shandy (IRE),J M Sheridan,0,J A Stack,NR,N/A,3,8-11h1,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Ano Syra (IRE),D McMonagle,0,J Feane,9th,1 3/4 l,5,9-4,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,So Majestic (IRE),C D Hayes,0,Miss K McGivern,8th,1 l,4,9-4ht,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Arnhem (IRE),J A Heffernan,0,M G Quinn,7th,Short Head,8,9-9,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Gabriella's Spirit (IRE),N M Crosse,0,K J Condon,6th,Neck,5,9-4tp,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Dun Na Sead (IRE),B M Coen,0,Daniel Murphy,5th,5 l,5,9-7,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,She's Quality (IRE),S Foley,0,J Davison,4th,1/2 l,3,8-11,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Jakajaro (IRE),R C Colgan,0,D Marnane,3rd,3/4 l,3,9-2,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Erosandpsyche (IRE),W J Lee,0,P Twomey,2nd,2 3/4 l,6,9-9v,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Clarendon House,C T Keane,0,R M H Cowell,1st,N/A,6,9-9,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Twilight Jet (IRE),L F Roche,0,M O'Callaghan,NR,N/A,5,9-12v1,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Go Athletico (FR),R P Whelan,0,A McGuinness,NR,N/A,6,9-12,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Easy (IRE),A J Slattery,0,A Slattery,NR,N/A,4,9-7,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Shandy (IRE),J M Sheridan,0,J A Stack,NR,N/A,3,8-11h1,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Ano Syra (IRE),D McMonagle,0,J Feane,9th,1 3/4 l,5,9-4,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,So Majestic (IRE),C D Hayes,0,Miss K McGivern,8th,1 l,4,9-4ht,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Arnhem (IRE),J A Heffernan,0,M G Quinn,7th,Short Head,8,9-9,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Gabriella's Spirit (IRE),N M Crosse,0,K J Condon,6th,Neck,5,9-4tp,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Dun Na Sead (IRE),B M Coen,0,Daniel Murphy,5th,5 l,5,9-7,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,She's Quality (IRE),S Foley,0,J Davison,4th,1/2 l,3,8-11,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Jakajaro (IRE),R C Colgan,0,D Marnane,3rd,3/4 l,3,9-2,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Erosandpsyche (IRE),W J Lee,0,P Twomey,2nd,2 3/4 l,6,9-9v,-,True,123,2
Cork Racing Results | 14th June 2024 18:33,N/A,18:33,Good To Yielding,5f,Clarendon House,C T Keane,0,R M H Cowell,1st,N/A,6,9-9,-,True,123,2
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Derida (GER),M P Sheehy,0,J P O'Brien,NR,N/A,5,9-9t1,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Joupe (IRE),J M Sheridan,0,P Lawlor,7th,3 1/2 l,7,9-9t,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Thunder Roll (IRE),D McMonagle,0,J P O'Brien,6th,5 l,4,9-9,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Nostringsattached (IRE),R C Colgan,0,A Kinirons,5th,3/4 l,5,9-9,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Greenfinch (USA),W M Lordan,0,A P O'Brien,4th,3 3/4 l,3,8-8,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Scarlett O'Hara (FR),N M Crosse,0,Mrs J Harrington,3rd,3/4 l,4,9-9p,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Trevaunance (IRE),S Foley,0,Mrs J Harrington,2nd,1 1/4 l,5,9-9p,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Sumiha (IRE),C D Hayes,0,D K Weld,1st,N/A,4,9-9,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Derida (GER),M P Sheehy,0,J P O'Brien,NR,N/A,5,9-9t1,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Joupe (IRE),J M Sheridan,0,P Lawlor,7th,3 1/2 l,7,9-9t,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Thunder Roll (IRE),D McMonagle,0,J P O'Brien,6th,5 l,4,9-9,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Nostringsattached (IRE),R C Colgan,0,A Kinirons,5th,3/4 l,5,9-9,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Greenfinch (USA),W M Lordan,0,A P O'Brien,4th,3 3/4 l,3,8-8,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Scarlett O'Hara (FR),N M Crosse,0,Mrs J Harrington,3rd,3/4 l,4,9-9p,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Trevaunance (IRE),S Foley,0,Mrs J Harrington,2nd,1 1/4 l,5,9-9p,-,True,123,3
Cork Racing Results | 14th June 2024 19:08,N/A,19:08,Good (Good To Yielding In Places),1m 4f,Sumiha (IRE),C D Hayes,0,D K Weld,1st,N/A,4,9-9,-,True,123,3
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,Eastern Legend (IRE),R P Cleary,0,J S Bolger,NR,N/A,4,9-13t,97,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,Taipan (FR),S Foley,0,Mrs J Harrington,NR,N/A,6,10-0p,98,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,Morph Speed (IRE),J A Heffernan,0,N Slevin,10th,Neck,8,8-12p1,82,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,Jaafel (IRE),S P Davis,0,C Byrnes,9th,1/2 l,6,8-7,77,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,Sequoiaspirit (IRE),A J Slattery,0,R Hackett,8th,1 l,7,8-7,77,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,By Your Side,L F Roche,0,G Elliott,7th,2 1/2 l,5,8-7,77,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,Complete Fiction (IRE),C D Hayes,0,J P Fahey,6th,3 1/4 l,7,8-7p,77,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,Timourid (IRE),J M Sheridan,0,P W Flynn,5th,1/2 l,7,9-2tp,86,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,Take Heart (IRE),B M Coen,0,J P Murtagh,4th,3/4 l,4,9-12,96,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,Carlo Bianconi (FR),M W Hassett,5,J P O'Brien,3rd,1/2 l,4,8-7p,77,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,Zoffman (IRE),C T Keane,0,N Meade,2nd,Head,5,9-7p,91,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,La Dame Blanche (IRE),R M Mulligan,7,W Ross,1st,N/A,5,8-7h,77,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,Eastern Legend (IRE),R P Cleary,0,J S Bolger,NR,N/A,4,9-13t,97,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,Taipan (FR),S Foley,0,Mrs J Harrington,NR,N/A,6,10-0p,98,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,Morph Speed (IRE),J A Heffernan,0,N Slevin,10th,Neck,8,8-12p1,82,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,Jaafel (IRE),S P Davis,0,C Byrnes,9th,1/2 l,6,8-7,77,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,Sequoiaspirit (IRE),A J Slattery,0,R Hackett,8th,1 l,7,8-7,77,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,By Your Side,L F Roche,0,G Elliott,7th,2 1/2 l,5,8-7,77,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,Complete Fiction (IRE),C D Hayes,0,J P Fahey,6th,3 1/4 l,7,8-7p,77,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,Timourid (IRE),J M Sheridan,0,P W Flynn,5th,1/2 l,7,9-2tp,86,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,Take Heart (IRE),B M Coen,0,J P Murtagh,4th,3/4 l,4,9-12,96,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,Carlo Bianconi (FR),M W Hassett,5,J P O'Brien,3rd,1/2 l,4,8-7p,77,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,Zoffman (IRE),C T Keane,0,N Meade,2nd,Head,5,9-7p,91,True,123,4
Cork Racing Results | 14th June 2024 19:43,N/A,19:43,Good (Good To Yielding In Places),1m 4f,La Dame Blanche (IRE),R M Mulligan,7,W Ross,1st,N/A,5,8-7h,77,True,123,4
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Galician Girl (IRE),C D Hayes,0,A McGuinness,NR,N/A,3,9-5,66,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Positive Energy (IRE),W J Lee,0,W McCreery,NR,N/A,3,9-13,74,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Still Rolling (IRE),R P Cleary,0,J S Bolger,NR,N/A,3,9-2,63,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Rebelsontherun (IRE),L F Roche,0,M O'Callaghan,NR,N/A,3,9-12p,73,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Signor Ferrari (IRE),M W Hassett,5,J Feane,PU,N/A,3,9-12,73,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Kiki Roberts (IRE),C T Keane,0,N Meade,8th,7 1/2 l,3,9-9b,70,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Timeonourside (IRE),J A Heffernan,0,Leonard Flynn,7th,4 1/2 l,3,9-8,69,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Avatar Jet (IRE),S Foley,0,M Fahey,6th,1 1/4 l,3,9-7,68,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Zenato (IRE),W M Lordan,0,H De Bromhead,5th,1/2 l,3,9-3,64,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Grand Citadel (IRE),A J Slattery,0,M Fenton,4th,1/2 l,3,8-7b,54,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Martinelli (IRE),D McMonagle,0,K P Cotter,3rd,1/2 l,3,9-3,64,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Masoun (FR),B M Coen,0,J P Murtagh,2nd,1/2 l,3,10-0,75,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Lord Church (IRE),R P Whelan,0,M Halford & T Collins,1st,N/A,3,9-8,69,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Galician Girl (IRE),C D Hayes,0,A McGuinness,NR,N/A,3,9-5,66,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Positive Energy (IRE),W J Lee,0,W McCreery,NR,N/A,3,9-13,74,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Still Rolling (IRE),R P Cleary,0,J S Bolger,NR,N/A,3,9-2,63,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Rebelsontherun (IRE),L F Roche,0,M O'Callaghan,NR,N/A,3,9-12p,73,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Signor Ferrari (IRE),M W Hassett,5,J Feane,PU,N/A,3,9-12,73,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Kiki Roberts (IRE),C T Keane,0,N Meade,8th,7 1/2 l,3,9-9b,70,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Timeonourside (IRE),J A Heffernan,0,Leonard Flynn,7th,4 1/2 l,3,9-8,69,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Avatar Jet (IRE),S Foley,0,M Fahey,6th,1 1/4 l,3,9-7,68,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Zenato (IRE),W M Lordan,0,H De Bromhead,5th,1/2 l,3,9-3,64,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Grand Citadel (IRE),A J Slattery,0,M Fenton,4th,1/2 l,3,8-7b,54,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Martinelli (IRE),D McMonagle,0,K P Cotter,3rd,1/2 l,3,9-3,64,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Masoun (FR),B M Coen,0,J P Murtagh,2nd,1/2 l,3,10-0,75,True,123,5
Cork Racing Results | 14th June 2024 20:13,N/A,20:13,Good (Good To Yielding In Places),1m,Lord Church (IRE),R P Whelan,0,M Halford & T Collins,1st,N/A,3,9-8,69,True,123,5
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Mountrivers Lass (IRE),J P Shinnick,7,R Murphy,NR,N/A,5,10-13,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Slim Marvel (FR),T Ryan,5,A Slattery,NR,N/A,6,10-13,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Ash Court (IRE),D A Kidd,7,L Lennon,NR,N/A,5,10-13,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Fix It For Me (IRE),C Stone-Walsh,5,Colm Murphy,NR,N/A,5,10-13,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Legacy Juno (IRE),L Quinlan,3,S R B Crawford,13th,N/A,7,10-13,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Thecornerbar (IRE),Daire James McConville,7,R K Watson,12th,5 1/2 l,5,10-13t1,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Ar Nos Na Gaoithe (IRE),C Owens,7,P J Rothwell,11th,41 l,5,10-13,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Gabbys Doll House (IRE),P Byrnes,3,James Andrew Fahey,10th,1 l,5,10-13,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Wee Vee (IRE),Ben Bromley,5,S R B Crawford,9th,Head,4,10-8,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Cornamona Park (IRE),P M O'Brien,7,G P Cromwell,8th,6 l,4,10-8,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Bishbashbosh (IRE),G Brouder,5,Gary McGill,7th,14 l,5,10-13,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Bobbi Gin Tree (IRE),M P O'Connor,0,H De Bromhead,6th,1 1/2 l,5,10-13,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Tell Me This (IRE),T P Harney,7,R O'Sullivan,5th,1 1/4 l,6,10-13,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Long Gone (IRE),S Fitzgerald,0,D Queally,4th,4 l,6,11-7h,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Disco Dancer (IRE),K C Sexton,0,G Elliott,3rd,Head,5,11-7t,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Sharp Object (IRE),A Harvey,7,J C McConnell,2nd,3 3/4 l,5,11-7,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Femme Magnifique (IRE),K Callaghan,5,W P Mullins,1st,N/A,6,11-7t,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Mountrivers Lass (IRE),J P Shinnick,7,R Murphy,NR,N/A,5,10-13,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Slim Marvel (FR),T Ryan,5,A Slattery,NR,N/A,6,10-13,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Ash Court (IRE),D A Kidd,7,L Lennon,NR,N/A,5,10-13,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Fix It For Me (IRE),C Stone-Walsh,5,Colm Murphy,NR,N/A,5,10-13,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Legacy Juno (IRE),L Quinlan,3,S R B Crawford,13th,N/A,7,10-13,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Thecornerbar (IRE),Daire James McConville,7,R K Watson,12th,5 1/2 l,5,10-13t1,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Ar Nos Na Gaoithe (IRE),C Owens,7,P J Rothwell,11th,41 l,5,10-13,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Gabbys Doll House (IRE),P Byrnes,3,James Andrew Fahey,10th,1 l,5,10-13,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Wee Vee (IRE),Ben Bromley,5,S R B Crawford,9th,Head,4,10-8,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Cornamona Park (IRE),P M O'Brien,7,G P Cromwell,8th,6 l,4,10-8,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Bishbashbosh (IRE),G Brouder,5,Gary McGill,7th,14 l,5,10-13,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Bobbi Gin Tree (IRE),M P O'Connor,0,H De Bromhead,6th,1 1/2 l,5,10-13,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Tell Me This (IRE),T P Harney,7,R O'Sullivan,5th,1 1/4 l,6,10-13,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Long Gone (IRE),S Fitzgerald,0,D Queally,4th,4 l,6,11-7h,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Disco Dancer (IRE),K C Sexton,0,G Elliott,3rd,Head,5,11-7t,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Sharp Object (IRE),A Harvey,7,J C McConnell,2nd,3 3/4 l,5,11-7,-,True,123,6
Downpatrick Racing Results | 15th June 2024 13:05,N/A,13:05,Good (Good To Yielding In Places),2m 2f 185y,Femme Magnifique (IRE),K Callaghan,5,W P Mullins,1st,N/A,6,11-7t,-,True,123,6
