track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Mosaaheb,G. F. Carroll,0,John Joseph Hanlon,8th,Neck,5,9-6p,55,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Believe In Science (IRE),R. P. Cleary,0,J. S. Bolger,7th,Head,4,10-1,64,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Clever Capall (IRE),Amy Jo Hayes,7,A. Slattery,6th,Neck,4,8-12,47,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Astrophysicist,Seamie Heffernan,0,James A. Nash,5th,1 l,5,8-13p,48,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Liberated Girl,C. Horgan,7,A. Slattery,4th,1 3/4 l,3,8-8,48,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Sand Castle (IRE),C. T. Keane,0,Adrian Murray,3rd,1 1/4 l,7,9-9t,58,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Riyami (IRE),S. D. Bowen,5,Miss Shauna Larkin,2nd,2 1/2 l,4,9-7tp1,56,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Nusra (IRE),Shane Foley,0,G. Ahern,1st,N/A,6,8-12p,47,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Ten To Ten (IRE),L. F. Roche,0,Luke Comer,14th,27 l,5,9-3p,52,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Zaghraf,Declan McDonogh,0,Leanne Breen,13th,9 l,4,8-12tp1,47,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Lucky Queen (IRE),L. T. McAteer,0,P. A. Fahy,12th,1 1/2 l,4,9-5tp,54,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Ally Cay (IRE),R. Whearty,5,Paul W. Flynn,11th,6 l,7,9-0,49,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Big Kitten (USA),D. W. O'Connor,0,John McConnell,10th,4 1/2 l,8,10-1,64,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Tom The Plasterer (IRE),C. D. Hayes,0,Luke Comer,9th,1 1/4 l,6,9-6b,55,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Mosaaheb,G. F. Carroll,0,John Joseph Hanlon,8th,Neck,5,9-6p,55,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Believe In Science (IRE),R. P. Cleary,0,J. S. Bolger,7th,Head,4,10-1,64,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Clever Capall (IRE),Amy Jo Hayes,7,A. Slattery,6th,Neck,4,8-12,47,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Astrophysicist,Seamie Heffernan,0,James A. Nash,5th,1 l,5,8-13p,48,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Liberated Girl,C. Horgan,7,A. Slattery,4th,1 3/4 l,3,8-8,48,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Sand Castle (IRE),C. T. Keane,0,Adrian Murray,3rd,1 1/4 l,7,9-9t,58,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Riyami (IRE),S. D. Bowen,5,Miss Shauna Larkin,2nd,2 1/2 l,4,9-7tp1,56,True,92,25
Dundalk Racing Results | 24th November 2023 20:00,N/A,20:00,Standard,1m 4f,Nusra (IRE),Shane Foley,0,G. Ahern,1st,N/A,6,8-12p,47,True,92,25
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Zouperior,L. F. Roche,0,Peter Fahey,14th,22 l,3,8-7,47,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Mater Matuta (IRE),Adam Caffrey,5,E. D. Delany,13th,11 l,7,9-0tp,49,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Is That So (IRE),Declan McDonogh,0,Adrian Murray,12th,1/2 l,6,9-1b1,50,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Together Aclaim,Siobhan Rutledge,3,John McConnell,11th,1 1/2 l,4,8-12t,47,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Vista Baby (FR),Shane Foley,0,A. Slattery,10th,1/2 l,3,8-12,52,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Static Charge,J. A. Powell,3,Desmond McDonogh,9th,Neck,3,8-7tp,47,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Katzoff (IRE),Amy Jo Hayes,7,J. Morrison,8th,Neck,6,8-12,47,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Catwalk Couture (IRE),C. D. Hayes,0,Eddie & Patrick Harty,7th,1/2 l,3,9-2b1,56,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Firm Belief (IRE),Seamie Heffernan,0,Rodger Sweeney,6th,2 1/2 l,5,10-1,64,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Navajo River (IRE),R. C. Colgan,0,Luke Comer,5th,1/2 l,3,9-6,60,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Ciao Adios (IRE),S. D. Bowen,5,Miss Shauna Larkin,4th,1 l,4,8-12p,47,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Gracesolution (IRE),J. Coen,5,Ross O'Sullivan,3rd,1 1/2 l,6,10-1,64,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Clever Currency (IRE),R. Whearty,5,Paul W. Flynn,2nd,1/2 l,6,8-12tp,47,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Spinning Web (IRE),N. G. McCullagh,0,Ms Margaret Mullins,1st,N/A,3,8-9,49,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Zouperior,L. F. Roche,0,Peter Fahey,14th,22 l,3,8-7,47,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Mater Matuta (IRE),Adam Caffrey,5,E. D. Delany,13th,11 l,7,9-0tp,49,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Is That So (IRE),Declan McDonogh,0,Adrian Murray,12th,1/2 l,6,9-1b1,50,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Together Aclaim,Siobhan Rutledge,3,John McConnell,11th,1 1/2 l,4,8-12t,47,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Vista Baby (FR),Shane Foley,0,A. Slattery,10th,1/2 l,3,8-12,52,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Static Charge,J. A. Powell,3,Desmond McDonogh,9th,Neck,3,8-7tp,47,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Katzoff (IRE),Amy Jo Hayes,7,J. Morrison,8th,Neck,6,8-12,47,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Catwalk Couture (IRE),C. D. Hayes,0,Eddie & Patrick Harty,7th,1/2 l,3,9-2b1,56,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Firm Belief (IRE),Seamie Heffernan,0,Rodger Sweeney,6th,2 1/2 l,5,10-1,64,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Navajo River (IRE),R. C. Colgan,0,Luke Comer,5th,1/2 l,3,9-6,60,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Ciao Adios (IRE),S. D. Bowen,5,Miss Shauna Larkin,4th,1 l,4,8-12p,47,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Gracesolution (IRE),J. Coen,5,Ross O'Sullivan,3rd,1 1/2 l,6,10-1,64,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Clever Currency (IRE),R. Whearty,5,Paul W. Flynn,2nd,1/2 l,6,8-12tp,47,True,92,26
Dundalk Racing Results | 24th November 2023 20:30,N/A,20:30,Standard,1m 4f,Spinning Web (IRE),N. G. McCullagh,0,Ms Margaret Mullins,1st,N/A,3,8-9,49,True,92,26
N/A,N/A,11:40,Soft,2m 160y,Td's Approach (IRE),E. Walsh,3,Cian Michael Collins,PU,N/A,3,11-0,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Better Choice (IRE),Patrick O'Hanlon,3,P. J. Rothwell,11th,4 1/2 l,3,10-7,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Tiny Angel (IRE),S. D. Torrens,0,Noel C. Kelly,10th,21 l,3,10-7,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Tranquil Sea (IRE),Sean Flanagan,0,Paul Nolan,9th,4 1/2 l,3,11-0,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,San Guido (IRE),Rachael Blackmore,0,Henry de Bromhead,8th,2 1/4 l,3,11-0t,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Biggerthanbigtime (IRE),P. T. Smithers,7,Padraig Roche,7th,Neck,3,11-0,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Green Sky (IRE),Richard Deegan,0,Joseph Patrick O'Brien,6th,1 1/4 l,3,10-7,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Burvea (IRE),D. King,3,D. Broad,5th,2 l,3,10-7,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Pacini,Jordan Colin Gainford,0,Gordon Elliott,4th,1 1/2 l,3,11-0,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Harsh,Sam Ewing,0,Joseph Patrick O'Brien,3rd,7 1/2 l,3,11-0,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Lark In The Mornin (GER),J. J. Slevin,0,Joseph Patrick O'Brien,2nd,9 1/2 l,3,11-0,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Mighty Bandit (IRE),J. W. Kennedy,0,Gordon Elliott,1st,N/A,3,11-0,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Td's Approach (IRE),E. Walsh,3,Cian Michael Collins,PU,N/A,3,11-0,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Better Choice (IRE),Patrick O'Hanlon,3,P. J. Rothwell,11th,4 1/2 l,3,10-7,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Tiny Angel (IRE),S. D. Torrens,0,Noel C. Kelly,10th,21 l,3,10-7,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Tranquil Sea (IRE),Sean Flanagan,0,Paul Nolan,9th,4 1/2 l,3,11-0,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,San Guido (IRE),Rachael Blackmore,0,Henry de Bromhead,8th,2 1/4 l,3,11-0t,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Biggerthanbigtime (IRE),P. T. Smithers,7,Padraig Roche,7th,Neck,3,11-0,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Green Sky (IRE),Richard Deegan,0,Joseph Patrick O'Brien,6th,1 1/4 l,3,10-7,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Burvea (IRE),D. King,3,D. Broad,5th,2 l,3,10-7,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Pacini,Jordan Colin Gainford,0,Gordon Elliott,4th,1 1/2 l,3,11-0,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Harsh,Sam Ewing,0,Joseph Patrick O'Brien,3rd,7 1/2 l,3,11-0,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Lark In The Mornin (GER),J. J. Slevin,0,Joseph Patrick O'Brien,2nd,9 1/2 l,3,11-0,-,True,92,27
N/A,N/A,11:40,Soft,2m 160y,Mighty Bandit (IRE),J. W. Kennedy,0,Gordon Elliott,1st,N/A,3,11-0,-,True,92,27
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,Soldaro (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,UR,N/A,5,11-5t,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,One Horse Army (IRE),A. P. Kelly,5,Padraig Roche,PU,N/A,6,11-12,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,Bushmans Pass (IRE),Phillip Enright,0,Oliver McKiernan,9th,17 l,7,11-12,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,Celebrating Katie (IRE),S. D. Torrens,0,Noel C. Kelly,8th,40 l,6,11-5,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,Daily Present (IRE),S. F. O'Keeffe,0,Paul Nolan,7th,23 l,6,11-12,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,Figaroc (FR),D. E. Mullins,0,W. P. Mullins,6th,3 1/4 l,8,11-12,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,An Epic Song (FR),J. J. Slevin,0,Martin Brassil,5th,28 l,6,11-12h,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,Cool Survivor (IRE),J. W. Kennedy,0,Gordon Elliott,4th,6 l,6,11-12,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,Senior Chief,Rachael Blackmore,0,Henry de Bromhead,3rd,3 1/4 l,6,11-12,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,Inothewayurthinkin (IRE),M. P. Walsh,0,Gavin Patrick Cromwell,2nd,15 l,5,11-12t1,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,Gaelic Warrior (GER),P. Townend,0,W. P. Mullins,1st,N/A,5,11-12,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,Soldaro (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,UR,N/A,5,11-5t,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,One Horse Army (IRE),A. P. Kelly,5,Padraig Roche,PU,N/A,6,11-12,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,Bushmans Pass (IRE),Phillip Enright,0,Oliver McKiernan,9th,17 l,7,11-12,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,Celebrating Katie (IRE),S. D. Torrens,0,Noel C. Kelly,8th,40 l,6,11-5,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,Daily Present (IRE),S. F. O'Keeffe,0,Paul Nolan,7th,23 l,6,11-12,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,Figaroc (FR),D. E. Mullins,0,W. P. Mullins,6th,3 1/4 l,8,11-12,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,An Epic Song (FR),J. J. Slevin,0,Martin Brassil,5th,28 l,6,11-12h,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,Cool Survivor (IRE),J. W. Kennedy,0,Gordon Elliott,4th,6 l,6,11-12,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,Senior Chief,Rachael Blackmore,0,Henry de Bromhead,3rd,3 1/4 l,6,11-12,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,Inothewayurthinkin (IRE),M. P. Walsh,0,Gavin Patrick Cromwell,2nd,15 l,5,11-12t1,-,True,92,29
N/A,N/A,12:48,Soft (Soft To Heavy In Places),2m 2f 200y,Gaelic Warrior (GER),P. Townend,0,W. P. Mullins,1st,N/A,5,11-12,-,True,92,29
N/A,N/A,13:23,Soft (Soft To Heavy In Places),3m,Churchstonewarrior (IRE),M. J. M. O'Sullivan,0,Jonathan Sweeney,UR,N/A,8,11-8,-,True,92,30
N/A,N/A,13:23,Soft (Soft To Heavy In Places),3m,Quilixios,Rachael Blackmore,0,Henry de Bromhead,6th,30 l,6,11-3,-,True,92,30
N/A,N/A,13:23,Soft (Soft To Heavy In Places),3m,Affordale Fury (IRE),Sam Ewing,0,Noel Meade,5th,3 1/2 l,5,11-3,-,True,92,30
N/A,N/A,13:23,Soft (Soft To Heavy In Places),3m,Maxxum (IRE),Jordan Colin Gainford,0,Gordon Elliott,4th,21 l,6,11-3,-,True,92,30
N/A,N/A,13:23,Soft (Soft To Heavy In Places),3m,Flooring Porter (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,3rd,1 1/4 l,8,11-3t,-,True,92,30
N/A,N/A,13:23,Soft (Soft To Heavy In Places),3m,Sandor Clegane (IRE),S. F. O'Keeffe,0,Paul Nolan,2nd,14 l,6,11-3,-,True,92,30
N/A,N/A,13:23,Soft (Soft To Heavy In Places),3m,Favori De Champdou (FR),J. W. Kennedy,0,Gordon Elliott,1st,N/A,8,11-3,-,True,92,30
N/A,N/A,13:23,Soft (Soft To Heavy In Places),3m,Churchstonewarrior (IRE),M. J. M. O'Sullivan,0,Jonathan Sweeney,UR,N/A,8,11-8,-,True,92,30
N/A,N/A,13:23,Soft (Soft To Heavy In Places),3m,Quilixios,Rachael Blackmore,0,Henry de Bromhead,6th,30 l,6,11-3,-,True,92,30
N/A,N/A,13:23,Soft (Soft To Heavy In Places),3m,Affordale Fury (IRE),Sam Ewing,0,Noel Meade,5th,3 1/2 l,5,11-3,-,True,92,30
N/A,N/A,13:23,Soft (Soft To Heavy In Places),3m,Maxxum (IRE),Jordan Colin Gainford,0,Gordon Elliott,4th,21 l,6,11-3,-,True,92,30
N/A,N/A,13:23,Soft (Soft To Heavy In Places),3m,Flooring Porter (IRE),Keith Donoghue,0,Gavin Patrick Cromwell,3rd,1 1/4 l,8,11-3t,-,True,92,30
N/A,N/A,13:23,Soft (Soft To Heavy In Places),3m,Sandor Clegane (IRE),S. F. O'Keeffe,0,Paul Nolan,2nd,14 l,6,11-3,-,True,92,30
N/A,N/A,13:23,Soft (Soft To Heavy In Places),3m,Favori De Champdou (FR),J. W. Kennedy,0,Gordon Elliott,1st,N/A,8,11-3,-,True,92,30
N/A,N/A,13:58,Soft (Soft To Heavy In Places),2m 5f 70y,Ha D'Or (FR),Jack Foley,0,W. P. Mullins,PU,N/A,6,11-6h,142,True,92,31
N/A,N/A,13:58,Soft (Soft To Heavy In Places),2m 5f 70y,Upping The Anti (IRE),D. J. O'Keeffe,0,Henry de Bromhead,7th,6 1/2 l,7,11-3,139,True,92,31
N/A,N/A,13:58,Soft (Soft To Heavy In Places),2m 5f 70y,Walk Away (IRE),Rachael Blackmore,0,Henry de Bromhead,6th,23 l,10,10-8t,130,True,92,31
N/A,N/A,13:58,Soft (Soft To Heavy In Places),2m 5f 70y,Life In The Park (IRE),M. P. O'Connor,3,Henry de Bromhead,5th,2 l,6,11-2,138,True,92,31
N/A,N/A,13:58,Soft (Soft To Heavy In Places),2m 5f 70y,Adamantly Chosen (IRE),D. E. Mullins,0,W. P. Mullins,4th,1/2 l,6,11-12,148,True,92,31
N/A,N/A,13:58,Soft (Soft To Heavy In Places),2m 5f 70y,Coqolino (FR),M. P. Walsh,0,Gordon Elliott,3rd,2 1/2 l,8,10-7t,129,True,92,31
N/A,N/A,13:58,Soft (Soft To Heavy In Places),2m 5f 70y,Mars Harper,J. W. Kennedy,0,Gordon Elliott,2nd,3 l,7,11-3tp1,139,True,92,31
N/A,N/A,13:58,Soft (Soft To Heavy In Places),2m 5f 70y,Idas Boy (IRE),Sam Ewing,0,Noel Meade,1st,N/A,9,11-6,142,True,92,31
N/A,N/A,13:58,Soft (Soft To Heavy In Places),2m 5f 70y,Ha D'Or (FR),Jack Foley,0,W. P. Mullins,PU,N/A,6,11-6h,142,True,92,31
N/A,N/A,13:58,Soft (Soft To Heavy In Places),2m 5f 70y,Upping The Anti (IRE),D. J. O'Keeffe,0,Henry de Bromhead,7th,6 1/2 l,7,11-3,139,True,92,31
N/A,N/A,13:58,Soft (Soft To Heavy In Places),2m 5f 70y,Walk Away (IRE),Rachael Blackmore,0,Henry de Bromhead,6th,23 l,10,10-8t,130,True,92,31
N/A,N/A,13:58,Soft (Soft To Heavy In Places),2m 5f 70y,Life In The Park (IRE),M. P. O'Connor,3,Henry de Bromhead,5th,2 l,6,11-2,138,True,92,31
N/A,N/A,13:58,Soft (Soft To Heavy In Places),2m 5f 70y,Adamantly Chosen (IRE),D. E. Mullins,0,W. P. Mullins,4th,1/2 l,6,11-12,148,True,92,31
N/A,N/A,13:58,Soft (Soft To Heavy In Places),2m 5f 70y,Coqolino (FR),M. P. Walsh,0,Gordon Elliott,3rd,2 1/2 l,8,10-7t,129,True,92,31
N/A,N/A,13:58,Soft (Soft To Heavy In Places),2m 5f 70y,Mars Harper,J. W. Kennedy,0,Gordon Elliott,2nd,3 l,7,11-3tp1,139,True,92,31
N/A,N/A,13:58,Soft (Soft To Heavy In Places),2m 5f 70y,Idas Boy (IRE),Sam Ewing,0,Noel Meade,1st,N/A,9,11-6,142,True,92,31
N/A,N/A,14:35,Soft,2m 160y,Pied Piper,J. W. Kennedy,0,Gordon Elliott,4th,2 1/2 l,5,11-12t,-,True,92,32
N/A,N/A,14:35,Soft,2m 160y,Fils D'oudairies (FR),Sam Ewing,0,Gordon Elliott,3rd,3 1/2 l,8,11-12,-,True,92,32
N/A,N/A,14:35,Soft,2m 160y,Echoes In Rain (FR),D. E. Mullins,0,W. P. Mullins,2nd,5 l,7,11-5t,-,True,92,32
N/A,N/A,14:35,Soft,2m 160y,State Man (FR),P. Townend,0,W. P. Mullins,1st,N/A,6,11-12,-,True,92,32
N/A,N/A,14:35,Soft,2m 160y,Pied Piper,J. W. Kennedy,0,Gordon Elliott,4th,2 1/2 l,5,11-12t,-,True,92,32
N/A,N/A,14:35,Soft,2m 160y,Fils D'oudairies (FR),Sam Ewing,0,Gordon Elliott,3rd,3 1/2 l,8,11-12,-,True,92,32
N/A,N/A,14:35,Soft,2m 160y,Echoes In Rain (FR),D. E. Mullins,0,W. P. Mullins,2nd,5 l,7,11-5t,-,True,92,32
N/A,N/A,14:35,Soft,2m 160y,State Man (FR),P. Townend,0,W. P. Mullins,1st,N/A,6,11-12,-,True,92,32
N/A,N/A,15:08,Soft,2m 160y,Sonny May (IRE),J. J. Slevin,0,Denis Hickey,10th,28 l,6,11-2t,112,True,92,33
N/A,N/A,15:08,Soft,2m 160y,El Champo (IRE),Patrick O'Hanlon,3,P. J. Rothwell,9th,1 l,5,11-10,120,True,92,33
N/A,N/A,15:08,Soft,2m 160y,Ages Of Man (IRE),J. P. O'Sullivan,3,Anthony McCann,8th,2 3/4 l,5,11-2p,112,True,92,33
N/A,N/A,15:08,Soft,2m 160y,Catch The Beast (IRE),Phillip Enright,0,Edward Cawley,7th,1/2 l,5,10-10,106,True,92,33
N/A,N/A,15:08,Soft,2m 160y,Poets Cottage (IRE),Sam Ewing,0,Noel Meade,6th,9 1/2 l,4,10-13,109,True,92,33
N/A,N/A,15:08,Soft,2m 160y,Top Speed (IRE),M. P. O'Connor,3,Henry de Bromhead,5th,9 1/2 l,6,11-6t,116,True,92,33
N/A,N/A,15:08,Soft,2m 160y,Walhaan (IRE),E. Walsh,3,Ciaran Murphy,4th,1 1/2 l,7,11-9tv,119,True,92,33
N/A,N/A,15:08,Soft,2m 160y,Striking (FR),C. Smithers,7,Mrs J. Harrington,3rd,1/2 l,5,11-8,118,True,92,33
N/A,N/A,15:08,Soft,2m 160y,Heliko Conti (FR),S. F. O'Keeffe,0,Paul Nolan,2nd,1/2 l,6,11-2,112,True,92,33
N/A,N/A,15:08,Soft,2m 160y,Yeats Star (IRE),J. W. Kennedy,0,Gordon Elliott,1st,N/A,4,11-12,122,True,92,33
N/A,N/A,15:08,Soft,2m 160y,Sonny May (IRE),J. J. Slevin,0,Denis Hickey,10th,28 l,6,11-2t,112,True,92,33
N/A,N/A,15:08,Soft,2m 160y,El Champo (IRE),Patrick O'Hanlon,3,P. J. Rothwell,9th,1 l,5,11-10,120,True,92,33
N/A,N/A,15:08,Soft,2m 160y,Ages Of Man (IRE),J. P. O'Sullivan,3,Anthony McCann,8th,2 3/4 l,5,11-2p,112,True,92,33
N/A,N/A,15:08,Soft,2m 160y,Catch The Beast (IRE),Phillip Enright,0,Edward Cawley,7th,1/2 l,5,10-10,106,True,92,33
N/A,N/A,15:08,Soft,2m 160y,Poets Cottage (IRE),Sam Ewing,0,Noel Meade,6th,9 1/2 l,4,10-13,109,True,92,33
N/A,N/A,15:08,Soft,2m 160y,Top Speed (IRE),M. P. O'Connor,3,Henry de Bromhead,5th,9 1/2 l,6,11-6t,116,True,92,33
N/A,N/A,15:08,Soft,2m 160y,Walhaan (IRE),E. Walsh,3,Ciaran Murphy,4th,1 1/2 l,7,11-9tv,119,True,92,33
N/A,N/A,15:08,Soft,2m 160y,Striking (FR),C. Smithers,7,Mrs J. Harrington,3rd,1/2 l,5,11-8,118,True,92,33
N/A,N/A,15:08,Soft,2m 160y,Heliko Conti (FR),S. F. O'Keeffe,0,Paul Nolan,2nd,1/2 l,6,11-2,112,True,92,33
N/A,N/A,15:08,Soft,2m 160y,Yeats Star (IRE),J. W. Kennedy,0,Gordon Elliott,1st,N/A,4,11-12,122,True,92,33
N/A,N/A,15:43,Soft  Flat (Turf),2m 160y,Cap Bernat (IRE),Mr P. McNeilly,7,Robin McNeilly,6th,4 1/2 l,10,11-7t,-,True,92,34
N/A,N/A,15:43,Soft  Flat (Turf),2m 160y,Champagne Kid (IRE),Mr T. Hamilton,0,P. E. Collins,5th,6 1/2 l,4,11-7,-,True,92,34
N/A,N/A,15:43,Soft  Flat (Turf),2m 160y,The Dawn (FR),Mr Finian Maguire,0,W. J. Burke,4th,12 l,4,11-7,-,True,92,34
N/A,N/A,15:43,Soft  Flat (Turf),2m 160y,Toor Khov (IRE),Miss M. O'Sullivan,5,Ms M. Flynn,3rd,6 l,5,11-7,-,True,92,34
N/A,N/A,15:43,Soft  Flat (Turf),2m 160y,I Am Mimi (FR),Mr D. G. Lavery,0,Gavin Patrick Cromwell,2nd,6 1/2 l,4,11-7,-,True,92,34
N/A,N/A,15:43,Soft  Flat (Turf),2m 160y,The Enabler (IRE),Mr H. C. Swan,5,Gordon Elliott,1st,N/A,4,11-7,-,True,92,34
