track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Limerick Racing Results | 14th June 2023 18:30,N/A,18:30,Good To Firm,7f,Pretence (IRE),Seamie Heffernan,0,Kevin Thomas Coleman,10th,1 l,2,9-1,-,True,62,46
Limerick Racing Results | 14th June 2023 18:30,N/A,18:30,Good To Firm,7f,Veracidad (IRE),William James Lee,0,K. J. Condon,9th,1/2 l,2,9-1,-,True,62,46
Limerick Racing Results | 14th June 2023 18:30,N/A,18:30,Good To Firm,7f,I'll Rise (IRE),D. B. McMonagle,0,Andrew McNamara,8th,1 1/4 l,2,9-3,-,True,62,46
Limerick Racing Results | 14th June 2023 18:30,N/A,18:30,Good To Firm,7f,Sun Never Sets (USA),Declan McDonogh,0,Joseph Patrick O'Brien,7th,1/2 l,2,8-13,-,True,62,46
Limerick Racing Results | 14th June 2023 18:30,N/A,18:30,Good To Firm,7f,Ameilya,L. T. McAteer,0,James M. Barrett,6th,Short Head,2,9-3,-,True,62,46
Limerick Racing Results | 14th June 2023 18:30,N/A,18:30,Good To Firm,7f,Lady Craftsman (IRE),W. M. Lordan,0,Adrian Murray,5th,Head,2,9-1,-,True,62,46
Limerick Racing Results | 14th June 2023 18:30,N/A,18:30,Good To Firm,7f,Spicy Water (IRE),N. M. Crosse,0,W. McCreery,4th,2 1/4 l,2,9-1,-,True,62,46
Limerick Racing Results | 14th June 2023 18:30,N/A,18:30,Good To Firm,7f,Profit Refused (IRE),C. D. Hayes,0,Kevin Prendergast,3rd,Head,2,9-3,-,True,62,46
Limerick Racing Results | 14th June 2023 18:30,N/A,18:30,Good To Firm,7f,Ennereilly (IRE),C. T. Keane,0,Mrs J. Harrington,2nd,3/4 l,2,9-3,-,True,62,46
Limerick Racing Results | 14th June 2023 18:30,N/A,18:30,Good To Firm,7f,Snellen (IRE),G. F. Carroll,0,Gavin Patrick Cromwell,1st,N/A,2,9-3,-,True,62,46
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Yester (IRE),D. W. O'Connor,0,John McConnell,14th,1 1/2 l,7,9-9,63,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Anatoli,L. F. Roche,0,J. J. Feane,13th,4 1/2 l,4,9-111,65,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Baalbec Beauty (IRE),Ben Martin Coen,0,Miss Hilary McLoughlin,12th,Short Head,5,9-13ht,67,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Nine Tales (IRE),Andrew Joseph Slattery,0,Ray Hackett,11th,3 3/4 l,5,9-13p,67,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Cherry Bloom (IRE),William James Lee,0,Gillian Scott,10th,Neck,4,9-1,55,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Pulse Of Shanghai (IRE),L. T. McAteer,0,James McAuley,9th,1 l,7,9-0tb,54,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Rocky Dreams,D. B. McMonagle,0,James McAuley,8th,1 l,6,9-1p,55,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Mogwli (IRE),M. Telford Kelly,10,W. McCreery,7th,2 3/4 l,6,9-8,62,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Inventor,C. Horgan,7,Gillian Scott,6th,Head,6,9-3p,57,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Scarlet Dancer (IRE),G. F. Carroll,0,James McAuley,5th,1/2 l,4,9-3p,57,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Emorcee (IRE),Declan McDonogh,0,David Marnane,4th,3/4 l,3,9-3b1,65,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,One For Mum (IRE),C. T. Keane,0,G. M. Lyons,3rd,1/2 l,3,9-2h,64,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Linger For Longer (IRE),J. J. G. Ryan,7,Augustine Leahy,2nd,3/4 l,4,9-9,63,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Cnodian (IRE),N. M. Crosse,0,W. McCreery,1st,N/A,5,9-7,61,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Yester (IRE),D. W. O'Connor,0,John McConnell,14th,1 1/2 l,7,9-9,63,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Anatoli,L. F. Roche,0,J. J. Feane,13th,4 1/2 l,4,9-111,65,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Baalbec Beauty (IRE),Ben Martin Coen,0,Miss Hilary McLoughlin,12th,Short Head,5,9-13ht,67,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Nine Tales (IRE),Andrew Joseph Slattery,0,Ray Hackett,11th,3 3/4 l,5,9-13p,67,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Cherry Bloom (IRE),William James Lee,0,Gillian Scott,10th,Neck,4,9-1,55,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Pulse Of Shanghai (IRE),L. T. McAteer,0,James McAuley,9th,1 l,7,9-0tb,54,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Rocky Dreams,D. B. McMonagle,0,James McAuley,8th,1 l,6,9-1p,55,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Mogwli (IRE),M. Telford Kelly,10,W. McCreery,7th,2 3/4 l,6,9-8,62,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Inventor,C. Horgan,7,Gillian Scott,6th,Head,6,9-3p,57,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Scarlet Dancer (IRE),G. F. Carroll,0,James McAuley,5th,1/2 l,4,9-3p,57,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Emorcee (IRE),Declan McDonogh,0,David Marnane,4th,3/4 l,3,9-3b1,65,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,One For Mum (IRE),C. T. Keane,0,G. M. Lyons,3rd,1/2 l,3,9-2h,64,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Linger For Longer (IRE),J. J. G. Ryan,7,Augustine Leahy,2nd,3/4 l,4,9-9,63,True,62,47
Limerick Racing Results | 14th June 2023 19:00,N/A,19:00,Yielding To Soft,6f 150y,Cnodian (IRE),N. M. Crosse,0,W. McCreery,1st,N/A,5,9-7,61,True,62,47
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,City Exile,Declan McDonogh,0,David Marnane,NR,N/A,3,9-8b1,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Executive Summary (IRE),W. M. Lordan,0,Henry de Bromhead,12th,6 1/2 l,3,9-8,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Captain John Barry (IRE),Seamie Heffernan,0,Gillian Scott,11th,Neck,3,9-8,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Jessi (IRE),S. D. Bowen,7,Denis Hogan,10th,2 l,3,9-3,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Aurum Sky (IRE),Ben Martin Coen,0,A. J. Martin,9th,5 1/2 l,3,9-8,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Latinised,L. F. Roche,0,Ross O'Sullivan,8th,3/4 l,3,9-8,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Cant Catch Camacho (IRE),R. P. Cleary,0,Mary E Doyle,7th,1 l,3,9-8,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Golden Circet (IRE),N. M. Crosse,0,W. McCreery,6th,1 1/2 l,3,9-8,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Rival Queen (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,5th,Neck,3,9-3,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Treasured Soul (IRE),G. F. Carroll,0,G. M. Lyons,4th,6 1/2 l,3,9-8,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Dutch Gold (IRE),D. B. McMonagle,0,Noel Meade,3rd,Neck,3,9-8,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Livio Milo (IRE),C. D. Hayes,0,D. K. Weld,2nd,1 3/4 l,3,9-8p,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Lan Cinnte (IRE),C. T. Keane,0,Mrs J. Harrington,1st,N/A,3,9-3,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,City Exile,Declan McDonogh,0,David Marnane,NR,N/A,3,9-8b1,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Executive Summary (IRE),W. M. Lordan,0,Henry de Bromhead,12th,6 1/2 l,3,9-8,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Captain John Barry (IRE),Seamie Heffernan,0,Gillian Scott,11th,Neck,3,9-8,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Jessi (IRE),S. D. Bowen,7,Denis Hogan,10th,2 l,3,9-3,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Aurum Sky (IRE),Ben Martin Coen,0,A. J. Martin,9th,5 1/2 l,3,9-8,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Latinised,L. F. Roche,0,Ross O'Sullivan,8th,3/4 l,3,9-8,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Cant Catch Camacho (IRE),R. P. Cleary,0,Mary E Doyle,7th,1 l,3,9-8,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Golden Circet (IRE),N. M. Crosse,0,W. McCreery,6th,1 1/2 l,3,9-8,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Rival Queen (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,5th,Neck,3,9-3,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Treasured Soul (IRE),G. F. Carroll,0,G. M. Lyons,4th,6 1/2 l,3,9-8,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Dutch Gold (IRE),D. B. McMonagle,0,Noel Meade,3rd,Neck,3,9-8,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Livio Milo (IRE),C. D. Hayes,0,D. K. Weld,2nd,1 3/4 l,3,9-8p,-,True,62,48
Limerick Racing Results | 14th June 2023 19:30,N/A,19:30,Soft,1m,Lan Cinnte (IRE),C. T. Keane,0,Mrs J. Harrington,1st,N/A,3,9-3,-,True,62,48
Limerick Racing Results | 14th June 2023 20:00,N/A,20:00,Soft,1m,Eclat De Lumiere (IRE),C. D. Hayes,0,D. K. Weld,NR,N/A,4,9-8b,82,True,62,49
Limerick Racing Results | 14th June 2023 20:00,N/A,20:00,Soft,1m,Dragon Of Malta (IRE),Seamie Heffernan,0,P. F. O'Donnell,6th,Head,6,9-0tb,74,True,62,49
Limerick Racing Results | 14th June 2023 20:00,N/A,20:00,Soft,1m,Play It Again Zaam (IRE),J. A. Powell,5,John Andrew Kinsella,5th,1/2 l,3,8-7,78,True,62,49
Limerick Racing Results | 14th June 2023 20:00,N/A,20:00,Soft,1m,Exquisite Acclaim (IRE),Ben Martin Coen,0,Adrian McGuinness,4th,1 3/4 l,4,9-8p,82,True,62,49
Limerick Racing Results | 14th June 2023 20:00,N/A,20:00,Soft,1m,Cordouan (FR),Adam Caffrey,5,Adrian McGuinness,3rd,2 3/4 l,5,10-0,88,True,62,49
Limerick Racing Results | 14th June 2023 20:00,N/A,20:00,Soft,1m,Spanish Tenor (IRE),C. J. MacRedmond,5,Adrian McGuinness,2nd,3 1/2 l,9,9-8,82,True,62,49
Limerick Racing Results | 14th June 2023 20:00,N/A,20:00,Soft,1m,Navagio (IRE),D. B. McMonagle,0,R. P. Cody,1st,N/A,4,9-4tp1,78,True,62,49
Limerick Racing Results | 14th June 2023 20:00,N/A,20:00,Soft,1m,Eclat De Lumiere (IRE),C. D. Hayes,0,D. K. Weld,NR,N/A,4,9-8b,82,True,62,49
Limerick Racing Results | 14th June 2023 20:00,N/A,20:00,Soft,1m,Dragon Of Malta (IRE),Seamie Heffernan,0,P. F. O'Donnell,6th,Head,6,9-0tb,74,True,62,49
Limerick Racing Results | 14th June 2023 20:00,N/A,20:00,Soft,1m,Play It Again Zaam (IRE),J. A. Powell,5,John Andrew Kinsella,5th,1/2 l,3,8-7,78,True,62,49
Limerick Racing Results | 14th June 2023 20:00,N/A,20:00,Soft,1m,Exquisite Acclaim (IRE),Ben Martin Coen,0,Adrian McGuinness,4th,1 3/4 l,4,9-8p,82,True,62,49
Limerick Racing Results | 14th June 2023 20:00,N/A,20:00,Soft,1m,Cordouan (FR),Adam Caffrey,5,Adrian McGuinness,3rd,2 3/4 l,5,10-0,88,True,62,49
Limerick Racing Results | 14th June 2023 20:00,N/A,20:00,Soft,1m,Spanish Tenor (IRE),C. J. MacRedmond,5,Adrian McGuinness,2nd,3 1/2 l,9,9-8,82,True,62,49
Limerick Racing Results | 14th June 2023 20:00,N/A,20:00,Soft,1m,Navagio (IRE),D. B. McMonagle,0,R. P. Cody,1st,N/A,4,9-4tp1,78,True,62,49
