track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Jet Setting Jim (IRE),J J Slevin,0,J Queally,F,N/A,8,11-12,130,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Glens Sensation (IRE),D J O'Keeffe,0,Peter Fahey,8th,21 l,7,11-12,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Justabitofyours (IRE),J G Gilligan,5,P J Gilligan,7th,15 l,5,11-5,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Bright Legend (IRE),D King,0,D Hogan,6th,7 1/2 l,5,11-12t1,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Great Attitude (GER),R A Doyle,0,C W J Farrell,5th,4 1/2 l,6,11-12,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,More Coko (FR),B Hayes,0,W P Mullins,4th,3 1/4 l,5,11-12h,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Royal Eagle (IRE),Sam Ewing,0,G Elliott,3rd,5 l,7,11-5,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,My Great Mate (IRE),P Townend,0,W P Mullins,2nd,3 3/4 l,6,11-12,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,King Of Kingsfield (IRE),J W Kennedy,0,G Elliott,1st,N/A,7,11-12,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Jet Setting Jim (IRE),J J Slevin,0,J Queally,F,N/A,8,11-12,130,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Glens Sensation (IRE),D J O'Keeffe,0,Peter Fahey,8th,21 l,7,11-12,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Justabitofyours (IRE),J G Gilligan,5,P J Gilligan,7th,15 l,5,11-5,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Bright Legend (IRE),D King,0,D Hogan,6th,7 1/2 l,5,11-12t1,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Great Attitude (GER),R A Doyle,0,C W J Farrell,5th,4 1/2 l,6,11-12,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,More Coko (FR),B Hayes,0,W P Mullins,4th,3 1/4 l,5,11-12h,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,Royal Eagle (IRE),Sam Ewing,0,G Elliott,3rd,5 l,7,11-5,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,My Great Mate (IRE),P Townend,0,W P Mullins,2nd,3 3/4 l,6,11-12,-,True,9,1
Galway Racing Results | 29th July 2025 17:37,2025-07-29,17:37,Good,2m 2f 54y,King Of Kingsfield (IRE),J W Kennedy,0,G Elliott,1st,N/A,7,11-12,-,True,9,1
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Trusty Tycoon (IRE),C Geerdharry,7,R K Watson,8th,8 1/2 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Pretty Liz (IRE),J M Sheridan,0,D Hogan,7th,7 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Green Testimony (IRE),M W Hassett,3,J P O'Brien,6th,1/2 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Bear Right (IRE),R P Whelan,0,Mrs J Harrington,5th,2 1/4 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Thenandnow (IRE),S Foley,0,Mrs J Harrington,4th,1/2 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Black Caviar Gold (IRE),C D Hayes,0,P Twomey,3rd,2 3/4 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Amelia Earhart (IRE),J Cleary,5,A P O'Brien,2nd,4 1/4 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Pivotal Attack,G F Carroll,0,J G Murphy,1st,N/A,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Trusty Tycoon (IRE),C Geerdharry,7,R K Watson,8th,8 1/2 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Pretty Liz (IRE),J M Sheridan,0,D Hogan,7th,7 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Green Testimony (IRE),M W Hassett,3,J P O'Brien,6th,1/2 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Bear Right (IRE),R P Whelan,0,Mrs J Harrington,5th,2 1/4 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Thenandnow (IRE),S Foley,0,Mrs J Harrington,4th,1/2 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Black Caviar Gold (IRE),C D Hayes,0,P Twomey,3rd,2 3/4 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Amelia Earhart (IRE),J Cleary,5,A P O'Brien,2nd,4 1/4 l,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:07,2025-07-29,18:07,Yielding,7f,Pivotal Attack,G F Carroll,0,J G Murphy,1st,N/A,2,9-2,-,True,9,2
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Slieve Binnian (IRE),L T McAteer,0,D Marnane,14th,Short Head,5,9-6,96,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Grey Leader (IRE),M W Hassett,3,J G Murphy,13th,3/4 l,5,8-9,85,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Monasterboice (IRE),R Whearty,3,N Meade,12th,1/2 l,4,8-11p,87,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Coeur d'Or (IRE),C D Hayes,0,D K Weld,11th,1 l,9,9-8t,98,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Norwalk Havoc,S Foley,0,Mrs J Harrington,10th,1 1/4 l,4,9-12tp,102,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Evening Blossom (IRE),D P McDonogh,0,J P O'Brien,9th,3/4 l,4,9-10t,100,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Independent Expert (IRE),J Kearney,3,Stephen Thorne,8th,3/4 l,6,9-3,93,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Chazzesmee (IRE),J M Sheridan,0,J A Stack,7th,1 l,7,9-2h,92,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Howyoulikethat (IRE),B M Coen,0,Miss H McLoughlin,6th,3/4 l,8,9-7,97,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Mississippi River (IRE),J Cleary,5,A P O'Brien,5th,1/2 l,3,8-13b,98,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Power Under Me (IRE),G F Carroll,0,G M Lyons,4th,1 3/4 l,7,10-0t,104,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Orandi (FR),J S Dalton,10,A J Martin,3rd,2 l,7,9-7t,97,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Bear Profit (IRE),Nicola Burns,7,Gerard O'Leary,2nd,Head,6,8-12,88,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Dunum (IRE),J A Heffernan,0,N Lupini,1st,N/A,7,9-3,93,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Slieve Binnian (IRE),L T McAteer,0,D Marnane,14th,Short Head,5,9-6,96,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Grey Leader (IRE),M W Hassett,3,J G Murphy,13th,3/4 l,5,8-9,85,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Monasterboice (IRE),R Whearty,3,N Meade,12th,1/2 l,4,8-11p,87,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Coeur d'Or (IRE),C D Hayes,0,D K Weld,11th,1 l,9,9-8t,98,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Norwalk Havoc,S Foley,0,Mrs J Harrington,10th,1 1/4 l,4,9-12tp,102,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Evening Blossom (IRE),D P McDonogh,0,J P O'Brien,9th,3/4 l,4,9-10t,100,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Independent Expert (IRE),J Kearney,3,Stephen Thorne,8th,3/4 l,6,9-3,93,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Chazzesmee (IRE),J M Sheridan,0,J A Stack,7th,1 l,7,9-2h,92,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Howyoulikethat (IRE),B M Coen,0,Miss H McLoughlin,6th,3/4 l,8,9-7,97,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Mississippi River (IRE),J Cleary,5,A P O'Brien,5th,1/2 l,3,8-13b,98,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Power Under Me (IRE),G F Carroll,0,G M Lyons,4th,1 3/4 l,7,10-0t,104,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Orandi (FR),J S Dalton,10,A J Martin,3rd,2 l,7,9-7t,97,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Bear Profit (IRE),Nicola Burns,7,Gerard O'Leary,2nd,Head,6,8-12,88,True,9,3
Galway Racing Results | 29th July 2025 18:40,2025-07-29,18:40,Yielding,1m 123y,Dunum (IRE),J A Heffernan,0,N Lupini,1st,N/A,7,9-3,93,True,9,3
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Rapid Sequence (IRE),L T McAteer,0,D Hogan,14th,4 3/4 l,3,9-3,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Miss Princess (IRE),W Joyce,3,M Mulvany,13th,1 1/2 l,3,9-3,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Paperboy (IRE),N M Crosse,0,J J Murphy,12th,1 3/4 l,3,9-8,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Monkstown (IRE),J Cleary,5,A P O'Brien,11th,3 l,3,9-8b1,78,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Flagstone (IRE),G F Carroll,0,J J Murphy,10th,1/2 l,3,9-8,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Baron Blake (FR),J A Heffernan,0,J J Hanlon,9th,3 l,4,10-1,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Arklow Lad (IRE),G M Ryan,0,K P Cotter,8th,2 3/4 l,3,9-8,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Chester Nimitz (IRE),B M Coen,0,N Meade,7th,1 1/4 l,3,9-8,78,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Adieu Spirit,L F Roche,0,M O'Callaghan,6th,1 3/4 l,3,9-8p1,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Teffian Warrior (IRE),C D Hayes,0,Ciaran Murphy,5th,1 l,3,9-8,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Eichan San (IRE),R P Whelan,0,Daniel Murphy,4th,3/4 l,3,9-8,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Men Of Honour (IRE),J M Sheridan,0,A Slattery,3rd,1 1/4 l,3,9-8,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Gran Habano (IRE),R Whearty,3,A Murray,2nd,3 l,3,9-8,80,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Collecting Coin,S Foley,0,Mrs J Harrington,1st,N/A,3,9-8,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Rapid Sequence (IRE),L T McAteer,0,D Hogan,14th,4 3/4 l,3,9-3,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Miss Princess (IRE),W Joyce,3,M Mulvany,13th,1 1/2 l,3,9-3,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Paperboy (IRE),N M Crosse,0,J J Murphy,12th,1 3/4 l,3,9-8,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Monkstown (IRE),J Cleary,5,A P O'Brien,11th,3 l,3,9-8b1,78,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Flagstone (IRE),G F Carroll,0,J J Murphy,10th,1/2 l,3,9-8,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Baron Blake (FR),J A Heffernan,0,J J Hanlon,9th,3 l,4,10-1,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Arklow Lad (IRE),G M Ryan,0,K P Cotter,8th,2 3/4 l,3,9-8,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Chester Nimitz (IRE),B M Coen,0,N Meade,7th,1 1/4 l,3,9-8,78,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Adieu Spirit,L F Roche,0,M O'Callaghan,6th,1 3/4 l,3,9-8p1,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Teffian Warrior (IRE),C D Hayes,0,Ciaran Murphy,5th,1 l,3,9-8,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Eichan San (IRE),R P Whelan,0,Daniel Murphy,4th,3/4 l,3,9-8,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Men Of Honour (IRE),J M Sheridan,0,A Slattery,3rd,1 1/4 l,3,9-8,-,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Gran Habano (IRE),R Whearty,3,A Murray,2nd,3 l,3,9-8,80,True,9,4
Galway Racing Results | 29th July 2025 19:15,2025-07-29,19:15,Yielding,7f,Collecting Coin,S Foley,0,Mrs J Harrington,1st,N/A,3,9-8,-,True,9,4
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Merlin The Wizard,P McGettigan,7,J Feane,15th,6 l,5,10-0,80,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Finsceal Annie (IRE),D P McDonogh,0,Ciaran Murphy,14th,2 l,4,9-12tp,78,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Titanium (FR),Nicola Burns,7,Ciaran Murphy,13th,Neck,6,10-0tp,80,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Flying Bay (IRE),B M Coen,0,A Kinirons,12th,1 1/4 l,4,9-10tp1,76,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Goal Exceeded,R P Whelan,0,A McGuinness,11th,Short Head,4,10-0t,80,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Exquisite Acclaim (IRE),Adam Caffrey,0,A McGuinness,10th,1 l,6,10-2p,82,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Imposing Supreme (IRE),G M Ryan,0,T Gibney,9th,Nose,9,9-10,76,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Facethepuckout (IRE),L F Roche,0,M O'Callaghan,8th,Neck,9,10-0,80,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Dark Viper,S Foley,0,Mrs J Harrington,7th,1 1/4 l,4,9-12,78,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Rhythm King (IRE),J E Harnett,10,M Fahey,6th,1/2 l,5,10-0,80,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Alpha Capture (IRE),J A Heffernan,0,W P Mullins,5th,1/2 l,5,9-11,77,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,On A Session (USA),C D Hayes,0,K P Cotter,4th,1/2 l,9,9-9,75,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Expound,D J O'Connor,7,D Hogan,3rd,Short Head,6,9-13tp,79,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Apache Outlaw (IRE),S Coen,7,A McGuinness,2nd,1 l,5,9-12,78,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Summer Snow (IRE),R P Cleary,0,P Lawlor,1st,N/A,5,10-1,81,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Merlin The Wizard,P McGettigan,7,J Feane,15th,6 l,5,10-0,80,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Finsceal Annie (IRE),D P McDonogh,0,Ciaran Murphy,14th,2 l,4,9-12tp,78,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Titanium (FR),Nicola Burns,7,Ciaran Murphy,13th,Neck,6,10-0tp,80,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Flying Bay (IRE),B M Coen,0,A Kinirons,12th,1 1/4 l,4,9-10tp1,76,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Goal Exceeded,R P Whelan,0,A McGuinness,11th,Short Head,4,10-0t,80,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Exquisite Acclaim (IRE),Adam Caffrey,0,A McGuinness,10th,1 l,6,10-2p,82,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Imposing Supreme (IRE),G M Ryan,0,T Gibney,9th,Nose,9,9-10,76,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Facethepuckout (IRE),L F Roche,0,M O'Callaghan,8th,Neck,9,10-0,80,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Dark Viper,S Foley,0,Mrs J Harrington,7th,1 1/4 l,4,9-12,78,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Rhythm King (IRE),J E Harnett,10,M Fahey,6th,1/2 l,5,10-0,80,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Alpha Capture (IRE),J A Heffernan,0,W P Mullins,5th,1/2 l,5,9-11,77,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,On A Session (USA),C D Hayes,0,K P Cotter,4th,1/2 l,9,9-9,75,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Expound,D J O'Connor,7,D Hogan,3rd,Short Head,6,9-13tp,79,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Apache Outlaw (IRE),S Coen,7,A McGuinness,2nd,1 l,5,9-12,78,True,9,5
Galway Racing Results | 29th July 2025 19:50,2025-07-29,19:50,Yielding,7f,Summer Snow (IRE),R P Cleary,0,P Lawlor,1st,N/A,5,10-1,81,True,9,5
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Just For One Day (IRE),J J G Ryan,0,M A Molloy,18th,3 3/4 l,5,9-12,68,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Hutton Glen (IRE),G M Ryan,0,T Gibney,17th,4 1/2 l,5,9-12t,68,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Una Matata (IRE),R C Colgan,0,C Timmons,16th,3/4 l,4,9-11,67,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Lady Arwen,J Cleary,5,C O'Dwyer,15th,1/2 l,6,9-11,67,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Lexington Dash (FR),D W O'Connor,0,J C McConnell,14th,1 3/4 l,8,9-12t,68,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,God Knows (IRE),J A Heffernan,0,P Sweeney,13th,Short Head,6,9-11,67,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Loingseoir (IRE),Nicola Burns,7,M C Grassick,12th,Short Head,9,9-12t,68,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Rockbury Lad,L F Roche,0,M O'Callaghan,11th,Nose,6,9-10tp,66,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Speckled Meadow (IRE),M W Hassett,3,Don Browne,10th,3/4 l,8,9-12,68,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Rampage (IRE),R Whearty,3,T G McCourt,9th,Head,6,9-11tv,67,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Si Senior (IRE),P McGettigan,7,P Magee,8th,1/2 l,4,10-0ht,70,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Comfort Line (IRE),Adam Caffrey,0,A McGuinness,7th,Short Head,8,9-13v,69,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Everylittlestep (IRE),G F Carroll,0,Yvonne Latta,6th,1/2 l,7,9-11t,67,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Convincing (IRE),B M Coen,0,Ciaran Murphy,5th,Neck,4,9-11,67,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Storm Averted (IRE),W Joyce,3,M Mulvany,4th,Neck,4,9-10t1,66,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Chavajod,R Coakley,0,D P Coakley,3rd,1/2 l,7,9-12v,68,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Heliogabalus (IRE),S Foley,0,S Byrne,1st,N/A,4,9-12b1,68,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Castleheath (IRE),S Coen,7,Ciaran Murphy,1st,Dead Heat,4,9-10,66,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Just For One Day (IRE),J J G Ryan,0,M A Molloy,18th,3 3/4 l,5,9-12,68,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Hutton Glen (IRE),G M Ryan,0,T Gibney,17th,4 1/2 l,5,9-12t,68,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Una Matata (IRE),R C Colgan,0,C Timmons,16th,3/4 l,4,9-11,67,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Lady Arwen,J Cleary,5,C O'Dwyer,15th,1/2 l,6,9-11,67,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Lexington Dash (FR),D W O'Connor,0,J C McConnell,14th,1 3/4 l,8,9-12t,68,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,God Knows (IRE),J A Heffernan,0,P Sweeney,13th,Short Head,6,9-11,67,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Loingseoir (IRE),Nicola Burns,7,M C Grassick,12th,Short Head,9,9-12t,68,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Rockbury Lad,L F Roche,0,M O'Callaghan,11th,Nose,6,9-10tp,66,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Speckled Meadow (IRE),M W Hassett,3,Don Browne,10th,3/4 l,8,9-12,68,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Rampage (IRE),R Whearty,3,T G McCourt,9th,Head,6,9-11tv,67,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Si Senior (IRE),P McGettigan,7,P Magee,8th,1/2 l,4,10-0ht,70,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Comfort Line (IRE),Adam Caffrey,0,A McGuinness,7th,Short Head,8,9-13v,69,True,9,6
Galway Racing Results | 29th July 2025 20:20,2025-07-29,20:20,Yielding,1m 123y,Everylittlestep (IRE),G F Carroll,0,Yvonne Latta,6th,1/2 l,7,9-11t,67,True,9,6
