track_name,race_date,race_time,going,distance,horse_name,jockey,claims,trainer,race_position,lost_by_length,age,weight,rating,first_place_found,batch_number,url_index_in_batch
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Maxios Show (IRE),Mr O. McGill,7,Gary McGill,15th,22 l,5,11-1,88,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Good Bye Milan (IRE),M. M. McDonagh,5,Charles Byrnes,14th,6 l,6,11-2,89,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Stansfield (IRE),Philip Donovan,5,Paul Traynor,13th,37 l,9,11-8p,95,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Breagagh (IRE),Mr N. Gault,7,S. Michael Millar,12th,4 1/2 l,5,11-6,93,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Alphonse Le Grande (IRE),Peter Carberry,0,A. J. Martin,11th,Neck,4,11-0,93,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Carlton Gardens,Keith Donoghue,0,Gavin Patrick Cromwell,10th,1/2 l,4,11-6,99,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Fireworks (FR),J. S. McGarvey,0,John Joseph Hanlon,9th,2 l,5,11-7p,94,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Twoplustwo Equals (IRE),Sean Flanagan,0,P. Tobin,8th,1/2 l,6,11-7,94,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Presenting Lad (IRE),Phillip Enright,0,Mark McNiff,7th,3 1/4 l,7,11-6t,93,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Mater Matuta (IRE),Rachael Blackmore,0,E. D. Delany,6th,1 l,7,11-5tp,92,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Skip Mahler (IRE),J. P. Shinnick,7,Mrs Lorna Fowler,5th,Neck,6,11-8h,95,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Indulging,Shane O'Callaghan,7,T. M. Walsh,4th,5 l,5,11-2,89,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Our Bobby (IRE),Niall Moore,7,John Michael Burke,3rd,1 1/4 l,6,11-9h1,96,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Crafty Gael (IRE),B. W. Harvey,5,Ross O'Sullivan,2nd,1 1/4 l,4,10-12p1,91,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Vale Of Glory (IRE),Eoin G. Kelly,7,Adrian Murray,1st,N/A,8,11-13,100,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Maxios Show (IRE),Mr O. McGill,7,Gary McGill,15th,22 l,5,11-1,88,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Good Bye Milan (IRE),M. M. McDonagh,5,Charles Byrnes,14th,6 l,6,11-2,89,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Stansfield (IRE),Philip Donovan,5,Paul Traynor,13th,37 l,9,11-8p,95,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Breagagh (IRE),Mr N. Gault,7,S. Michael Millar,12th,4 1/2 l,5,11-6,93,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Alphonse Le Grande (IRE),Peter Carberry,0,A. J. Martin,11th,Neck,4,11-0,93,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Carlton Gardens,Keith Donoghue,0,Gavin Patrick Cromwell,10th,1/2 l,4,11-6,99,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Fireworks (FR),J. S. McGarvey,0,John Joseph Hanlon,9th,2 l,5,11-7p,94,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Twoplustwo Equals (IRE),Sean Flanagan,0,P. Tobin,8th,1/2 l,6,11-7,94,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Presenting Lad (IRE),Phillip Enright,0,Mark McNiff,7th,3 1/4 l,7,11-6t,93,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Mater Matuta (IRE),Rachael Blackmore,0,E. D. Delany,6th,1 l,7,11-5tp,92,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Skip Mahler (IRE),J. P. Shinnick,7,Mrs Lorna Fowler,5th,Neck,6,11-8h,95,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Indulging,Shane O'Callaghan,7,T. M. Walsh,4th,5 l,5,11-2,89,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Our Bobby (IRE),Niall Moore,7,John Michael Burke,3rd,1 1/4 l,6,11-9h1,96,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Crafty Gael (IRE),B. W. Harvey,5,Ross O'Sullivan,2nd,1 1/4 l,4,10-12p1,91,True,56,1
Punchestown Racing Results | 23rd May 2023 15:45,N/A,15:45,Good To Yielding,1m 7f 180y,Vale Of Glory (IRE),Eoin G. Kelly,7,Adrian Murray,1st,N/A,8,11-13,100,True,56,1
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Lucy Van Pelt (IRE),J. J. Slevin,0,Peter Maher,PU,N/A,8,11-5,92,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Mad for the Craic,C. P. McNamara,0,Eric McNamara,14th,89 l,5,11-0t1,87,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Tincurra Lad (IRE),Donagh Meyler,0,W. J. Martin,13th,31 l,6,11-2h,89,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Toms Courage (IRE),Niall Moore,7,John Michael Burke,12th,2 1/4 l,9,11-13h,100,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Serpolette (IRE),Phillip Enright,0,E. D. Delany,11th,4 3/4 l,8,11-5,92,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Future Proof (IRE),Patrick O'Hanlon,5,P. J. Rothwell,10th,1/2 l,8,11-8p,95,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Mac's Xpress (IRE),S. F. O'Keeffe,0,Mrs J. Harrington,9th,4 1/2 l,5,11-13p,100,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Star Official (IRE),D. E. Mullins,0,R. Donohoe,8th,1 1/2 l,5,11-13,100,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Shana Cloon (IRE),Sean Flanagan,0,Gavin Patrick Cromwell,7th,3 3/4 l,4,10-10,89,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Action Station (IRE),K. E. Buckley,3,Mrs Prunella Dobbs,6th,1 3/4 l,7,11-8,95,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,The Virginian (IRE),P. T. Smithers,7,Padraig Roche,5th,1/2 l,7,11-6t,93,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Light Parade (IRE),D. J. O'Keeffe,0,W. J. Burke,4th,2 1/2 l,6,11-7,94,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Redwood Queen (IRE),M. M. McDonagh,5,Charles Byrnes,3rd,1 1/4 l,6,11-0,87,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Movie King (IRE),Mr B. M. Coonan,7,A. J. Martin,2nd,1 1/4 l,6,11-1t,88,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Princess Sophia (IRE),E. Walsh,5,Ciaran Murphy,1st,N/A,6,11-0h1,87,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Lucy Van Pelt (IRE),J. J. Slevin,0,Peter Maher,PU,N/A,8,11-5,92,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Mad for the Craic,C. P. McNamara,0,Eric McNamara,14th,89 l,5,11-0t1,87,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Tincurra Lad (IRE),Donagh Meyler,0,W. J. Martin,13th,31 l,6,11-2h,89,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Toms Courage (IRE),Niall Moore,7,John Michael Burke,12th,2 1/4 l,9,11-13h,100,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Serpolette (IRE),Phillip Enright,0,E. D. Delany,11th,4 3/4 l,8,11-5,92,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Future Proof (IRE),Patrick O'Hanlon,5,P. J. Rothwell,10th,1/2 l,8,11-8p,95,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Mac's Xpress (IRE),S. F. O'Keeffe,0,Mrs J. Harrington,9th,4 1/2 l,5,11-13p,100,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Star Official (IRE),D. E. Mullins,0,R. Donohoe,8th,1 1/2 l,5,11-13,100,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Shana Cloon (IRE),Sean Flanagan,0,Gavin Patrick Cromwell,7th,3 3/4 l,4,10-10,89,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Action Station (IRE),K. E. Buckley,3,Mrs Prunella Dobbs,6th,1 3/4 l,7,11-8,95,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,The Virginian (IRE),P. T. Smithers,7,Padraig Roche,5th,1/2 l,7,11-6t,93,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Light Parade (IRE),D. J. O'Keeffe,0,W. J. Burke,4th,2 1/2 l,6,11-7,94,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Redwood Queen (IRE),M. M. McDonagh,5,Charles Byrnes,3rd,1 1/4 l,6,11-0,87,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Movie King (IRE),Mr B. M. Coonan,7,A. J. Martin,2nd,1 1/4 l,6,11-1t,88,True,56,2
Punchestown Racing Results | 23rd May 2023 16:15,N/A,16:15,Good To Yielding,1m 7f 180y,Princess Sophia (IRE),E. Walsh,5,Ciaran Murphy,1st,N/A,6,11-0h1,87,True,56,2
Gowran Park Racing Results | 23rd May 2023 17:10,N/A,17:10,Good,1m 1f 100y,Onameridance (IRE),H. J. Horgan,7,Joseph Patrick O'Brien,4th,1 1/2 l,4,9-12t,-,True,56,6
Gowran Park Racing Results | 23rd May 2023 17:10,N/A,17:10,Good,1m 1f 100y,Aurifodina (IRE),R. P. Cleary,0,J. S. Bolger,3rd,6 1/2 l,3,8-13p1,-,True,56,6
Gowran Park Racing Results | 23rd May 2023 17:10,N/A,17:10,Good,1m 1f 100y,Mashia (IRE),C. D. Hayes,0,D. K. Weld,2nd,3 3/4 l,3,9-3,-,True,56,6
Gowran Park Racing Results | 23rd May 2023 17:10,N/A,17:10,Good,1m 1f 100y,Moon De Vega,William James Lee,0,P. Twomey,1st,N/A,4,9-12tp1,-,True,56,6
Gowran Park Racing Results | 23rd May 2023 17:10,N/A,17:10,Good,1m 1f 100y,Onameridance (IRE),H. J. Horgan,7,Joseph Patrick O'Brien,4th,1 1/2 l,4,9-12t,-,True,56,6
Gowran Park Racing Results | 23rd May 2023 17:10,N/A,17:10,Good,1m 1f 100y,Aurifodina (IRE),R. P. Cleary,0,J. S. Bolger,3rd,6 1/2 l,3,8-13p1,-,True,56,6
Gowran Park Racing Results | 23rd May 2023 17:10,N/A,17:10,Good,1m 1f 100y,Mashia (IRE),C. D. Hayes,0,D. K. Weld,2nd,3 3/4 l,3,9-3,-,True,56,6
Gowran Park Racing Results | 23rd May 2023 17:10,N/A,17:10,Good,1m 1f 100y,Moon De Vega,William James Lee,0,P. Twomey,1st,N/A,4,9-12tp1,-,True,56,6
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Baby Intello (IRE),G. F. Carroll,0,E. J. O'Neill,17th,29 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Nathalia Eclipse (IRE),M. A. Enright,0,J. A. Stack,16th,1 3/4 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Whispering Hopes (IRE),D. N. Curran,7,Darren Bunyan,15th,1 1/2 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Susie Wosie (IRE),L. F. Roche,0,Noel Meade,14th,3 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Mayo For Sam (IRE),J. M. Sheridan,3,Denis Hogan,13th,Head,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Alluring (USA),D. W. O'Connor,0,K. J. Condon,12th,4 1/4 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Paris Review (IRE),Shane Foley,0,Mrs J. Harrington,11th,2 1/2 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Time To Soar (IRE),A. J. Slattery,0,A. Slattery,10th,1 3/4 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Givemehoperosa (IRE),R. P. Whelan,0,Jack W. Davison,9th,2 1/4 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Skyquake (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,8th,Neck,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Doctor Nightingale (IRE),Declan McDonogh,0,Gordon Elliott,7th,1 1/4 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Dalliances (IRE),Ben Martin Coen,0,John Patrick Murtagh,6th,3/4 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Hey Whatever (IRE),C. T. Keane,0,Noel Meade,5th,Neck,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Phases of Venus (IRE),William James Lee,0,P. Twomey,4th,1 1/4 l,3,9-3h,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,As Fast As Wind (IRE),J. Coen,5,Adrian Murray,3rd,1/2 l,3,9-3b1,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Letiza (IRE),C. D. Hayes,0,J. J. Feane,2nd,1 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Perfect Portrait,D. B. McMonagle,0,Joseph Patrick O'Brien,1st,N/A,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Baby Intello (IRE),G. F. Carroll,0,E. J. O'Neill,17th,29 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Nathalia Eclipse (IRE),M. A. Enright,0,J. A. Stack,16th,1 3/4 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Whispering Hopes (IRE),D. N. Curran,7,Darren Bunyan,15th,1 1/2 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Susie Wosie (IRE),L. F. Roche,0,Noel Meade,14th,3 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Mayo For Sam (IRE),J. M. Sheridan,3,Denis Hogan,13th,Head,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Alluring (USA),D. W. O'Connor,0,K. J. Condon,12th,4 1/4 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Paris Review (IRE),Shane Foley,0,Mrs J. Harrington,11th,2 1/2 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Time To Soar (IRE),A. J. Slattery,0,A. Slattery,10th,1 3/4 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Givemehoperosa (IRE),R. P. Whelan,0,Jack W. Davison,9th,2 1/4 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Skyquake (IRE),M. P. Sheehy,0,Joseph Patrick O'Brien,8th,Neck,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Doctor Nightingale (IRE),Declan McDonogh,0,Gordon Elliott,7th,1 1/4 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Dalliances (IRE),Ben Martin Coen,0,John Patrick Murtagh,6th,3/4 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Hey Whatever (IRE),C. T. Keane,0,Noel Meade,5th,Neck,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Phases of Venus (IRE),William James Lee,0,P. Twomey,4th,1 1/4 l,3,9-3h,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,As Fast As Wind (IRE),J. Coen,5,Adrian Murray,3rd,1/2 l,3,9-3b1,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Letiza (IRE),C. D. Hayes,0,J. J. Feane,2nd,1 l,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 17:40,N/A,17:40,Good,1m 1f 100y,Perfect Portrait,D. B. McMonagle,0,Joseph Patrick O'Brien,1st,N/A,3,9-3,-,True,56,7
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Dream Footsteps (IRE),G. M. Ryan,0,Patrick T. Foley,NR,N/A,5,10-1,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Famous Enough (IRE),Seamie Heffernan,0,Liam G. O'Brien,14th,1 l,3,9-8,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Moondharrig (IRE),Shane Foley,0,Eoin Doyle,13th,2 1/4 l,3,9-8t,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,At Long Last (IRE),William James Lee,0,Andrew Oliver,12th,Nose,4,10-1,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Trishuli River (IRE),R. P. Whelan,0,Shane Crawley,11th,2 1/4 l,3,9-3,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Mobilise,G. F. Carroll,0,G. M. Lyons,10th,Neck,3,9-8,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Booyea (IRE),R. C. Colgan,0,T. Gibney,9th,Neck,3,9-8,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Monitola,M. A. Enright,0,G. M. Lyons,8th,1 1/4 l,3,9-8,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Mythical Phoenix (IRE),D. W. O'Connor,0,John McConnell,7th,2 l,3,9-8,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Caulaincourt (IRE),C. T. Keane,0,G. M. Lyons,6th,1/2 l,3,9-8,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Thefullbackline,L. T. McAteer,3,Patrick T. Foley,5th,4 1/4 l,4,10-6,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Shayzann (IRE),Ben Martin Coen,0,John Patrick Murtagh,4th,1 3/4 l,3,9-8,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Highland Rahy (USA),J. M. Sheridan,3,J. A. Stack,3rd,Head,3,9-8,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Cuban Dawn (IRE),R. P. Cleary,0,J. S. Bolger,2nd,1/2 l,3,9-8t,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Nation's Call (IRE),C. D. Hayes,0,D. K. Weld,1st,N/A,3,9-8,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Dream Footsteps (IRE),G. M. Ryan,0,Patrick T. Foley,NR,N/A,5,10-1,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Famous Enough (IRE),Seamie Heffernan,0,Liam G. O'Brien,14th,1 l,3,9-8,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Moondharrig (IRE),Shane Foley,0,Eoin Doyle,13th,2 1/4 l,3,9-8t,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,At Long Last (IRE),William James Lee,0,Andrew Oliver,12th,Nose,4,10-1,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Trishuli River (IRE),R. P. Whelan,0,Shane Crawley,11th,2 1/4 l,3,9-3,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Mobilise,G. F. Carroll,0,G. M. Lyons,10th,Neck,3,9-8,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Booyea (IRE),R. C. Colgan,0,T. Gibney,9th,Neck,3,9-8,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Monitola,M. A. Enright,0,G. M. Lyons,8th,1 1/4 l,3,9-8,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Mythical Phoenix (IRE),D. W. O'Connor,0,John McConnell,7th,2 l,3,9-8,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Caulaincourt (IRE),C. T. Keane,0,G. M. Lyons,6th,1/2 l,3,9-8,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Thefullbackline,L. T. McAteer,3,Patrick T. Foley,5th,4 1/4 l,4,10-6,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Shayzann (IRE),Ben Martin Coen,0,John Patrick Murtagh,4th,1 3/4 l,3,9-8,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Highland Rahy (USA),J. M. Sheridan,3,J. A. Stack,3rd,Head,3,9-8,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Cuban Dawn (IRE),R. P. Cleary,0,J. S. Bolger,2nd,1/2 l,3,9-8t,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:10,N/A,18:10,Good,1m,Nation's Call (IRE),C. D. Hayes,0,D. K. Weld,1st,N/A,3,9-8,-,True,56,8
Gowran Park Racing Results | 23rd May 2023 18:40,N/A,18:40,Good,1m,Vidala (IRE),M. W. Hassett,10,Ms Sheila Lavery,NR,N/A,4,9-0,47,True,56,9
Gowran Park Racing Results | 23rd May 2023 18:40,N/A,18:40,Good,1m,Merlins Muse (USA),K. J. Leonard,0,Tom McGuinness,13th,13 l,8,9-10,57,True,56,9
Gowran Park Racing Results | 23rd May 2023 18:40,N/A,18:40,Good,1m,Rocky Dreams,Shane Foley,0,James McAuley,12th,4 1/4 l,6,10-0p,61,True,56,9
Gowran Park Racing Results | 23rd May 2023 18:40,N/A,18:40,Good,1m,Run for You (IRE),Adam Caffrey,7,Adrian McGuinness,11th,2 3/4 l,4,9-12,59,True,56,9
Gowran Park Racing Results | 23rd May 2023 18:40,N/A,18:40,Good,1m,Flier,M. A. Enright,0,Mrs Denise Foster,10th,1 1/2 l,4,9-3t,50,True,56,9
Gowran Park Racing Results | 23rd May 2023 18:40,N/A,18:40,Good,1m,Aurora Nova (IRE),C. T. Keane,0,Andrew McNamara,9th,3/4 l,4,9-13,60,True,56,9
Gowran Park Racing Results | 23rd May 2023 18:40,N/A,18:40,Good,1m,Gatsby Cap (IRE),Siobhan Rutledge,5,John McConnell,8th,Neck,7,9-0p,47,True,56,9
